CED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
CED201,0,14,22,98,72,112,210,323,199,1050,0,7,11,28,64,126,165,137,56,592,14,81,115,604,233,354,206,24,15,1647,28,259,435,2369,900,606,339,170,60,5169,0,21,53,307,152,62,57,42,6,703,0,50,68,509,147,109,53,15,9,957,0,10,14,41,23,20,20,15,0,151,4,18,12,60,42,61,86,52,31,373,0,7,5,61,57,210,367,251,116,1071,0,10,22,54,39,13,8,4,5,164,0,41,93,316,188,84,29,5,0,763,0,4,0,34,41,68,41,18,5,204,7,189,374,1233,650,720,550,198,37,3955,0,0,0,6,3,33,73,38,10,163,0,0,12,63,39,100,93,43,11,363,0,3,37,86,31,17,13,11,0,199,0,4,29,132,35,15,6,0,0,220,0,3,11,28,32,63,241,218,105,697,9,131,238,557,365,314,191,96,18,1915,0,0,0,9,16,11,22,11,3,74
CED202,0,6,11,53,43,70,202,105,34,523,0,0,0,5,5,16,37,31,10,97,0,5,16,31,23,10,7,0,0,92,17,96,316,1213,153,58,48,24,5,1924,0,5,17,47,18,0,14,3,4,111,0,0,6,37,12,5,3,4,0,77,0,8,3,25,11,3,0,0,0,57,5,8,16,74,51,35,46,26,22,272,0,4,0,38,13,38,81,45,36,258,0,3,9,55,27,11,3,0,7,114,0,4,7,43,7,6,0,0,0,76,0,0,0,9,6,12,0,0,0,20,0,20,30,98,54,58,31,6,3,301,0,0,4,9,8,36,66,34,4,163,0,0,3,23,3,7,6,3,0,50,0,0,0,7,8,0,4,0,3,18,0,6,67,167,4,0,0,0,0,243,0,0,3,23,32,69,267,236,78,714,5,60,76,387,271,311,225,76,16,1428,0,0,0,3,4,14,10,9,0,36
CED203,0,4,7,38,37,66,137,85,22,398,0,0,0,10,3,22,29,20,16,105,3,8,10,22,16,6,9,0,0,80,8,103,134,871,105,54,45,25,4,1343,0,0,8,41,33,19,12,3,0,120,0,16,11,25,9,4,0,0,0,63,0,0,3,13,4,5,5,3,0,28,0,3,6,53,26,32,40,22,11,199,0,0,0,17,14,42,86,48,16,232,0,4,11,21,13,6,8,5,0,66,5,7,5,57,5,8,0,0,0,77,0,0,4,17,7,3,3,0,0,35,0,15,30,157,56,48,36,3,4,351,0,0,0,4,8,11,53,24,3,96,0,0,3,20,7,6,4,4,0,45,4,8,63,421,139,77,47,27,4,792,0,3,13,106,6,0,0,0,0,126,0,0,5,20,33,38,150,109,26,384,8,61,81,330,289,310,185,72,11,1347,0,0,0,4,0,9,6,0,0,21
CED204,0,3,32,72,63,68,138,156,64,597,0,27,49,92,117,186,348,374,107,1298,5,21,20,147,63,87,61,9,0,415,73,502,1229,5207,1475,924,586,251,98,10342,8,48,42,306,131,78,94,20,5,725,6,177,304,599,120,102,41,6,0,1352,0,34,51,193,114,84,39,14,4,547,0,18,9,57,31,51,65,41,13,286,0,9,7,72,60,278,541,516,247,1723,0,4,12,41,18,8,7,0,0,98,3,22,63,246,139,57,14,10,0,552,4,10,31,152,176,213,162,73,16,841,13,86,165,627,219,223,203,47,16,1589,0,0,6,9,7,28,85,69,29,228,0,5,42,248,176,342,325,180,95,1406,0,3,20,115,43,20,20,4,0,228,0,0,28,115,6,11,0,0,0,160,0,0,11,20,29,59,178,193,108,595,32,320,509,940,420,366,186,56,14,2848,0,0,13,75,71,103,113,64,12,440
CED205,0,6,12,57,44,28,57,54,11,263,0,11,52,84,56,149,213,178,62,811,0,4,16,65,18,15,12,0,0,132,104,798,1408,10610,1118,670,502,106,32,15339,0,8,27,164,61,26,10,4,0,307,6,57,106,460,83,77,30,10,4,835,31,1361,1925,5986,2687,1824,972,393,115,15291,0,8,5,34,18,25,15,11,9,132,0,3,28,102,114,563,827,559,218,2428,0,10,6,22,10,0,3,0,0,54,3,5,4,74,11,9,4,0,0,121,46,148,194,1424,837,715,373,130,27,3892,5,39,46,217,68,41,33,11,0,455,0,0,4,26,34,126,340,216,57,803,0,8,17,87,32,36,24,6,4,213,0,4,7,21,13,9,11,9,3,73,11,89,403,1758,83,23,23,0,0,2396,0,6,3,9,5,13,29,17,8,91,78,584,658,992,267,195,66,23,0,2865,0,3,11,86,75,102,73,20,11,380
CED206,0,9,17,91,94,154,299,229,85,975,0,3,0,9,16,33,50,43,14,163,3,12,12,77,29,24,8,4,6,171,4,78,74,568,152,98,85,42,14,1120,3,5,12,59,38,15,24,7,6,174,0,23,15,187,44,22,15,4,0,308,0,0,0,7,0,3,5,0,0,21,0,13,15,95,51,55,76,56,17,379,0,4,7,53,32,120,277,223,128,834,5,10,10,40,38,11,12,6,0,127,3,10,8,57,25,13,4,0,0,113,0,0,0,19,15,18,12,6,0,68,7,97,40,122,68,67,47,13,5,463,0,0,0,8,3,18,43,26,3,100,0,5,0,26,6,24,16,4,0,91,3,63,276,611,171,66,44,11,0,1249,0,5,9,50,14,0,0,0,0,79,0,7,13,74,108,155,499,385,156,1391,0,67,98,534,411,409,251,65,20,1860,0,0,0,15,5,19,9,8,0,53
CED207,0,15,34,74,72,47,130,190,90,648,3,23,42,84,119,343,636,1093,404,2755,24,222,344,986,368,562,470,105,26,3115,65,840,1411,5431,1381,776,566,272,104,10853,7,38,222,658,285,113,179,54,18,1579,7,62,115,510,175,82,52,29,9,1032,0,7,14,52,15,11,14,10,4,115,0,5,26,66,38,39,32,45,32,274,0,11,27,89,59,177,435,512,317,1630,16,47,94,183,143,42,43,21,3,589,10,88,226,747,425,172,55,27,5,1751,0,4,7,29,41,32,43,28,3,189,10,165,872,2464,976,1080,964,435,99,7073,0,0,0,0,4,13,35,49,12,116,0,7,33,124,38,80,47,27,21,381,0,5,21,43,19,22,14,6,4,131,0,6,101,190,30,6,3,4,0,341,0,6,23,29,27,29,72,90,65,336,29,188,327,474,303,245,181,102,37,1885,0,0,0,6,8,14,22,14,10,74
CED208,6,14,23,205,83,64,65,54,16,528,0,17,59,162,207,567,1044,1587,687,4327,3,11,44,195,38,22,32,11,0,363,52,172,473,2591,250,131,96,49,15,3832,4,14,24,204,50,26,21,11,3,359,0,12,25,316,43,20,9,4,5,440,0,13,19,87,41,44,22,9,0,241,3,10,10,266,78,62,40,19,13,495,3,12,18,370,160,527,1234,1849,1202,5373,6,12,21,197,86,26,10,0,0,359,0,3,18,143,24,5,3,0,0,208,4,9,15,178,257,302,286,157,44,1260,4,14,74,591,124,125,114,39,3,1085,0,0,0,16,13,43,104,99,41,313,0,0,9,79,28,24,19,10,15,180,0,0,0,16,5,4,0,0,0,33,7,9,338,734,21,3,0,0,0,1116,0,0,9,53,40,25,32,19,11,187,9,47,117,1532,470,276,114,40,7,2624,0,6,8,151,149,223,343,211,87,1171
CED209,4,14,5,106,62,58,219,146,79,695,0,0,0,6,13,35,78,79,22,246,4,16,18,40,12,15,10,0,0,119,15,73,289,1349,109,68,50,24,15,2000,3,10,12,62,28,8,14,3,7,139,0,11,18,83,21,23,6,4,0,157,0,5,3,22,10,3,3,0,0,51,3,20,29,126,63,57,58,28,16,399,0,0,7,57,30,76,242,104,74,593,0,13,6,41,21,10,5,4,0,96,3,9,6,41,14,8,0,0,0,82,0,0,5,6,9,6,8,0,0,34,0,27,26,93,54,43,32,7,0,292,0,0,0,5,10,65,141,81,18,328,0,6,13,23,19,19,4,6,0,92,0,0,0,5,0,0,0,0,0,10,0,8,17,108,4,0,0,0,0,131,4,17,13,50,42,59,286,181,64,700,10,104,116,558,324,274,248,93,15,1750,0,0,0,9,4,13,15,11,5,67
CED210,0,6,12,71,55,64,293,177,109,796,0,5,4,15,25,40,74,98,47,306,0,30,30,52,16,19,18,0,0,160,27,143,433,2297,131,53,65,23,4,3168,0,7,25,100,40,12,18,7,0,215,6,45,72,169,36,31,13,9,5,379,0,30,34,81,42,28,7,5,0,226,0,30,13,135,61,60,49,34,22,409,3,3,17,64,47,152,314,332,220,1145,0,13,10,42,28,6,0,0,0,106,0,11,16,85,9,4,6,0,0,132,4,3,3,25,11,34,11,7,0,107,0,22,44,201,59,59,28,12,4,441,0,0,0,3,3,31,75,44,7,157,0,0,17,40,13,13,0,0,0,93,4,13,66,273,93,54,36,10,3,547,0,0,31,187,3,0,0,0,0,222,0,6,12,26,22,68,308,253,103,793,14,60,134,579,323,258,151,65,18,1607,0,0,0,59,76,150,214,106,51,650
