CED_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
CED201,..,660,119,780,0,783,..,13532,4109,17638,191,17829,..,250,26,278,0,278,..,284,10,294,0,297,..,803,36,840,6,845,..,1517,183,1695,6,1707,..,209,7,213,0,216,..,897,76,978,5,983,..,1428,45,1471,6,1482,..,237,23,259,7,268,..,999,61,1052,8,1065,..,2563,123,2684,19,2705,..,347,16,360,0,365,..,429,16,445,5,452,..,7106,369,7476,60,7533,..,1253,124,1377,13,1389,..,216,23,234,10,242,..,302,120,422,0,421,..,740,201,939,10,949,..,128,15,135,0,138,..,557,19,573,0,572,..,942,197,1130,14,1144,..,466,51,522,7,526,..,108,9,119,0,119,..,245,31,272,0,277,..,59,5,59,0,59,..,284,42,325,0,326,..,501,13,514,4,518,..,629,43,668,8,682,..,601,18,622,7,626,..,279,8,287,4,293,..,2013,82,2092,20,2115,..,644,81,725,10,734,..,1382
CED202,..,32,15,42,0,42,..,990,272,1255,16,1275,..,131,20,156,6,158,..,174,10,186,0,185,..,274,3,281,0,284,..,171,20,192,4,195,..,122,8,134,0,136,..,117,13,121,0,129,..,380,19,399,0,401,..,237,7,247,0,247,..,720,49,776,11,783,..,215,8,225,4,225,..,221,25,244,3,242,..,41,0,41,0,41,..,2052,127,2184,20,2205,..,283,14,297,0,301,..,176,22,197,0,198,..,28,4,29,0,29,..,62,9,69,0,69,..,57,3,62,0,62,..,438,32,472,7,475,..,65,9,79,0,77,..,81,0,81,0,82,..,63,3,63,0,65,..,77,13,93,3,94,..,23,0,26,0,26,..,108,18,134,0,134,..,232,4,240,5,238,..,79,0,78,0,79,..,245,10,251,0,251,..,87,3,88,0,88,..,637,18,651,4,659,..,275,20,293,10,298,..,144
CED203,..,14,0,17,0,17,..,630,249,882,10,889,..,56,13,63,0,63,..,167,5,175,4,179,..,210,9,217,4,218,..,218,31,247,7,252,..,79,4,80,0,80,..,65,9,73,0,73,..,220,8,234,3,235,..,123,5,129,0,133,..,452,26,481,8,495,..,187,17,203,0,211,..,127,4,134,0,134,..,48,0,49,0,49,..,1309,78,1384,15,1403,..,275,14,286,0,286,..,89,3,91,0,91,..,25,3,34,0,34,..,54,17,74,0,74,..,25,0,26,0,26,..,457,37,497,6,501,..,44,8,48,0,53,..,46,0,45,3,50,..,50,9,60,4,59,..,47,5,51,0,51,..,11,0,14,0,14,..,25,5,32,0,32,..,233,6,240,5,240,..,85,11,100,0,99,..,255,6,263,4,266,..,123,22,146,0,147,..,700,42,742,6,747,..,182,13,195,0,200,..,87
CED204,..,609,212,824,4,823,..,5716,2555,8267,73,8340,..,989,213,1201,16,1215,..,841,29,871,11,878,..,292,8,300,3,308,..,2767,511,3270,14,3285,..,612,27,635,9,639,..,653,39,693,10,702,..,2291,101,2395,15,2408,..,161,11,173,4,177,..,3401,290,3694,27,3714,..,5350,314,5670,40,5708,..,1671,175,1851,15,1870,..,471,23,500,3,502,..,14615,988,15598,117,15721,..,1843,317,2160,19,2181,..,125,13,137,0,138,..,929,390,1314,12,1328,..,521,158,676,12,689,..,334,61,397,0,397,..,1557,85,1644,12,1660,..,1275,383,1656,8,1666,..,972,197,1172,6,1179,..,243,30,273,0,276,..,465,91,558,0,558,..,832,85,919,6,927,..,2461,795,3259,30,3286,..,830,30,864,11,866,..,655,65,713,3,718,..,925,36,962,7,968,..,568,71,638,12,653,..,2983,197,3179,28,3204,..,1584,261,1845,18,1863,..,3184
CED205,..,98,34,135,0,136,..,1152,403,1554,25,1576,..,474,73,549,0,546,..,185,9,193,0,196,..,89,0,89,0,96,..,1774,288,2058,11,2072,..,587,43,628,9,635,..,575,41,614,9,622,..,3552,188,3743,37,3781,..,2575,441,3012,53,3059,..,10880,1200,12083,173,12259,..,3378,243,3618,22,3642,..,4872,321,5201,83,5280,..,410,15,425,12,430,..,26822,2495,29317,385,29704,..,3396,379,3781,14,3794,..,72,8,80,3,87,..,49,8,61,0,61,..,96,31,124,0,127,..,591,67,662,10,669,..,1272,73,1346,23,1367,..,494,146,643,6,650,..,224,28,254,0,255,..,241,38,280,0,280,..,89,15,97,0,97,..,1742,170,1916,20,1936,..,368,82,444,0,447,..,1048,30,1078,9,1090,..,269,27,296,7,306,..,1246,37,1285,14,1294,..,478,39,512,4,516,..,3043,130,3169,36,3211,..,859,158,1018,4,1021,..,842
CED206,..,43,5,49,0,49,..,1296,363,1659,19,1676,..,119,12,126,0,126,..,268,10,272,0,276,..,670,15,689,5,694,..,367,44,409,5,415,..,31,0,34,0,34,..,55,6,54,0,54,..,303,20,317,6,322,..,64,7,76,0,79,..,249,18,267,0,267,..,238,13,247,0,249,..,54,4,52,0,52,..,72,4,73,0,73,..,1059,68,1127,4,1134,..,1005,134,1139,11,1151,..,191,21,213,0,216,..,57,12,66,0,66,..,75,18,99,0,102,..,62,9,71,0,73,..,152,15,170,3,173,..,294,32,324,5,328,..,266,21,285,0,291,..,67,4,72,0,74,..,138,15,151,3,154,..,25,0,29,0,29,..,80,9,88,0,88,..,152,8,164,0,163,..,103,9,107,0,111,..,199,4,201,0,207,..,62,0,64,0,64,..,521,13,537,3,544,..,326,21,344,4,354,..,82
CED207,..,1176,347,1524,9,1530,..,33030,11582,44609,330,44936,..,294,51,339,5,345,..,532,12,543,4,545,..,465,12,480,0,480,..,5312,1077,6384,27,6411,..,779,24,802,0,802,..,1078,46,1126,5,1125,..,3587,96,3684,12,3697,..,349,14,369,3,366,..,1246,74,1317,8,1329,..,4829,166,4994,21,5015,..,791,22,813,9,820,..,1068,14,1086,0,1089,..,13726,462,14186,56,14250,..,1828,248,2076,16,2086,..,693,81,782,12,788,..,224,59,283,0,281,..,1580,473,2056,10,2066,..,138,22,161,0,161,..,762,15,773,6,776,..,1029,118,1141,9,1155,..,476,42,511,0,511,..,161,13,174,7,182,..,527,83,615,4,615,..,39,0,39,0,39,..,250,43,294,4,301,..,442,7,453,3,454,..,1323,72,1390,11,1405,..,495,9,508,4,509,..,341,18,364,9,368,..,2605,112,2714,26,2739,..,788,63,852,9,856,..,2724
CED208,..,174,66,240,3,244,..,4326,2408,6732,51,6786,..,390,64,452,4,454,..,543,18,563,9,574,..,540,16,555,7,565,..,6783,1942,8729,47,8770,..,289,21,314,3,317,..,241,14,257,3,258,..,1038,59,1097,7,1101,..,1034,33,1066,3,1073,..,719,49,766,6,775,..,495,22,518,7,525,..,659,46,705,14,716,..,167,10,179,0,179,..,4645,256,4901,42,4943,..,6549,1486,8030,63,8094,..,439,39,477,7,485,..,60,21,79,0,82,..,160,22,181,0,183,..,1620,363,1979,17,1997,..,229,16,246,8,248,..,328,60,381,0,382,..,184,14,200,0,200,..,328,31,359,3,360,..,108,10,122,0,121,..,63,14,76,0,76,..,288,67,349,3,353,..,312,6,316,0,320,..,276,27,302,4,306,..,405,14,420,5,422,..,183,15,196,0,196,..,1172,64,1235,7,1245,..,1410,121,1529,14,1542,..,433
CED209,..,14,6,19,0,19,..,869,216,1084,17,1099,..,194,26,222,3,225,..,285,12,295,3,300,..,395,3,398,3,405,..,423,65,490,7,501,..,87,11,97,4,94,..,119,8,132,0,128,..,331,7,342,5,343,..,130,8,146,3,149,..,694,70,770,6,773,..,228,11,231,0,237,..,183,8,193,0,196,..,70,0,70,0,69,..,1847,119,1963,24,1986,..,672,53,721,14,734,..,146,8,153,3,152,..,13,0,15,0,15,..,66,6,77,0,77,..,104,7,111,0,111,..,434,19,452,0,457,..,142,14,155,0,156,..,114,13,125,4,131,..,152,9,155,8,165,..,73,0,72,0,72,..,16,0,13,0,15,..,102,14,118,0,118,..,227,6,230,0,234,..,112,7,112,0,116,..,253,6,264,0,264,..,86,3,92,0,92,..,674,18,697,4,700,..,355,34,391,9,397,..,104
CED210,..,64,7,74,0,74,..,1376,317,1692,20,1711,..,1497,311,1809,10,1819,..,276,19,290,4,294,..,340,14,351,8,361,..,560,78,637,11,651,..,121,5,125,0,128,..,267,13,280,0,281,..,606,25,632,0,634,..,224,8,231,0,228,..,1268,93,1367,25,1382,..,286,19,299,3,302,..,428,40,467,3,477,..,94,0,91,0,91,..,3291,203,3495,38,3535,..,1318,200,1524,17,1535,..,161,13,173,4,177,..,44,20,68,0,68,..,114,20,135,0,135,..,827,187,1017,4,1023,..,292,25,319,0,318,..,255,63,321,5,322,..,280,40,324,0,323,..,152,21,174,0,177,..,223,39,263,0,268,..,29,9,34,6,36,..,590,148,741,6,752,..,442,14,461,0,461,..,159,8,165,4,167,..,519,5,525,4,531,..,148,7,157,6,157,..,1268,32,1303,16,1321,..,457,72,531,5,537,..,322
