CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED201,67,1452,6,1457,..,321,34,355,4,362,..,151,24,175,3,176,..,967,315,1282,10,1294,..,2945,518,3469,112,3575,..,38443,6803,45242,493,45732,..,586,107,690,4525,5217,108159,39023,6906,45930,5017,159103
CED202,0,153,3,153,..,151,27,172,4,176,..,32,3,34,0,34,..,187,24,216,0,215,..,1445,169,1611,47,1661,..,8420,859,9280,130,9407,..,405,39,443,7723,8167,134667,8824,895,9719,7854,152243
CED203,3,90,0,92,..,103,19,125,0,125,..,35,3,41,0,41,..,140,46,188,5,190,..,2060,942,3003,62,3062,..,7375,1576,8955,132,9085,..,385,63,450,9130,9575,133894,7763,1636,9401,9261,152555
CED204,466,3646,40,3691,..,238,67,304,6,310,..,891,235,1127,4,1128,..,2295,932,3228,25,3249,..,16874,4907,21778,245,22022,..,68439,14481,82925,742,83669,..,1489,492,1976,8885,10863,84612,69934,14977,84906,9622,179139
CED205,64,906,18,926,..,283,90,379,4,379,..,11221,3096,14318,97,14421,..,1278,636,1909,12,1915,..,16674,5756,22432,286,22713,..,90199,18501,108701,1130,109831,..,1872,634,2511,9804,12315,66341,92073,19137,111210,10933,188482
CED206,5,86,5,90,..,189,31,225,0,223,..,38,0,40,0,40,..,164,25,188,9,193,..,2702,821,3525,67,3586,..,10600,1747,12347,147,12500,..,484,74,559,5272,5831,139114,11084,1822,12911,5424,157444
CED207,100,2822,20,2839,..,428,74,503,0,500,..,205,33,242,0,242,..,2365,504,2865,14,2872,..,4329,423,4752,86,4840,..,75653,15767,91424,636,92059,..,636,158,787,6419,7211,84386,76288,15923,92211,7053,183655
CED208,30,463,9,470,..,269,41,307,0,307,..,385,79,460,3,467,..,2292,825,3113,23,3136,..,3517,472,3986,98,4084,..,40388,9037,49424,433,49861,..,580,111,691,6138,6826,99594,40963,9150,50110,6574,156279
CED209,3,105,0,105,..,130,17,148,3,146,..,80,6,85,0,85,..,216,43,257,8,260,..,1674,175,1844,53,1896,..,9615,899,10511,157,10675,..,352,27,380,6385,6765,135313,9968,924,10896,6546,152752
CED210,39,359,4,365,..,249,65,316,6,319,..,211,53,266,0,266,..,456,197,652,10,667,..,3742,1152,4902,91,4993,..,19076,3457,22534,258,22788,..,474,89,570,8406,8973,127478,19553,3545,23100,8664,159242
CED211,30,582,3,587,..,383,56,446,0,444,..,107,22,126,0,126,..,944,267,1211,10,1222,..,3913,1557,5463,146,5608,..,34311,7590,41898,486,42387,..,630,154,784,4939,5723,118998,34934,7746,42680,5430,167110
CED212,24,345,3,350,..,314,60,373,4,376,..,163,28,185,0,187,..,289,63,356,0,356,..,2475,390,2860,65,2929,..,14690,2029,16712,202,16921,..,544,44,587,7123,7707,133390,15231,2071,17305,7320,158012
CED213,0,20,0,20,..,174,25,198,0,198,..,62,13,71,0,71,..,86,23,101,0,101,..,1037,131,1169,27,1193,..,7138,763,7899,105,8011,..,386,25,408,8133,8538,133808,7521,782,8308,8242,150355
CED214,131,763,9,769,..,392,75,471,0,475,..,974,294,1269,6,1278,..,22856,12099,34958,278,35234,..,11366,2682,14050,198,14250,..,70273,22757,93035,860,93895,..,957,311,1269,10403,11673,70818,71235,23067,94299,11264,176388
CED215,82,1726,28,1748,..,386,78,463,7,467,..,273,32,304,4,311,..,2487,880,3373,39,3414,..,9911,1295,11209,269,11471,..,66729,9468,76193,980,77173,..,932,167,1097,9099,10198,102615,67658,9630,77293,10076,189984
CED216,14,129,0,132,..,134,62,196,0,200,..,28,3,33,0,33,..,201,99,304,10,312,..,1267,226,1493,50,1542,..,6763,1004,7767,115,7887,..,405,64,464,11631,12092,134378,7167,1061,8231,11743,154357
CED217,7,336,9,344,..,221,25,249,7,254,..,294,21,315,3,318,..,534,74,613,0,611,..,3756,279,4026,86,4112,..,27561,3729,31289,296,31584,..,537,58,598,4733,5330,117819,28092,3794,31883,5030,154736
CED218,109,1263,8,1273,..,303,58,368,3,366,..,1729,351,2083,11,2091,..,9310,4639,13952,112,14072,..,12778,2531,15310,194,15504,..,73978,14125,88106,737,88841,..,1186,315,1503,9383,10889,78373,75166,14438,89608,10124,178100
CED219,57,501,8,514,..,236,44,283,4,282,..,506,60,563,4,568,..,746,313,1059,17,1073,..,6479,1313,7790,141,7931,..,30464,4188,34653,446,35100,..,733,158,888,8218,9113,121179,31200,4343,35548,8666,165389
CED220,22,630,9,633,..,381,72,458,4,465,..,245,54,304,5,305,..,952,139,1091,9,1105,..,3217,281,3501,77,3581,..,33237,4598,37832,365,38194,..,446,54,500,5947,6453,110412,33681,4654,38339,6311,155062
CED221,253,3082,47,3132,..,345,88,433,3,437,..,700,135,829,10,844,..,1041,449,1491,4,1495,..,16205,4275,20481,297,20778,..,67022,10969,77993,884,78879,..,1476,448,1924,8266,10189,98187,68505,11411,79921,9148,187255
CED222,98,1857,14,1871,..,542,262,808,3,813,..,619,201,825,9,827,..,11406,6191,17603,108,17710,..,8694,1963,10656,192,10846,..,84968,24998,109965,982,110949,..,1198,463,1656,7528,9181,75459,86164,25457,111624,8511,195590
CED223,9,71,0,71,..,147,34,182,5,180,..,21,3,27,0,28,..,178,105,281,4,281,..,1275,270,1542,39,1583,..,6698,1002,7700,125,7822,..,390,57,449,9957,10407,138386,7089,1060,8146,10080,156620
CED224,47,834,7,842,..,315,64,375,0,372,..,1030,194,1224,11,1236,..,2017,614,2632,17,2654,..,6134,1261,7392,99,7497,..,36384,6587,42967,398,43368,..,757,161,925,4861,5787,111369,37142,6750,43892,5266,160526
CED225,30,585,5,588,..,286,37,321,3,322,..,216,28,245,3,249,..,828,151,979,4,987,..,2995,398,3391,106,3496,..,27107,3894,31000,335,31331,..,511,59,567,4309,4876,122659,27615,3953,31564,4643,158869
CED226,14,656,4,664,..,328,38,367,0,367,..,197,17,213,3,217,..,1755,276,2032,14,2041,..,1971,185,2156,64,2224,..,41013,6883,47901,345,48247,..,444,46,491,4476,4971,110140,41460,6935,48392,4821,163354
