CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED201,3147,3735,6881,4717,5968,10681,12,9,25,1707,1957,3665,91,92,187,13963,15989,29948,253,298,551,1927,1931,3853,131,188,321,243,290,526,263,341,606,355,332,687,385,452,832,1344,1564,2907,1239,1512,2748,131,179,309,212,213,426,1553,2090,3638,2581,3060,5636,146,177,326,31235,36636,67871,2852,2805,5662,1249,1213,2457,58,90,149,0,5,8,483,493,979,396,507,898,887,1004,1888,34119,31277,65397,213,196,411,131,235,364,34468,31703,66169,4041,3976,8025,77940,81164,159103
CED202,506,664,1167,5499,6880,12381,0,0,0,558,638,1196,121,119,242,14685,16987,31669,391,517,906,362,332,690,163,208,372,60,81,141,292,351,641,39,36,78,149,186,332,449,510,956,1308,1580,2884,117,170,290,112,142,255,2895,3994,6889,1319,1505,2827,23,45,73,28533,34290,62821,770,623,1393,461,374,834,45,42,89,13,9,21,340,318,660,231,376,609,588,704,1294,37479,35724,73203,254,220,476,109,202,310,37838,36147,73988,5429,5225,10650,74181,78063,152243
CED203,775,971,1746,6345,8030,14371,0,0,4,1400,1640,3041,210,199,406,12590,14372,26969,106,133,238,298,249,549,136,159,297,85,101,183,195,248,444,63,54,116,130,164,300,629,769,1398,1083,1273,2357,88,139,224,157,160,318,3026,4088,7118,1382,1694,3076,28,28,58,27955,33495,61451,477,421,901,424,381,810,46,69,116,16,10,23,237,194,432,191,329,520,440,533,971,37505,36344,73849,276,223,498,96,181,279,37871,36752,74620,6278,5664,11943,74267,78286,152555
CED204,4443,4993,9435,3461,4279,7744,16,11,22,1225,1405,2632,31,32,70,17652,19071,36719,99,144,246,4341,4460,8798,229,311,546,267,281,544,145,181,325,631,646,1279,375,405,783,1346,1474,2826,968,1145,2115,85,121,207,297,360,657,1060,1436,2498,3160,3337,6499,55,54,116,35450,39169,74617,4511,3898,8411,13219,11564,24781,90,81,169,7,5,13,1722,1527,3254,457,495,952,2182,2029,4217,23647,21060,44703,179,113,289,92,132,227,23914,21310,45222,6529,5764,12296,90343,88799,179139
CED205,2461,2758,5211,1886,2411,4294,1366,1399,2762,385,398,775,4,0,4,24363,25774,50135,47,57,109,2851,2885,5733,243,255,493,355,406,762,50,81,129,677,711,1392,292,342,635,580,651,1227,477,536,1012,80,86,163,121,126,244,624,776,1401,2783,2886,5670,29,39,69,37202,39807,77008,5797,5240,11037,22675,22265,44950,14,23,42,4,0,7,5657,4912,10564,254,271,523,5911,5186,11098,13860,12255,26119,124,89,209,71,86,155,14055,12424,26481,6632,6021,12654,94756,93729,188482
CED206,617,956,1575,5350,6894,12244,0,0,0,1862,1991,3858,118,120,238,11208,12724,23930,362,436,802,604,608,1215,215,248,465,130,134,265,281,360,646,29,46,78,280,323,600,684,815,1503,1094,1287,2380,120,138,258,440,495,939,1622,2277,3890,2736,3083,5814,154,182,337,27302,32161,59461,400,389,792,222,192,418,103,111,214,8,6,16,135,134,274,276,440,714,412,581,998,43550,40392,83944,341,236,575,138,270,409,44026,40898,84926,4818,4243,9059,77906,79535,157444
CED207,6530,7275,13805,3936,5081,9013,10,18,27,1770,2199,3977,9,8,13,13324,15221,28553,188,243,427,4361,4804,9169,85,128,213,81,110,194,236,273,511,366,413,781,450,500,945,705,847,1549,1080,1376,2453,103,187,294,106,121,233,1970,2825,4798,2275,2830,5109,62,79,141,31129,37270,68402,6228,5588,11813,2258,1876,4138,232,244,470,0,0,0,673,625,1297,459,520,970,1132,1143,2271,36879,34883,71764,286,197,480,99,143,244,37263,35228,72495,5329,4934,10266,90099,93552,183655
CED208,1698,2347,4052,1933,2426,4361,20,34,55,314,387,701,3,6,5,15442,17695,33135,48,67,116,6693,7190,13891,139,221,363,31,32,63,102,126,225,111,134,240,125,167,287,228,272,503,420,518,936,54,80,130,34,41,81,565,846,1412,1324,1591,2914,32,30,64,27615,31867,59479,2223,1628,3853,3364,3055,6425,163,225,390,11,10,16,360,280,642,269,323,594,639,612,1253,34884,35433,70315,455,416,865,144,254,396,35483,36098,71584,4806,4450,9255,75990,80287,156279
CED209,495,692,1183,5982,7616,13605,0,0,0,1172,1373,2545,5,7,6,14774,17067,31844,74,101,181,671,644,1314,208,249,454,32,48,82,383,508,891,26,33,65,147,163,307,445,514,951,1341,1616,2962,133,154,284,61,65,124,2665,3784,6446,1514,1835,3350,34,52,89,29676,35828,65506,808,565,1373,468,372,837,54,47,101,3,0,4,366,310,671,141,202,344,507,514,1020,36996,35468,72470,259,192,452,78,216,294,37333,35875,73212,4746,4777,9522,74092,78661,152752
CED210,758,1072,1833,5090,6481,11566,3,0,3,1258,1504,2756,83,82,168,17269,19747,37015,85,119,199,1508,1582,3093,163,243,410,96,105,200,421,557,976,47,43,90,175,199,372,375,494,860,1331,1686,3018,93,143,237,81,96,174,2059,3028,5091,1839,2242,4086,59,62,127,32037,38409,70451,1391,931,2317,1860,1410,3268,61,54,116,4,5,13,664,544,1210,216,309,528,885,864,1750,34199,33150,67350,273,193,463,88,184,282,34564,33528,68097,6426,4993,11419,77971,81268,159242
