CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
CED201,1756,1566,3324,4954,4516,9467,935,900,1830,575,532,1104,6465,5957,12413,3289,3192,6474,1270,1067,2334,871,814,1686,5432,5075,10510,305,331,638,206,370,575,632,261,893,616,944,1563,7,4,10,1766,1912,3677,1878,2215,4089,484,666,1156,258,317,570,589,923,1520,5,10,9,3208,4127,7333,4989,6048,11037,233,249,481,421,582,1001,13,3,13,669,836,1501,2524,2622,5147,21829,22103,43933
CED202,1682,1575,3253,4074,3687,7757,1706,1682,3390,701,719,1414,6488,6090,12582,2436,2471,4903,1597,1548,3145,1046,1147,2191,5083,5168,10256,225,215,441,173,279,458,533,297,826,587,836,1423,9,9,9,1512,1635,3156,935,1514,2454,422,754,1175,145,225,367,561,1209,1773,6,9,16,2069,3713,5780,3585,5359,8947,186,168,353,282,491,778,8,11,17,481,672,1151,4231,4244,8478,21560,23105,44666
CED203,1615,1495,3101,4139,3837,7975,1698,1610,3303,491,486,979,6338,5934,12268,2929,2750,5683,1176,1214,2393,671,727,1398,4780,4702,9481,260,341,600,222,395,617,531,306,841,553,787,1340,8,6,16,1569,1836,3413,713,1255,1966,276,555,835,108,175,286,428,1088,1516,9,9,10,1531,3083,4612,3109,4930,8040,194,178,374,260,437,699,8,9,21,463,623,1089,5102,4825,9924,21404,22507,43909
CED204,1835,1699,3532,5478,5006,10489,1153,1085,2237,856,857,1709,7499,6953,14455,4278,4004,8285,1088,1126,2220,949,1029,1975,6335,6168,12505,529,546,1073,468,701,1167,661,279,944,702,1131,1835,16,11,27,2376,2675,5048,2058,2448,4507,673,907,1577,230,315,545,551,813,1362,15,10,26,3518,4489,8012,5913,7188,13102,483,474,960,587,861,1454,4,13,23,1084,1346,2429,5250,4794,10052,27916,28153,56068
CED205,2500,2238,4742,6173,5622,11796,1941,1933,3874,1599,1646,3251,9749,9217,18962,4054,3782,7833,1375,1391,2765,1497,1675,3173,6943,6865,13801,760,576,1338,656,859,1520,568,265,835,776,1152,1926,14,7,25,2781,2854,5632,2034,2823,4856,723,950,1671,243,300,541,440,788,1230,8,10,17,3447,4873,8314,6242,7740,13987,821,888,1707,684,1151,1839,18,21,34,1528,2058,3582,5803,5321,11121,32762,33436,66198
CED206,1932,1800,3728,5188,4697,9886,940,918,1856,737,732,1471,6868,6359,13230,3335,3132,6466,1025,1085,2110,1109,1059,2172,5474,5287,10763,250,332,587,154,267,417,875,389,1263,643,898,1537,13,8,18,1931,1888,3818,914,1380,2288,262,527,789,182,257,439,494,1112,1606,3,9,20,1860,3287,5142,3792,5177,8970,144,141,288,309,550,860,5,3,12,459,700,1155,3045,2802,5851,21571,22128,43699
CED207,1729,1555,3282,5293,4909,10206,876,874,1747,650,812,1466,6828,6603,13427,3835,3201,7035,1183,1256,2440,1411,1702,3111,6435,6164,12603,488,321,808,567,626,1191,428,178,605,760,1035,1789,8,3,10,2243,2161,4407,5150,5217,10373,1680,1622,3301,409,431,837,865,1123,1990,15,17,32,8115,8414,16527,10367,10583,20949,523,378,901,565,773,1330,6,9,16,1094,1155,2249,3709,3597,7308,30163,29660,59819
CED208,1641,1517,3154,3796,3613,7404,1065,993,2060,343,374,711,5214,4979,10200,2630,2312,4939,1002,1103,2108,584,588,1172,4225,4010,8234,385,315,699,530,572,1106,380,188,564,716,879,1597,6,5,9,2015,1957,3973,2074,2592,4669,1368,1625,2990,253,339,592,1021,1921,2941,11,14,26,4724,6493,11220,6748,8450,15204,301,288,594,424,561,989,6,5,8,735,855,1591,3494,3424,6922,22054,23248,45300
CED209,1958,1746,3704,4766,4377,9141,1388,1459,2850,672,615,1287,6833,6458,13293,2387,2147,4532,1368,1543,2910,1112,973,2088,4872,4672,9544,227,253,486,180,290,469,624,295,921,612,834,1443,9,3,14,1650,1685,3334,1427,2010,3436,504,705,1208,196,268,464,546,1195,1740,8,12,20,2674,4197,6874,4335,5880,10219,159,144,306,307,479,781,7,9,13,473,630,1097,3375,3515,6885,21844,22903,44744
CED210,1795,1602,3399,3914,3744,7659,1527,1512,3035,736,694,1429,6177,5958,12132,2456,2215,4670,1256,1541,2801,1325,1195,2524,5039,4961,9998,290,344,634,289,436,734,584,332,916,639,786,1424,12,4,17,1813,1909,3726,1367,1836,3204,686,828,1523,199,320,521,619,1192,1817,6,6,19,2885,4188,7073,4705,6105,10809,267,273,541,338,530,873,9,0,10,611,811,1420,5174,4022,9191,23507,23456,46955
