CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED201,181,1061,1413,1379,1526,1475,1312,706,213,9272,111,1245,2284,1918,1940,1851,1100,441,109,11003,53,1060,3101,2531,2502,2257,1061,258,67,12892,10,537,2544,2110,2032,1699,594,109,27,9663,4,229,2139,2157,1968,1566,408,101,27,8589,3,86,1319,1764,1495,1080,267,33,8,6055,3,51,1701,3260,2696,1791,363,42,14,9922,0,3,202,726,656,423,91,12,5,2119,0,14,191,746,820,561,119,33,21,2503,338,419,893,829,792,704,711,801,702,6195,9314,9661,20219,22280,21548,20530,15998,8898,3540,131987
CED202,265,1180,1628,1343,1311,1491,1541,766,208,9743,165,1236,2411,1782,1825,1777,1167,433,183,10972,70,903,2702,2276,2265,2077,961,297,50,11594,19,440,1996,1699,1746,1462,543,153,48,8108,13,175,1664,1614,1564,1224,385,139,49,6814,0,71,971,1292,1274,848,252,60,16,4784,8,68,1179,2031,2156,1400,352,52,16,7260,0,9,157,413,455,302,85,21,12,1458,9,27,175,615,841,544,230,81,25,2539,629,586,1172,1025,1203,1133,1221,971,771,8712,9108,8630,18890,18557,19622,19499,17372,8981,3545,124204
CED203,269,1079,1587,1362,1393,1590,1531,815,235,9867,132,1237,2426,1895,1830,1929,1242,524,137,11359,69,859,2490,2143,2234,2145,1077,344,85,11441,9,447,1939,1676,1672,1414,632,164,36,7990,9,209,1648,1681,1605,1254,485,136,57,7074,0,86,966,1225,1301,889,268,68,19,4833,4,68,1120,1938,2077,1398,351,85,25,7060,0,15,134,406,454,286,85,19,7,1397,5,11,140,478,636,443,178,72,34,2002,608,599,1419,1292,1342,1362,1325,1119,899,9967,8508,8279,18378,18254,19119,20117,18353,10043,4060,125110
CED204,205,1295,2110,1809,1758,1516,1040,440,139,10323,146,1473,3234,2760,2462,2061,862,250,58,13295,69,1176,3903,3060,2766,2261,757,151,30,14179,14,607,2766,2392,2080,1604,452,71,16,9994,9,250,2069,1950,1726,1285,326,70,15,7705,3,101,1191,1434,1191,809,182,28,5,4950,4,63,1382,2196,1830,1276,257,32,5,7042,0,7,186,444,365,255,53,6,0,1322,0,16,159,461,461,351,99,34,20,1603,739,883,2161,1656,1438,1207,979,825,554,10451,11078,12226,26482,25001,22936,21311,15323,8050,3212,145620
CED205,187,1345,2587,2264,1543,1156,622,281,68,10049,131,1564,3813,2963,2015,1454,500,135,44,12605,71,1149,4225,3283,2338,1670,377,60,16,13187,22,596,3004,2516,1564,1080,226,23,6,9038,4,248,2317,2114,1327,928,167,24,9,7133,9,84,1322,1503,918,585,91,8,0,4523,5,82,1512,2380,1271,724,136,22,3,6131,0,18,180,452,273,144,36,0,0,1115,3,20,174,422,295,205,41,10,0,1180,904,1040,2489,2134,1473,1131,711,451,171,10506,12026,13349,32238,29729,21444,17912,10657,4948,1482,143794
CED206,243,1162,1433,1447,1408,1441,1434,750,184,9503,155,1292,2126,1749,1977,1997,1199,428,90,11008,69,955,2743,2268,2471,2265,1060,311,59,12201,14,462,2338,1974,2117,1651,633,144,31,9363,10,208,2122,2028,1980,1505,467,117,34,8478,0,97,1308,1524,1479,1112,305,53,12,5889,0,56,1688,2855,2702,1747,419,84,8,9554,0,17,236,575,621,401,95,17,5,1958,4,15,173,652,910,568,181,71,21,2604,475,451,964,919,1120,1023,887,744,450,7045,9563,8754,19271,20562,21712,20483,16491,8622,2699,128156
CED207,138,1245,1794,1324,1324,1189,1254,1006,402,9670,67,1263,2672,1721,1711,1469,1155,768,350,11180,39,1235,3406,2220,2084,1782,1002,566,199,12538,22,637,2887,1900,1617,1340,648,311,117,9480,11,301,2248,1949,1737,1303,553,254,94,8447,6,111,1416,1706,1488,1040,379,142,61,6349,0,106,2046,3992,3487,2132,529,179,68,12550,0,26,346,1195,1055,624,142,50,21,3469,4,30,342,1605,1982,1038,254,104,54,5414,414,962,1685,1037,906,779,748,919,951,8398,11321,15469,26052,24258,23436,19846,16313,12503,6401,155599
CED208,94,1043,2196,1350,1231,1091,816,423,168,8413,41,1034,2945,1799,1615,1248,714,260,80,9745,26,846,3797,2344,1914,1458,593,167,55,11192,11,449,3528,2226,1640,1177,416,73,33,9547,4,194,3123,2361,1772,1077,357,75,32,8996,0,75,2112,2031,1533,897,206,43,10,6911,0,65,3003,4330,3043,1518,291,45,14,12299,0,8,501,1112,919,383,66,10,5,3001,5,22,416,1885,1826,656,135,23,10,4976,354,610,1622,1182,1015,818,761,751,750,7863,7078,9849,29817,25311,21520,16198,11117,7645,4071,132603
CED209,194,1086,1445,1257,1152,1339,1698,921,216,9315,133,1128,1975,1700,1568,1561,1371,578,132,10130,51,874,2660,2210,2025,1908,1224,383,90,11419,15,429,2182,1974,1714,1360,642,213,57,8584,0,180,1979,2056,1783,1256,529,158,43,7989,0,59,1301,1602,1472,913,332,79,23,5788,3,44,1635,3009,2575,1542,434,125,30,9404,0,7,212,623,604,372,95,33,6,1969,0,21,239,899,1049,698,276,96,38,3320,471,505,864,859,901,884,1174,1117,1030,7807,8476,8523,18315,19922,18524,18027,18371,9805,3841,123811
CED210,209,1275,1845,1358,1310,1348,1331,728,218,9628,123,1346,2649,1767,1805,1670,1096,394,131,10986,52,1024,3266,2133,2053,1926,945,259,78,11735,13,543,2637,1721,1690,1461,576,143,25,8797,4,235,2164,1761,1630,1184,419,144,52,7587,4,90,1370,1373,1334,891,249,61,16,5378,3,65,1876,2735,2380,1536,317,88,19,9027,7,13,282,566,567,353,84,25,8,1914,3,26,319,940,1090,580,211,67,14,3248,559,744,1856,1519,1292,1058,1126,905,628,9682,9064,10402,23778,20514,20133,18988,15914,9111,3776,131674
