CED_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED201,64,4076,143,4291,544,8899,324,9777,209,4484,149,4843,149,4716,169,5036,234,9387,415,10030,228,10270,386,10879,271,9756,322,10352,384,9188,273,9838,589,6687,240,7519,786,3066,203,4047,596,640,102,1333,4050,71162,2725,77940,41,3961,147,4146,292,8300,321,8911,128,4208,144,4472,114,4359,161,4627,234,9590,371,10190,245,10781,371,11402,330,10583,284,11196,474,9927,288,10687,748,7469,266,8477,1214,3415,224,4851,1302,723,178,2203,5114,73297,2752,81164,107,8035,291,8428,837,17200,645,18684,336,8685,291,9314,260,9072,333,9661,468,18972,785,20219,472,21050,755,22280,600,20339,610,21548,863,19107,563,20530,1332,14155,507,15998,2000,6474,426,8898,1894,1368,277,3540,9170,144461,5479,159103
CED202,101,3965,211,4274,728,8786,616,10128,277,4138,244,4658,203,3857,263,4316,317,8527,522,9358,284,8078,450,8812,404,8500,568,9467,601,8227,502,9326,807,7052,466,8333,807,3113,278,4196,551,618,128,1302,5086,64845,4244,74181,54,3904,242,4198,375,8585,465,9435,176,4014,254,4447,154,3911,246,4314,282,8718,535,9530,320,8922,499,9741,506,9151,497,10156,674,9051,456,10173,851,7748,448,9040,956,3524,302,4783,1149,868,226,2237,5500,68407,4158,78063,148,7870,457,8478,1109,17374,1077,19561,451,8153,504,9108,360,7768,502,8630,595,17247,1049,18890,611,16995,947,18557,905,17654,1061,19622,1272,17277,954,19499,1656,14804,913,17372,1766,6639,580,8981,1704,1490,352,3545,10586,133253,8402,152243
CED203,104,3959,259,4318,805,8423,595,9822,278,3782,236,4299,198,3694,278,4179,301,7866,780,8944,273,7801,649,8722,394,8166,673,9235,530,8359,622,9512,742,7615,520,8881,802,3616,344,4757,626,745,224,1597,5053,64030,5183,74267,56,3838,254,4150,392,8213,551,9158,179,3781,249,4209,122,3761,216,4100,239,8609,579,9431,307,8663,553,9522,421,8932,529,9882,636,9392,576,10611,828,8165,473,9476,1018,3867,398,5283,1170,896,400,2462,5373,68120,4791,78286,161,7794,510,8471,1195,16640,1145,18980,457,7558,486,8508,324,7456,499,8279,542,16474,1360,18378,585,16464,1206,18254,811,17102,1204,19119,1165,17752,1203,20117,1578,15781,996,18353,1816,7487,739,10043,1795,1641,622,4060,10429,132151,9974,152555
CED204,90,5179,413,5685,580,10362,692,11634,214,5193,335,5740,159,5897,419,6468,280,12500,1043,13825,328,11485,826,12645,503,10287,622,11413,718,9249,522,10483,990,6099,342,7428,1028,2563,217,3811,652,469,90,1206,5542,79278,5515,90343,61,4843,360,5266,274,9996,663,10932,134,4913,283,5335,130,5322,300,5754,255,11574,828,12655,343,11336,676,12359,601,10331,589,11519,930,9417,478,10833,1214,6307,375,7902,1478,2512,254,4243,1266,601,134,2004,6698,77155,4945,88799,148,10027,774,10950,851,20361,1361,22566,356,10101,621,11078,288,11219,717,12226,536,24076,1870,26482,676,22824,1502,25001,1107,20616,1214,22936,1649,18671,998,21311,2202,12403,716,15323,2512,5071,466,8050,1915,1070,224,3212,12236,156442,10463,179139
CED205,128,7418,543,8088,837,13191,1000,15025,231,5541,381,6156,176,6299,441,6921,295,14556,1094,15946,423,13702,959,15078,678,9185,642,10505,1126,7367,487,8984,1097,3785,250,5122,856,1363,125,2339,323,214,48,580,6171,82612,5972,94756,78,6884,538,7502,385,12741,941,14077,148,5397,330,5868,126,5935,366,6423,232,15092,971,16294,439,13318,893,14649,918,9431,590,10941,1281,7196,456,8934,1462,3803,264,5535,1168,1267,174,2609,598,225,81,901,6844,81288,5606,93729,209,14299,1080,15586,1221,25939,1946,29099,381,10935,713,12026,303,12238,810,13349,532,29640,2069,32238,861,27017,1850,29729,1600,18616,1233,21444,2408,14563,941,17912,2556,7584,520,10657,2026,2625,297,4948,923,436,119,1482,13012,163900,11570,188482
CED206,84,4656,164,4900,683,9265,404,10349,254,4511,218,4981,174,4151,200,4532,243,8905,397,9543,187,9382,390,9954,320,9801,469,10587,420,9120,411,9948,544,7000,304,7844,652,3301,218,4168,461,566,71,1095,4020,70653,3238,77906,45,4279,146,4473,356,8862,349,9568,161,4230,187,4578,123,3958,143,4227,222,9144,369,9727,264,9955,389,10610,360,10324,430,11120,485,9670,382,10537,660,7668,327,8648,908,3369,178,4451,880,631,91,1599,4473,72083,2981,79535,126,8935,308,9368,1039,18127,748,19916,417,8741,404,9563,302,8113,341,8754,462,18040,765,19271,452,19333,774,20562,679,20127,896,21712,902,18791,793,20483,1199,14659,628,16491,1561,6667,390,8622,1344,1192,155,2699,8493,142735,6219,157444
CED207,53,3585,156,3795,372,9829,375,10575,173,5393,194,5761,127,7658,511,8295,184,12731,821,13741,160,11089,506,11753,228,10522,392,11141,328,8887,295,9511,558,6623,271,7450,1069,4196,241,5505,1127,1282,174,2583,4375,81786,3941,90099,28,3496,141,3664,163,9517,342,10030,82,5294,181,5557,96,6710,371,7176,164,11485,667,12312,184,11888,433,12505,305,11592,401,12293,461,9566,317,10334,845,7702,304,8859,1760,4960,273,6996,2034,1503,294,3826,6115,83719,3728,93552,79,7082,292,7454,538,19345,720,20601,257,10685,380,11321,219,14364,881,15469,346,24213,1493,26052,344,22974,941,24258,530,22115,792,23436,787,18448,612,19846,1402,14329,579,16313,2827,9157,516,12503,3154,2782,469,6401,10492,165499,7663,183655
CED208,51,4052,176,4282,364,7225,324,7904,120,3283,151,3557,112,4572,306,4988,190,13589,722,14509,218,11584,578,12381,354,9706,442,10504,466,6961,356,7781,631,4286,256,5166,968,2177,191,3340,869,591,124,1582,4349,68017,3629,75990,33,3889,154,4078,188,6906,316,7407,89,3278,161,3526,98,4545,213,4858,240,14397,666,15305,273,12137,514,12931,380,10216,422,11015,582,7498,333,8417,791,4910,254,5953,1617,2479,218,4310,1582,674,234,2486,5883,70928,3483,80287,88,7939,331,8354,552,14127,635,15317,212,6561,310,7078,214,9113,521,9849,436,27993,1388,29817,496,23719,1090,25311,737,19920,865,21520,1047,14460,691,16198,1420,9187,514,11117,2586,4652,408,7645,2448,1257,359,4071,10229,138940,7111,156279
CED209,75,4463,165,4701,664,9131,434,10229,219,3904,155,4278,136,4001,226,4366,207,8365,414,8983,164,8895,400,9459,228,8258,395,8885,315,7609,382,8305,613,7703,444,8765,723,3608,305,4636,585,729,165,1477,3937,66668,3485,74092,43,4265,162,4466,321,8765,451,9539,147,3866,186,4195,98,3854,200,4152,175,8815,346,9334,178,9863,417,10463,271,9019,348,9645,432,8889,401,9722,644,8517,447,9605,949,3878,346,5172,1256,826,276,2362,4518,70567,3580,78661,119,8725,323,9176,988,17897,892,19775,362,7775,342,8476,238,7861,426,8523,377,17182,757,18315,348,18760,820,19922,503,17285,742,18524,747,16501,781,18027,1259,16220,895,18371,1667,7484,658,9805,1845,1557,434,3841,8449,137241,7068,152752
CED210,94,4272,224,4588,751,8244,526,9520,302,4133,244,4681,212,4689,397,5299,292,10677,1098,12069,272,8899,863,10028,399,8687,673,9760,557,8055,527,9128,711,6353,364,7424,810,2976,243,4026,594,747,98,1443,4982,67733,5259,77971,38,4079,213,4336,374,8265,480,9123,153,4016,216,4384,132,4703,265,5103,268,10847,598,11713,339,9596,545,10485,492,9398,479,10375,676,8812,368,9860,879,7218,389,8487,1243,3561,281,5086,1289,880,168,2330,5886,71373,4002,81268,133,8353,442,8927,1127,16505,1009,18638,455,8152,457,9064,344,9396,657,10402,562,21525,1697,23778,613,18499,1407,20514,896,18087,1156,20133,1231,16859,891,18988,1590,13570,756,15914,2048,6537,524,9111,1880,1631,270,3776,10867,139112,9269,159242
