CED_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED201,514,4167,159,4843,654,4209,178,5036,942,8629,448,10030,1331,9153,396,10879,1504,8497,358,10352,1253,8333,257,9838,1060,6212,238,7519,580,3243,223,4047,91,1115,133,1333,7927,53557,2390,63878,611,3706,155,4472,755,3696,171,4627,1116,8700,375,10190,1899,9115,384,11402,1727,9195,280,11196,1345,9051,290,10687,1232,6973,278,8477,638,3897,316,4851,101,1834,264,2203,9424,56175,2512,68114,1135,7871,311,9314,1403,7909,349,9661,2065,17335,825,20219,3227,18272,779,22280,3223,17693,632,21548,2592,17385,552,20530,2292,13191,516,15998,1220,7140,534,8898,191,2949,396,3540,17355,109736,4903,131987
CED202,610,3769,285,4658,419,3618,276,4316,926,7863,568,9358,1316,7020,468,8812,1640,7265,560,9467,1554,7279,493,9326,1799,6038,490,8333,782,3070,340,4196,118,985,198,1302,9167,46916,3687,59771,772,3367,308,4447,632,3415,266,4314,1130,7843,551,9530,1764,7488,486,9741,1913,7743,495,10156,1820,7876,484,10173,1954,6605,485,9040,850,3508,427,4783,122,1762,356,2237,10958,49615,3861,64432,1375,7134,596,9108,1050,7032,541,8630,2057,15715,1116,18890,3081,14512,961,18557,3550,15015,1058,19622,3373,15155,981,19499,3758,12646,975,17372,1635,6574,771,8981,242,2749,554,3545,20120,96532,7555,124204
CED203,524,3475,302,4299,486,3421,280,4179,892,7278,773,8944,1276,6781,669,8722,1648,6905,683,9235,1659,7217,636,9512,2029,6293,557,8881,951,3424,385,4757,160,1168,268,1597,9616,45945,4566,60122,624,3305,279,4209,564,3315,222,4100,1167,7692,577,9431,1809,7159,557,9522,1985,7348,550,9882,1929,8105,571,10611,2291,6647,540,9476,944,3837,499,5283,134,1830,504,2462,11444,49235,4301,64985,1149,6779,582,8508,1049,6733,503,8279,2061,14962,1349,18378,3087,13936,1227,18254,3633,14247,1236,19119,3580,15323,1214,20117,4319,12938,1102,18353,1897,7264,888,10043,290,2995,775,4060,21061,95181,8870,125110
CED204,407,4967,363,5740,547,5463,461,6468,930,11705,1192,13825,1054,10717,871,12645,1101,9660,656,11413,874,9071,540,10483,645,6425,351,7428,306,3222,276,3811,52,1037,123,1206,5924,62268,4835,73021,537,4474,329,5335,700,4704,345,5754,1033,10743,878,12655,1293,10332,733,12359,1180,9710,632,11519,973,9373,485,10833,782,6690,428,7902,304,3631,310,4243,64,1732,207,2004,6880,61377,4338,72599,944,9440,695,11078,1253,10171,811,12226,1966,22445,2069,26482,2347,21053,1602,25001,2279,19362,1288,22936,1851,18440,1025,21311,1431,13112,781,15323,611,6850,586,8050,115,2772,328,3212,12800,123649,9173,145620
CED205,314,5414,431,6156,396,6011,510,6921,833,13809,1297,15946,953,13038,1085,15078,659,9177,672,10505,525,7972,488,8984,341,4508,271,5122,115,2067,160,2339,19,502,65,580,4152,62507,4983,71640,420,5087,367,5868,638,5376,411,6423,1021,14196,1079,16294,1118,12618,922,14649,757,9576,611,10941,528,7935,469,8934,313,4928,290,5535,110,2300,194,2609,6,799,98,901,4914,62812,4430,72154,730,10502,796,12026,1035,11387,926,13349,1850,28014,2380,32238,2072,25656,2004,29729,1415,18752,1280,21444,1056,15904,952,17912,658,9440,556,10657,232,4370,355,4948,25,1301,159,1482,9068,125311,9417,143794
CED206,524,4238,223,4981,458,3870,206,4532,897,8207,440,9543,1491,8050,417,9954,1726,8377,489,10587,1500,8043,409,9948,1481,6041,324,7844,731,3176,257,4168,92,921,81,1095,8900,50919,2841,62660,654,3723,196,4578,630,3449,146,4227,1181,8157,393,9727,2057,8179,375,10610,2046,8643,434,11120,1759,8400,384,10537,1789,6510,346,8648,759,3454,241,4451,98,1372,126,1599,10973,51896,2635,65494,1179,7968,420,9563,1086,7324,350,8754,2077,16370,831,19271,3544,16229,787,20562,3771,17020,919,21712,3255,16437,792,20483,3274,12548,669,16491,1495,6631,499,8622,194,2294,208,2699,19871,102810,5473,128156
CED207,748,4790,220,5761,1207,6563,523,8295,1294,11492,952,13741,1249,9951,550,11753,1734,8995,412,11141,1333,7891,289,9511,1204,5978,268,7450,913,4311,282,5505,219,2139,219,2583,9912,62115,3709,75730,995,4369,198,5557,1489,5274,411,7176,1339,10275,703,12312,1750,10289,467,12505,2085,9794,411,12293,1521,8489,332,10334,1450,7085,325,8859,1010,5644,346,6996,247,3195,388,3826,11876,64419,3568,79864,1739,9161,420,11321,2694,11840,936,15469,2630,21772,1650,26052,3007,20235,1017,24258,3824,18794,823,23436,2849,16377,618,19846,2656,13064,587,16313,1924,9953,624,12503,465,5332,603,6401,21790,126536,7278,155599
CED208,348,3069,145,3557,569,4084,332,4988,1440,12256,810,14509,1383,10397,596,12381,1498,8535,470,10504,959,6461,364,7781,605,4249,303,5166,246,2839,254,3340,53,1312,216,1582,7098,53207,3499,63802,535,2817,176,3526,804,3829,226,4858,2056,12539,712,15305,2076,10340,514,12931,1914,8699,400,11015,1231,6846,338,8417,787,4842,328,5953,304,3675,325,4310,58,2061,363,2486,9770,55638,3395,68799,877,5880,325,7078,1375,7907,564,9849,3497,24797,1525,29817,3459,20738,1110,25311,3413,17233,877,21520,2188,13302,708,16198,1396,9094,629,11117,552,6513,580,7645,111,3374,582,4071,16861,108846,6892,132603
CED209,552,3516,211,4278,513,3598,251,4366,867,7683,437,8983,1327,7743,388,9459,1543,6947,392,8885,1415,6495,394,8305,1881,6412,470,8765,952,3328,350,4636,141,1141,204,1477,9197,46866,3097,59157,686,3289,226,4195,675,3268,209,4152,1029,7926,378,9334,1892,8157,414,10463,1818,7467,356,9645,1739,7599,389,9722,2132,6993,479,9605,1004,3734,434,5172,153,1840,366,2362,11137,50270,3252,64658,1237,6806,436,8476,1190,6868,460,8523,1899,15605,811,18315,3221,15894,806,19922,3362,14413,749,18524,3158,14095,777,18027,4017,13409,948,18371,1963,7057,786,9805,288,2978,570,3841,20333,97129,6349,123811
CED210,568,3838,270,4681,559,4315,423,5299,1038,9900,1135,12069,1201,7942,882,10028,1395,7697,671,9760,1169,7456,505,9128,1247,5792,386,7424,639,3110,285,4026,90,1198,153,1443,7909,51251,4706,63867,666,3480,234,4384,750,4072,279,5103,1270,9799,642,11713,1651,8277,551,10485,1648,8265,463,10375,1311,8176,377,9860,1422,6620,444,8487,652,4050,375,5086,104,1957,266,2330,9471,54698,3634,67806,1236,7320,505,9064,1307,8393,701,10402,2307,19697,1775,23778,2856,16219,1438,20514,3047,15957,1132,20133,2481,15630,875,18988,2666,12411,833,15914,1286,7159,662,9111,198,3166,416,3776,17388,105949,8346,131674
