CED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED201,1859,428,3540,28159,37006,16240,11053,34364,5168,131987
CED202,1665,592,3545,24227,35627,16656,11972,27927,7793,124204
CED203,1848,727,4060,23877,35543,17199,12366,27119,9011,125110
CED204,1834,342,3212,26865,32805,14478,11917,49981,9573,145620
CED205,918,172,1482,22060,27102,11945,12134,60638,9913,143794
CED206,1338,208,2699,26588,38894,18225,12441,26378,5632,128156
CED207,3110,630,6401,31630,40730,18964,12208,44520,7546,155599
CED208,1905,603,4071,28780,40863,14897,8992,31914,7162,132603
CED209,1915,586,3841,25026,37300,17814,11757,25428,6485,123811
CED210,1827,451,3776,25966,36375,16053,11207,33425,8647,131674
CED211,2128,880,4847,29340,40493,18181,11170,32209,5846,137248
CED212,1713,586,3550,26373,36548,15895,10646,31359,7516,128332
CED213,2515,929,5492,24267,35721,17751,11823,28463,8653,126669
CED214,1784,560,3419,26837,34539,13311,9807,52125,11601,148218
CED215,1362,205,2518,27408,39705,17310,12433,40193,9193,146246
CED216,1861,678,3939,21659,33360,17516,14153,30239,11490,128407
CED217,2314,535,4822,29804,39786,17288,9351,26182,5214,127627
CED218,1110,162,1848,24813,30363,13744,11962,49872,9920,140670
CED219,1093,175,1909,24235,32398,14628,12247,37087,7853,128449
CED220,1759,527,3870,33695,42742,14751,7993,28881,6642,134712
CED221,999,163,1644,25626,32620,14178,11913,49122,8145,141598
CED222,2694,443,4915,30508,36773,15863,11326,60138,9350,163955
CED223,2131,543,4247,23757,36686,17967,13034,28493,9867,129805
CED224,2203,350,4126,28281,37968,15677,9474,34181,5532,131118
CED225,1976,322,3870,28031,40500,18217,11068,27653,4829,130296
CED226,2402,433,4987,32832,42841,18461,10455,28078,5033,137707
CED227,1054,293,2079,26031,35132,15524,12008,34050,7094,129832
CED228,908,242,1603,25850,35062,16045,13806,51153,10446,152359
CED229,1329,499,2862,36612,47125,13837,7094,33647,10114,148433
CED230,2684,854,5466,23962,33969,17428,14343,36646,12569,138916
CED231,2101,297,3856,27921,37374,14957,9608,32910,6007,128786
CED232,933,195,1750,24743,34960,16862,12642,28356,6273,123834
CED233,1070,169,2004,45038,55326,14258,6681,48898,13631,183844
CED234,2904,509,5775,29763,38907,18703,12599,38875,5657,144504
CED235,1997,559,3987,21859,33211,17358,13426,26636,8793,121284
CED236,2261,673,4479,23398,32922,15914,12645,35058,11083,131014
CED237,1572,473,2925,24108,30055,13363,11588,50087,7747,136944
CED238,2224,674,4556,23872,34497,17574,13460,28991,10450,128845
CED239,2325,479,4486,29117,40161,14298,9084,34149,7022,133834
CED294,12,17,29,1148,1118,391,326,1694,3270,7946
CED297,0,0,0,0,3,0,0,8,27,38
