CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,..,208,392,140,155,197,129,72,9,1297,..,90,545,550,666,1204,1791,1526,768,7147,107,200,161,68,79,93,89,46,34,882,12681,8816,9841,11060,10916,10352,8095,4387,1469,77633,..,123,6229,14416,13593,13386,10279,4792,867,63681,..,846,4238,2296,1881,1218,503,136,22,11146,..,62,533,1331,2165,1467,634,405,210,6797,26143,..,..,..,..,..,..,..,..,26143,..,9770,..,..,..,..,..,..,..,9770,..,5632,4867,1179,731,309,63,3,0,12779,..,607,608,272,278,560,634,413,252,3627,..,374,508,193,134,106,53,10,8,1390,..,480,1028,395,356,447,287,121,22,3142,..,182,1152,1301,1589,2185,2604,2099,1067,12186,240,363,313,188,174,160,144,74,40,1704,26385,18433,19478,21562,20898,19843,15203,8061,2487,152356
CED202,..,730,595,133,195,241,182,59,13,2143,..,266,840,697,1027,1967,2374,1746,937,9858,165,283,179,87,135,139,119,58,19,1174,12953,8008,8928,9198,9595,9490,8287,4272,1521,72258,..,209,5041,9709,10107,10250,9370,4412,811,49913,..,1562,5012,2848,2483,1787,873,249,21,14836,..,184,1001,1678,2041,1054,518,297,229,7008,26232,..,..,..,..,..,..,..,..,26232,..,6341,..,..,..,..,..,..,..,6341,..,4565,2101,773,548,283,62,0,0,8330,..,533,416,152,212,391,442,230,120,2495,..,508,407,136,99,101,48,11,6,1321,..,1395,1460,381,447,485,393,135,31,4730,..,498,1826,1540,2185,3495,3862,2581,1235,17223,326,497,415,218,271,266,216,92,38,2342,26561,16295,17689,17440,18391,18110,15791,8010,2488,140772
CED203,..,604,505,137,191,253,204,76,10,1988,..,263,738,567,989,2077,2417,1792,904,9749,166,273,192,109,107,147,162,58,19,1230,12617,7716,8854,8949,9286,9859,8708,4676,1570,72234,..,194,4957,9275,9548,10382,9863,5057,997,50270,..,1438,4925,2905,2511,1796,995,274,32,14881,..,156,1021,1672,1997,1098,520,326,235,7023,25715,..,..,..,..,..,..,..,..,25715,..,6192,..,..,..,..,..,..,..,6192,..,4521,2071,799,523,302,72,4,0,8297,..,636,429,167,225,419,452,277,149,2749,..,418,439,160,135,92,65,19,5,1335,..,1100,1196,358,431,498,423,166,29,4200,..,483,1529,1351,2165,3683,4049,2706,1257,17218,308,486,395,257,222,290,288,112,28,2372,26020,15617,16961,16945,17754,18556,16723,8934,2737,140246
CED204,..,223,370,162,176,229,158,57,40,1410,..,113,486,437,613,1169,1471,1155,601,6044,133,190,184,90,70,106,85,65,28,954,15443,10599,11875,11727,10965,10356,7401,3788,1393,83537,..,452,9289,15430,14329,13483,9451,4118,818,67374,..,784,3343,1901,1474,1018,373,117,21,9027,..,145,840,1644,2073,1583,750,442,279,7754,31698,..,..,..,..,..,..,..,..,31698,..,11310,..,..,..,..,..,..,..,11310,..,6709,5915,1469,856,394,69,3,0,15413,..,956,993,398,394,661,788,557,317,5054,..,504,772,316,229,126,66,16,12,2035,..,717,1945,927,671,534,355,140,53,5339,..,258,1201,1238,1534,2235,2318,1670,796,11244,256,350,390,244,179,194,159,94,32,1908,31953,22184,24690,23563,21737,20214,14334,7162,2317,168153
CED205,..,187,256,114,109,138,78,24,4,910,..,117,495,461,487,818,853,620,226,4077,142,160,178,98,66,65,65,46,12,829,20602,11768,15485,13911,10474,8530,5261,2375,706,89111,..,796,14279,20358,13817,11347,6610,2527,400,70133,..,710,3253,1633,1157,753,256,46,0,7806,..,138,1045,1818,2235,1501,683,412,201,8030,42354,..,..,..,..,..,..,..,..,42354,..,12158,..,..,..,..,..,..,..,12158,..,7471,6821,1708,815,333,60,4,0,17205,..,1048,1337,518,521,874,851,510,237,5899,..,499,750,277,161,132,46,15,7,1893,..,818,1326,407,337,310,170,50,3,3417,..,267,1314,1193,1200,1665,1350,902,327,8210,286,286,364,243,170,143,111,62,21,1686,42641,24188,30490,28149,20405,17045,10127,4532,1205,178790
CED206,..,141,265,116,134,222,169,73,23,1147,..,84,397,413,648,1328,1827,1422,592,6714,171,291,180,104,104,135,108,56,17,1171,13558,8480,9349,10191,10676,9981,8069,4136,1207,75635,..,135,6289,12118,12613,12221,9939,4682,805,58795,..,935,5379,3252,2824,1837,793,216,15,15263,..,88,551,1408,2122,1255,595,337,182,6526,27908,..,..,..,..,..,..,..,..,27908,..,8142,..,..,..,..,..,..,..,8142,..,6407,3495,1026,605,273,47,0,0,11849,..,481,428,189,229,441,468,357,206,2800,..,423,395,175,181,144,70,27,6,1414,..,293,603,297,348,425,352,158,32,2511,..,173,924,1020,1570,2509,2849,2063,847,11956,332,537,387,224,250,242,204,114,26,2309,28238,17610,18458,19696,20734,19346,15316,7949,2116,149464
CED207,..,1265,1385,244,195,214,153,63,22,3541,..,361,909,562,679,1169,1662,2192,1600,9128,94,347,202,118,77,93,94,70,52,1149,13313,11259,11456,12041,11878,9977,8448,6456,2902,87726,..,190,7072,16256,15579,12880,10664,7187,2003,71839,..,1068,3950,1652,1176,845,386,113,24,9220,..,41,287,1268,2306,1418,599,529,421,6869,27059,..,..,..,..,..,..,..,..,27059,..,12350,..,..,..,..,..,..,..,12350,..,3861,4369,1125,918,537,87,10,0,10899,..,974,941,270,299,635,705,535,348,4708,..,757,1100,335,177,108,51,11,5,2548,..,3235,4096,829,473,437,311,128,38,9551,..,777,1884,1276,1462,2050,2498,2925,2143,15019,182,614,390,225,178,183,146,103,64,2090,27240,23876,24097,23232,22573,19094,15455,11534,5056,172143
CED208,..,1227,2672,589,250,239,123,64,15,5184,..,301,1718,1736,1380,1676,1637,1574,999,11019,104,263,325,197,121,120,76,49,34,1292,10999,7855,14533,12320,10519,8053,5628,3950,1882,75744,..,181,5737,11310,10709,7764,5560,3580,1074,45903,..,786,7910,5109,2837,1483,528,118,14,18778,..,32,326,1113,1819,1207,584,559,421,6075,22442,..,..,..,..,..,..,..,..,22442,..,7124,..,..,..,..,..,..,..,7124,..,3108,2921,961,1017,572,82,3,0,8671,..,689,880,293,319,516,457,306,229,3689,..,504,988,256,108,91,43,16,3,2001,..,2455,5753,1403,625,495,282,113,31,11157,..,542,3132,3211,2761,3046,2780,2236,1367,19077,248,444,623,370,267,224,116,73,49,2411,22688,15855,28265,24022,20467,15410,10429,6994,3181,147319
CED209,..,776,667,152,88,183,138,46,10,2065,..,139,503,487,634,1448,1996,1642,823,7675,110,292,148,99,86,143,142,64,26,1112,13416,7531,8870,10000,9223,9057,8565,4522,1448,72618,..,103,5626,11955,11197,10731,11313,5389,1017,57327,..,1054,5112,3214,2202,1443,738,246,22,14039,..,60,553,1335,1743,974,325,215,165,5377,27518,..,..,..,..,..,..,..,..,27518,..,6798,..,..,..,..,..,..,..,6798,..,4240,2049,594,404,220,45,0,0,7553,..,433,399,138,165,303,315,215,138,2099,..,438,536,106,83,63,48,10,3,1284,..,1525,1583,342,238,334,277,80,28,4408,..,280,1045,1056,1369,2390,2967,2273,1128,12504,246,541,339,221,205,273,262,128,43,2271,27766,15478,17240,18962,17610,16737,16294,8555,2535,141180
CED210,..,875,942,181,181,222,121,36,7,2568,..,287,1132,925,1103,1984,2429,1969,1044,10868,119,276,214,108,110,121,113,66,35,1165,12757,8737,11066,9903,9883,9340,7878,4595,1691,75845,..,224,6141,10492,10352,9993,8666,4463,939,51263,..,1424,5681,2806,2157,1364,630,191,15,14258,..,174,925,1682,2264,1258,563,390,247,7507,25862,..,..,..,..,..,..,..,..,25862,..,7224,..,..,..,..,..,..,..,7224,..,4770,2826,962,646,343,68,4,0,9619,..,682,584,204,258,458,406,257,143,2993,..,459,618,138,116,57,40,12,8,1443,..,1853,2545,543,417,471,295,90,19,6220,..,553,2166,1925,2509,3680,3804,2725,1425,18797,264,520,494,237,226,218,182,88,50,2285,26125,17883,21981,18986,18949,17832,14659,8214,2841,147474
