CED_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
CED201,252,186,244,22,65,15,780,83,38,52,5,19,0,196,117,60,80,22,39,0,317,81,60,89,21,36,0,283,130,112,158,15,64,3,477,161,177,194,49,102,10,691,241,315,258,53,102,5,969,274,427,322,75,115,3,1216,291,523,291,77,132,14,1336,308,595,324,79,117,7,1431,280,594,228,53,68,11,1236,555,1150,434,84,129,15,2365,331,714,178,42,45,8,1322,317,692,177,24,42,3,1262,483,1063,306,66,63,13,1995,604,1483,451,61,90,10,2695,149,391,162,30,28,0,760,100,284,141,21,20,3,567,301,468,289,53,96,11,1219,5072,9322,4375,840,1386,120,21119
CED202,186,125,81,28,31,3,460,82,35,32,9,26,0,172,158,87,82,21,44,8,398,121,80,65,28,46,0,335,254,197,126,65,101,4,754,301,400,165,93,127,14,1093,406,560,210,150,112,15,1458,548,801,268,179,125,12,1922,538,868,213,128,65,17,1834,529,952,249,107,72,17,1928,327,646,126,59,39,0,1196,429,821,210,58,43,8,1571,147,332,71,16,14,3,580,95,201,56,11,3,0,361,213,415,133,31,21,0,817,244,392,108,22,24,0,798,79,138,46,9,11,0,282,66,117,38,7,6,0,234,271,305,153,66,75,7,872,4998,7467,2417,1075,992,117,17070
CED203,208,127,69,28,47,6,488,105,40,29,3,20,0,203,165,81,66,25,60,0,401,131,70,76,22,41,3,340,269,206,130,70,76,5,750,317,378,197,118,115,20,1147,460,562,226,158,143,25,1569,582,903,253,199,138,25,2098,590,918,234,156,91,17,2001,526,965,203,121,90,20,1921,260,648,137,58,32,8,1140,398,767,206,82,44,4,1498,160,300,63,9,14,3,557,98,184,35,5,10,0,326,191,387,116,27,19,9,751,229,394,132,28,16,5,806,89,112,50,12,11,0,270,57,95,43,3,4,3,200,285,301,154,65,51,15,860,5132,7432,2413,1189,1017,156,17329
CED204,255,196,246,36,82,20,831,70,34,53,8,15,0,184,96,92,117,15,40,4,359,104,71,104,26,35,3,347,166,140,191,37,82,6,610,185,213,227,50,84,5,767,220,417,271,75,134,11,1124,289,553,309,102,123,15,1380,330,707,323,91,136,13,1605,368,879,377,100,126,19,1865,334,819,243,73,70,10,1547,529,1268,512,91,134,29,2567,286,697,186,39,44,10,1260,254,584,176,42,30,6,1091,300,702,266,52,46,10,1376,367,851,332,48,75,8,1688,124,301,140,20,20,0,613,86,248,106,15,15,3,479,352,575,363,78,139,17,1523,4715,9354,4531,984,1441,202,21220
CED205,184,246,206,40,70,19,755,40,39,58,3,20,3,164,90,63,101,16,57,0,333,64,61,74,16,40,4,262,95,132,155,36,80,10,514,149,217,189,57,101,8,722,202,436,287,92,135,8,1165,292,733,334,137,196,28,1713,374,1074,351,144,167,24,2121,512,1501,348,166,160,29,2725,476,1450,312,126,132,31,2527,718,2081,488,154,154,22,3612,372,990,184,53,57,14,1663,245,785,163,45,47,6,1286,278,782,213,52,64,8,1390,304,886,294,64,78,14,1642,105,288,108,20,24,0,553,98,293,82,19,16,3,505,357,855,379,110,127,17,1837,4948,12909,4319,1339,1726,242,25493
CED206,295,161,171,35,77,12,755,83,33,58,13,29,0,224,142,65,100,24,52,0,382,124,63,78,23,48,0,349,173,118,128,49,99,7,578,213,226,225,66,89,4,826,330,380,258,76,151,10,1210,327,564,295,125,168,13,1487,362,678,293,115,134,10,1594,436,909,333,143,131,10,1961,435,929,213,87,78,12,1749,781,1367,433,131,113,12,2828,448,801,139,56,48,9,1500,424,707,138,41,33,7,1356,597,1258,304,79,51,11,2299,656,1289,377,72,55,12,2459,213,355,145,31,16,3,757,147,239,103,8,12,0,515,405,519,327,77,123,9,1458,6590,10665,4116,1252,1513,149,24283
CED207,308,303,303,37,73,12,1029,38,32,53,8,11,6,145,81,46,92,11,24,3,262,59,59,55,5,18,0,193,93,84,94,14,42,3,330,82,106,132,22,36,4,382,124,183,175,22,62,6,574,150,173,143,27,56,5,554,171,244,185,34,51,10,697,162,232,161,38,56,7,660,135,224,123,31,43,4,561,268,648,337,66,100,13,1429,137,289,122,26,33,0,602,173,370,155,25,39,7,773,263,610,208,54,67,12,1213,690,1854,501,109,125,20,3298,350,1050,279,82,72,3,1837,285,949,315,89,64,10,1706,275,532,290,40,93,11,1242,3828,7990,3721,743,1068,133,17485
CED208,161,187,141,26,39,13,567,32,31,33,9,19,0,123,57,50,54,9,31,0,205,28,61,43,15,23,0,169,81,94,66,13,37,5,299,124,130,88,33,38,4,425,152,193,112,59,56,10,570,194,262,118,42,73,6,706,219,275,102,62,63,8,724,271,323,104,58,70,4,844,227,306,79,58,39,13,713,443,640,195,68,65,5,1410,258,339,74,28,19,5,730,236,359,78,36,18,6,735,391,673,104,47,52,3,1277,634,1266,232,73,60,14,2283,248,620,115,37,28,4,1042,227,609,114,28,16,0,987,214,364,192,41,66,8,881,4201,6783,2040,741,811,120,14692
CED209,212,156,102,18,41,4,536,78,24,44,4,11,0,163,135,74,70,22,27,0,329,78,58,55,20,24,0,235,169,118,85,36,67,0,470,206,193,130,52,73,3,652,300,349,169,65,77,7,967,338,620,217,99,118,19,1414,411,678,192,101,92,13,1483,503,988,242,132,103,11,1977,413,932,169,73,45,5,1631,633,1230,273,88,65,14,2303,263,602,101,40,21,0,1032,211,409,80,28,11,0,740,323,853,173,46,30,6,1430,372,872,208,56,29,7,1549,148,326,87,21,17,0,590,112,253,55,12,13,0,442,267,446,167,55,81,12,1024,5173,9173,2632,956,925,115,18973
CED210,188,146,105,19,47,6,510,52,38,25,9,19,3,149,108,65,64,22,50,0,303,85,72,56,15,40,3,268,136,140,113,47,73,8,521,217,234,170,61,93,3,782,288,393,204,81,110,15,1095,380,555,233,108,125,14,1413,352,577,211,119,90,16,1373,460,736,209,112,95,12,1627,360,584,116,44,44,8,1167,529,921,259,88,70,15,1886,220,441,83,30,19,3,799,135,333,70,27,13,3,575,251,636,135,34,23,8,1080,284,692,191,48,30,7,1256,91,272,80,12,6,4,456,68,184,54,8,3,0,319,257,326,173,43,67,14,882,4463,7339,2569,914,1028,147,16457
