CED_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
CED201,1244,153,21,4,1421,7,6,19,1438,45,0,1488,2280,308,47,13,2648,17,12,23,2679,57,0,2730,715,97,92,0,905,7,0,7,917,28,0,945,30,8,0,30,67,0,0,0,73,3,3,77,4273,559,161,46,5045,33,23,55,5105,131,6,5239,37,9,0,0,46,0,0,0,54,0,0,54,78,21,4,3,109,0,0,3,110,0,0,113,121,31,4,3,158,3,0,4,158,0,0,158,4395,590,169,52,5201,36,21,63,5260,133,6,5398,1385,199,63,37,1682,27,0,30,1714,133,3,1851,11,6,0,21,25,0,0,0,30,4,21,50,5788,789,231,109,6914,60,26,92,7004,270,33,7307,1870,222,16,0,2118,28,11,35,2148,96,5,2249,2834,373,33,13,3257,23,10,31,3289,70,3,3365,214,23,33,0,272,4,3,4,280,5,0,284,18,7,0,32,55,0,0,0,55,5,7,58,4939,627,88,47,5696,49,24,75
CED202,683,110,17,3,820,12,12,22,838,64,0,905,2315,315,33,10,2684,10,16,26,2701,62,7,2766,710,75,79,13,879,8,0,8,889,24,0,919,23,0,0,14,41,0,0,0,41,5,0,44,3737,509,132,47,4423,31,23,54,4479,146,10,4636,17,4,0,0,23,5,0,5,29,4,0,32,52,19,0,0,71,8,3,8,82,4,0,81,72,25,0,0,93,14,3,13,111,3,0,116,3806,530,133,50,4522,46,26,72,4587,156,10,4755,1201,213,44,22,1482,41,6,47,1525,164,12,1699,7,0,0,4,7,0,0,0,7,0,22,33,5014,749,177,75,6009,84,29,118,6125,321,43,6487,1291,203,24,7,1529,21,12,29,1555,75,0,1634,2829,364,53,16,3262,19,12,34,3295,85,0,3383,193,28,22,4,253,0,0,0,248,9,0,262,26,4,0,27,54,4,0,4,54,8,7,67,4344,602,102,47,5092,43,22,67
CED203,676,121,23,3,820,8,5,9,838,48,0,887,2238,396,67,13,2712,23,9,27,2743,77,4,2824,660,114,99,13,887,6,0,5,896,16,0,916,39,6,0,15,57,0,0,0,57,9,0,65,3613,632,187,40,4476,33,12,50,4530,156,8,4692,18,3,0,0,19,5,0,5,24,4,0,28,47,13,4,0,66,0,0,0,64,0,0,67,66,14,4,0,85,5,0,5,88,4,0,97,3679,652,192,44,4564,41,12,49,4617,157,8,4786,1174,210,69,17,1469,29,6,39,1501,146,0,1648,7,0,4,4,13,0,0,0,13,0,20,32,4855,865,258,66,6043,70,18,85,6136,299,27,6464,1324,233,35,10,1598,15,8,21,1619,89,0,1702,2663,422,45,26,3155,18,0,20,3171,77,0,3253,203,31,29,0,263,3,0,3,263,7,0,274,23,3,0,24,50,0,0,0,53,10,0,65,4203,694,107,59,5068,39,4,43
CED204,1102,165,21,11,1297,21,5,27,1328,71,7,1399,1931,376,43,16,2365,22,9,38,2402,73,8,2475,544,68,49,6,668,9,0,9,675,18,3,694,36,9,0,54,99,4,0,4,106,0,3,106,3616,618,113,83,4432,51,18,75,4503,162,17,4679,73,6,4,3,92,18,0,17,103,12,0,115,117,35,3,9,167,7,3,16,179,8,0,188,190,41,8,15,250,24,10,28,284,22,0,308,3808,657,126,98,4688,76,30,99,4787,182,17,4984,2252,671,84,90,3101,168,31,198,3297,580,35,3910,21,4,0,27,55,0,0,0,55,0,58,115,6077,1331,209,214,7839,246,55,303,8136,762,107,9004,1706,233,36,7,1980,31,11,48,2028,115,7,2143,2249,444,38,18,2748,37,12,52,2800,106,3,2908,160,21,16,6,203,0,0,0,207,15,0,222,25,3,0,43,75,3,0,3,83,4,8,92,4143,703,89,78,5017,77,24,100
CED205,1392,204,29,15,1644,46,10,63,1706,126,5,1835,2234,475,46,27,2780,40,19,57,2839,97,8,2943,700,126,73,10,908,12,0,15,919,32,0,959,66,17,5,72,164,4,0,4,167,12,11,184,4398,827,151,127,5496,102,34,133,5633,260,29,5917,124,34,0,7,163,10,0,10,177,9,0,191,212,54,7,16,282,33,9,44,324,27,3,355,337,85,7,18,445,41,10,58,501,32,3,535,4734,907,156,143,5937,146,42,188,6131,298,32,6458,3127,1275,139,181,4711,265,80,342,5056,1399,40,6492,29,15,0,49,91,0,0,0,91,11,84,186,7885,2199,296,375,10748,410,123,531,11279,1706,153,13140,1870,302,32,16,2220,52,19,72,2289,162,10,2464,2292,527,39,30,2884,65,17,86,2967,146,8,3120,180,58,20,0,250,3,3,3,255,19,0,283,38,11,0,62,109,3,0,3,113,9,13,135,4376,888,88,109,5462,128,41,168
CED206,942,149,19,4,1116,13,10,23,1136,44,3,1181,3087,322,65,10,3490,19,4,22,3514,48,4,3568,939,94,118,11,1153,3,0,4,1162,22,0,1182,52,4,0,34,89,0,0,0,92,0,17,109,5023,574,197,54,5848,37,13,54,5896,116,19,6036,15,0,0,0,19,0,0,0,20,0,0,20,88,16,4,0,104,4,0,0,106,0,0,109,106,13,4,0,123,3,0,8,132,0,0,132,5126,588,198,61,5974,43,14,54,6031,117,19,6170,1488,187,71,27,1775,32,3,34,1806,83,6,1895,13,0,0,13,26,0,0,0,26,0,24,49,6625,775,271,100,7774,72,15,88,7864,199,46,8109,1419,240,47,6,1712,17,5,24,1735,65,8,1807,3461,384,68,25,3937,15,11,24,3959,73,0,4029,216,48,38,4,305,0,0,0,305,12,0,318,33,0,0,29,63,4,0,4,68,3,11,84,5129,671,158,59,6014,34,13,49
CED207,1453,166,25,7,1652,38,4,40,1685,72,0,1770,1593,337,27,0,1954,17,4,23,1975,71,0,2053,577,66,64,3,710,3,3,9,720,28,0,739,20,0,0,24,45,0,0,0,48,0,9,53,3642,570,115,34,4360,53,6,64,4427,179,12,4617,71,12,0,0,79,10,4,8,89,7,0,100,80,13,3,0,96,8,0,12,109,0,0,108,143,25,0,0,175,18,3,20,193,6,0,202,3786,595,121,38,4536,73,13,89,4621,186,12,4818,1121,244,43,25,1434,39,21,58,1491,170,8,1672,22,0,0,20,39,0,0,0,39,4,20,59,4930,839,164,80,6016,108,31,143,6149,362,39,6552,2594,300,35,7,2937,53,4,60,3002,106,3,3111,2317,418,47,4,2787,30,13,42,2826,91,4,2920,179,17,19,3,215,0,0,0,217,17,0,236,21,0,0,28,43,0,0,0,43,6,11,68,5110,737,101,38,5982,89,18,102
CED208,1067,208,26,4,1301,23,5,29,1330,62,5,1394,2133,427,46,13,2619,24,10,32,2653,61,4,2715,806,123,87,6,1019,0,6,10,1026,20,0,1044,26,6,0,19,46,0,0,0,46,4,7,57,4029,764,159,36,4985,49,19,68,5046,143,13,5207,37,8,0,3,46,6,0,9,54,13,0,65,88,21,5,0,105,3,3,7,117,0,0,114,124,28,5,3,154,10,6,15,170,8,0,179,4153,794,162,40,5138,60,18,80,5217,154,13,5387,1108,274,51,24,1450,43,18,64,1512,221,4,1732,6,0,0,9,14,4,0,4,16,5,12,32,5258,1058,212,69,6602,109,39,144,6742,378,26,7148,1552,255,26,7,1842,24,11,35,1869,87,0,1962,2017,414,44,16,2488,29,3,32,2525,57,3,2586,129,19,10,3,159,0,0,4,161,13,0,171,3,3,4,9,25,0,0,0,25,0,4,28,3698,691,79,40,4506,56,11,67
CED209,852,140,24,3,1015,6,6,15,1030,62,3,1097,3100,396,54,11,3567,13,8,19,3587,59,6,3646,967,153,119,7,1238,3,0,3,1243,8,0,1256,42,10,0,20,69,0,0,0,70,0,5,79,4958,695,193,43,5887,27,17,43,5932,134,12,6081,15,8,4,0,27,0,0,0,27,0,0,27,99,17,0,3,116,3,0,0,123,0,0,125,115,21,3,3,145,3,0,0,154,0,0,152,5079,716,196,43,6037,32,16,48,6084,138,12,6229,1251,171,63,35,1519,17,0,21,1536,75,0,1614,8,0,0,4,6,0,0,0,6,0,10,21,6335,888,255,81,7563,53,16,67,7629,209,28,7869,1539,274,31,8,1851,14,8,20,1874,106,3,1977,3560,470,77,18,4126,20,8,32,4154,70,4,4225,216,42,50,0,310,0,0,0,310,3,0,312,33,4,0,26,64,0,0,0,64,0,6,73,5349,785,161,49,6346,36,18,50
CED210,827,145,23,0,999,8,4,16,1010,63,0,1072,2455,340,58,16,2869,21,3,22,2894,58,7,2955,734,77,87,4,906,8,0,8,914,10,0,921,26,3,0,36,66,3,0,3,64,5,5,74,4045,564,169,57,4836,38,3,43,4884,134,13,5031,25,6,0,0,32,4,0,4,33,0,0,40,91,13,0,4,107,12,4,10,115,0,0,120,115,21,0,4,137,13,4,14,154,4,0,159,4159,580,173,57,4970,56,4,62,5032,140,13,5188,1346,210,33,26,1612,33,18,45,1657,202,5,1869,7,3,0,4,14,0,0,0,14,0,14,32,5507,793,203,89,6605,86,21,104,6710,342,32,7080,1352,208,27,5,1588,24,0,25,1616,82,0,1695,2732,342,76,16,3164,27,6,31,3194,75,9,3272,204,8,26,3,245,0,0,0,245,3,0,248,19,0,0,21,40,0,0,0,40,0,0,41,4310,558,129,40,5038,48,7,52
