CED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED201,204,390,278,231,303,171,86,1666,34,34,27,18,34,20,9,178,9,19,6,3,7,7,3,53,367,777,659,534,823,455,269,3876,10,22,24,8,20,3,5,94,30,44,20,11,19,10,0,134,33,65,43,14,41,15,6,228,398,838,703,544,869,467,277,4106,342,397,215,153,218,71,60,1458,10,10,3,6,3,0,0,28,749,1244,918,707,1087,543,340,5586
CED202,340,674,445,333,359,85,43,2273,83,71,31,28,37,6,3,259,15,31,14,8,5,0,0,75,569,1109,855,663,844,212,110,4354,25,32,29,26,47,9,6,175,41,60,45,17,28,5,0,200,66,97,78,46,72,10,4,375,629,1211,925,705,913,223,116,4728,659,650,381,272,245,70,29,2311,9,19,16,16,5,0,0,73,1299,1877,1326,999,1171,291,143,7106
CED203,323,680,470,324,356,89,24,2268,73,71,48,17,29,9,12,256,12,28,15,5,4,3,0,80,554,1158,925,672,789,242,86,4425,19,38,21,24,17,9,0,119,25,50,30,26,27,0,3,158,43,91,48,46,47,6,3,280,597,1250,973,715,835,247,90,4707,663,697,364,273,258,58,29,2351,13,22,15,7,8,3,0,73,1272,1968,1356,1001,1100,309,118,7134
CED204,202,448,280,213,294,136,72,1652,56,45,26,26,24,11,9,190,17,40,20,12,17,5,3,111,469,854,622,498,701,390,193,3724,27,49,27,24,55,24,18,224,39,74,34,26,35,24,17,258,67,127,61,57,91,47,33,484,538,985,683,554,785,442,221,4207,631,695,368,273,345,182,132,2622,26,34,22,11,10,3,0,118,1193,1715,1073,835,1149,628,355,6949
CED205,239,446,292,205,288,172,82,1725,50,46,27,27,46,16,6,224,20,30,19,10,14,12,6,115,489,889,603,462,681,409,220,3756,23,49,29,21,31,12,10,177,29,77,49,30,34,16,11,249,53,127,76,51,64,31,22,431,541,1027,680,515,743,440,242,4185,921,1033,612,440,545,275,154,3979,15,49,18,16,6,4,0,115,1484,2106,1312,969,1292,717,400,8277
CED206,212,495,371,269,365,126,66,1904,36,37,34,34,36,16,15,215,10,19,16,5,24,3,0,80,359,838,731,578,849,330,183,3871,7,22,14,15,13,8,3,74,16,22,20,20,15,5,0,93,18,44,38,30,30,13,3,172,383,878,765,607,877,343,189,4039,347,423,253,164,189,76,24,1476,7,4,6,9,3,0,0,28,732,1307,1024,779,1067,422,213,5546
CED207,137,316,271,211,289,222,128,1573,21,25,16,23,25,15,8,135,7,7,7,3,11,10,0,56,284,722,596,502,749,547,334,3733,8,19,10,15,17,14,9,87,17,22,25,10,27,22,13,144,19,48,33,26,50,32,24,229,311,771,625,528,801,579,348,3955,176,274,241,225,352,237,193,1701,16,17,9,6,0,3,0,55,503,1057,874,761,1152,819,548,5711
CED208,159,313,224,166,248,135,58,1302,32,19,15,9,15,12,5,107,11,14,3,3,5,0,0,36,301,641,525,414,612,305,176,2971,15,19,16,9,13,6,12,82,11,35,20,17,21,8,3,118,26,52,33,31,31,18,14,195,326,697,556,438,636,326,189,3171,305,357,211,159,167,99,81,1378,10,10,8,3,0,0,0,34,633,1065,781,607,811,423,269,4582
CED209,245,582,361,273,340,113,41,1954,43,67,38,24,33,11,0,207,6,18,15,4,12,4,0,56,424,1005,725,554,777,292,121,3901,4,20,11,11,14,9,0,79,20,35,18,6,9,4,6,92,25,58,34,23,23,12,5,173,447,1059,763,576,798,302,126,4069,288,348,228,153,165,50,19,1263,8,5,4,7,0,0,0,33,743,1420,993,741,969,357,145,5362
CED210,262,583,414,293,357,105,59,2081,57,49,36,32,34,15,5,223,15,26,15,4,9,3,5,88,501,1053,800,619,878,303,157,4314,11,28,23,18,28,8,3,133,39,80,43,20,21,7,0,217,58,108,78,36,46,19,6,350,557,1163,871,659,929,322,158,4656,599,642,373,287,287,124,57,2369,33,22,7,3,6,0,0,78,1181,1822,1256,952,1218,445,220,7105
