CED_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
CED201,2888,2203,1502,801,241,88,10147,441,1253,1377,1430,1207,606,154,33,6495,227,481,466,266,139,80,41,17,1710,324,637,572,480,328,220,108,20,2689,6,12,5,0,11,8,3,0,40,35,93,148,154,112,77,28,6,651,337,456,501,393,384,409,505,461,3445,2804,8625,9739,7958,6117,3825,1815,849,41734,265,580,681,600,460,305,111,31,3045,229,858,1748,927,493,194,31,0,4478,448,1903,2375,2393,2563,1867,998,290,12834,426,1130,933,890,653,459,237,61,4800,107,290,248,203,156,74,42,10,1132,653,2121,1686,1410,1171,829,341,127,8338,266,1271,1267,1134,1121,883,479,117,6545,754,3423,4821,3720,2715,1633,528,159,17744,673,1857,1880,1900,1592,906,268,63,9132,426,911,797,437,250,147,67,28,3068,405,895,915,711,526,319,154,34,3964,16,29,12,9,11,12,5,0,94,57,190,272,313,231,156,75,20,1318,708,1032,1047,912,802,777,889,672,6827,5449,16479,18677,15574
CED202,1713,1414,1060,586,148,39,6466,419,1413,1503,1552,1294,842,211,26,7263,173,401,415,324,240,173,49,27,1803,268,702,561,442,281,191,70,26,2534,7,10,10,4,4,11,5,0,40,33,82,132,134,77,85,24,17,574,607,637,577,638,613,703,638,456,4863,2727,7625,8018,7331,6287,4758,2012,851,39610,104,328,351,348,273,212,76,16,1712,134,485,571,311,220,121,19,0,1873,482,1602,1559,1728,1682,1428,690,162,9315,464,1208,979,729,668,438,211,61,4758,196,426,468,430,387,233,104,26,2269,599,1992,1748,1699,1727,1246,504,157,9668,235,1319,1412,1350,1328,1501,654,155,7947,469,1952,2692,2448,1925,1202,343,76,11110,587,1944,1964,2110,1742,1290,342,64,10042,344,721,720,540,407,321,114,30,3189,385,1016,898,705,483,319,114,33,3965,15,20,15,14,6,11,6,0,87,49,198,264,281,170,181,63,21,1231,1224,1325,1188,1365,1283,1422,1168,713,9689,5279,14543,14826,14079
CED203,1406,1267,1043,537,196,65,5853,403,1317,1485,1473,1354,863,225,34,7155,114,347,387,331,228,177,55,13,1654,312,702,522,384,280,176,80,18,2467,14,5,8,7,7,3,3,0,45,16,73,133,135,102,73,25,8,572,556,656,639,676,687,751,788,654,5400,2583,7462,7701,7235,6566,5034,2389,1054,40021,74,276,330,325,257,252,136,19,1665,77,333,419,284,203,124,36,3,1472,466,1616,1493,1666,1834,1619,835,214,9739,326,1064,898,839,727,539,245,78,4704,133,375,433,529,428,247,108,32,2279,652,2231,1881,1693,1884,1364,553,163,10418,259,1234,1433,1352,1322,1619,759,137,8120,442,1718,2272,2118,1789,1139,409,105,9988,569,1772,2007,2049,1850,1335,403,62,10048,220,599,654,563,389,345,108,30,2910,391,1044,832,636,468,296,131,28,3823,17,24,10,15,17,4,4,0,98,37,163,264,280,210,156,62,19,1195,1143,1397,1306,1461,1438,1500,1401,1016,10659,4796,13834,14226,13813
CED204,2577,1879,1272,598,187,41,9186,531,1537,1606,1455,1116,486,91,16,6838,166,384,285,158,110,51,31,6,1191,343,698,631,509,352,188,65,17,2794,16,12,4,5,8,12,8,0,68,34,129,163,147,84,51,17,5,636,659,1027,876,794,645,621,463,303,5377,3414,9785,9445,7390,5548,3188,1342,547,40664,293,656,575,457,326,208,73,16,2604,324,1190,1473,682,312,115,10,4,4107,685,2393,2345,2455,2631,1736,760,212,13219,533,1158,914,766,567,346,175,45,4499,86,188,195,176,119,78,33,8,885,696,2068,1455,1117,933,589,228,77,7167,298,1197,1111,994,927,630,257,69,5482,845,3955,4311,3188,2175,1135,349,83,16039,802,2228,2205,1910,1508,723,167,31,9580,341,706,551,294,200,97,48,15,2250,478,1102,1016,751,511,281,94,28,4261,38,38,19,12,12,15,12,4,154,74,252,333,294,209,120,59,20,1353,1539,2394,1957,1651,1381,1195,908,471,11482,7020,19538,18455,14739
CED205,2414,1247,819,247,42,9,7767,665,2086,1972,1306,771,242,38,3,7077,158,384,287,118,45,27,12,3,1042,308,899,788,416,243,103,30,0,2799,20,17,18,4,9,18,0,0,87,36,246,271,100,72,49,8,0,788,799,1277,1130,754,602,391,267,138,5361,3893,12403,10698,5944,3681,1609,573,198,39000,364,736,662,351,199,118,27,3,2466,324,1598,1904,537,159,57,0,0,4586,705,2638,2434,1823,1854,848,338,69,10707,643,1386,900,520,347,165,67,8,4035,65,184,168,116,96,41,13,0,674,699,2385,1507,786,504,250,82,17,6234,418,1675,1363,995,640,335,104,24,5562,913,4499,4538,2227,1396,517,78,17,14189,1002,2924,2679,1757,1063,391,74,9,9898,275,685,496,204,96,56,21,3,1835,454,1561,1533,627,371,150,54,10,4753,34,32,28,11,14,25,6,0,146,83,461,538,220,165,120,32,7,1624,1805,2791,2438,1593,1235,765,502,218,11349,7781,23552,21181,11776
CED206,1845,1717,1287,672,254,64,7400,464,1348,1573,1585,1350,830,219,27,7405,198,483,517,380,257,136,45,11,2032,342,777,628,546,336,226,96,23,2976,3,4,7,10,0,3,0,3,27,33,96,129,148,104,49,15,11,586,374,474,493,519,488,467,407,267,3497,2620,7970,8683,8064,6554,4460,1838,591,40782,113,398,497,489,349,285,118,23,2267,102,366,592,441,288,138,31,3,1952,487,1888,2058,2297,2385,1827,921,215,12075,645,1901,1493,1240,985,619,290,63,7235,208,482,566,561,391,170,62,13,2446,572,1862,1605,1561,1435,973,415,119,8539,265,1488,1561,1408,1363,1392,552,85,8125,396,2014,2877,2687,2116,1326,519,109,12051,661,1869,2118,2106,1761,1198,384,57,10162,367,847,904,643,418,247,98,14,3529,422,989,875,805,520,340,140,36,4119,14,15,15,12,0,6,0,3,61,76,180,275,308,216,137,52,17,1261,852,1022,1058,1169,1044,898,790,434,7279,5179,15323,16501,15717
CED207,3873,3036,1821,956,474,212,14476,491,1276,1331,1550,1152,739,363,96,6991,347,707,525,356,222,155,78,32,2416,235,399,390,349,245,155,93,46,1915,16,7,10,7,11,13,8,3,79,80,156,226,194,145,99,66,28,992,612,812,596,509,435,433,579,618,4600,4188,11096,11261,9896,7191,4836,3110,1577,53158,683,1094,877,952,893,577,340,95,5517,644,1987,2741,1667,890,273,36,3,8244,710,2481,2466,2351,2336,1726,1255,573,13891,308,799,589,647,495,277,263,102,3493,90,190,133,190,137,86,56,12,890,808,2584,1874,1687,1332,1061,654,278,10281,282,1083,980,1292,1290,1274,883,277,7355,1811,6206,6735,5351,3407,2023,1091,428,27057,786,2006,1917,2213,1747,1204,592,167,10641,653,1229,840,609,397,236,127,57,4155,395,775,749,571,437,241,142,61,3381,48,28,21,14,23,21,13,11,171,130,282,358,356,248,177,129,53,1721,1386,1903,1312,1051,851,835,993,934,9276,8743,22648,21581,18960
CED208,2393,1769,957,387,84,41,8446,464,2559,2353,1878,1213,560,135,17,9186,387,1859,1398,741,300,101,26,8,4820,174,534,480,357,209,117,37,16,1922,12,10,4,6,9,3,3,0,51,67,297,311,280,141,53,20,9,1186,428,813,633,527,429,420,430,425,4117,3015,13486,11470,8607,5353,2751,1089,646,46419,364,1131,939,790,487,233,65,17,4030,300,1266,1267,708,337,110,12,0,4001,418,2077,1726,1522,1200,777,409,159,8281,262,1234,966,837,429,208,115,40,4088,63,357,329,250,151,55,14,5,1228,631,3026,1973,1403,963,473,161,63,8705,186,1537,1397,1307,1178,789,233,56,6667,827,4399,4366,3206,1736,708,172,69,15490,697,3822,3590,2788,1810,915,224,40,13894,674,3301,2544,1343,592,213,46,6,8714,302,937,863,607,358,184,71,22,3352,22,21,12,5,15,10,8,0,96,117,527,567,471,247,115,43,18,2103,931,1731,1374,1160,905,839,803,685,8426,5795,25370,21912,16394
CED209,1944,1587,1080,771,268,76,7193,472,1384,1474,1376,1241,835,221,38,7043,186,474,500,340,220,150,58,22,1935,251,654,636,442,308,227,129,25,2664,7,9,0,4,0,6,5,0,33,22,97,139,139,104,71,23,10,609,439,434,515,445,483,656,666,545,4173,2604,8032,9048,7322,6326,5314,2527,1025,42190,238,435,464,439,343,317,124,20,2378,109,366,496,293,197,124,19,3,1617,516,1676,1685,1770,1754,1849,948,271,10480,449,1698,1475,1041,784,554,264,70,6334,140,342,437,383,322,224,104,33,1985,560,2392,2218,1766,1752,1348,582,174,10794,277,1420,1747,1308,1468,1866,891,171,9146,429,2087,3181,2695,2026,1664,608,142,12827,679,1940,2038,1900,1691,1222,403,75,9951,353,761,814,544,328,251,94,33,3188,336,982,1005,703,469,334,170,45,4042,17,15,9,7,11,9,11,0,77,44,186,306,255,212,156,60,25,1248,934,970,1054,997,985,1278,1185,828,8221,5094,15274,16929,14094
CED210,1859,1496,1054,522,180,54,7148,570,1667,1575,1550,1190,667,195,29,7440,249,601,496,308,192,100,42,15,2007,334,732,558,439,307,199,92,14,2671,11,13,10,3,3,3,0,0,47,34,102,140,125,91,63,16,6,577,575,730,697,576,509,615,629,378,4717,3290,9707,8601,7305,5763,4098,1906,739,41414,242,522,479,382,306,223,94,19,2263,173,643,550,314,196,110,11,0,2002,557,2106,1580,1897,1894,1546,761,245,10586,557,1880,1120,825,624,368,218,81,5674,120,257,291,275,181,117,74,18,1335,710,2793,1971,1668,1526,1077,392,147,10286,278,1371,1344,1233,1224,1222,540,130,7340,668,2758,3179,2523,1869,1072,370,89,12529,812,2366,2143,2059,1624,983,299,45,10324,446,958,814,507,284,206,69,12,3291,449,1169,873,648,475,290,131,34,4076,23,31,14,8,4,3,0,0,94,68,239,293,283,207,147,55,20,1310,1279,1668,1444,1293,1131,1167,1059,592,9635,6388,18765,16090,13922
