CED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,12753,8560,4228,1607,83315
CED202,12300,9914,4405,1512,76859
CED203,12809,10545,5189,1906,77122
CED204,11815,7262,3170,1079,83082
CED205,8142,3820,1403,393,78054
CED206,13274,9550,4359,1191,81090
CED207,14496,10017,6575,3055,106085
CED208,10396,5626,2373,1186,89062
CED209,12340,11192,5464,1887,82273
CED210,11544,8525,4079,1438,80746
CED211,13057,9372,5458,2478,90618
CED212,12028,8385,4378,1630,79900
CED213,13955,13091,7654,2725,79147
CED214,8736,5198,2323,1128,87116
CED215,10685,5930,2287,800,98118
CED216,13487,11726,5497,1746,74614
CED217,15995,11146,5887,2550,90886
CED218,9286,5187,1993,555,78503
CED219,9544,6335,2493,655,75201
CED220,13134,9540,5244,2007,102163
CED221,8629,4551,1880,554,82890
CED222,10677,6910,3529,1523,95769
CED223,14684,12103,5503,1740,79766
CED224,12021,8001,3963,1688,83445
CED225,13846,10279,4837,1583,88700
CED226,16551,11916,6427,2748,101008
CED227,9321,5822,2914,898,81766
CED228,9096,5187,1901,579,97277
CED229,13607,9768,4442,1633,115944
CED230,12951,10119,4897,1917,74129
CED231,11203,7377,3419,1193,83571
CED232,11335,7524,3074,738,79592
CED233,10840,7179,3167,880,143435
CED234,14705,10002,6216,2386,95998
CED235,13257,11813,5482,1622,72584
CED236,11980,9157,4727,1787,71565
CED237,8732,5057,2208,854,77042
CED238,13561,11116,4951,1767,74292
CED239,9201,4904,2147,1180,90703
CED294,779,411,85,18,5907
CED297,15,4,0,0,40
