CED_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
CED201,6,16,37,20,39,26,11,4,0,162,0,0,11,22,29,28,3,0,0,96,90,256,731,1051,1259,1175,268,24,0,4867,3,32,103,166,134,128,29,0,0,600,329,843,1808,1618,1390,961,221,13,0,7185,40,120,346,546,545,488,115,16,0,2218,496,702,766,729,594,519,176,12,0,3981,588,335,303,297,187,191,42,5,0,1941,20,124,313,384,509,528,183,18,0,2082,17,65,155,255,225,136,31,4,0,892,9,103,416,541,384,242,56,8,0,1754,5,38,110,137,120,70,32,0,0,512,23,230,799,1106,799,549,175,29,0,3713,42,109,266,278,316,253,97,9,0,1362,12,81,391,442,441,413,150,5,0,1945,71,177,422,462,358,327,110,13,0,1937,28,158,522,500,445,393,157,10,0,2216,78,80,138,115,69,59,22,3,0,566,42,141,349,315,413,359,104,12,3,1722,64,156,467,539,526,413,118,18,3,2310
CED202,66,104,263,250,300,319,238,116,11,1663,15,22,123,113,106,62,13,0,0,461,125,238,657,776,997,731,162,13,0,3697,5,20,111,129,127,122,19,0,0,537,412,836,1672,1342,1022,882,196,12,0,6366,31,69,189,198,257,212,58,7,0,1024,415,459,589,407,453,331,141,20,0,2822,696,356,435,279,194,162,54,9,0,2184,21,80,338,383,458,487,157,8,0,1941,21,31,107,129,132,78,23,4,0,512,4,26,96,167,176,92,36,3,0,601,3,23,78,83,82,94,37,3,0,406,22,118,465,522,467,337,150,24,0,2103,18,86,197,192,200,196,70,3,0,962,13,58,392,590,637,482,98,3,3,2267,49,103,413,497,492,412,139,9,0,2116,36,198,612,550,666,537,154,13,0,2765,70,73,150,118,129,96,34,6,0,678,70,142,285,263,265,234,84,10,0,1358,93,149,328,258,323,300,87,31,6,1567
CED203,41,71,195,208,229,273,173,90,8,1295,13,72,302,289,215,136,21,0,0,1044,140,380,1007,877,894,796,190,20,0,4305,0,18,109,138,160,157,28,0,0,614,337,704,1424,1148,1058,842,207,18,0,5739,26,56,147,171,222,205,48,13,0,881,534,418,513,457,426,354,152,15,6,2865,648,301,345,228,186,139,70,4,0,1925,24,80,260,306,428,526,173,19,0,1819,4,37,91,88,100,55,21,6,0,405,6,57,201,293,266,129,32,11,0,986,11,29,51,66,80,62,34,9,0,341,9,84,318,420,410,284,169,30,3,1732,17,53,158,170,185,181,74,4,0,848,7,91,363,542,688,533,136,6,0,2362,27,97,345,423,407,374,121,4,0,1793,24,144,577,589,581,519,189,13,0,2635,50,71,101,83,124,83,42,8,0,562,65,123,308,272,265,271,86,11,0,1405,79,140,295,301,288,285,95,37,8,1528
CED204,11,25,40,45,54,46,16,0,0,234,0,0,13,21,27,26,3,0,0,86,113,375,1167,1377,1526,1377,326,17,0,6278,7,36,120,145,163,94,20,0,0,585,274,1029,2431,1980,1522,1017,209,20,3,8486,32,115,370,449,504,441,92,8,0,2016,441,697,851,723,584,420,124,16,0,3852,561,329,386,301,204,189,63,0,0,2032,36,245,761,724,675,715,198,12,3,3369,15,63,145,227,153,79,17,0,0,699,3,113,372,367,235,138,26,7,0,1254,0,31,114,114,110,75,23,8,0,476,13,190,729,772,482,325,113,13,0,2644,28,137,348,296,288,238,72,6,0,1424,16,122,398,381,370,296,92,16,0,1699,52,132,351,363,274,252,88,9,0,1524,22,194,597,506,453,342,118,16,0,2259,48,60,108,98,55,34,16,3,0,430,45,191,419,390,411,338,103,12,0,1916,83,337,867,763,604,549,111,19,0,3344
CED205,4,10,44,32,33,23,4,0,0,150,0,3,18,20,11,16,0,0,0,69,89,365,1166,1323,1100,874,146,9,0,5076,10,29,136,181,91,78,14,5,0,529,299,977,2445,1715,1136,653,131,0,0,7362,26,86,307,339,274,261,39,3,0,1344,364,555,897,674,434,290,64,4,0,3286,528,372,521,398,226,136,26,0,0,2216,49,451,1597,1762,1134,868,147,7,0,6016,13,28,144,230,92,50,8,0,0,574,5,69,417,444,149,76,18,0,0,1175,10,41,130,131,69,54,12,0,0,459,13,135,660,795,307,153,43,8,0,2111,33,151,371,397,249,216,43,0,0,1465,35,236,658,626,349,278,54,0,0,2236,24,98,366,288,228,190,55,6,0,1242,22,164,520,592,334,253,65,3,0,1956,32,62,107,71,38,22,7,3,0,343,40,182,472,435,331,227,52,7,0,1749,96,325,916,781,542,360,58,3,0,3084
CED206,42,87,158,178,223,229,128,52,5,1096,0,3,23,30,36,30,6,0,0,140,130,260,767,1001,1221,1039,262,33,0,4723,9,30,143,163,160,160,25,3,0,694,604,1237,2803,2249,1920,1330,301,21,0,10473,46,112,243,369,463,371,98,3,0,1710,377,459,518,509,490,425,153,17,0,2948,606,254,185,186,155,117,53,8,5,1565,9,68,204,294,488,501,164,14,0,1749,13,26,100,152,161,126,12,4,0,592,0,36,162,235,247,149,54,4,0,883,13,30,66,82,96,81,32,10,0,416,23,121,548,676,616,446,221,36,0,2683,49,115,222,259,289,254,102,11,0,1308,18,77,416,493,520,418,122,10,0,2077,46,78,387,485,460,351,164,16,0,1979,17,105,310,332,368,389,141,24,0,1680,90,73,114,99,111,89,19,11,0,603,86,176,361,409,408,416,141,14,0,2011,94,176,457,488,504,408,135,29,4,2293
CED207,0,8,37,20,35,24,12,3,0,148,0,0,11,32,30,16,7,4,0,100,54,226,662,658,857,655,179,26,3,3331,0,21,102,162,141,94,16,0,0,541,119,495,1229,1057,910,662,147,30,4,4652,24,98,332,422,492,372,84,10,0,1850,416,967,1026,699,590,413,139,20,5,4267,670,727,651,477,329,286,49,7,0,3199,20,256,567,463,467,435,144,12,0,2372,17,96,208,359,305,155,45,4,0,1187,5,213,652,868,633,311,76,15,7,2776,5,58,200,231,152,116,40,11,3,802,37,401,1390,1666,1361,845,294,63,3,6072,43,229,433,286,327,223,82,14,0,1630,15,153,378,392,457,418,113,18,0,1951,120,330,637,593,544,454,145,27,0,2849,48,284,863,648,662,529,183,27,0,3246,89,122,160,99,113,68,25,0,0,679,28,149,323,243,300,254,118,29,0,1437,65,231,656,515,461,306,103,25,6,2369
CED208,0,20,60,54,28,23,5,0,0,195,0,4,21,18,24,10,4,0,0,82,43,182,667,689,638,521,121,10,0,2877,0,18,119,168,114,55,16,0,0,488,124,471,1599,1152,996,577,128,13,0,5045,14,49,261,286,295,193,42,8,0,1152,299,537,1016,566,460,254,63,13,3,3199,350,501,820,453,280,178,36,0,0,2622,25,154,594,496,562,362,115,4,0,2318,13,49,302,374,281,126,18,0,0,1173,7,95,515,686,477,158,28,0,0,1976,3,35,118,163,105,68,23,3,0,524,13,206,1569,1632,1082,480,122,12,0,5109,18,136,394,270,252,187,46,6,0,1303,5,119,707,772,678,416,95,7,0,2808,54,147,839,798,649,454,132,8,0,3075,20,191,994,744,591,465,109,7,0,3122,70,135,318,276,176,90,23,3,0,1094,27,92,332,307,278,177,52,9,0,1272,30,195,609,476,377,235,74,11,3,2019
CED209,35,60,106,101,148,172,121,52,9,806,3,12,34,31,33,33,13,0,0,167,95,195,532,627,691,501,148,15,0,2812,4,24,118,167,167,123,24,3,0,626,390,937,2140,1965,1455,918,216,23,3,8051,22,75,185,313,325,276,77,11,0,1288,488,591,618,521,484,367,149,23,0,3229,724,369,415,288,189,135,67,8,0,2199,43,94,312,406,422,448,177,19,0,1921,10,29,66,111,102,64,20,5,0,397,0,35,180,311,256,162,49,13,0,1002,8,34,88,112,114,80,39,5,0,473,13,121,484,617,586,400,239,32,0,2498,30,68,174,228,207,204,85,12,0,999,8,63,468,661,678,467,122,9,0,2485,41,114,476,639,453,411,129,14,0,2284,33,153,586,607,534,442,132,13,0,2499,68,75,155,138,111,76,43,9,0,670,60,137,238,275,271,213,79,9,0,1277,51,115,300,356,339,235,81,19,7,1488
CED210,20,39,98,122,117,89,46,17,5,548,0,8,37,29,48,31,7,0,0,164,64,255,842,766,918,727,139,15,0,3715,8,22,169,156,159,141,19,0,0,667,330,947,2166,1520,1216,832,170,22,4,7210,32,100,256,292,374,282,64,10,0,1411,455,600,780,552,473,365,121,17,0,3370,685,434,577,256,165,133,53,3,0,2301,32,125,608,539,560,623,188,14,0,2686,16,35,94,116,100,48,19,0,0,436,5,57,237,275,231,119,32,0,0,972,5,31,97,97,84,90,29,6,0,445,14,173,657,597,521,345,171,26,8,2504,33,104,225,198,216,195,82,6,0,1065,5,97,498,609,618,440,105,17,3,2394,46,103,483,541,473,423,126,3,0,2204,26,200,691,622,557,485,154,18,0,2746,76,95,149,97,108,70,27,5,0,618,50,116,317,240,231,212,55,22,0,1241,79,227,465,365,377,269,90,26,0,1890
