CED_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
CED201,1963,3766,8461,9522,8771,7258,2108,214,8,42071,4,15,27,19,23,18,3,0,0,110,0,0,5,5,6,5,0,0,0,22,97,136,318,538,661,580,101,6,0,2436,0,12,54,79,73,35,4,0,0,257,11,69,308,316,262,214,45,3,0,1229,16,64,246,399,384,278,56,6,0,1444,716,841,814,747,820,622,165,7,0,4736,840,399,327,276,274,175,34,5,0,2331,15,42,124,144,213,190,28,3,0,754,10,41,104,146,112,63,9,0,0,492,10,82,357,460,362,219,51,0,0,1543,8,51,167,140,145,69,23,0,0,610,18,207,724,773,523,350,88,10,0,2683,15,86,224,273,299,208,58,8,0,1168,16,83,352,452,438,342,71,3,0,1767,95,332,1115,1237,1200,958,165,17,0,5119,85,715,2007,1930,2196,1703,419,14,0,9076,71,83,101,104,100,54,18,0,0,529,43,169,316,327,355,238,59,3,0,1514
CED202,2165,3184,7498,7245,7467,6171,1962,295,27,36021,30,45,82,113,115,119,114,39,3,651,0,6,15,18,20,12,0,0,0,75,138,106,187,274,332,261,53,0,0,1341,0,9,38,43,53,34,6,0,0,182,22,57,174,206,188,136,40,0,0,827,26,28,74,65,84,69,13,0,0,362,642,588,739,588,652,603,116,10,0,3931,902,500,440,330,289,240,62,3,0,2776,10,40,119,129,142,124,41,5,0,602,18,36,104,88,88,42,22,0,0,397,7,35,137,158,173,98,14,0,0,626,15,34,96,88,69,65,22,0,0,381,13,124,410,477,421,253,67,4,0,1772,31,78,200,210,259,188,44,4,0,1013,14,103,436,622,611,384,67,3,0,2234,103,263,1018,1249,1294,955,210,10,0,5097,131,801,2201,2106,2250,2035,388,16,0,9926,71,91,124,158,123,96,29,0,0,687,48,138,293,232,226,153,45,3,3,1141
CED203,2076,3044,7104,7065,7194,6210,2057,314,31,35094,9,20,84,94,103,106,75,31,5,528,0,20,47,28,31,18,6,0,0,156,136,154,361,339,350,248,80,5,0,1669,0,23,36,57,62,35,10,0,0,215,24,68,171,168,202,156,31,3,0,825,16,22,69,62,73,75,22,3,0,333,714,525,658,550,675,591,134,19,4,3864,847,442,394,325,295,260,69,8,0,2644,4,23,73,79,131,134,29,3,0,487,13,30,75,57,79,51,18,0,0,319,8,52,231,397,304,174,28,0,0,1194,8,30,83,67,79,59,24,0,0,357,16,118,347,447,372,262,87,8,0,1659,34,86,232,197,255,251,54,3,0,1119,10,82,385,565,599,436,96,8,0,2178,70,239,868,1109,1144,824,214,3,0,4473,127,804,2301,2116,2181,2145,442,12,0,10132,48,72,107,134,137,96,24,5,0,618,49,108,275,256,225,192,62,5,0,1176
CED204,1815,4415,10584,10047,8706,6994,1850,189,7,44601,4,13,38,46,30,24,3,0,0,170,0,0,4,4,8,3,0,0,0,18,63,182,478,593,679,583,106,6,0,2693,0,14,59,66,62,35,0,0,0,238,13,72,299,290,242,186,35,7,0,1151,9,69,217,254,256,182,34,3,0,1022,587,893,828,708,731,529,111,9,0,4390,772,416,357,264,275,183,42,3,0,2322,14,49,173,212,215,168,36,0,0,872,33,43,83,86,56,33,8,0,0,339,9,91,361,382,265,166,23,0,0,1297,17,34,114,101,93,64,16,5,0,447,15,183,589,540,367,222,65,4,0,1987,22,140,314,293,322,229,56,0,0,1370,0,109,355,357,392,301,58,7,0,1573,82,322,940,1037,981,668,140,10,0,4186,86,751,2064,1956,1895,1537,340,13,0,8642,75,68,100,86,68,41,9,0,0,445,32,123,303,309,291,204,42,0,0,1305
CED205,1698,4343,11892,11244,7132,5066,995,69,0,42439,8,6,23,20,19,7,4,0,0,91,0,0,0,7,6,0,0,0,0,8,39,116,415,476,429,351,55,0,0,1888,0,12,68,76,25,23,5,0,0,210,14,89,332,249,168,94,15,0,0,963,13,61,159,153,152,116,19,0,0,673,536,874,956,625,567,383,56,6,0,3998,690,439,415,310,251,131,11,3,0,2244,19,146,434,368,309,179,31,4,0,1485,17,45,95,86,37,17,4,0,0,289,3,113,439,445,180,115,17,0,0,1314,4,51,137,87,70,45,9,3,0,407,9,145,623,484,222,149,14,0,0,1650,25,132,416,349,303,179,31,3,0,1436,16,155,499,546,394,242,49,0,0,1908,59,333,1171,1138,816,457,70,0,0,4037,63,784,2386,2119,1375,861,141,4,0,7734,36,68,86,76,34,34,6,0,0,352,23,115,290,246,182,107,19,0,0,982
CED206,2266,3521,8190,8691,8927,7334,2346,324,15,41625,26,48,99,141,174,159,78,16,0,740,0,0,0,3,6,7,0,0,0,29,147,126,294,470,562,411,107,18,0,2132,0,18,72,74,58,39,4,0,0,275,28,136,389,375,330,275,44,9,0,1589,17,59,166,224,257,178,47,0,0,945,634,675,663,659,807,703,151,15,0,4300,935,462,301,275,294,194,46,0,0,2502,12,34,98,118,172,142,42,10,0,624,24,28,85,101,93,59,6,0,0,389,0,39,202,221,254,136,27,4,0,893,16,55,144,129,131,82,27,3,0,585,27,156,546,672,578,333,111,11,0,2424,22,77,189,249,281,250,61,0,0,1121,30,106,431,534,481,337,69,9,0,1996,75,288,1207,1428,1359,1033,273,21,4,5698,118,663,1985,1802,2090,1806,429,16,0,8904,76,74,141,148,154,94,32,0,0,727,90,190,444,376,334,227,58,9,0,1728
CED207,1789,5073,10535,9888,9167,6623,2004,351,36,45469,5,6,18,13,23,16,8,3,0,89,0,0,10,17,12,0,0,0,0,39,112,118,296,419,458,305,73,10,0,1792,0,19,72,78,66,18,10,0,0,265,0,57,234,271,246,133,34,9,0,985,19,78,246,358,341,176,37,3,0,1262,563,1024,916,754,736,476,120,12,0,4595,772,701,529,382,345,192,38,3,0,2956,8,41,144,180,170,109,35,4,0,698,19,56,115,174,115,72,19,6,0,582,10,128,579,800,496,262,51,3,0,2336,5,55,191,197,162,102,31,3,0,743,30,405,1112,1198,887,453,146,24,0,4258,15,129,318,264,257,194,60,10,0,1249,8,105,310,412,454,365,67,12,0,1738,194,517,1117,1246,1495,1051,234,21,5,5873,98,879,2098,1760,1958,1461,418,38,0,8707,84,130,106,97,91,51,19,3,0,585,35,118,281,277,284,187,59,12,0,1250
CED208,1113,3339,11861,10385,8323,5019,1269,128,16,41446,0,10,42,23,25,17,0,4,0,131,0,0,7,5,7,0,0,0,0,22,64,93,331,341,346,210,39,4,0,1429,0,6,70,100,61,23,0,0,0,270,5,44,225,208,162,93,24,0,0,765,7,42,181,184,152,86,27,0,0,682,417,764,1034,592,570,347,64,4,0,3789,567,586,741,339,225,142,29,0,0,2623,4,55,189,161,171,101,24,0,0,707,20,50,298,253,176,71,14,3,0,882,0,64,519,599,405,153,26,0,0,1768,3,37,181,122,120,61,9,0,0,538,17,236,1517,1377,856,342,69,0,0,4420,14,116,365,288,266,166,45,4,0,1264,11,114,838,1005,897,478,70,4,0,3417,71,281,1631,1522,1394,952,188,5,0,6053,65,690,2921,2102,1847,1291,293,14,0,9223,78,102,327,241,185,83,15,0,0,1035,31,104,444,332,276,177,32,0,0,1396
CED209,2127,3303,7676,8466,7565,5734,2009,279,21,37176,26,31,47,50,70,78,56,27,5,394,0,0,0,7,7,3,0,0,0,25,136,91,173,242,246,185,56,0,0,1136,0,10,41,64,54,27,4,0,0,202,11,62,244,294,228,149,49,4,0,1043,13,31,82,119,141,99,31,4,0,516,722,736,779,717,705,587,132,4,3,4392,950,585,449,290,290,220,39,9,0,2838,16,46,110,120,134,109,29,0,0,562,17,24,54,86,69,45,9,0,0,301,0,29,305,378,300,129,20,4,0,1167,11,37,115,119,124,79,24,4,0,519,20,130,509,602,505,323,123,9,0,2226,20,64,165,255,250,189,54,0,0,997,19,80,461,660,634,421,76,5,0,2350,83,287,1062,1509,1244,907,197,15,0,5301,112,689,2300,2263,2230,1901,369,18,0,9889,71,83,136,134,111,68,19,0,0,632,56,166,367,347,250,170,37,5,0,1397
CED210,1973,3752,9448,8003,7552,5924,1689,232,23,38591,14,24,38,45,53,44,14,0,0,231,0,0,7,8,4,3,0,0,0,21,104,126,248,247,312,220,41,6,0,1294,0,15,105,84,69,28,5,0,0,296,11,91,232,219,184,114,40,4,0,903,18,40,124,126,140,81,22,0,0,551,657,791,961,766,750,539,128,4,0,4597,939,666,499,296,263,200,53,9,0,2916,19,52,138,146,139,111,20,0,0,632,20,21,63,78,53,33,6,0,0,270,3,43,323,404,303,132,33,0,0,1239,4,34,127,94,96,66,18,0,0,447,17,160,606,534,443,267,78,8,0,2117,17,94,269,241,273,218,53,0,0,1167,11,83,570,606,660,448,84,13,0,2476,67,329,1169,1229,1230,928,178,6,0,5132,96,857,2633,2130,2190,1890,425,18,0,10247,53,80,141,91,82,57,19,4,0,521,57,151,325,251,225,180,41,7,0,1228
