CED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
CED201,233,508,424,234,686,652,179,297,21,3233,127,392,344,250,979,853,177,311,503,3942,3778,11736,9432,6321,18700,18400,4585,7495,1081,81521
CED202,160,423,328,201,503,467,124,272,30,2504,139,311,195,133,433,430,122,261,452,2480,4083,11188,8835,6247,13680,13764,4086,8016,1083,70971
CED203,158,469,333,194,498,511,130,263,18,2581,124,337,216,147,410,437,92,262,448,2478,4006,11204,8785,6527,13725,13123,3757,7758,1097,69986
CED204,228,530,435,224,732,643,144,250,39,3222,149,489,417,271,1327,1047,203,349,874,5127,3365,11399,9642,6386,20166,17431,4164,6550,1751,80845
CED205,209,413,426,175,649,535,108,177,44,2730,159,495,436,254,1063,866,151,239,1058,4720,3422,10544,9550,5871,19054,15909,3437,5800,2155,75741
CED206,303,632,483,267,645,770,197,406,41,3744,160,400,280,191,773,819,185,362,520,3685,4775,12359,9498,6572,15464,17160,4796,8789,1204,80620
CED207,210,504,423,225,527,462,111,205,25,2692,128,488,462,238,838,842,137,250,704,4092,3793,14153,11073,6418,18626,19626,4317,7923,1278,87202
CED208,239,439,385,220,564,483,114,191,39,2673,129,369,326,213,662,692,143,292,586,3409,4350,11363,10021,7066,17546,18165,4993,8575,1188,83259
CED209,232,528,409,195,442,460,120,256,33,2676,120,322,218,158,346,501,114,259,406,2439,4542,12580,9325,6318,13355,14841,4124,7863,1047,73999
CED210,173,465,348,172,507,486,95,213,22,2472,130,358,255,194,544,588,118,293,521,2994,4060,12109,9327,6236,15192,15671,4255,7996,1142,75988
CED211,212,486,433,247,660,605,178,296,13,3130,121,385,298,195,842,740,178,299,503,3566,4023,12477,9787,6697,17628,18622,4967,8568,1007,83785
CED212,311,441,378,203,558,612,150,270,27,2940,147,380,267,188,764,815,190,350,540,3649,4302,10931,8912,6438,15744,17068,4609,8365,1116,77486
CED213,281,469,378,200,416,417,118,212,25,2519,167,421,254,156,452,518,124,291,511,2897,4544,11276,8475,5808,11107,13203,3737,7520,1223,66888
CED214,267,523,565,261,663,495,127,186,38,3119,168,519,529,280,1147,819,161,300,1025,4954,4105,11001,10421,6501,19860,17695,4308,7229,1847,82979
CED215,218,425,385,235,573,521,145,245,32,2779,141,374,395,215,837,884,162,359,854,4232,4414,11081,9850,6642,20499,22936,5274,10102,1671,92478
CED216,149,396,304,195,470,508,128,254,32,2431,170,294,208,145,401,411,92,285,569,2571,3824,9981,7960,5678,11924,11792,3661,7936,1384,64133
CED217,184,435,301,219,307,364,135,220,23,2191,127,468,315,172,465,749,182,484,406,3368,3803,12754,8727,5909,11905,17546,5103,12261,868,78879
CED218,221,473,439,229,680,557,134,243,41,3025,137,436,380,249,1045,889,165,282,973,4559,3999,10989,9405,6198,20283,18476,4080,6967,1897,82283
CED219,218,433,364,176,652,589,162,291,35,2917,146,328,248,195,766,730,131,295,671,3525,4104,10025,8274,5805,17464,16841,4414,8151,1524,76596
CED220,182,395,368,162,420,344,113,206,9,2193,129,409,320,188,622,824,196,517,463,3667,3964,11851,9160,5958,16375,21066,6013,13621,991,88994
CED221,254,432,431,209,849,654,184,253,26,3289,147,455,433,298,1512,1113,200,364,961,5479,3875,10680,10345,7077,23563,19044,4588,7148,1887,88199
CED222,261,668,634,281,823,592,149,215,53,3676,175,677,606,362,1743,1107,170,301,1098,6244,3945,13568,11877,7100,23344,19644,4368,7091,1992,92931
CED223,167,422,307,171,457,550,137,326,47,2584,151,343,247,159,470,463,113,276,579,2801,4296,10816,8624,6546,13383,14254,4052,9368,1539,72871
CED224,222,450,423,229,588,506,155,259,26,2865,125,412,313,211,897,912,157,353,493,3864,3864,11263,9113,6418,17308,19019,5038,9163,1050,82227
CED225,200,454,360,229,501,497,115,278,25,2654,114,354,286,187,506,624,135,302,375,2883,4334,12194,9319,6527,14971,18242,4997,9674,831,81095
CED226,162,432,316,180,376,333,101,172,11,2078,145,425,290,176,497,705,130,413,461,3242,3827,14069,9526,6060,13643,18664,5250,12623,908,84572
CED227,285,476,423,211,715,651,166,340,34,3310,156,388,310,206,1007,951,186,382,676,4275,4129,11153,9402,6629,19441,18455,4837,8903,1490,84432
CED228,201,437,403,214,703,537,143,202,37,2877,162,431,495,295,1139,1008,150,297,1099,5070,4169,11437,10972,7145,23632,21592,4378,7285,2185,92800
CED229,270,528,466,225,518,480,130,245,31,2907,157,425,371,238,762,1018,231,532,635,4367,4655,12150,10764,6673,19460,24475,6530,14124,1241,100070
CED230,138,361,278,203,519,536,142,294,41,2516,182,374,256,179,566,506,113,272,823,3284,3606,10330,8238,6304,13890,14145,3929,10442,1824,72700
CED231,214,419,352,196,449,446,123,266,23,2492,123,337,293,158,700,606,132,321,527,3202,4161,10568,8830,5854,16488,18145,4987,9963,1068,80068
CED232,258,478,433,211,561,637,170,349,35,3140,139,350,256,187,668,723,166,357,496,3337,4318,11315,8948,6276,15855,17734,4898,9375,1343,80063
CED233,274,580,597,265,605,509,144,247,25,3247,206,564,529,262,783,1002,182,473,803,4804,6239,17121,14084,7851,24430,28997,7469,14391,1579,122175
CED234,211,551,452,242,504,545,110,239,19,2872,138,501,381,216,706,722,122,338,607,3741,3903,13645,10305,6368,16235,18296,4242,8915,1116,83013
CED235,174,459,320,208,495,530,125,308,49,2667,181,345,220,133,377,433,121,252,547,2613,3932,10587,8068,5507,10883,11539,3247,8034,1425,63234
CED236,166,453,328,201,581,609,166,315,46,2869,158,353,236,144,449,555,126,286,706,3010,3744,10087,7930,5938,13252,14147,4269,9406,1660,70437
CED237,205,476,423,197,687,524,145,194,34,2885,148,432,365,238,1094,820,121,230,805,4258,3545,10693,9631,6263,19992,16725,3636,5855,1658,78009
CED238,141,402,299,181,442,476,107,251,33,2320,156,393,209,135,374,445,112,266,630,2723,4212,11579,8531,6111,11829,13620,4048,10575,1611,72115
CED239,218,392,378,251,651,486,114,180,26,2700,130,333,325,192,709,680,140,291,604,3415,4433,11405,10166,7066,18515,19064,4884,8661,1254,85448
CED294,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
