CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED201,22,84,0,4602,178,44,25,211,30,117,18,55,20,114,438,1246,15,0,16,16,9,7,4,3,0,18,37,126,5367,1088,207,7054,895,3596,297,1125,251,1628,513,22010
CED202,12,27,0,2581,185,39,17,220,22,104,12,36,20,58,504,1224,12,0,5,15,4,0,3,3,5,17,48,120,3346,863,154,5646,809,2338,258,797,202,1050,592,16046
CED203,9,23,9,2268,180,49,22,196,26,82,13,41,24,70,488,1187,13,0,18,14,4,3,6,3,9,20,40,131,3259,974,191,5497,793,2153,309,791,244,1054,569,15832
CED204,11,116,5,3174,201,45,29,178,28,147,21,82,41,175,594,1537,15,7,21,17,11,10,0,3,18,26,107,229,4844,1119,216,5832,831,4879,276,1847,401,3067,780,24093
CED205,18,146,9,2659,122,32,30,131,32,126,25,66,67,270,683,1574,13,5,16,20,9,18,11,6,23,67,208,379,4401,1131,222,5434,877,5699,333,2751,642,5513,1011,28006
CED206,20,58,9,3924,236,54,23,287,41,122,33,55,28,82,459,1425,21,4,22,30,7,16,0,0,4,9,66,179,4273,1057,241,7663,1155,3123,348,903,257,1196,558,20774
CED207,32,158,4,7266,197,54,16,171,27,96,7,58,19,105,691,1447,15,0,7,22,5,11,3,3,3,8,68,150,6494,1268,172,6178,802,3829,206,1416,264,2122,826,23569
CED208,20,86,7,5393,93,34,17,118,25,60,13,37,26,114,331,865,12,3,8,16,6,0,0,0,8,19,41,116,3786,1060,148,5290,854,2517,285,950,208,1647,423,17157
CED209,23,41,3,3617,205,52,14,231,35,91,22,38,22,78,485,1278,16,9,19,19,8,8,3,0,5,10,35,126,3726,1057,223,6977,1041,2386,359,727,196,874,549,18123
CED210,16,43,8,3746,172,33,11,179,27,97,15,35,16,96,421,1115,11,0,10,15,4,11,0,0,8,22,49,132,3503,805,164,5880,864,2588,276,894,200,1412,506,17103
CED211,21,76,5,5884,202,32,27,219,33,102,13,38,22,80,482,1244,17,4,13,18,0,7,0,3,8,7,51,134,5255,1102,194,7588,1031,3519,280,1018,223,1458,581,22254
CED212,17,49,0,4008,236,26,18,220,26,121,29,49,22,86,455,1275,23,6,18,28,13,8,5,3,5,12,56,176,4288,869,213,6666,1095,2853,318,781,204,1166,549,19010
CED213,31,49,9,3090,187,49,24,240,30,101,28,53,23,86,413,1232,16,3,10,17,3,0,4,0,3,17,41,130,3055,857,222,5523,862,2087,323,716,226,1053,495,15419
CED214,20,91,0,3445,82,33,17,87,27,95,18,45,43,146,439,1046,11,0,4,6,0,3,0,5,4,26,95,155,3673,968,185,4112,793,3420,238,1612,350,2945,622,18920
CED215,34,69,10,7478,170,37,25,133,34,116,15,57,35,91,746,1461,16,0,17,18,3,10,4,0,8,13,103,190,7758,1158,274,7206,1285,5274,318,1468,398,1829,926,27896
