CED_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
CED201,144,221,252,210,1319,2069,727,1687,43,6682,166,528,399,352,2355,3054,708,1150,42,8749,284,574,559,545,2440,3434,767,1143,118,9870,230,459,243,178,301,433,111,148,32,2148,74,236,177,125,979,974,198,287,17,3058,143,794,322,176,592,584,163,219,28,3024,133,275,298,244,990,915,260,445,58,3611,223,949,487,312,827,749,182,300,66,4085,40,71,51,35,166,182,30,84,186,843,1439,4110,2783,2182,9969,12398,3154,5458,586,42071,187,264,370,312,998,850,281,505,39,3798,563,1277,1484,1225,2306,2147,543,785,75,10401,162,360,350,182,454,259,54,53,16,1893,523,1658,1373,841,1065,468,101,161,64,6252,322,1248,1549,943,2444,1537,292,346,70,8755,343,1838,918,295,662,366,70,80,45,4612,39,108,105,74,261,119,28,30,7,767,156,794,441,230,438,184,36,53,28,2368,40,78,62,34,112,87,19,27,154,611,2333,7625,6652,4139,8733,6008,1427,2040,488,39450
CED202,175,251,251,217,827,1428,585,1869,57,5655,159,432,394,381,1376,1788,529,981,50,6082,257,480,472,425,2044,2826,737,1296,117,8661,272,464,318,228,416,513,119,211,32,2587,71,157,145,112,641,449,134,180,13,1902,122,588,299,175,444,404,129,189,33,2383,185,284,253,169,650,857,334,777,50,3565,265,1010,520,281,855,875,252,371,97,4528,53,57,39,25,97,111,29,94,165,664,1559,3730,2682,2015,7350,9246,2850,5971,620,36021,161,322,365,297,674,653,240,592,31,3324,665,1204,1462,1312,1691,1608,483,787,57,9261,112,320,297,204,330,237,57,96,25,1677,633,1730,1459,1001,1008,537,115,200,84,6758,337,1109,1194,775,1709,977,209,204,42,6550,326,1623,745,313,470,246,65,53,40,3887,23,69,77,45,84,45,15,19,6,379,232,1028,517,259,301,169,40,75,46,2666,46,51,39,30,71,46,13,28,123,438,2526,7461,6146,4229,6329,4518,1232,2046,459,34948
CED203,157,250,213,209,815,1321,544,1579,63,5139,188,435,399,452,1462,1549,482,941,43,5947,297,479,447,426,1787,2696,650,1195,115,8092,264,435,310,252,460,514,133,221,33,2616,70,150,128,114,567,440,134,188,15,1802,97,559,256,151,407,376,107,220,32,2207,203,283,241,186,661,775,288,931,67,3631,234,1133,527,389,1003,970,251,377,81,4972,42,65,41,30,123,122,27,87,151,688,1539,3795,2567,2201,7290,8765,2610,5731,602,35094,154,306,393,322,713,644,226,527,34,3311,690,1255,1534,1496,1756,1538,496,770,55,9578,121,331,313,174,341,236,36,77,20,1639,580,1614,1423,931,995,519,107,214,90,6473,313,1058,1193,752,1605,875,151,224,45,6202,313,1629,729,297,462,221,45,71,53,3820,24,93,55,42,94,56,19,36,4,434,233,1069,539,292,410,231,53,89,58,2971,39,67,42,27,61,54,16,21,140,458,2469,7413,6225,4330,6433,4361,1146,2029,494,34890
CED204,120,204,229,174,1188,1587,494,1200,57,5252,116,392,318,286,1918,2152,398,761,72,6405,319,722,755,690,2982,3728,947,1105,236,11484,184,416,305,203,390,419,92,157,48,2207,75,231,202,142,999,870,207,315,49,3093,157,739,331,176,597,507,119,198,47,2877,179,499,566,382,1830,1530,467,678,133,6260,191,1091,791,390,1436,1110,310,385,126,5838,48,94,75,48,239,222,48,104,319,1182,1383,4392,3578,2488,11562,12117,3082,4901,1095,44601,124,208,327,243,785,701,182,352,36,2954,394,904,1015,984,1924,1626,374,575,84,7866,166,313,342,146,414,240,43,54,22,1723,442,1568,1457,908,1245,466,98,222,121,6526,288,1102,1254,782,2314,1402,237,236,64,7677,325,1745,835,323,552,276,47,64,59,4229,32,130,141,141,413,174,33,29,25,1116,170,960,631,328,795,352,64,96,53,3442,44,76,69,47,152,91,7,24,198,704,1982,7009,6060,3900,8597,5314,1078,1655,653,36242
CED205,84,202,200,159,1141,1332,384,943,73,4526,89,298,228,221,1744,1975,293,531,86,5461,288,730,938,590,2640,2834,628,865,275,9795,200,394,355,223,554,547,127,180,78,2657,79,193,193,130,1079,867,175,295,47,3045,115,568,346,149,573,410,98,149,48,2462,245,687,851,496,1733,1824,586,941,218,7570,232,1081,839,405,1267,1046,276,387,172,5713,41,87,103,45,240,174,36,91,382,1208,1372,4249,4049,2413,10975,11011,2601,4387,1373,42439,155,172,261,196,712,545,127,277,35,2481,365,733,824,824,1922,1536,282,452,103,7044,130,255,296,147,319,197,33,43,37,1459,484,1497,1476,969,1397,579,79,235,174,6894,318,916,983,644,2159,1193,179,213,95,6692,358,1690,826,314,578,247,41,54,61,4175,46,145,150,88,286,177,35,32,20,978,139,796,607,228,564,292,42,84,52,2816,45,88,79,48,144,124,14,25,204,762,2047,6296,5501,3449,8079,4890,833,1417,781,33301
CED206,181,263,253,238,1148,1880,740,2041,56,6800,194,423,380,392,1430,1925,566,1051,33,6395,438,713,609,694,2719,4511,1060,1699,183,12624,327,422,274,153,287,476,131,216,32,2308,77,135,96,101,564,611,185,282,13,2062,119,545,218,139,452,433,141,207,20,2267,135,248,248,166,845,966,321,634,52,3606,282,1025,431,311,952,1037,219,406,75,4731,49,70,25,35,154,169,26,104,195,826,1801,3831,2537,2218,8546,12006,3389,6649,648,41625,229,365,457,370,873,882,319,604,33,4139,665,1376,1534,1196,1676,1581,506,823,68,9431,227,441,447,247,372,292,59,83,40,2206,770,2069,1572,875,958,547,126,212,95,7233,407,1494,1585,996,1940,1215,253,229,70,8192,355,1591,785,335,494,287,90,69,45,4045,26,100,110,71,152,88,21,24,4,600,237,1023,409,228,347,178,35,64,37,2553,42,72,56,39,101,89,12,30,150,585,2974,8530,6961,4356,6917,5154,1412,2145,551,38996
CED207,146,357,427,325,1540,2501,679,1868,66,7901,244,1012,722,611,3674,5021,980,1909,122,14295,220,570,704,440,1615,1835,399,604,104,6503,281,738,403,176,276,307,84,144,39,2451,99,427,285,156,1103,961,228,293,30,3581,180,1005,494,223,570,562,140,223,42,3434,99,425,429,202,518,545,143,202,44,2601,210,1196,764,279,519,452,105,153,52,3731,45,113,93,38,176,157,33,66,256,973,1531,5828,4324,2452,9984,12340,2785,5463,753,45469,189,370,528,426,1113,1198,340,689,30,4882,632,1818,1833,1510,3266,3379,749,1133,89,14412,113,338,308,165,380,245,49,60,18,1671,491,1817,1320,600,762,391,69,116,62,5623,271,1321,1327,740,2068,1416,210,270,50,7675,388,1753,818,283,550,364,63,96,46,4357,13,95,73,29,103,58,13,14,7,405,120,699,454,156,275,130,30,49,34,1948,41,105,94,52,137,102,9,27,197,766,2262,8325,6756,3964,8641,7283,1533,2455,519,41735
CED208,157,202,258,249,1241,1850,699,1664,47,6360,285,804,804,774,2941,3917,1037,1985,83,12632,261,548,594,478,1576,2071,433,704,122,6805,367,679,437,264,401,395,142,162,43,2882,89,258,218,180,998,865,210,284,18,3120,172,601,337,162,457,424,107,208,30,2496,133,322,404,214,609,578,139,258,57,2714,221,881,551,262,664,582,167,239,66,3636,40,59,62,35,158,141,18,75,223,812,1732,4361,3663,2619,9048,10817,2950,5578,691,41446,301,286,495,551,1200,1284,507,812,34,5471,812,1755,2178,1928,3340,3516,1021,1518,91,16160,140,333,311,179,323,256,49,81,20,1687,552,1575,1155,638,794,445,102,153,70,5488,263,942,1066,719,1933,1289,228,257,48,6750,339,1395,610,214,425,258,75,83,36,3429,31,70,77,43,104,76,18,22,8,448,135,565,403,149,253,120,24,45,29,1721,42,85,56,37,125,94,18,25,169,651,2618,7009,6359,4452,8497,7347,2036,3001,498,41811
CED209,184,273,259,228,947,1662,616,1721,51,5940,251,527,450,420,1630,1943,553,1071,55,6896,308,516,485,474,1995,3191,791,1326,129,9207,347,498,319,229,364,670,201,242,39,2902,65,165,125,94,529,483,139,242,13,1868,153,715,285,141,441,433,113,224,31,2536,125,321,233,159,518,761,279,593,44,3030,241,1119,464,269,599,801,184,397,66,4131,33,58,35,29,111,141,30,82,141,664,1707,4184,2654,2059,7134,10089,2905,5890,563,37176,227,373,449,339,794,825,263,561,29,3861,767,1527,1829,1478,1862,1623,501,790,85,10465,161,414,361,197,338,242,35,75,26,1849,719,2039,1503,878,908,565,138,178,86,7006,349,1233,1272,841,1578,947,170,210,55,6664,356,1763,771,319,426,284,55,72,33,4084,28,97,68,42,62,75,16,14,6,402,165,885,373,146,178,131,32,54,32,1995,58,65,48,26,79,62,8,18,134,500,2834,8397,6672,4266,6220,4750,1222,1974,486,36829
CED210,123,209,181,171,868,1436,561,1593,40,5179,200,424,382,366,1667,2175,575,1200,40,7036,252,553,474,395,2098,2970,750,1218,112,8814,280,576,325,240,384,640,164,218,36,2858,67,174,159,78,629,570,144,229,27,2070,144,672,290,160,411,419,112,204,20,2439,180,344,364,264,902,1104,383,759,90,4399,243,1202,561,323,921,990,225,386,96,4955,47,70,44,38,154,165,36,96,200,847,1537,4215,2782,2034,8033,10474,2963,5906,657,38591,162,261,384,316,761,728,243,523,23,3392,630,1311,1603,1382,2090,1827,555,841,51,10294,144,347,342,203,373,247,73,81,14,1828,623,1926,1624,915,1032,613,122,235,90,7172,309,996,1103,750,1749,1074,197,200,38,6414,357,1717,771,313,507,281,52,69,46,4115,53,142,116,56,214,136,23,39,16,775,212,1132,562,238,350,227,28,67,47,2868,33,69,51,39,87,73,3,35,154,538,2526,7894,6546,4201,7162,5200,1292,2089,486,37400
