LGA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
LGA20110,0,0,0,0,0,0,0,3,0,8,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,7,32,29,48,58,43,14,243,0,0,0,0,0,4,0,0,0,3,0,0,0,9,0,3,0,0,0,6,0,0,0,6,4,9,21,17,7,65,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,3,0,13,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,3,10,34,47,23,122,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,6,0,0,16
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,9,6,18,24,32,8,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,6,32,0,0,4,0,0,43,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
LGA20570,0,6,0,0,5,0,0,0,0,13,0,16,29,205,56,40,37,5,0,383,0,0,0,0,7,12,15,17,8,61,0,0,4,4,0,4,4,3,0,16,5,63,48,159,145,228,307,201,99,1253,0,4,4,14,8,8,3,4,0,43,0,0,4,12,7,3,5,3,0,30,0,0,9,23,15,21,56,30,17,177,0,0,0,0,0,0,7,11,3,28,0,3,5,7,3,3,0,0,0,35,3,52,140,527,48,30,19,11,0,831,0,3,8,22,10,0,7,0,3,53,0,0,7,16,3,0,5,0,0,35,0,0,4,11,8,0,0,0,0,21,0,4,6,28,18,9,19,3,10,91,0,0,0,4,4,10,20,6,20,71,0,0,3,27,17,4,3,0,7,66,0,0,3,20,5,5,0,0,0,37,0,0,0,0,0,3,0,0,0,4,0,8,12,50,26,25,9,0,0,141
LGA20660,0,6,6,16,5,11,4,3,0,52,6,79,115,990,329,327,171,48,25,2086,0,0,0,14,19,43,61,37,21,199,0,0,0,22,9,23,38,19,9,114,10,69,88,316,252,298,259,248,118,1664,0,0,0,15,12,6,4,3,0,42,0,0,7,25,15,5,10,4,0,68,3,5,11,57,30,22,72,72,33,289,0,10,11,16,25,92,158,157,76,538,0,20,17,115,44,42,34,12,0,284,11,71,96,641,120,86,56,22,15,1116,0,6,13,104,35,24,14,5,4,201,0,9,19,246,39,20,16,7,0,364,0,0,0,20,13,3,3,0,0,35,0,12,4,64,26,29,35,17,16,216,0,10,3,49,19,125,275,288,227,998,3,11,14,82,52,18,17,0,0,199,0,9,11,88,33,11,7,0,0,159,0,0,4,22,28,52,34,22,8,172,0,20,41,240,90,109,114,31,3,648
LGA20740,0,0,0,0,5,9,3,4,0,19,0,4,0,20,6,10,7,0,0,55,0,0,0,0,0,0,4,5,0,15,0,0,0,0,0,0,3,4,0,16,0,9,11,80,103,279,328,221,85,1103,0,0,0,3,3,0,0,0,0,10,0,0,0,10,0,7,8,3,0,25,0,3,0,16,5,28,35,30,7,119,0,0,0,0,0,6,7,17,0,41,0,0,0,3,0,3,3,0,0,11,0,3,10,54,3,13,10,3,0,97,0,3,0,9,5,0,4,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,17,13,0,53,0,0,0,9,3,12,31,25,18,104,0,0,0,12,4,4,0,0,0,24,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,14,7,10,3,0,0,31
LGA20830,0,0,0,3,5,0,0,0,0,10,0,3,4,41,19,17,3,3,0,90,0,0,0,0,4,5,9,10,0,20,0,0,0,0,0,0,10,0,0,9,0,22,36,94,125,260,268,184,58,1043,0,0,0,6,4,5,3,0,0,18,0,0,0,7,3,0,0,0,0,10,0,0,0,20,14,18,45,28,14,135,0,0,0,0,0,0,3,7,0,13,0,0,0,6,0,0,0,0,0,14,0,11,10,94,15,8,6,5,0,152,0,0,0,15,6,0,0,0,0,28,0,0,0,0,3,0,0,0,0,8,0,5,0,4,0,0,0,0,0,10,0,0,3,11,4,3,10,0,4,38,0,0,0,3,0,3,20,29,15,70,0,0,3,8,4,5,0,0,0,22,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,8,6,13,9,0,0,30
LGA20910,0,0,0,24,20,12,10,5,0,70,4,125,109,534,319,193,76,41,18,1420,0,0,0,9,10,19,18,23,9,90,0,0,0,16,9,24,37,24,11,122,14,281,231,511,582,498,385,300,131,2930,0,3,0,13,15,8,6,0,0,42,0,15,7,42,32,16,21,3,3,134,0,11,14,70,74,51,72,75,33,408,0,0,0,12,22,66,96,122,59,379,6,33,21,40,22,23,22,5,3,172,0,22,15,172,68,60,60,34,16,447,4,3,13,49,21,6,9,3,3,111,0,0,0,61,12,11,6,4,0,90,0,0,0,9,0,8,0,0,0,13,0,5,8,145,51,47,29,23,13,336,0,3,4,30,27,41,78,92,91,363,4,14,14,64,42,21,9,3,6,177,0,0,6,28,14,9,7,0,0,64,0,0,0,12,20,17,6,4,4,59,0,9,14,76,49,45,45,22,6,260
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,34,59,52,15,197,0,0,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,9,23,11,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,35,4,0,0,0,0,53,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,3,0,16,0,0,0,0,5,0,4,0,0,13,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9
LGA21110,0,7,0,36,4,12,8,4,4,74,37,584,859,2864,1551,1059,545,197,99,7800,0,3,0,11,8,25,16,19,11,104,0,3,12,34,13,25,29,22,17,140,20,178,198,409,320,372,322,262,115,2193,0,0,5,27,23,17,5,4,4,89,0,16,12,54,30,21,6,3,4,150,0,12,12,60,35,26,79,70,29,337,0,0,5,17,35,119,181,344,159,870,9,121,90,294,198,179,160,35,22,1109,12,125,152,963,236,152,122,76,19,1857,0,9,44,228,63,39,55,17,3,470,0,17,38,194,69,32,29,13,0,405,0,4,0,20,11,5,3,0,0,41,0,15,9,67,32,47,35,18,18,240,0,5,10,56,38,69,190,220,156,745,0,9,21,97,77,36,23,18,6,289,3,23,42,179,79,33,18,4,3,383,0,0,0,6,11,12,9,10,6,63,4,67,103,580,416,371,344,125,42,2059
LGA21180,0,0,3,44,64,84,95,48,9,345,0,24,65,474,240,222,121,42,26,1222,0,0,0,56,72,231,317,299,98,1066,3,15,36,65,47,96,102,60,32,465,6,30,29,117,83,184,137,116,48,749,0,10,16,105,75,62,38,14,8,327,0,0,3,17,7,9,10,6,5,57,0,0,11,33,24,31,168,106,38,418,0,10,17,31,44,136,302,389,149,1081,0,11,12,162,29,29,25,0,3,282,38,134,465,1900,302,252,203,93,35,3418,0,6,17,149,54,22,27,4,0,280,0,15,21,84,15,8,3,8,0,154,0,139,73,245,56,41,42,13,0,613,0,4,0,29,9,10,13,7,3,77,0,14,13,44,50,253,456,402,217,1443,0,7,10,56,16,4,4,0,0,101,5,4,3,52,14,4,5,0,0,88,4,11,13,88,88,107,58,21,4,394,11,117,26,255,45,64,55,15,0,591
