LGA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA20110,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,8,0,0,4,7,0,0,0,0,0,8,0,0,3,0,3,0,22,10,0,36,0,7,3,20,26,15,13,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,26,8,7,4,4,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,12,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,10,11,4,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,11,0,0,0,6,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,17,5,10,10,0,0,41
LGA20260,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,6,3,4,20,0,3,9,16,20,13,10,4,0,71,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,13,11,11,6,0,0,53,0,0,0,0,0,0,0,0,0,3,0,0,9,11,0,0,0,0,0,22,0,0,0,0,0,5,4,7,0,19,0,0,0,0,5,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,17
LGA20570,0,0,0,0,0,10,16,6,6,40,0,0,0,11,0,4,3,0,0,13,0,0,0,8,3,0,4,0,0,11,0,0,34,64,0,0,0,0,0,103,0,0,6,12,8,15,109,99,32,276,3,26,32,154,81,94,79,22,13,505,0,0,0,0,0,3,0,0,0,7,0,0,10,48,8,0,0,0,0,72,0,0,0,8,17,0,0,0,0,23,0,18,30,193,60,48,34,10,0,393,0,0,0,14,0,6,3,5,5,32,0,0,0,4,0,0,3,4,0,14,0,3,4,19,19,33,49,54,13,207,0,0,5,15,15,3,5,0,0,40,3,9,9,47,19,18,18,8,0,125,0,7,10,68,17,7,6,3,0,113,0,0,0,28,5,0,0,0,0,37,0,6,9,57,26,13,0,0,0,113,0,0,0,5,4,0,0,0,0,6,0,16,22,48,22,27,22,5,0,159
LGA20660,0,0,0,0,3,9,49,34,9,109,0,0,3,27,4,18,10,12,8,82,0,0,3,9,3,4,4,0,0,22,0,6,18,54,4,0,3,0,0,72,0,8,3,20,11,6,29,23,15,113,8,44,41,283,138,120,66,33,8,736,0,0,0,35,24,52,63,39,16,226,0,7,0,43,11,6,0,0,0,66,0,0,0,12,13,10,3,0,0,40,9,9,22,198,73,67,54,13,6,441,0,0,3,40,20,24,23,16,15,149,0,0,0,4,6,3,4,0,0,16,0,6,16,46,27,53,69,43,21,275,3,20,19,63,32,22,24,13,6,191,0,9,21,108,54,44,26,17,0,283,3,11,24,163,73,80,52,42,17,468,0,0,0,80,17,11,4,0,0,118,0,7,21,104,58,27,11,3,0,230,0,0,0,13,7,14,7,4,0,57,8,35,26,107,46,23,27,11,0,292
LGA20740,0,0,0,0,0,9,12,4,0,25,0,0,0,8,3,3,7,0,0,18,0,0,0,4,6,0,0,0,0,11,0,0,0,16,0,0,0,0,0,14,0,0,0,6,4,9,75,35,9,143,0,12,14,74,40,73,63,31,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,5,0,0,9,4,3,0,0,18,0,4,7,53,18,19,13,8,0,107,0,0,0,5,7,0,5,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,26,41,22,3,114,0,0,0,0,3,3,0,0,0,10,0,0,5,16,14,24,10,4,0,73,0,0,0,6,0,8,9,0,3,37,0,0,0,0,3,0,0,0,0,3,0,7,4,28,4,12,0,0,0,60,0,0,0,0,0,0,0,0,0,3,0,7,3,24,11,12,18,3,0,76
LGA20830,0,0,0,0,0,0,15,6,0,26,0,0,4,14,4,10,7,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,24,89,55,23,211,0,12,24,71,66,65,58,24,0,322,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,20,0,0,0,11,6,6,0,0,0,20,4,4,9,67,32,28,15,6,0,155,0,0,0,3,3,6,9,10,4,33,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,32,46,37,8,148,0,0,0,5,3,5,0,0,0,21,6,11,9,25,21,21,14,6,3,102,0,3,0,38,14,9,9,0,0,74,0,0,8,46,0,0,0,0,0,56,5,0,7,31,24,5,0,0,0,70,0,0,0,0,0,0,0,0,0,7,0,5,0,24,14,15,16,3,0,72
LGA20910,0,0,0,0,4,13,23,5,6,42,0,0,0,18,17,20,10,7,0,71,0,0,6,3,4,7,3,0,0,20,0,0,4,12,0,0,0,0,0,23,0,11,11,20,28,18,40,21,14,159,0,32,61,227,218,200,112,47,14,920,0,0,0,12,9,4,4,4,0,33,0,0,0,4,0,5,5,0,0,21,0,0,0,4,14,13,0,0,0,33,0,3,11,69,47,22,23,4,0,196,0,0,7,57,37,61,87,36,22,308,0,0,0,0,0,0,0,0,0,4,0,11,13,77,59,88,63,50,27,387,6,37,39,36,30,23,12,7,0,189,4,37,55,166,202,99,75,35,11,682,0,0,3,48,19,34,39,18,5,174,0,0,0,21,5,4,5,0,0,36,0,21,15,76,19,11,3,4,0,153,0,3,8,18,20,21,15,8,0,98,23,71,57,106,79,64,32,17,6,448
LGA21010,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,4,3,0,10,12,0,31,0,0,3,9,15,25,6,3,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,13,4,7,7,0,0,44,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,8,0,27,0,0,0,0,5,0,0,0,0,3,0,0,0,3,3,3,0,0,0,14,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,9,0,0,16
LGA21110,0,0,0,5,4,8,29,9,4,62,0,0,7,44,12,17,18,3,3,98,0,0,0,21,3,9,3,0,0,55,0,0,24,50,4,0,0,0,0,82,0,13,11,18,24,6,36,29,9,141,6,67,99,372,220,206,129,69,38,1216,0,0,0,13,4,15,13,9,0,56,0,9,11,59,10,11,7,0,0,111,0,0,0,10,22,12,0,0,0,48,0,15,26,167,64,32,42,7,0,352,0,0,0,42,20,25,49,27,40,197,0,0,0,3,0,3,0,0,0,7,0,3,14,53,44,52,56,47,29,295,3,85,71,185,91,91,88,25,6,650,3,28,41,143,121,75,55,35,10,514,0,19,58,227,119,138,77,57,26,717,6,22,21,230,82,54,56,13,4,490,0,9,31,177,58,28,14,5,0,328,0,3,0,30,24,16,9,5,4,98,27,99,88,180,91,67,46,20,8,614
LGA21180,0,0,6,28,59,301,847,618,225,2085,0,3,0,27,10,20,32,5,9,105,0,48,166,520,90,31,16,5,3,875,0,9,132,291,6,7,4,0,0,452,0,3,0,0,0,9,23,29,12,74,30,196,244,504,152,115,44,9,7,1299,0,5,20,155,196,365,528,215,61,1534,16,85,41,328,31,17,19,4,0,546,0,0,3,13,6,0,0,0,0,27,5,104,233,1164,566,581,423,125,39,3238,0,0,0,44,58,108,149,86,61,507,0,27,66,122,93,54,19,11,4,398,0,4,0,11,15,21,42,34,16,137,0,5,18,57,21,18,10,7,0,132,0,7,9,39,21,15,10,6,5,110,9,21,65,281,111,106,75,26,8,696,0,4,6,56,12,6,7,0,0,87,4,9,23,217,87,46,14,4,4,418,0,3,6,75,84,78,53,30,6,332,3,10,21,32,22,7,6,0,0,105
