LGA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
LGA20110,0,0,0,6,3,18,38,28,14,111,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,11,0,5,7,25,3,3,0,0,0,39,0,0,0,5,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,0,0,22,0,0,0,5,7,21,72,86,48,233,0,5,0,8,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,3,7,0,4,5,4,6,0,0,27,0,0,0,0,0,6,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,19,0,0,9,20,0,0,0,0,0,30,0,0,3,8,9,8,25,21,4,80,0,6,13,39,47,32,19,7,0,166,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,7,3,3,15,11,4,45,0,0,0,0,0,3,4,0,0,10,0,0,0,8,0,0,0,0,0,9,0,7,10,90,12,3,8,5,0,127,0,4,0,11,3,0,0,0,0,19,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,7,0,0,3,0,3,0,0,13,0,0,0,0,5,6,12,4,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,6,0,0,4,0,0,5,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,3,4,0,14,15,7,37,3,9,8,57,46,34,24,6,0,187,0,0,0,0,0,0,0,0,0,4
LGA20570,0,6,9,34,26,33,115,59,20,310,0,0,0,5,0,0,21,25,8,66,0,10,16,19,13,8,8,0,0,72,17,90,311,1181,149,41,39,18,0,1846,0,5,13,37,17,0,8,4,3,90,0,0,9,35,12,0,3,4,0,72,0,8,3,23,14,3,0,0,0,51,5,8,12,50,31,18,26,17,18,181,0,4,0,14,5,28,58,25,29,173,0,3,9,38,21,6,3,0,7,88,0,4,7,45,7,6,0,0,0,66,0,0,0,8,0,5,0,0,0,14,0,19,28,90,44,46,24,9,3,249,0,0,0,0,0,8,35,18,6,70,0,0,0,26,3,4,3,0,0,35,0,0,0,7,8,0,4,0,0,17,0,6,61,143,4,0,0,0,0,212,0,4,6,20,12,32,186,178,58,495,5,45,68,284,183,183,135,50,16,969,0,0,0,3,3,6,0,0,0,15
LGA20660,6,9,17,98,54,41,123,115,51,512,0,9,16,40,55,205,301,292,150,1072,7,37,24,207,77,76,63,18,4,516,20,142,226,1464,250,160,112,44,22,2450,0,14,25,153,42,35,26,6,9,309,5,25,40,517,93,44,31,11,0,753,0,0,4,35,20,12,13,0,3,89,4,20,18,145,77,62,63,29,19,439,0,9,8,114,62,258,628,544,397,2014,3,15,20,102,68,26,19,0,0,262,0,13,21,134,53,17,12,5,0,252,0,0,6,55,58,102,72,48,15,353,4,47,79,435,159,187,179,67,7,1159,0,0,0,6,9,28,86,62,15,206,0,0,13,48,9,34,16,16,6,141,0,0,4,15,3,10,3,0,0,36,0,3,45,107,12,0,3,0,0,172,0,12,8,32,24,18,68,45,26,233,10,68,104,548,289,250,124,57,19,1482,0,0,4,63,55,97,118,67,24,427
LGA20740,0,9,5,27,7,32,73,60,17,227,0,0,0,0,7,13,21,40,8,82,0,0,0,5,5,3,10,0,0,22,0,11,18,124,12,17,22,5,0,210,0,4,4,12,9,5,10,0,0,43,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,22,35,26,3,106,0,4,0,20,10,27,104,63,29,268,0,0,0,13,5,10,0,0,0,34,0,0,0,10,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,10,0,0,0,20,12,12,8,0,0,55,0,0,0,0,0,20,35,19,0,73,0,0,0,9,8,8,13,7,0,46,0,0,5,10,5,0,3,0,0,20,0,0,6,30,0,0,0,0,0,36,0,0,0,6,10,25,141,64,23,275,0,23,27,124,89,153,132,66,4,613,0,0,0,0,0,0,3,0,0,14
LGA20830,0,4,0,26,20,32,84,70,25,268,0,0,0,0,0,3,13,6,6,32,0,0,0,16,0,0,0,0,0,21,5,16,26,206,41,13,18,12,0,332,0,0,8,36,5,4,6,5,0,56,0,3,0,6,0,3,0,0,0,17,0,5,0,5,5,0,0,0,0,11,0,0,3,24,16,7,21,9,7,88,0,0,0,9,5,26,51,55,29,178,0,4,5,7,7,3,4,0,0,30,0,0,0,14,3,0,0,0,0,16,0,0,0,0,5,0,0,0,0,11,0,0,0,12,6,12,12,5,0,46,0,0,8,0,0,7,20,7,0,43,0,0,4,22,5,12,7,0,3,61,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,3,11,24,46,157,117,38,395,0,14,47,170,125,130,114,39,0,651,0,0,0,0,0,0,0,4,0,5
LGA20910,3,22,30,126,123,97,132,139,55,735,0,0,6,22,56,124,163,221,100,705,7,76,36,73,44,37,32,11,7,324,0,38,49,382,132,134,110,54,24,921,3,11,14,59,30,15,16,11,7,159,0,0,4,104,33,19,13,3,0,179,0,0,0,7,5,4,4,4,0,26,0,16,26,277,108,85,54,41,15,621,0,11,4,59,57,94,174,146,141,685,6,31,27,81,61,28,19,3,6,267,0,6,18,50,23,12,8,0,0,116,0,0,0,18,28,36,19,10,5,113,4,15,20,139,90,79,78,30,10,461,0,0,0,0,4,16,34,10,10,77,0,0,0,28,23,33,15,11,4,114,0,0,6,3,7,7,0,0,0,22,0,0,11,28,3,3,0,0,0,47,8,24,30,45,54,39,69,44,19,334,3,72,120,455,398,360,206,93,28,1737,0,0,0,19,22,12,13,10,0,61
LGA21010,0,0,0,12,0,14,38,15,8,97,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,11,13,71,9,4,3,0,0,106,0,0,4,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,9,14,0,37,0,0,0,5,3,0,4,9,3,30,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,12,0,0,0,0,0,0,5,5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,0,0,0,0,0,19,0,0,0,5,0,5,30,22,0,64,0,0,3,15,24,38,21,9,0,115,0,0,0,0,0,0,0,0,0,3
LGA21110,7,16,17,115,80,54,141,120,46,601,0,3,18,35,71,244,349,571,305,1586,25,254,173,516,342,321,296,95,28,2046,28,265,358,2149,516,310,236,152,44,4047,0,18,67,377,113,72,87,35,12,782,0,41,59,394,163,64,61,30,6,817,0,12,0,39,19,11,3,0,0,88,4,21,16,158,57,84,58,39,25,460,0,13,15,131,77,160,363,383,282,1418,4,29,37,131,87,53,27,27,6,398,4,48,76,292,135,61,24,4,3,640,0,0,0,20,32,28,18,19,9,129,4,119,259,1029,743,639,628,255,70,3749,0,0,0,4,6,12,41,15,7,91,0,0,7,76,20,34,30,6,3,176,0,0,14,33,7,19,3,8,7,84,0,3,70,114,0,3,3,5,0,199,4,23,28,46,46,24,74,47,18,311,8,129,235,773,433,396,255,127,57,2413,0,0,0,19,11,28,22,19,5,107
LGA21180,4,3,24,66,44,55,301,224,64,786,0,20,27,69,94,294,546,706,271,2031,0,17,23,318,52,61,54,7,7,538,65,317,1209,4844,672,498,379,168,57,8209,3,7,36,272,88,35,35,3,0,478,0,28,51,257,46,29,10,12,0,440,7,286,153,479,141,96,69,26,3,1256,3,7,7,69,24,19,27,24,7,185,0,18,25,114,91,504,899,785,393,2819,0,7,21,66,24,4,4,0,0,127,5,4,10,87,20,12,10,0,0,145,6,21,21,181,169,199,133,43,17,795,22,234,59,485,95,114,95,33,0,1140,0,8,7,60,114,573,1728,1221,378,4086,0,0,4,70,24,30,50,11,7,204,3,90,350,1077,226,79,32,3,0,1867,3,10,343,693,22,16,6,0,0,1098,0,3,3,8,6,17,55,47,19,153,50,403,499,993,315,217,93,23,5,2601,0,6,26,319,365,681,1090,438,104,3033
