LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,33,43,82,558,654,1216,0,0,0,43,46,88,0,0,0,1253,1402,2654,30,28,59,25,26,51,34,44,78,5,5,14,21,26,51,0,0,0,6,17,25,35,43,72,113,109,225,0,8,14,8,16,21,230,331,565,130,141,274,10,8,15,2509,2907,5418,32,29,62,14,12,33,4,4,9,0,0,0,7,7,15,23,32,50,28,38,71,3321,3025,6347,22,12,36,10,22,35,3351,3059,6415,576,573,1156,6562,6671,13235
LGA20260,18,32,55,457,556,1015,0,0,0,35,34,63,0,0,0,853,1009,1860,31,34,65,17,19,37,20,41,62,8,0,8,37,45,87,0,0,0,12,3,12,16,20,40,133,151,284,16,25,41,11,12,27,378,431,808,76,83,157,4,3,3,2102,2461,4563,57,30,84,45,36,79,3,9,11,0,0,0,16,16,32,5,16,23,24,33,62,2752,2510,5263,13,6,16,10,13,19,2775,2530,5302,1257,467,1719,6273,5606,11880
LGA20570,399,479,873,3917,5116,9030,0,0,0,411,454,866,121,119,242,11027,13238,24268,336,466,806,225,237,458,124,163,290,43,67,114,210,256,471,44,33,77,127,155,279,365,412,775,960,1209,2169,89,139,224,78,107,185,2222,3182,5408,924,1101,2021,16,30,43,21237,26497,47729,732,585,1320,420,346,765,26,31,56,9,5,21,335,310,651,156,278,438,506,600,1105,27429,26607,54034,180,155,336,73,139,210,27688,26908,54585,3736,3589,7325,54740,59025,113763
LGA20660,974,1428,2400,3580,4769,8359,11,11,12,587,699,1286,45,49,93,14476,16845,31326,54,72,123,2762,2885,5646,48,79,130,42,50,95,172,218,387,156,137,290,153,193,353,334,387,724,753,859,1605,67,94,161,20,43,59,1118,1700,2814,1210,1491,2706,27,40,61,25613,30615,56230,1253,1066,2317,1568,1483,3045,83,102,185,6,5,6,157,147,311,196,294,495,360,448,807,27955,26367,54315,263,215,475,105,149,250,28312,26730,55038,3240,2975,6219,61405,64835,126236
LGA20740,147,239,390,2061,2516,4577,0,0,0,324,382,707,0,5,5,3143,3555,6696,11,21,27,176,175,350,44,65,109,18,21,34,43,55,95,11,7,15,40,53,92,88,104,184,364,389,752,33,53,80,24,26,54,592,815,1408,357,410,765,20,24,42,7342,8663,16007,93,68,162,39,34,72,14,16,33,5,0,6,42,34,79,44,79,119,93,110,206,10269,9912,20182,76,64,139,38,81,118,10377,10057,20433,1722,1766,3488,19834,20955,40789
LGA20830,182,279,462,2718,3398,6115,0,0,0,357,390,752,64,71,136,4526,5047,9573,45,72,118,123,125,251,120,143,260,59,53,113,55,77,133,6,9,12,253,271,531,191,221,413,737,862,1601,52,77,132,61,88,148,882,1170,2053,739,885,1623,18,17,37,11018,12986,24003,119,106,221,100,97,192,15,17,31,0,3,0,58,69,129,67,105,166,130,168,299,14172,13627,27796,83,89,178,26,59,93,14281,13776,28058,2190,2160,4352,28035,29590,57626
LGA20910,461,764,1228,5265,6712,11973,0,0,0,228,293,519,4,0,5,9794,11792,21584,32,38,70,1996,2155,4149,46,72,118,15,28,44,155,217,369,89,87,171,108,130,234,125,164,288,627,769,1393,9,20,36,18,24,39,1155,1549,2700,579,763,1339,30,34,55,20278,24829,45107,406,376,778,314,357,675,1415,1515,2928,5,0,0,64,52,120,98,127,226,172,174,344,22580,21999,44580,177,125,300,60,118,184,22818,22250,45069,2522,2667,5183,48378,52930,101306
LGA21010,29,41,68,757,960,1719,0,0,0,74,81,162,0,0,0,1226,1441,2665,4,3,3,24,29,50,18,18,35,6,18,24,35,31,67,3,3,13,25,19,41,61,65,120,223,260,481,19,47,65,6,14,19,348,440,788,127,157,287,0,3,3,2956,3591,6542,46,31,79,24,26,56,7,5,12,0,0,4,17,16,32,10,22,36,26,39,70,3199,2974,6171,19,17,30,8,17,23,3219,3003,6226,739,730,1473,7052,7472,14528
LGA21110,2308,3262,5568,5948,7379,13329,8,4,11,1103,1369,2472,0,0,6,15712,17822,33528,64,111,174,3526,3951,7478,53,74,129,47,50,93,225,286,505,162,172,336,226,305,531,423,535,951,1014,1158,2170,61,77,130,43,56,104,1836,2680,4514,1341,1789,3132,39,38,77,31815,37864,69673,2226,2063,4295,986,899,1885,739,767,1501,0,0,0,207,188,394,278,316,591,485,502,988,37463,37464,74927,347,296,641,89,203,289,37902,37957,75859,4049,4080,8131,80517,87386,167900
LGA21180,9643,11963,21602,2158,2456,4606,28,40,66,1643,1464,3100,0,0,0,27801,29750,57553,50,55,112,5771,5990,11759,292,370,661,285,282,566,132,173,299,770,838,1605,493,542,1030,866,998,1867,528,603,1129,58,72,132,164,159,319,663,910,1573,3619,3869,7490,50,45,94,45369,48607,93975,3583,2486,6070,7123,5902,13031,38,34,70,0,0,4,1979,1590,3568,209,246,457,2188,1839,4027,21697,19159,40855,168,121,285,78,124,204,21938,19404,41343,7608,6897,14502,97491,97124,194618
