LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,112,102,213,414,364,776,70,67,133,7,11,22,490,444,935,302,295,595,83,83,172,43,45,87,431,423,857,17,18,36,15,26,48,44,29,67,40,90,135,0,0,0,115,165,283,33,50,82,24,44,57,5,11,18,37,102,136,0,0,0,94,206,295,208,367,579,0,9,15,7,31,36,0,0,0,14,38,54,458,442,898,1713,1812,3529
LGA20260,127,98,221,335,315,646,64,57,124,7,0,9,406,382,784,158,126,281,113,157,270,26,18,38,294,302,599,11,9,16,8,17,24,29,14,43,27,41,65,0,0,0,72,84,156,14,33,43,16,28,43,0,15,16,10,50,67,0,0,0,40,123,163,115,204,321,12,4,15,17,30,42,0,3,6,30,36,63,1155,376,1532,2127,1393,3516
LGA20570,1326,1222,2556,2921,2679,5600,1387,1369,2755,587,608,1188,4905,4658,9560,1744,1805,3549,1265,1190,2455,818,905,1730,3834,3908,7740,182,183,360,150,233,385,396,229,628,452,636,1088,0,6,8,1187,1284,2470,832,1317,2149,369,640,1009,112,189,302,482,947,1431,6,7,11,1806,3096,4904,2997,4386,7383,142,135,277,225,383,611,6,11,18,378,525,904,2878,2930,5810,16316,17634,33948
LGA20660,1554,1412,2969,3833,3656,7489,1146,1149,2297,290,333,620,5274,5142,10425,2480,2191,4673,1032,1007,2038,709,793,1510,4228,3999,8228,224,191,416,190,273,465,371,143,511,448,580,1028,6,6,7,1235,1190,2425,1549,1905,3457,553,718,1268,202,256,460,626,1063,1687,4,0,7,2936,3945,6877,4170,5134,9306,185,133,317,337,432,770,6,4,12,528,577,1102,2071,1973,4045,17832,18236,36067
LGA20740,354,337,694,1015,966,1979,218,171,392,203,174,374,1442,1310,2744,697,666,1364,57,74,134,291,303,592,1048,1047,2095,34,43,79,40,65,97,112,67,183,117,185,302,8,8,8,303,363,673,93,161,254,41,102,143,15,33,48,66,229,289,4,3,8,218,527,749,527,895,1415,33,29,54,67,100,163,0,0,5,95,127,226,1432,1567,2993,4889,5285,10175
LGA20830,656,597,1245,1717,1532,3250,418,424,837,300,293,601,2436,2262,4694,1106,1082,2188,379,428,806,358,393,747,1838,1904,3739,80,97,182,40,129,164,233,144,382,195,362,561,3,4,3,550,736,1286,191,386,582,73,198,269,31,82,109,131,374,504,3,5,3,426,1046,1476,975,1786,2763,89,73,164,95,158,252,0,3,8,182,239,420,1696,1709,3406,7784,8489,16276
LGA20910,1074,1058,2131,2529,2433,4960,829,832,1659,987,861,1850,4342,4130,8472,1286,1129,2414,638,821,1455,2351,2165,4520,4285,4117,8401,137,99,233,59,144,204,225,76,298,209,379,590,0,7,11,627,709,1336,1830,1928,3759,271,333,600,223,207,432,395,714,1111,4,3,8,2721,3189,5912,3357,3902,7255,74,65,138,187,334,520,0,0,3,259,406,664,1703,1943,3649,15017,15551,30571
LGA21010,90,102,192,243,209,450,151,172,322,30,43,68,418,423,842,200,190,386,131,112,243,64,57,118,394,361,756,11,22,34,23,24,42,43,25,71,45,90,142,0,0,3,131,157,291,18,40,63,8,18,33,0,11,13,23,58,84,0,0,0,47,135,185,182,291,475,16,7,26,9,31,44,0,5,0,27,41,76,634,630,1264,1750,1863,3614
LGA21110,1624,1535,3155,4255,3873,8131,1121,985,2112,1222,1434,2654,6612,6302,12912,2373,2337,4708,1538,1170,2703,3285,3493,6779,7199,7000,14205,277,214,487,248,326,580,254,107,360,495,679,1175,7,9,10,1279,1339,2615,4354,4477,8830,1088,1151,2241,505,497,999,1044,1484,2530,14,8,23,7006,7617,14623,8291,8959,17247,221,196,423,359,542,909,11,3,13,591,743,1338,2425,2598,5024,26746,27142,53885
LGA21180,1799,1589,3390,4639,4206,8855,2292,2320,4609,529,506,1037,7483,7049,14524,4220,3786,8010,1414,1694,3106,618,627,1247,6264,6116,12381,674,518,1190,678,758,1434,544,227,776,673,835,1509,16,14,31,2592,2352,4945,2356,3054,5411,902,997,1897,293,316,610,462,705,1163,11,16,26,4022,5078,9105,6638,7453,14090,759,665,1423,675,962,1635,30,27,53,1461,1656,3118,6428,5885,12308,30063,29745,59807
LGA21270,44,45,89,154,152,305,53,32,90,8,0,7,212,190,404,194,179,365,4,0,7,0,3,9,196,187,380,0,3,9,3,10,14,20,8,29,5,22,25,0,0,0,34,47,81,11,28,38,9,4,13,0,0,3,3,28,30,0,0,0,27,64,90,58,107,165,5,4,3,12,13,26,0,0,0,15,17,26,315,265,575,842,803,1645
LGA21370,363,329,690,950,882,1832,475,529,1007,91,82,170,1513,1492,3007,658,615,1270,434,456,887,116,144,265,1207,1212,2420,51,47,92,31,65,99,181,115,295,115,232,345,3,8,6,379,462,840,63,153,214,15,84,95,11,29,40,55,168,222,0,0,0,144,430,578,525,892,1420,27,24,52,50,110,159,0,6,6,81,142,219,1449,1399,2847,5136,5466,10602
LGA21450,1726,1608,3334,4271,3854,8124,955,1000,1960,831,869,1700,6063,5726,11790,2373,2367,4749,779,792,1569,972,938,1910,4130,4112,8241,249,274,526,205,374,585,577,285,864,470,791,1265,8,0,11,1508,1732,3246,748,1069,1813,262,517,780,108,194,302,324,800,1118,4,4,9,1448,2585,4033,2956,4324,7282,203,182,388,296,475,771,4,5,9,504,668,1170,2964,3031,5995,18342,19475,37808
LGA21610,4846,4363,9208,13622,12714,26332,2796,2732,5526,2228,2275,4507,18681,17755,36438,8880,8447,17325,2598,2633,5234,2315,2351,4662,13822,13454,27271,937,1115,2048,863,1291,2153,1339,650,1990,1545,2474,4018,22,14,41,4706,5545,10246,3636,4592,8233,1114,1727,2840,445,611,1057,1091,1917,3006,25,19,45,6317,8866,15185,11049,14443,25497,912,915,1829,1212,1747,2958,22,24,43,2145,2683,4835,8655,8447,17106,59199,61146,120350
LGA21670,102,89,195,347,317,662,105,102,207,13,7,16,462,427,892,248,235,485,47,35,87,82,85,167,375,359,734,7,4,15,6,16,24,41,15,51,24,51,72,0,0,0,73,92,163,18,50,68,13,22,33,4,13,18,12,48,60,6,0,6,50,130,178,129,218,347,4,9,19,15,33,51,3,0,5,22,46,72,547,528,1072,1641,1676,3314
