LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA20110,0,0,9,20,13,44,100,172,113,463,0,0,0,3,3,9,13,14,3,46,46,54,92,92,119,176,156,146,73,952,211,518,1194,1462,1760,2152,1979,1080,396,10751
LGA20260,11,10,20,27,26,51,145,151,105,551,0,3,7,6,11,16,18,8,7,74,34,53,147,126,138,143,127,107,37,923,254,560,1437,1312,1521,1744,1644,915,370,9756
LGA20570,70,94,176,182,232,400,912,1102,741,3921,4,21,55,36,70,54,54,30,22,354,329,409,837,665,702,667,782,737,526,5659,2786,7188,15526,14068,13840,13307,11929,6743,2877,88261
LGA20660,27,26,77,106,162,287,740,1364,1017,3809,12,26,78,93,109,160,155,139,139,918,170,245,637,589,496,490,574,501,301,4006,2323,7002,16245,18161,16900,14853,12682,7666,3398,99230
LGA20740,18,18,39,55,83,188,384,470,281,1530,0,6,9,11,21,17,22,43,29,164,115,88,253,330,343,469,608,445,240,2883,736,1430,3585,4241,4813,6672,7182,3636,1219,33507
LGA20830,37,23,85,93,124,229,464,684,422,2156,0,9,32,19,26,27,20,20,18,173,156,129,405,403,418,452,473,413,196,3056,1249,2885,7129,6567,6915,7576,7069,3940,1354,44685
LGA20910,14,7,21,39,54,105,249,471,433,1398,0,11,18,33,43,39,54,63,42,305,164,109,303,429,529,410,508,533,506,3480,2196,5203,7904,11810,16257,14033,11073,6924,3418,78819
LGA21010,7,8,20,17,35,65,178,218,158,715,0,0,7,10,4,8,6,8,5,38,65,51,127,120,160,198,191,181,102,1200,310,605,1389,1350,1725,2350,2342,1392,558,12025
LGA21110,27,19,38,59,109,168,448,872,743,2485,9,26,62,60,106,114,137,152,145,809,259,335,785,627,706,590,646,653,552,5153,3746,12291,21028,20402,23802,20731,15904,9820,4959,132688
LGA21180,52,119,492,912,1314,2025,3692,3447,1372,13418,21,71,572,640,925,1266,1168,899,543,6107,628,885,2432,1894,1505,1325,1300,1052,599,11613,4379,13355,30485,26354,24487,23062,18279,9696,3656,153749
