LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA20110,1894,3764,17,88,133,628,24,106,705,2743,878,3564,62,238,115,368,210,653,380,1259,1261,4824,5,11,35,124,10,40,169,402,218,573,14,39,38,75,155,319,207,436,423,1009,38,71,3617,9665
LGA20260,1434,2839,18,99,94,410,32,139,544,2192,683,2843,28,121,70,236,220,657,317,1013,1001,3852,8,34,29,101,16,67,190,537,247,741,13,37,33,72,184,404,238,512,481,1258,54,109,2973,8057
LGA20570,11872,23702,174,949,1201,5613,326,1482,6736,26412,8436,34454,471,1993,941,3166,1882,5991,3304,11146,11742,45604,94,421,424,1423,212,813,2353,6292,3089,8944,196,620,540,1153,1907,4127,2646,5901,5732,14844,444,931,29786,85084
LGA20660,12696,25465,163,926,1505,6859,205,908,9075,34780,10944,43469,959,4111,1646,5920,2919,9465,5516,19498,16457,62966,48,223,333,1076,69,224,1592,3892,2041,5419,251,827,664,1497,2159,4707,3078,7028,5120,12455,503,1061,34785,101952
LGA20740,5781,11511,50,268,360,1635,93,405,1972,7774,2472,10079,112,479,279,904,696,2170,1089,3550,3565,13632,21,104,109,374,53,210,610,1603,802,2298,49,144,127,277,644,1390,819,1806,1620,4103,108,232,11074,29480
LGA20830,6896,13820,141,796,615,2949,171,795,3484,13802,4410,18350,297,1282,469,1577,1233,3920,2001,6775,6408,25123,52,221,181,646,77,276,928,2575,1236,3713,89,269,235,502,800,1738,1117,2507,2350,6225,184,391,15843,45551
LGA20910,10418,20770,119,626,1698,7572,103,448,6808,26382,8730,35025,867,3660,2221,7940,1989,6384,5078,17983,13810,53007,22,79,306,908,36,98,1039,2450,1400,3540,172,516,717,1633,1201,2588,2091,4731,3486,8273,250,524,27964,82564
LGA21010,2084,4156,18,93,109,516,27,128,596,2355,757,3095,61,258,85,274,294,913,437,1440,1197,4535,16,52,43,151,24,85,217,594,296,881,15,51,41,101,257,541,320,697,618,1573,46,94,3939,10360
LGA21110,16248,32454,136,754,2912,13117,159,641,10362,39950,13565,54465,1477,6277,3750,13481,3285,10539,8514,30295,22080,84767,27,113,558,1771,51,167,1685,4014,2325,6066,291,896,1189,2735,1740,3702,3210,7333,5540,13401,748,1560,44611,132174
LGA21180,15455,31712,455,2815,2225,10737,569,2805,11132,43910,14385,60264,1575,6985,2053,7420,5926,20053,9556,34455,23938,94721,194,986,721,2691,321,1273,3061,8514,4300,13457,610,2114,1025,2500,4511,10565,6155,15183,10455,28639,1181,2602,51032,157667
