LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA20110,4870,11228,238,376,15,27,252,406,40,74,0,0,0,0,0,0,4,11,45,87,14,26,7,5,0,0,19,35,31,68,20,52,5222,11843,1434,..,6661,11843
LGA20260,4179,9581,294,410,8,18,300,430,4,31,6,7,0,0,0,0,0,4,12,45,14,26,12,19,0,0,7,17,28,61,12,28,4541,10142,602,..,5141,10142
LGA20570,37980,94623,4802,7964,544,1016,5344,8986,1021,1462,88,129,3,5,0,0,14,29,1121,1616,34,46,46,60,6,3,49,111,126,222,75,152,44654,105593,3584,..,48235,105593
LGA20660,36197,97923,4252,7576,3493,8215,7746,15790,1895,3375,476,790,932,1500,299,464,29,56,3636,6188,0,0,0,0,0,0,37,76,40,73,49,90,47666,120069,3941,..,51602,120069
LGA20740,15225,34440,671,938,293,612,961,1552,214,329,27,30,12,16,0,6,9,5,257,392,43,55,127,173,0,0,16,30,183,257,36,80,16662,36724,10831,..,27496,36724
LGA20830,19615,50524,848,1289,45,69,891,1359,590,877,0,0,0,0,0,0,6,16,595,895,16,25,282,395,0,3,9,23,311,441,34,63,21441,53280,1924,..,23365,53280
LGA20910,23722,67756,4494,8563,4115,9825,8612,18390,2140,3621,1362,2300,1559,2434,240,386,18,37,5317,8778,0,0,0,0,0,0,252,458,253,459,36,82,37936,95455,3871,..,41805,95455
LGA21010,5391,12163,581,816,3,8,583,820,7,6,0,0,0,0,0,0,0,0,6,5,29,32,5,8,0,0,7,28,43,69,15,19,6033,13081,737,..,6770,13081
LGA21110,34771,103222,7738,16545,4763,12163,12501,28713,5346,9470,4894,8197,4271,7128,636,1003,18,40,15162,25842,0,0,0,0,0,0,218,436,218,436,74,138,62715,158345,8147,..,70862,158345
LGA21180,52121,155063,5046,11779,3908,10677,8955,22458,2295,4682,141,221,145,237,91,145,54,128,2731,5412,0,0,29,37,6,6,53,134,87,181,61,141,63949,183245,4288,..,68236,183245
