LGA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA20110,40,0,0,0,40,4,0,45,0,0,0,0,0,0,0,0,0,0,5,5,215,52,13,7,286,3,4,3,289,22,5,318,78,13,0,0,93,0,0,0,93,4,0,100,66,22,3,0,93,4,0,4,94,11,0,103,7,0,0,0,4,0,0,0,4,0,0,4,0,0,0,4,4,0,0,0,4,0,0,4,145,36,3,6,198,4,0,4,199,14,0,215,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,150,36,3,6,199,4,0,3,200,14,0,215,16,5,3,0,21,0,0,0,21,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,163,47,7,6,223,4,0,3,225,23,0,253,96,11,0,0,113,0,0,0,110,0,0,115,94,32,3,0,126,0,0,0,126,3,0,132
LGA20260,31,0,0,0,31,7,0,38,0,0,0,0,0,0,0,0,0,0,0,3,187,26,9,4,220,4,0,4,228,21,5,250,64,7,0,0,71,0,0,0,71,3,0,74,41,8,0,0,52,3,0,3,52,3,0,52,4,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,110,13,0,3,126,3,0,3,135,9,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,13,0,3,126,3,0,3,135,9,0,137,11,4,0,0,18,0,0,0,18,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,121,17,0,3,142,3,0,3,145,10,0,159,69,9,0,0,73,0,0,0,73,0,0,79,51,9,3,0,66,0,0,0,72,7,0,77
LGA20570,380,10,0,13,391,73,0,464,0,0,0,0,4,0,0,0,4,0,9,12,2333,320,52,23,2720,34,8,38,2759,168,14,2947,561,74,14,0,651,0,6,3,655,31,0,686,687,88,8,4,790,5,4,10,802,36,0,839,50,3,6,0,53,0,0,0,53,4,0,57,3,0,0,0,11,0,0,0,11,0,7,14,1305,166,23,8,1497,7,10,16,1515,71,6,1598,6,0,0,0,6,8,0,8,10,0,0,12,23,4,0,0,23,0,0,0,20,0,0,26,30,4,0,0,28,5,0,5,37,3,0,36,1329,164,23,9,1532,13,10,24,1548,78,6,1635,171,36,5,6,216,11,0,11,226,60,0,281,0,0,0,0,0,0,0,0,0,0,7,5,1503,203,26,15,1744,22,10,29,1774,133,8,1921,754,85,12,3,854,3,0,5,859,46,0,910,782,118,16,9,914,15,8,13,933,33,0,971
LGA20660,413,6,0,5,422,48,0,473,8,0,0,0,3,0,0,0,3,0,11,16,2906,375,41,30,3355,52,12,62,3418,154,16,3582,670,87,15,0,779,10,4,13,790,33,3,825,843,108,15,8,976,14,0,17,988,47,0,1035,35,4,4,0,40,0,0,0,40,4,0,39,10,0,0,4,15,0,0,0,15,0,0,14,1554,201,30,15,1801,27,0,31,1830,84,3,1916,14,3,3,0,15,0,0,0,13,3,0,19,23,8,0,0,28,0,0,0,28,5,0,27,32,6,3,0,45,3,0,4,42,3,0,48,1591,208,29,15,1839,28,0,38,1879,89,3,1966,193,38,3,7,248,3,5,8,250,45,0,301,0,0,0,0,5,0,0,0,5,0,5,8,1786,246,38,19,2093,34,6,39,2131,139,3,2271,991,105,23,0,1119,13,0,19,1137,66,3,1206,1013,132,11,3,1164,11,3,16,1178,46,0,1229
LGA20740,108,6,0,6,107,28,0,138,0,0,0,0,0,0,0,0,3,0,5,10,581,132,28,20,760,16,8,23,782,82,7,872,169,24,4,0,199,4,0,4,204,11,0,220,186,46,5,4,242,0,0,0,246,25,0,265,9,0,0,0,13,0,0,0,13,0,0,16,0,0,0,5,5,0,0,0,5,3,0,3,361,79,11,11,462,4,0,5,466,36,0,503,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,365,79,11,11,466,4,0,5,467,42,0,513,48,17,3,4,69,0,0,0,68,20,0,92,4,0,0,0,4,0,0,0,4,0,3,10,411,95,20,9,535,3,0,4,542,66,8,610,159,29,6,0,191,0,0,0,191,19,0,215,234,71,7,7,314,0,5,3,320,26,0,346
LGA20830,238,10,0,6,245,31,0,281,5,0,0,0,5,0,0,0,5,0,11,12,1233,175,44,31,1475,13,5,19,1494,79,16,1595,291,35,13,4,338,5,3,8,347,13,0,359,380,56,11,5,449,3,0,3,454,24,5,474,25,5,3,0,32,0,0,0,32,0,0,34,5,0,0,5,4,0,0,0,10,0,0,12,695,96,24,12,825,6,7,9,841,36,4,876,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,7,3,0,5,15,4,0,16,8,0,0,0,8,3,0,5,17,0,0,16,705,96,24,12,840,11,6,14,850,42,4,898,105,26,3,0,138,4,4,3,148,25,0,167,0,0,0,4,5,0,0,0,5,0,0,11,813,124,29,19,981,14,3,19,1004,63,6,1072,331,41,5,3,379,0,4,5,386,13,0,391,455,69,10,0,539,7,0,7,546,20,0,565
LGA20910,523,3,0,11,537,61,0,596,8,0,0,5,13,0,0,0,13,0,8,21,2898,294,49,32,3270,59,6,64,3334,159,11,3507,822,89,7,0,925,17,5,25,948,39,0,988,771,90,9,4,879,13,0,14,885,25,0,912,35,8,6,0,51,0,0,0,51,3,0,51,10,0,0,4,12,0,0,0,12,3,0,17,1639,195,22,10,1864,34,5,33,1895,72,0,1967,6,0,0,0,6,0,0,0,10,0,0,10,25,0,0,0,26,0,0,0,26,6,0,31,35,0,0,0,38,0,0,6,34,6,0,41,1669,193,22,10,1895,30,8,40,1929,72,0,2007,310,29,4,3,349,4,0,4,357,37,0,394,3,0,0,5,9,0,0,0,9,0,5,11,1985,225,28,14,2248,37,6,41,2295,114,7,2415,1123,112,11,4,1255,31,0,30,1286,52,3,1342,1007,147,15,7,1181,18,5,14,1193,34,0,1232
LGA21010,45,0,0,0,45,5,0,50,0,0,0,0,0,0,0,0,0,0,3,3,200,34,4,8,244,3,0,3,247,18,3,269,55,3,3,0,62,0,0,0,62,3,0,62,59,13,0,0,73,0,0,0,74,3,0,77,5,0,0,0,5,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,110,17,4,3,139,0,0,0,140,13,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,17,4,3,138,0,0,0,140,13,0,154,16,0,0,4,19,0,0,0,19,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,131,20,4,9,158,0,0,0,159,20,3,185,85,7,5,0,96,3,0,3,97,7,0,103,77,13,0,0,97,0,0,0,97,0,0,96
LGA21110,781,14,9,24,809,114,3,926,11,0,0,6,9,0,0,0,9,0,8,21,4276,471,68,50,4862,84,19,103,4963,263,20,5256,1340,109,18,5,1473,23,0,25,1498,66,4,1568,1156,153,10,3,1322,15,4,20,1340,39,0,1379,39,3,3,0,48,0,0,0,52,0,0,50,11,0,0,14,22,0,0,0,22,3,7,28,2545,273,31,21,2866,38,6,47,2913,102,7,3028,31,4,0,0,33,8,0,8,34,0,0,37,35,0,0,0,41,0,4,4,47,3,0,47,66,8,0,0,72,3,4,8,83,7,0,89,2606,278,35,23,2939,42,13,54,2994,111,7,3111,456,79,8,9,548,9,7,15,565,103,0,671,0,0,0,4,3,0,0,0,3,0,6,11,3072,358,41,31,3499,59,14,73,3568,213,20,3800,1799,175,21,9,1998,30,8,40,2038,120,3,2163,1644,264,17,16,1938,19,6,23,1967,63,0,2030
LGA21180,1083,47,11,58,1135,389,13,1532,17,0,0,10,29,0,0,0,29,0,22,53,2791,667,110,89,3655,125,39,163,3816,632,46,4496,689,80,13,7,784,16,0,17,803,75,0,885,608,136,15,6,762,13,4,20,782,74,0,862,42,4,3,0,54,3,0,3,54,8,0,56,7,0,0,15,26,0,0,0,26,3,3,29,1345,225,32,23,1624,35,3,45,1666,158,6,1834,20,12,0,0,31,14,6,20,57,6,0,63,32,9,0,0,42,5,8,18,62,14,0,70,57,22,5,0,78,17,10,33,112,17,0,131,1400,245,32,27,1702,58,21,77,1780,180,6,1965,463,164,24,27,677,28,8,36,708,266,12,987,6,0,0,0,5,0,0,0,5,0,21,29,1867,404,60,60,2387,84,24,110,2498,448,32,2976,931,121,19,8,1079,28,3,34,1106,117,0,1225,851,210,21,6,1085,21,5,32,1113,125,0,1238
