LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA20110,80,60,37,51,35,14,10,19,6,313,73,69,53,96,59,36,15,38,0,445,258,56,569,178,126,85,116,186,17,1593,12,4,10,22,16,9,5,18,0,101,24,4,11,20,18,5,9,13,0,104,4,4,0,4,0,0,3,8,0,26,28,6,18,8,5,18,9,21,13,130,839,1060,776,546,387,223,184,366,56,4431
LGA20260,78,47,14,42,36,10,6,21,0,256,63,50,21,104,42,7,15,18,4,325,229,55,290,264,95,53,76,166,23,1255,11,0,7,11,13,9,0,19,3,72,19,4,6,23,9,5,5,9,0,77,0,3,0,0,0,0,0,6,0,18,16,12,9,15,18,13,10,34,15,140,622,645,376,545,275,116,121,343,65,3109
LGA20570,357,447,195,337,306,123,62,92,20,1936,492,568,397,1086,686,245,101,176,40,3802,1251,514,4153,1947,1410,820,794,1109,154,12147,59,41,57,106,151,134,47,111,0,716,68,65,63,159,127,93,43,69,6,681,32,61,19,31,25,11,7,20,6,204,73,100,72,105,81,76,47,84,90,725,4593,11436,5525,5204,4190,1964,1312,2008,460,36692
LGA20660,493,732,312,405,521,186,55,101,27,2827,700,741,519,851,727,308,100,176,52,4174,1053,509,3517,1138,956,456,403,605,129,8773,45,37,56,75,126,58,26,44,4,470,122,103,80,146,229,113,26,73,12,898,54,128,30,41,45,31,9,19,9,360,97,154,71,79,109,69,38,50,105,781,8148,19924,5710,4561,5722,2187,1029,1558,676,49510
LGA20740,148,155,85,135,106,51,3,34,10,739,184,183,122,315,198,101,21,75,13,1209,598,153,1533,550,338,335,271,454,86,4317,30,9,29,40,49,31,10,38,0,240,39,13,25,51,40,31,16,27,3,258,10,17,9,8,7,4,4,6,3,64,56,31,42,52,36,42,24,54,35,384,1714,2800,1980,1530,1092,715,374,811,195,11214
LGA20830,188,236,97,177,174,61,25,57,23,1045,310,318,186,575,304,129,53,118,25,2025,953,280,2660,952,719,402,653,843,110,7574,40,16,31,64,77,54,27,55,7,363,64,30,39,122,80,38,32,53,6,456,26,33,12,22,20,4,4,10,3,139,63,57,40,79,52,34,38,66,56,485,2565,4369,3251,2522,1866,870,871,1421,266,17999
LGA20910,668,729,175,245,402,187,32,56,33,2522,650,581,251,397,521,291,41,70,43,2848,869,283,1450,433,438,359,120,227,68,4254,38,26,17,31,61,35,12,19,3,245,154,111,43,107,139,127,14,31,15,744,75,112,23,24,45,24,0,0,12,322,123,145,45,48,89,61,9,27,120,657,10388,15849,2641,2381,4209,2204,354,686,660,39378
LGA21010,86,54,28,38,40,14,6,17,5,283,82,82,37,149,65,17,8,29,10,473,222,46,569,280,163,96,126,184,26,1724,5,5,8,20,13,14,6,27,0,107,18,11,11,15,8,5,6,22,3,92,3,7,10,4,0,0,0,6,0,36,31,11,22,19,14,5,10,27,18,170,668,912,710,616,399,194,181,342,77,4104
LGA21110,775,909,265,326,572,284,57,101,49,3335,848,738,400,632,725,408,81,167,56,4062,842,425,1566,608,567,451,128,296,90,4965,59,47,34,56,87,61,20,39,3,400,185,122,65,115,194,129,20,49,13,890,93,221,26,58,69,44,11,23,24,567,128,243,43,64,121,72,9,32,163,871,15064,33214,3832,4089,7627,3696,686,1387,1123,70726
LGA21180,379,447,446,455,524,219,269,220,44,3020,642,627,925,1376,1045,469,474,525,115,6190,955,457,4316,1879,1351,663,1399,1370,268,12662,64,47,101,142,174,105,102,157,13,905,130,84,171,265,280,130,172,187,29,1448,46,107,48,51,68,40,61,60,12,502,121,169,164,208,176,111,165,200,338,1653,5231,12930,7676,6578,7111,3058,3995,3993,1234,51805
