LGA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
LGA20110,110,21,261,3,3,8,9,5,3,28,0,5,7,3,3,0,16,0,0,13,15,17,5,49,0,0,10,11,21,0,39,19,11,57,25,23,0,135,4,5,11,16,19,0,49,13,16,65,33,29,0,149,61,58,165,41,44,3,370,34,56,171,123,135,17,527,8,7,15,11,11,0,50,0,0,12,15,36,3,67,6,3,6,10,29,5,59,176,177,692,447,626,82,2203,13,10,44,51,159,19,297,0,0,4,0,14,0,19,7,6,53,38,169,5,283,4,0,18,11,47,0,84,0,6,36,44,315,12,411,0,0,7,10,38,8,66,13,5,61,54,113,18,255,21,9,103,103,217,30,480,7,4,20,21,64,8,124,0,5,8,8,6,0,26,9,4,26,27,25,5,77,0,3,13,12,46,0,76,41,19,130,52,32,0,271,4,3,27,19,55,0,108,27,24,108,64,94,0,314,92
LGA20260,40,7,82,0,0,4,6,3,5,19,0,0,0,0,3,0,5,0,0,3,4,3,0,17,0,0,6,5,6,3,21,6,3,21,9,17,0,47,0,0,0,5,19,3,33,7,8,40,43,59,3,164,25,25,102,26,25,0,214,24,48,124,147,170,17,532,3,0,10,3,7,5,29,0,0,6,6,31,0,45,4,0,7,6,13,9,34,83,103,435,364,524,95,1604,5,9,103,99,208,18,433,0,0,10,10,26,0,43,34,3,66,36,130,25,296,0,0,0,9,26,4,35,0,0,6,8,140,7,167,0,0,4,7,35,8,52,0,0,12,20,89,8,134,7,3,22,23,59,14,128,4,0,3,13,37,3,64,0,0,8,3,0,0,16,0,0,3,4,7,0,22,0,0,10,0,22,3,34,7,3,24,21,27,0,89,3,0,3,8,41,7,60,13,17,71,86,172,13,372,28
LGA20570,389,31,784,19,4,57,55,120,12,274,18,19,77,47,65,4,239,21,21,80,80,80,12,285,9,4,48,44,101,9,224,137,69,438,154,212,23,1026,21,16,86,84,200,19,426,183,124,424,286,337,25,1374,610,472,1503,425,528,30,3569,741,622,2323,1171,1580,157,6592,41,23,102,56,93,12,332,31,24,80,164,319,11,632,27,7,79,71,95,62,337,2024,1491,6124,3319,5284,506,18741,20,12,123,112,281,18,564,33,6,79,31,138,5,290,140,41,431,347,1293,64,2309,45,19,92,66,202,4,418,45,31,293,342,2699,53,3468,17,5,91,97,308,12,530,108,49,563,403,1190,93,2411,99,27,306,287,762,51,1536,85,10,189,173,509,38,998,41,37,173,96,177,12,537,64,41,227,185,134,18,671,11,7,118,92,216,11,463,334,143,1149,351,374,40,2391,47,30,174,140,399,27,817,314,210,786,626,785,49,2769,966
LGA20660,191,22,650,43,20,153,72,80,11,381,76,30,199,50,24,5,380,227,57,523,194,113,23,1139,33,16,130,69,87,14,343,524,189,1273,306,206,38,2526,63,24,202,114,134,10,537,385,212,804,271,210,35,1915,1122,717,1966,436,332,56,4634,1355,709,2837,996,927,156,6978,57,33,194,71,75,0,428,83,42,221,183,292,12,839,90,19,244,89,98,83,625,4472,2230,10329,3685,3436,574,24728,16,7,50,23,32,4,139,24,10,37,7,18,0,100,329,82,871,343,701,60,2391,93,27,220,56,99,17,517,189,53,785,541,2668,78,4313,171,49,455,188,252,32,1145,244,77,1057,582,719,109,2782,96,25,446,296,423,34,1320,198,53,510,252,383,40,1432,170,61,464,144,117,15,972,509,160,1308,418,227,48,2666,65,28,260,135,190,20,702,1348,386,3183,659,395,93,6060,131,44,390,208,317,34,1118,728,353,1523,685,658,72,4028,1853
LGA20740,169,25,359,0,3,8,14,32,3,62,0,6,14,4,13,4,44,7,3,25,42,32,7,129,0,4,18,28,54,9,114,33,28,139,66,64,11,337,0,9,23,35,67,9,147,35,31,97,66,56,9,287,123,152,380,117,116,13,905,139,134,527,357,469,59,1682,11,13,59,51,70,6,210,7,8,41,48,125,3,239,0,7,26,41,33,29,140,417,427,1651,1185,1725,236,5627,15,6,78,76,195,26,392,4,0,3,4,35,3,54,13,16,84,63,279,9,468,11,3,49,45,117,0,236,16,13,92,131,1164,47,1468,4,3,23,35,104,8,188,10,12,154,126,414,51,768,11,11,112,148,337,45,670,7,6,24,31,160,15,242,9,7,34,15,33,3,106,17,10,50,78,44,14,214,5,4,34,48,114,11,214,88,57,282,137,126,15,710,3,14,48,76,168,14,315,59,43,176,150,172,15,614,188
LGA20830,178,16,303,0,0,20,27,69,7,121,0,10,18,19,20,3,67,10,0,33,50,73,6,180,3,0,17,27,55,8,107,47,27,164,113,105,15,466,0,8,28,61,109,12,224,57,48,174,174,152,16,619,248,214,660,243,343,31,1741,216,215,829,610,806,85,2767,10,10,45,42,67,6,162,10,9,44,84,202,9,358,4,7,35,47,68,45,223,662,593,2492,1920,3024,333,9020,42,37,292,186,553,68,1168,7,0,17,19,111,5,142,23,19,139,169,760,39,1147,15,3,84,42,206,3,363,13,11,102,193,1874,46,2240,6,5,44,54,217,11,350,17,13,173,189,591,34,1016,12,6,71,94,292,28,508,16,3,33,82,330,20,489,8,11,56,35,73,3,191,28,7,71,102,103,11,314,8,0,29,46,100,16,196,107,53,403,209,204,22,992,8,13,53,85,233,12,403,90,73,292,323,327,31,1135,352
LGA20910,97,19,500,47,19,130,45,29,3,284,49,30,232,43,29,3,380,223,92,649,171,67,27,1222,35,23,214,91,112,17,490,542,208,1530,364,174,45,2855,57,36,251,101,53,14,519,244,127,477,152,67,16,1087,787,416,1293,320,174,39,3026,856,373,1766,589,368,111,4064,60,21,179,53,42,9,368,71,24,198,129,152,17,596,116,30,338,110,64,82,748,3484,1582,9142,2903,1865,517,19491,22,6,62,30,19,0,139,36,6,70,4,8,3,135,312,93,892,281,377,44,1991,97,18,191,43,53,9,421,174,59,904,434,1318,59,2947,185,61,619,188,157,34,1244,215,90,1284,465,452,85,2589,73,26,408,215,241,29,1002,147,44,395,150,141,30,907,135,56,505,97,76,6,871,602,233,1634,416,125,55,3063,96,50,467,202,244,44,1101,1510,407,3711,718,318,104,6765,126,64,492,189,146,25,1040,457,201,818,297,180,38,1986,1208
LGA21010,58,11,101,0,0,3,8,14,0,26,0,0,3,0,5,0,5,0,4,3,11,6,5,27,0,0,4,7,20,0,24,3,8,47,21,20,7,105,4,0,11,5,21,0,46,12,14,38,48,50,5,168,36,50,135,50,53,0,325,37,40,169,169,227,28,673,8,4,10,7,17,0,36,3,6,11,8,40,0,65,0,0,7,16,19,11,51,127,124,539,467,723,91,2077,13,8,86,88,137,17,349,0,0,3,0,24,0,33,15,3,29,56,181,18,302,0,0,3,15,34,0,54,25,4,53,43,410,20,556,0,0,6,11,31,3,60,8,5,28,26,137,15,212,0,0,8,30,91,12,147,0,0,6,14,71,5,101,4,0,8,3,13,0,24,0,4,11,11,17,0,40,0,0,8,11,24,0,50,17,11,78,40,32,3,185,3,0,13,15,50,6,92,24,19,71,98,106,13,328,49
LGA21110,183,32,1144,85,30,242,54,35,7,463,131,51,348,68,22,8,637,542,208,1217,234,98,32,2322,126,40,363,126,100,22,778,1249,368,2848,399,197,74,5142,125,59,353,151,79,12,782,534,196,912,175,99,28,1948,1761,739,2266,356,212,59,5389,2248,803,3962,859,467,199,8536,103,52,298,79,54,10,592,136,60,379,188,177,13,952,187,59,552,137,81,113,1126,8205,2957,17204,3987,2391,721,35449,45,11,137,42,18,4,267,59,6,109,11,3,5,190,572,129,1372,339,347,35,2792,163,39,350,42,35,11,637,418,83,1349,495,1281,68,3689,376,103,1027,247,198,41,1999,638,175,2418,809,636,112,4780,263,59,998,532,469,62,2383,309,76,718,244,176,17,1545,339,98,836,147,107,25,1552,1374,501,3023,511,194,69,5672,295,98,823,268,275,69,1820,3178,768,7015,839,392,171,12357,293,101,752,268,202,24,1647,956,335,1670,382,236,61,3635,2873
LGA21180,336,51,1143,68,24,319,199,287,31,930,30,11,116,28,31,4,226,118,46,690,236,169,42,1301,19,8,109,59,106,17,321,234,92,886,253,156,32,1652,107,29,292,212,284,47,968,160,130,611,270,287,42,1509,529,410,1429,495,481,73,3417,687,429,2353,1190,1431,166,6253,21,9,158,73,73,17,345,45,29,216,297,377,54,1019,81,18,292,179,214,228,1016,2564,1349,9513,4777,5375,1006,24586,22,0,64,40,67,13,200,7,0,26,9,24,7,69,263,49,1033,709,1531,131,3718,47,16,191,75,162,15,511,161,37,817,623,2781,145,4564,118,20,435,274,464,45,1365,433,79,1442,858,1112,183,4103,247,21,691,632,699,88,2380,416,57,1159,821,1390,193,4034,96,23,324,106,119,21,698,251,90,1354,435,319,79,2529,49,16,226,123,238,31,679,612,167,2037,551,349,72,3788,201,44,552,388,566,83,1842,352,214,1159,603,717,94,3137,857
