LGA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA20110,183,199,503,592,694,703,295,52,5,3230,4,7,9,11,25,58,37,7,0,165,0,0,0,0,0,0,0,0,0,0,16,7,23,24,30,31,9,0,0,151,0,0,0,9,0,4,3,0,0,14,0,4,11,15,23,16,4,0,0,78,0,0,3,0,8,7,4,0,0,33,48,12,32,47,79,100,19,0,0,339,72,45,66,74,91,69,27,0,0,450,3,9,5,10,12,13,6,0,0,56,0,0,0,0,9,0,0,0,0,16,0,5,15,12,14,17,0,0,0,64,0,5,6,5,23,7,0,0,0,47,3,10,24,59,48,35,4,0,0,176,3,7,18,15,19,28,0,0,0,91,0,0,21,46,59,30,7,0,0,170,3,18,62,105,89,93,30,0,0,396,3,40,93,109,148,175,47,0,0,618,4,0,16,8,17,11,4,0,0,66,0,10,22,8,17,19,3,0,0,79
LGA20260,147,193,510,425,477,516,225,46,7,2551,8,14,20,32,46,39,43,9,5,219,0,3,0,5,3,0,0,0,0,12,10,25,57,42,38,37,5,0,0,212,0,0,0,0,0,0,0,0,0,3,0,5,0,4,3,5,0,0,0,27,0,0,5,9,3,7,0,0,0,31,30,26,22,34,36,38,11,0,0,200,50,28,22,35,31,28,6,0,0,191,0,0,5,8,9,6,5,0,0,36,0,0,8,0,4,4,0,0,0,13,0,0,5,10,4,11,0,0,0,27,0,0,4,3,7,7,0,0,0,31,0,0,14,12,13,19,3,0,0,64,0,0,16,9,13,18,3,0,0,61,0,15,46,39,74,32,4,0,0,210,5,19,51,65,55,56,12,0,0,262,14,48,135,94,171,151,43,0,0,660,0,3,13,7,7,3,6,0,0,36,7,4,11,16,6,13,3,0,0,61
LGA20570,1640,2613,6170,5449,5210,4147,1206,151,11,26600,9,25,28,41,42,35,32,12,0,221,0,0,11,16,16,5,0,0,0,54,109,83,149,197,233,176,35,0,0,991,0,4,33,33,41,21,7,0,0,141,16,43,119,157,132,97,30,0,0,600,19,25,52,52,61,41,9,0,0,251,507,503,622,446,468,432,86,7,0,3071,708,439,327,248,186,158,34,0,0,2110,4,34,105,87,90,82,20,3,0,433,14,32,85,70,70,35,17,0,0,323,4,30,107,104,116,67,7,0,0,437,12,29,88,69,54,42,17,0,0,306,8,101,336,357,272,161,38,3,0,1273,20,65,182,154,176,126,31,4,0,759,8,92,359,473,442,251,51,3,0,1681,83,223,864,1007,986,704,155,8,0,4032,112,704,1875,1703,1678,1473,269,13,0,7825,56,75,94,117,91,60,20,0,0,518,29,114,233,173,158,114,30,3,3,858
LGA20660,1297,2695,6681,7700,6968,5001,1747,242,30,32353,0,5,18,12,10,16,3,0,0,66,0,0,4,8,8,3,0,0,0,25,109,57,173,254,253,160,47,7,0,1069,0,0,34,76,46,22,0,0,0,187,15,49,174,193,187,152,30,4,0,804,10,32,95,149,177,94,20,4,0,575,383,551,524,425,451,365,117,6,0,2829,555,347,241,172,155,100,26,0,0,1598,10,26,111,153,137,105,16,0,0,566,15,29,98,150,100,52,9,0,0,460,4,55,309,490,340,145,26,0,0,1367,5,38,128,107,95,75,28,3,0,478,24,167,739,857,647,369,111,11,0,2930,13,65,173,178,191,122,27,5,0,778,22,102,459,614,580,384,72,13,0,2247,66,241,1044,1229,1247,953,218,15,4,5012,83,582,1847,1840,1720,1492,414,26,0,8015,62,94,132,114,110,57,23,0,0,593,40,96,247,231,240,151,43,5,0,1052
LGA20740,462,546,1340,1593,1733,1818,712,106,14,8331,9,6,33,41,41,62,49,19,5,264,0,0,6,0,4,0,0,0,0,10,28,11,35,49,51,54,12,3,0,246,0,0,6,27,17,11,0,0,0,67,8,3,48,72,68,42,6,6,0,252,5,6,3,24,31,25,8,0,0,103,152,92,150,158,213,203,57,0,0,1022,150,86,139,120,119,133,34,0,0,764,0,4,11,19,20,44,7,5,0,112,3,4,11,8,5,16,4,0,0,56,0,7,38,36,43,39,9,0,0,179,4,13,19,15,44,39,15,0,0,152,3,20,94,91,83,93,40,5,0,422,14,11,44,55,47,73,12,0,0,261,3,14,54,96,83,81,19,0,0,365,7,44,169,262,278,217,44,4,0,1026,19,119,325,371,469,554,127,10,0,1995,28,20,55,66,64,54,19,4,0,310,9,22,77,57,74,63,14,0,0,322
LGA20830,745,1127,2843,2629,2663,2450,921,206,24,13603,26,47,147,114,128,139,121,48,7,779,0,0,6,4,11,4,0,0,0,22,31,41,108,80,111,76,16,0,0,464,3,9,15,17,16,7,0,0,0,68,6,39,99,89,91,87,20,0,0,421,3,19,37,30,45,33,4,0,0,178,242,186,251,204,257,225,35,0,0,1397,274,133,119,80,90,89,8,0,0,799,7,16,33,39,58,56,16,0,0,230,6,3,20,22,27,15,4,0,0,104,5,25,80,67,49,36,8,3,0,266,8,19,30,38,34,16,14,0,0,162,6,46,151,141,102,109,34,4,0,592,18,21,73,86,85,70,23,5,0,376,5,32,183,169,172,140,25,0,0,740,38,110,396,436,509,370,72,5,0,1936,61,263,746,667,707,650,167,3,0,3282,25,32,37,52,56,36,3,0,0,244,16,60,123,82,118,102,26,4,0,545
LGA20910,1272,2087,3208,4798,6666,5139,1985,411,32,25602,0,4,10,9,20,8,6,3,0,62,0,0,3,9,21,3,0,0,0,38,55,49,120,187,295,154,53,7,0,922,0,8,28,50,44,23,0,0,0,153,8,38,89,165,183,130,49,7,0,662,11,42,78,136,207,117,41,10,0,643,407,468,307,365,517,364,128,17,0,2563,603,297,132,127,136,95,26,7,0,1422,4,20,46,100,112,59,28,5,0,380,19,36,67,127,147,71,12,0,0,482,5,39,188,431,486,216,49,14,0,1428,8,37,84,133,216,105,48,11,0,637,27,195,529,809,954,555,179,26,0,3272,4,30,96,129,217,133,38,3,0,671,0,42,179,282,379,299,46,0,0,1230,118,204,373,589,952,888,237,17,0,3376,72,297,667,862,1219,1115,348,28,0,4607,88,71,72,101,137,75,21,5,0,567,37,89,99,152,215,142,46,0,0,784
LGA21010,179,224,543,506,594,727,350,64,3,3200,4,11,21,18,30,51,60,10,6,209,0,0,0,4,0,5,0,0,0,5,14,19,21,27,31,33,6,0,0,155,0,0,0,0,0,0,0,0,0,7,0,7,28,12,28,16,0,0,0,100,4,3,6,3,6,6,4,0,0,33,48,26,46,38,60,61,21,0,0,299,57,26,36,25,41,29,15,0,0,225,0,0,8,5,20,12,4,0,0,49,0,0,4,0,0,3,0,0,0,9,0,7,11,5,12,15,0,0,0,48,0,5,3,8,9,3,3,0,0,30,8,14,24,22,23,26,11,4,0,129,0,5,15,25,27,28,3,0,0,102,5,8,32,45,45,73,19,3,0,223,6,10,55,80,98,92,30,0,0,371,9,48,143,148,181,218,51,0,0,806,4,8,8,9,6,9,6,0,0,54,10,8,18,18,26,22,9,0,0,94
LGA21110,1852,4484,8796,8278,9437,7400,2916,569,50,43775,0,9,22,8,24,34,23,7,0,126,0,0,6,22,24,5,5,0,0,58,117,98,230,278,315,183,36,10,0,1275,0,3,63,98,82,23,6,0,0,276,9,65,186,196,246,134,44,4,0,896,18,61,167,289,314,148,48,7,0,1051,611,983,843,631,744,423,123,34,0,4379,799,608,386,278,296,172,52,6,0,2590,11,46,104,123,163,95,27,0,0,573,29,86,167,175,174,90,21,0,0,752,6,138,529,777,718,335,85,11,0,2600,6,64,193,214,248,156,49,14,0,947,55,530,1432,1315,1353,751,262,28,0,5719,18,80,254,194,230,148,64,9,0,1001,8,125,432,488,545,407,96,17,4,2127,180,444,1098,1040,1377,1348,414,42,0,5955,120,868,2001,1757,2127,1848,588,65,5,9377,112,141,167,117,145,84,48,8,3,823,69,163,252,194,267,222,59,12,0,1229
LGA21180,1545,4509,11891,9833,8540,6980,1730,132,8,45166,4,13,37,65,74,55,4,7,0,255,0,0,9,6,7,0,0,0,0,18,70,129,405,545,818,523,62,4,0,2562,0,3,67,84,41,33,4,0,0,243,10,76,238,242,184,109,21,3,0,887,10,62,169,197,240,146,16,3,0,840,553,968,950,716,794,533,100,9,0,4623,758,509,545,383,337,261,37,0,0,2835,27,159,381,411,457,248,36,0,0,1717,17,48,94,82,64,12,5,0,0,331,9,181,580,501,322,165,27,0,0,1775,9,49,156,98,83,52,6,0,0,457,13,197,695,467,350,184,43,8,0,1958,20,158,419,377,368,271,74,0,0,1695,9,123,443,500,460,339,66,12,0,1955,67,299,1005,888,872,656,124,5,0,3907,77,746,2093,1616,1511,1132,251,8,0,7439,69,96,131,125,85,47,6,0,0,559,32,151,498,413,343,210,41,0,0,1679
