LGA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA20110,1172,1112,952,774,572,509,351,771,111,6320
LGA20260,939,682,555,771,437,357,276,829,115,4973
LGA20570,6051,12096,7328,7300,6522,5024,2750,5233,792,53104
LGA20660,9738,20961,7289,6312,8534,4746,1933,3444,958,63920
LGA20740,2405,2984,2664,2119,1725,1681,763,1815,342,16498
LGA20830,3755,4668,4219,3258,3026,2085,1814,3337,444,26602
LGA20910,12136,16991,3399,4199,6074,4420,708,1699,877,50508
LGA21010,973,978,941,789,630,478,468,848,137,6251
LGA21110,17169,35030,4911,6715,10260,7149,1257,3052,1443,86987
LGA21180,7263,13915,11306,9092,11081,7105,9831,11033,2361,82979
LGA21270,785,354,284,230,227,160,204,365,48,2654
LGA21370,2898,2482,2592,2125,1660,1538,1270,2489,319,17368
LGA21450,6957,9756,10124,6994,7609,5134,4821,6165,1163,58709
LGA21610,18090,29881,27300,20449,23051,15072,16825,19037,3853,173556
LGA21670,561,529,729,722,449,481,354,772,103,4693
LGA21750,1770,1379,1434,1255,929,861,792,2011,209,10642
LGA21830,2012,894,911,758,584,497,618,1173,139,7583
LGA21890,11135,27103,8116,8027,9420,5644,3059,5176,1409,79087
LGA22110,2869,2996,2675,2660,2042,1698,1199,2626,438,19190
LGA22170,8120,12782,11535,8402,8986,6439,4361,6696,1227,68545
LGA22250,970,545,604,448,401,344,348,632,96,4391
LGA22310,14008,28781,6484,7182,9896,6432,1861,3535,1448,79628
LGA22410,1418,1225,1230,1115,786,674,960,1218,212,8834
LGA22490,1659,1992,2293,1477,1466,977,968,1312,200,12341
LGA22620,6276,12043,7830,7514,6637,5067,3472,6529,928,56299
LGA22670,5406,10732,9815,7423,7147,5293,8242,11725,1915,67704
LGA22750,14977,29365,18789,17599,14732,11517,7881,12494,2241,129587
LGA22830,4266,5305,4090,3533,3332,2698,1995,4311,606,30136
LGA22910,1338,1529,1079,839,685,466,315,773,135,7159
LGA22980,582,336,251,243,206,135,214,381,46,2402
LGA23110,7207,12360,5147,4230,6157,3335,2586,3099,900,45021
LGA23190,1610,1751,1400,1231,1095,909,629,1055,176,9857
LGA23270,10159,17264,15706,12797,13945,9065,10648,10826,2481,102892
LGA23350,1495,1717,1173,942,818,594,539,933,152,8366
LGA23430,12556,21568,10259,8153,11486,7176,3400,5311,1381,81284
LGA23670,10483,19146,11758,8397,11818,7638,4374,6452,1453,81521
LGA23810,3054,5175,5379,4260,4382,3044,2399,3782,668,32139
LGA23940,987,337,293,279,258,180,230,461,61,3085
LGA24130,4098,6014,3885,2776,3107,1807,1151,2012,427,25279
LGA24210,10003,17706,5918,5263,7979,5753,1576,3185,1142,58529
LGA24250,852,748,757,545,455,424,260,494,79,4610
LGA24330,7038,15251,4310,4565,5859,3407,2402,3333,896,47058
LGA24410,8009,15617,8179,6429,7997,5014,2353,4367,1017,58987
LGA24600,12006,35631,6928,9971,9970,6328,2166,5671,1670,90347
LGA24650,8154,13993,11205,9727,11670,7491,9295,8000,1912,81442
LGA24780,3596,4105,3362,3035,2607,2371,1754,3642,626,25101
LGA24850,2762,3238,4156,3110,2969,1869,2220,2682,503,23504
LGA24900,2289,1630,1837,1498,1242,1045,925,2133,276,12870
LGA24970,12814,29473,9066,8493,11954,8096,3757,6488,1928,92075
LGA25060,10534,20066,6163,5864,9356,5196,2164,3690,1168,64208
LGA25150,2330,3128,3124,2167,2541,1437,1590,1761,347,18429
LGA25250,12684,32299,9783,9344,11550,6460,3489,5801,1638,93061
LGA25340,11921,15422,12759,9177,8704,7142,2789,6450,1413,75773
LGA25430,1251,2310,1199,1001,831,583,384,873,133,8570
LGA25490,2225,1317,1075,875,700,576,489,1118,159,8539
LGA25620,1208,978,1285,808,715,420,459,781,133,6789
LGA25710,5833,9097,4836,3440,4570,2643,1033,1864,464,33770
LGA25810,945,634,611,772,457,383,373,897,97,5170
LGA25900,12457,23230,4640,5192,6896,4138,1116,2256,1085,61013
LGA25990,644,389,396,362,297,201,262,400,75,3032
LGA26080,229,402,135,128,164,103,20,82,30,1287
LGA26170,2668,2155,2047,1490,1365,1086,856,1643,290,13607
LGA26260,1683,1250,1020,867,761,652,393,969,124,7720
LGA26350,12218,25201,3539,4721,7081,4756,852,1923,1076,61373
LGA26430,1062,720,724,525,484,320,281,718,106,4925
LGA26490,3393,5177,2567,2148,1921,1474,515,1296,280,18769
LGA26610,1757,1305,1217,1055,978,764,636,1896,249,9866
LGA26670,746,406,360,290,279,156,194,363,64,2856
LGA26700,2078,2571,1962,1859,1433,1231,923,1754,230,14043
LGA26730,1865,3460,2412,2281,1864,1794,938,2388,301,17305
LGA26810,3093,3276,3001,2579,1843,1534,1288,2306,391,19315
LGA26890,727,226,162,157,124,79,106,258,38,1877
LGA26980,11988,27848,8042,8043,10730,7185,2656,5364,1473,83325
LGA27070,10815,20006,15735,13364,14925,9997,9099,10760,2344,107055
LGA27170,2258,3590,3265,3017,2435,1888,1603,2288,354,20689
LGA27260,14489,29780,15967,15369,18225,10986,15447,12263,3292,135825
LGA27350,10299,26225,3675,4491,5752,3309,826,1749,855,57177
LGA27450,10833,15672,14690,9471,10170,6273,4162,7232,1401,79903
LGA27630,686,331,278,343,241,186,208,335,48,2670
LGA29399,120,40,74,110,25,30,34,80,27,530
LGA29499,174,334,250,227,143,129,177,308,49,1797
LGA29799,0,4,0,0,0,0,0,4,0,15
