LGA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA20110,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,9,0,7,0,6,0,0,0,6,7,0,10,0,4,0,4,0,0,0,10,10,0,15,4,12,3,19,0,0,0,19,26,0,45,9,18,0,24,0,0,0,24,14,0,45,11,21,0,35,0,0,0,35,16,0,51,16,13,7,34,0,0,0,34,19,0,51,16,13,3,33,0,0,0,37,10,0,45,8,6,0,18,0,0,0,18,4,0,22,17,0,0,17,0,0,0,17,3,0,20,14,0,0,16,0,0,0,16,5,0,18,3,0,0,5,0,0,0,6,4,0,7,3,5,0,7,0,0,0,7,0,0,7,0,3,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,6,0,0,6,10,8,0,28,0,0,0,28,14,0,39,0,0
LGA20260,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,3,7,0,6,0,5,0,5,3,0,6,5,12,0,18,0,14,0,14,0,4,7,20,26,0,46,0,16,3,18,0,0,4,20,26,0,48,10,20,0,32,6,0,6,34,29,0,66,18,15,0,25,0,0,0,30,29,0,57,21,14,0,35,0,0,5,41,13,0,51,15,19,4,34,0,0,0,34,3,0,39,11,9,0,20,0,0,0,20,7,0,29,17,5,4,24,0,0,0,24,14,0,35,6,6,0,12,0,0,0,12,0,0,15,8,0,3,7,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,6,0,21,0,0,0,21,13,0,37,0,0
LGA20570,0,0,0,4,9,0,3,8,60,0,71,0,4,0,4,6,0,6,11,11,0,25,0,8,3,16,3,7,13,29,26,0,56,0,25,4,30,8,5,18,47,65,0,116,4,54,13,66,11,15,26,90,170,3,264,22,129,25,176,27,32,53,228,278,3,512,42,216,18,278,22,17,40,315,263,5,580,99,254,26,382,7,14,22,405,332,3,737,174,255,25,455,15,8,23,476,255,0,731,195,185,26,404,9,9,13,417,183,0,603,179,105,22,309,4,4,8,315,97,0,419,152,79,9,244,0,3,4,247,52,3,305,232,99,17,343,3,0,6,347,91,0,444,116,29,4,148,0,0,0,153,30,0,181,66,17,5,84,0,0,0,85,18,0,103,32,3,0,40,0,0,0,40,5,0,47,53,8,5,74,0,0,0,76,14,0,84,140,78,12,227,4,5,8,232,115,9,359,3,4
LGA20660,6,4,4,11,3,3,13,17,73,0,99,0,3,0,5,0,0,0,5,28,0,31,0,8,3,19,0,4,9,21,49,0,74,0,13,0,17,0,5,11,30,63,0,94,6,26,8,40,9,9,13,57,91,0,149,4,71,9,92,7,15,19,115,168,0,288,14,103,17,137,7,6,11,149,162,0,308,51,137,10,197,5,7,10,208,235,4,448,101,143,12,260,5,8,9,271,228,0,498,151,120,17,287,0,6,11,301,172,0,472,165,123,8,296,0,0,4,298,99,0,395,185,79,10,273,0,6,6,277,102,0,379,367,123,19,506,4,0,3,513,141,0,651,154,61,4,221,0,0,6,225,68,0,293,137,31,0,166,0,0,3,167,34,0,204,43,14,0,58,0,0,0,61,20,0,76,169,30,9,207,4,0,0,213,32,0,246,133,91,25,244,6,6,9,255,96,10,360,3,3
LGA20740,0,0,3,5,0,0,4,4,13,0,16,0,0,0,0,0,0,0,8,5,0,14,0,0,0,3,0,0,3,9,12,0,22,0,14,0,7,3,0,3,14,35,0,48,0,18,0,22,3,4,8,32,52,0,81,7,43,12,63,4,9,6,70,71,0,144,15,79,9,106,3,0,7,112,92,0,207,22,74,8,107,3,0,7,109,110,0,219,48,55,5,109,4,3,3,111,84,0,194,50,46,9,104,0,0,0,105,55,0,162,34,30,4,75,0,0,0,75,24,0,92,25,13,5,38,0,0,0,38,27,0,69,53,25,4,76,0,0,0,76,18,0,98,25,5,0,27,0,0,0,27,7,0,36,8,3,5,13,0,0,0,13,9,0,20,9,0,0,10,0,0,0,10,0,0,13,13,7,0,12,0,0,0,10,5,0,25,40,32,8,80,0,0,0,80,56,5,136,3,0
LGA20830,0,5,3,5,0,0,0,9,18,0,24,0,0,0,3,0,0,0,5,6,0,14,0,5,0,6,3,4,4,15,20,0,29,0,9,3,18,0,9,8,20,32,0,54,3,23,4,31,5,7,11,36,68,0,111,7,61,14,83,12,6,22,100,86,0,188,20,80,17,115,4,10,13,130,94,0,222,38,107,12,158,10,4,8,171,116,0,288,65,109,4,178,0,5,5,179,103,0,284,77,70,15,158,5,0,5,164,74,3,244,62,42,5,113,0,0,0,117,42,0,157,70,33,5,103,0,0,0,107,23,0,130,110,40,3,157,3,0,5,164,40,0,202,42,18,4,60,0,0,0,60,21,0,79,28,13,0,41,0,0,0,41,0,0,41,11,6,3,15,0,0,0,15,3,0,24,28,3,4,34,0,0,0,34,9,0,47,54,49,8,116,4,0,3,120,45,5,172,8,0
LGA20910,8,4,4,7,9,6,11,24,82,0,107,0,5,0,8,4,0,4,9,15,0,28,0,9,0,13,3,3,7,22,28,0,53,3,10,6,20,0,6,3,19,26,0,52,0,22,0,29,8,3,10,40,73,0,108,16,43,0,56,0,5,13,64,66,0,131,19,45,10,79,0,4,6,84,75,0,162,24,85,10,114,4,0,7,119,117,0,238,54,78,5,139,0,0,8,146,133,0,278,70,82,10,155,0,0,3,162,97,0,256,97,71,5,175,5,0,4,177,61,0,245,89,67,9,168,0,0,0,168,51,0,217,228,90,16,331,7,0,9,343,90,0,429,78,28,3,108,0,0,0,112,50,0,161,120,42,4,168,0,0,0,168,22,0,190,34,12,4,52,0,0,0,52,22,0,70,286,52,17,356,6,0,6,361,57,0,423,148,60,16,226,8,5,11,237,65,3,309,0,0
LGA21010,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,5,0,10,0,0,0,0,0,0,7,5,11,0,11,0,0,0,5,0,5,5,10,21,0,33,0,9,5,15,0,0,0,13,25,0,38,5,30,0,39,0,0,0,41,26,0,63,14,23,0,38,0,0,0,38,51,0,90,21,15,3,36,0,3,3,41,36,0,79,13,14,0,34,0,0,0,34,15,0,47,9,15,0,26,0,0,0,26,12,0,39,16,3,0,26,0,0,0,26,7,0,33,26,4,3,29,0,0,0,36,11,0,44,7,3,0,13,0,0,0,15,0,0,15,6,0,0,11,0,0,0,11,0,0,11,4,0,0,8,0,0,0,8,0,0,12,8,0,0,8,0,0,0,13,5,0,20,16,18,3,32,0,3,3,34,26,0,59,0,0
LGA21110,7,6,9,20,10,10,15,40,315,0,357,4,17,0,23,4,7,7,36,46,0,76,7,26,0,34,3,7,10,43,93,0,137,8,38,5,43,10,6,18,63,74,0,139,8,40,6,58,4,3,5,67,100,0,166,13,55,4,79,8,9,15,92,100,0,191,27,91,3,119,8,8,19,134,110,0,244,45,99,4,152,3,8,11,160,145,0,307,80,133,9,225,11,7,18,244,176,0,417,118,113,11,241,11,6,17,258,148,0,401,124,80,11,217,3,11,12,227,85,0,312,143,76,10,228,4,0,4,236,93,0,332,318,138,21,480,10,4,9,486,132,0,621,136,48,12,189,0,0,0,189,93,0,285,183,53,12,248,0,0,0,253,58,0,307,53,28,0,80,0,0,0,87,25,0,115,431,85,7,527,7,0,7,534,106,0,636,205,88,11,304,4,8,11,310,130,14,453,5,9
LGA21180,3,5,9,18,19,22,46,58,333,7,401,4,6,5,11,7,6,20,34,52,0,87,3,51,18,66,13,25,36,101,132,0,234,6,81,8,99,25,37,62,160,213,3,377,16,96,19,130,16,22,45,170,297,0,471,23,164,22,211,26,35,58,275,394,3,675,90,224,30,338,24,22,49,387,378,4,776,171,194,24,386,27,32,55,443,592,6,1046,249,202,32,484,21,17,36,521,496,3,1024,303,207,35,545,28,20,49,591,476,3,1067,237,135,29,399,20,14,34,433,312,0,742,217,114,24,348,11,14,23,373,230,0,603,402,148,52,606,18,17,33,639,309,0,946,196,67,16,282,6,4,15,299,186,0,489,157,62,14,227,12,4,11,237,80,0,316,81,20,6,108,0,0,7,112,51,0,158,122,34,9,162,6,0,7,167,69,0,238,134,92,57,284,11,17,28,316,219,41,569,17,4
