SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20101100101,39,1452,713,330,1852,0.8,1224,2.6
20101100102,49,1257,629,235,2050,0.7,1281,2.4
20101100105,33,1136,552,279,1266,0.8,954,2
20101100106,40,1302,642,330,1562,0.7,1271,2.5
20101100107,46,1044,623,280,1212,0.7,891,1.8
20101100108,35,1517,840,355,2111,0.8,1858,2.7
20101100109,39,1300,733,280,1483,0.7,1184,2.2
20101100110,45,1647,857,400,2656,0.8,2555,3.1
20101100111,40,1733,844,450,2718,0.7,2307,3
20101100112,47,1517,830,388,2011,0.7,1781,2.6
20101100113,45,1530,775,378,2343,0.8,2075,2.9
20101100114,39,1517,717,323,1908,0.7,1455,2.5
20101100118,40,1517,835,440,2462,0.8,2440,3.2
20101100119,35,2234,933,490,2919,0.8,2916,3.5
20101100120,29,1727,827,336,1738,0.8,1589,3
20101100121,36,1671,871,400,2412,0.8,2225,3.2
20101100124,39,1540,851,440,2468,0.8,2359,3.3
20101100125,35,1602,825,300,2182,0.8,2009,3.1
20101100126,48,1993,1093,440,2650,0.7,2236,2.6
20101100127,28,1740,1104,400,2429,0.7,2243,2.8
20101100128,33,1614,728,380,1949,0.8,1614,2.8
20101100129,30,1577,947,365,1971,0.8,1858,2.9
20101100130,28,2000,1089,440,2558,0.9,2428,3.2
20101100131,36,2120,880,400,2303,0.7,2037,2.8
20101100132,29,1560,928,400,2186,0.8,2088,2.9
20101100133,30,1600,927,370,2066,0.8,2028,2.9
20101100134,50,1539,527,400,1625,0.7,990,2.2
20101100135,29,1733,1030,400,2368,0.8,2195,3
20101100136,29,1733,1009,400,2533,0.8,2474,3.2
20101100137,30,1531,969,350,1968,0.7,1830,2.6
20101100138,26,1733,1085,400,2520,0.8,2374,3.1
20101100139,0,0,0,0,0,0,0,0
20101100140,39,2112,1109,430,3232,0.7,2769,2.8
20101100141,40,1733,729,350,2250,0.8,2100,3.2
20101100142,27,2167,1133,357,2440,0.9,2434,3.8
20101100201,47,1950,812,365,2426,0.7,1910,2.4
20101100202,56,1700,748,430,1978,0.6,1449,2.3
20101100203,49,1447,780,350,1892,0.6,1381,2.2
20101100204,52,1717,704,350,1960,0.7,1508,2.2
20101100205,39,1409,802,318,2158,0.7,1398,2.3
20101100206,19,2167,564,346,3457,0.8,2928,2.8
20101100207,48,1879,971,300,2428,0.7,1760,2.3
20101100208,54,2850,1180,420,3340,0.7,2362,2.3
20101100209,0,0,0,0,0,0,0,0
20101100210,0,0,0,0,0,0,0,0
20101100211,41,1365,918,315,2211,0.7,1605,2.2
20101100212,46,2000,754,305,2042,0.8,1612,2.4
20101100213,48,1950,846,323,2333,0.7,1517,2.1
20101100214,41,1613,812,288,2035,0.7,1413,2.1
20101100215,34,1500,897,300,2150,0.7,1506,2.1
20101100216,39,1371,797,280,1949,0.7,1414,2
20101100217,41,2084,938,300,2583,0.7,1545,2.1
20101100218,39,1600,976,330,2527,0.8,1965,2.4
20101100219,29,1517,625,260,1687,0.8,1125,1.8
20101100220,46,1863,920,345,2156,0.7,1656,2.1
20101100221,37,1733,741,308,2035,0.7,1406,2.1
20101100222,47,2450,1112,375,3367,0.8,2485,2.6
20101100223,58,2000,790,315,2550,0.7,1562,2.1
20101100224,45,1437,846,300,2360,0.8,1573,2.1
20101100225,56,2000,911,325,2343,0.7,1771,2
20101100226,45,2300,860,290,2214,0.7,1481,2
20101100227,47,2189,881,330,2399,0.7,1645,2.1
20101100228,58,2500,1020,293,2750,0.7,1531,2.1
20101100229,52,1973,949,300,2428,0.7,1465,2.1
20101100230,40,1300,769,285,1906,0.7,1231,1.9
20101100231,38,1484,822,300,1937,0.7,1579,2.2
20101100232,48,1810,780,291,2274,0.7,1156,1.8
20101100233,47,1595,745,315,1974,0.7,1348,2.1
20101100234,35,1306,725,313,1833,0.7,1231,2
20101100501,40,1733,880,305,2396,0.8,2132,2.8
20101100502,48,1637,750,313,1846,0.7,1461,2.4
20101100504,48,1517,618,300,1875,0.7,1325,2.3
20101100505,20,0,292,215,0,0.7,575,1
20101100506,30,1707,810,400,2468,0.8,2262,3.1
20101100507,48,1563,905,300,2270,0.7,1452,2.4
20101100508,34,1684,1064,318,2342,0.8,2215,2.8
20101100509,48,1660,783,310,2343,0.8,1978,2.7
20101100510,46,2167,969,350,2725,0.8,2285,2.7
20101100511,50,1519,1033,340,2733,0.7,2567,2.7
20101100512,45,1733,839,180,2267,0.8,2094,2.9
20101100513,47,1733,704,365,2250,0.8,2116,2.9
20101100514,47,1842,725,320,2785,0.7,2571,2.8
20101100515,40,1700,874,320,2263,0.8,1965,2.9
20101100516,38,1603,968,343,2519,0.7,2312,2.8
20101100517,41,1326,735,305,2066,0.7,1625,2.4
20101100518,39,1842,1060,450,2566,0.8,2259,3.1
20101100519,46,1452,691,310,1612,0.7,1352,2.3
20101100601,27,1261,450,177,1037,0.9,845,2.6
20101100602,44,1300,707,315,1762,0.7,1534,2.4
20101100603,39,1387,712,320,1662,0.7,1466,2.3
20101100604,38,1300,709,363,1912,0.7,1660,2.8
20101100607,46,1474,655,335,2312,0.8,2058,2.8
20101100610,54,1469,673,350,1781,0.7,1537,2.6
20101100611,48,1213,494,275,1375,0.7,1172,2.4
20101100612,30,1292,633,290,1437,0.8,1255,2.4
20101100613,34,1192,599,201,1458,0.8,1137,2.2
20101100614,44,1175,599,258,1520,0.7,1271,2
20101100615,46,1352,639,300,1553,0.7,1302,2.6
20101100616,81,0,475,0,949,0.6,520,1.3
20101100618,27,1528,954,400,1926,0.7,1827,2.7
20101100619,26,1510,916,381,1989,0.8,2031,3
20101100620,28,1465,885,390,1841,0.7,1761,2.6
20101100621,31,1322,814,355,1701,0.7,1591,2.6
20101100622,30,1681,1091,390,2287,0.7,2164,2.8
20101100623,34,1725,737,391,2137,0.7,1985,2.7
20101100624,31,1600,898,370,2230,0.8,2174,3.2
20101100625,49,1625,773,450,1947,0.7,1836,2.8
20101100626,27,1733,906,381,2045,0.8,2203,3.1
20101100627,48,2085,908,550,2725,0.7,2625,2.9
20101100628,35,1489,907,348,2092,0.7,1721,2.5
20101100629,41,1408,745,365,2116,0.7,1926,2.8
20101100630,25,2363,1024,0,1749,0.6,1749,2.5
20101100631,27,1625,952,395,1960,0.7,1903,2.7
20101100701,39,1733,823,290,2370,0.8,2214,3.1
20101100702,46,1733,830,150,2279,0.8,2147,2.9
20101100703,37,1842,769,490,2277,0.9,2312,3.3
20101100704,44,1600,729,162,2026,0.8,1778,2.6
20101100705,43,1733,786,400,2152,0.8,1947,2.9
20101100706,39,1625,843,405,2277,0.8,2030,3
20101100707,41,1733,839,350,2210,0.8,1973,2.9
20101100708,41,1668,827,300,2118,0.8,1963,3
20101100709,44,1517,769,450,2349,0.8,2263,3.1
20101100801,28,585,390,190,773,0.8,696,2.7
20101100804,35,1083,510,260,1023,0.8,869,2.3
20101100805,46,648,485,200,1171,0.8,710,1.8
20101100806,36,802,456,205,878,0.7,760,2.2
20101100807,43,1269,601,235,1312,0.7,1017,2
20101100808,27,0,849,340,1625,0.7,1374,2.3
20101100809,40,1300,751,300,1698,0.7,1345,2
20101100810,48,1341,655,270,1452,0.7,1269,2.3
20101100811,41,1339,632,315,1347,0.7,1221,2.3
20101100812,43,1200,701,260,1239,0.7,977,1.9
20101100813,42,1083,619,275,1387,0.7,1107,2.1
20101100814,32,0,0,0,0,0,0,0
20101100815,43,1200,452,225,1053,0.8,857,2.1
20101100816,50,1975,710,400,1792,0.7,1528,2.6
20101100818,35,1456,880,320,2144,0.8,2018,2.9
20101100820,40,1233,640,218,1583,0.8,1019,2.2
20101100821,43,1248,628,265,1289,0.7,985,2.1
20101100822,42,993,512,230,1375,0.7,881,1.9
20101100823,47,1094,587,280,1316,0.7,991,2.1
20101100824,68,1279,542,295,1160,0.7,917,1.8
20101100825,17,895,59,250,1562,0.9,850,2.1
20101100826,45,1200,644,280,1611,0.7,1125,2
20101100827,42,1266,641,280,1421,0.7,970,1.9
20101100828,45,1300,658,280,1545,0.7,1102,2
20101100829,36,1047,637,300,1583,0.7,1108,2.1
20101100830,51,1300,601,273,1350,0.7,1168,2.1
20101100831,48,1135,653,293,1312,0.7,1098,2
20101100832,41,867,454,200,942,0.8,813,2.1
20101100833,39,1278,569,238,1180,0.8,975,2.3
20101100834,47,1209,602,236,1358,0.7,1178,2.2
20101100835,34,1500,816,300,1972,0.8,1875,2.9
20101100836,38,1517,880,340,2029,0.8,1716,2.6
20101100837,36,1517,970,365,2036,0.7,1766,2.7
20101100838,42,2050,980,372,2405,0.9,2356,3.1
20101100839,0,0,0,0,0,0,0,0
20101100840,35,1463,706,310,1781,0.8,1593,2.7
20101100841,33,1600,904,360,2285,0.8,2250,3.3
20101100842,34,2019,982,160,2636,0.8,2654,3.2
20101100843,40,1096,494,255,1350,0.7,924,2.2
20101100844,33,1517,955,368,2085,0.8,2026,2.9
20101100845,28,1600,995,395,2338,0.7,2182,2.8
20101148101,45,1300,627,280,1351,0.7,1111,1.9
20101148102,31,1125,566,283,1321,0.8,1145,2.4
20101148103,42,1215,687,300,1600,0.7,1214,2
20101148104,32,1300,661,310,1531,0.7,1230,2.1
20101148105,50,1218,642,290,1600,0.7,976,1.9
20101148106,39,1387,748,290,1674,0.8,1316,2.3
20101148107,38,1200,634,310,1430,0.7,1129,2.1
20101148108,61,1213,598,300,1652,0.7,1037,1.9
20101148109,38,1300,630,300,1416,0.7,1213,2
20101148110,75,1300,488,295,1047,0.6,784,1.6
20101148111,50,1207,641,265,1319,0.7,1027,2.2
20101148112,38,1508,828,330,1926,0.8,1533,2.6
20101148113,37,1100,689,275,1465,0.8,1018,1.9
20101148114,44,1387,614,283,1825,0.7,1212,2.1
20101148115,36,1300,857,300,2184,0.8,1843,2.6
20101148116,36,1200,714,300,1625,0.7,1171,1.9
20101148117,40,1185,725,278,1612,0.6,1187,1.8
20101148118,40,1733,752,230,2096,0.9,1777,2.8
20101148119,37,1300,625,268,1390,0.7,1108,2.2
20101148120,42,1359,761,300,1940,0.7,1467,2.3
20101148121,42,1083,700,255,1767,0.8,1204,2.2
20101148122,35,1136,638,275,1375,0.8,1135,2.2
20101148201,37,1582,823,310,2115,0.7,1298,2
20101148202,40,1718,884,263,2650,0.7,2260,2.9
20101148203,47,2167,962,400,2833,0.8,2625,3.2
20101148204,35,1907,1150,400,2750,0.8,2638,3
20101148205,39,1387,900,300,2083,0.7,1645,2.5
