SA2_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
201011001,8188,8648,16835,623,585,1213,1453,1364,2815,668,648,1316,498,561,1060,1011,1075,2089,1140,1320,2457,1026,1100,2124,725,861,1583,625,690,1312,341,354,694,73,98,172,7893,8364,16255,298,284,578,84,109,190,7,3,7,0,3,3,88,115,198,6640,7037,13677,1299,1350,2649,6828,7273,14103,1095,1108,2200,7324,7778,15097,190,196,389,1385,1317,2697,520,524,1042,159,246,403,219,402,620,3350,4067,7419,932,909,1843,973,876,1845,399,356,754,209,219,430,23,22,45,7786,8263,16055,268,313,585
201011002,5711,6420,12131,267,224,490,658,630,1290,426,401,829,330,388,719,673,654,1326,616,728,1340,779,882,1660,765,884,1650,670,824,1495,399,537,937,128,263,394,5410,6148,11561,297,274,570,64,44,116,3,4,8,7,0,3,78,47,125,4646,5292,9931,775,837,1612,4964,5634,10595,456,489,952,5125,5790,10907,76,74,151,627,613,1235,358,359,716,124,209,335,209,338,546,2806,3367,6180,646,751,1400,596,653,1245,259,260,520,165,191,355,10,13,22,5152,5811,10969,755,766,1521
201011005,3594,3664,7261,190,172,357,561,587,1148,270,276,546,228,171,398,296,272,571,414,457,870,510,534,1044,483,509,991,451,452,897,178,174,352,28,54,85,3442,3504,6951,156,157,311,39,44,83,0,0,0,3,0,3,42,44,83,3076,3148,6225,354,380,732,3319,3389,6702,124,142,257,3306,3394,6703,62,52,113,525,565,1092,201,238,437,111,91,198,95,167,265,1522,1759,3282,415,428,844,494,343,836,182,155,335,92,77,169,10,8,14,3308,3417,6722,217,215,435
201011006,5111,5553,10661,382,426,804,784,683,1464,273,311,586,394,427,820,959,1011,1975,616,669,1287,546,577,1122,465,556,1022,393,482,876,210,258,470,86,147,232,4952,5388,10339,159,163,326,110,117,224,3,0,8,0,0,0,118,114,232,4316,4719,9041,564,603,1171,4469,4902,9371,407,404,817,4602,5003,9604,108,122,234,717,643,1363,201,240,438,113,148,258,153,272,422,1755,2251,4009,599,637,1237,827,763,1591,332,332,659,207,202,408,22,13,39,4837,5211,10052,227,270,501
201011007,2172,2055,4230,125,99,223,338,326,668,188,160,345,118,94,213,161,180,340,257,260,515,346,341,685,305,331,633,240,197,433,85,61,148,13,12,27,2100,2000,4098,72,57,131,42,38,82,0,0,0,0,0,0,46,38,85,1953,1860,3806,172,153,330,2077,1967,4044,46,57,102,2065,1954,4025,43,40,82,334,314,654,142,136,277,31,35,64,19,67,91,617,848,1466,323,289,618,458,286,742,167,108,277,81,49,126,4,3,8,2099,2013,4107,37,37,71
201011008,7473,7863,15333,462,454,917,1024,893,1917,471,452,928,467,455,921,1125,1102,2230,820,925,1748,861,916,1780,849,891,1739,735,873,1602,464,573,1041,186,331,514,7211,7599,14812,260,263,525,193,205,398,11,9,19,6,6,11,211,223,439,6383,6617,13000,619,726,1347,6629,7000,13628,384,412,796,6777,7171,13944,120,127,249,941,826,1769,332,341,675,98,148,247,175,323,493,2185,2713,4898,931,987,1919,1303,1224,2525,653,574,1225,408,472,876,36,30,64,6875,7214,14094,556,579,1130
201011481,4580,5111,9691,232,262,496,553,478,1037,216,218,432,303,313,611,697,727,1426,568,614,1183,493,590,1081,577,657,1239,520,598,1114,301,389,686,129,264,390,4388,4948,9334,188,161,352,114,114,224,0,5,5,0,0,0,118,117,238,3852,4333,8188,480,522,1004,4054,4572,8623,258,261,520,4120,4640,8754,69,74,147,506,456,968,141,149,289,83,107,193,162,287,444,1726,2193,3920,520,577,1097,696,679,1379,341,345,687,206,246,450,27,10,38,4153,4643,8793,392,464,861
201011482,7099,7648,14750,446,429,871,951,935,1887,424,394,822,373,377,752,901,920,1828,915,1006,1916,907,994,1905,905,1024,1929,776,845,1623,373,472,846,125,245,367,6825,7371,14195,279,274,555,85,79,165,0,0,0,0,0,0,88,84,168,6199,6640,12844,630,726,1363,6506,6983,13490,334,367,700,6602,7095,13696,158,122,279,911,900,1813,329,325,653,138,172,307,200,322,525,3023,3660,6679,851,883,1731,937,820,1757,406,377,780,203,242,446,10,14,30,6700,7227,13930,308,320,631
201011483,5923,6299,12225,343,308,650,773,728,1495,367,337,705,450,450,903,985,955,1947,734,820,1560,678,756,1435,601,683,1285,545,698,1242,313,374,689,137,186,320,5667,6059,11720,253,240,501,93,137,227,5,4,11,0,4,7,98,143,248,4782,5217,10000,790,754,1545,5066,5459,10520,502,510,1007,5171,5614,10781,95,94,190,741,688,1426,252,242,498,159,188,348,245,341,580,2516,2900,5410,618,679,1295,768,768,1540,322,363,693,212,221,434,31,20,48,5440,5796,11235,427,438,865
201011484,6122,6965,13086,343,382,733,749,687,1438,331,318,655,466,484,944,969,1056,2022,719,804,1520,646,767,1415,746,839,1581,644,861,1504,389,522,914,127,252,373,5883,6738,12621,241,227,469,152,167,319,12,8,13,8,3,9,168,178,346,5065,5714,10783,602,708,1313,5368,6126,11494,331,348,678,5451,6178,11628,105,119,224,659,621,1278,195,211,397,88,144,239,173,348,522,1917,2367,4285,700,827,1521,1091,1146,2235,517,560,1077,350,439,785,23,31,55,5619,6429,12047,450,496,943
