SA2_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
201011001,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,4,0,0,4,9,3,0,0,0,0,25,6,18,12,42,21,14,12,9,3,130,18,34,33,65,27,33,17,21,11,260,585,1364,1204,2392,1100,861,690,354,98,8648,0,0,0,0,0,0,0,0,0,0,1156,2509,2040,3334,1678,1302,1017,530,125,13677,0,4,9,25,10,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,17,0,0,0,5,0,0,0,5,0,15,0,10,7,110,25,23,17,0,0,201,0,0,0,0,0,4,5,3,0,14,0,0,6,11,0,0,0,0,0,15,3,35,24,53,52,48,65,48,11,333,0,3,3,4,6,4,0,0,0,20,0,3,0,0,0,0,0,0,0,7
201011002,0,0,6,13,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,5,13,9,6,12,7,5,65,3,11,31,48,26,40,46,42,28,291,224,630,791,1381,882,884,824,537,263,6420,0,0,0,3,0,3,0,0,0,7,470,1164,1330,2030,1364,1361,1197,721,302,9931,0,0,0,14,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,17,0,4,4,0,0,24,0,0,0,0,0,5,0,0,0,3,0,13,9,57,18,20,15,0,0,129,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,7,0,10,0,30,12,36,31,47,56,61,12,282,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,9,11,3,8,0,6,40,6,14,33,28,17,6,19,6,0,137,172,587,452,725,534,509,452,174,54,3664,0,0,0,0,0,0,0,0,0,0,349,1074,822,1249,884,834,694,268,63,6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,25,6,32,48,52,73,30,7,268,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
201011006,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,7,25,16,3,8,4,3,73,10,27,26,86,19,14,20,21,4,223,426,683,738,1684,577,556,482,258,147,5553,0,0,0,0,0,0,0,0,0,3,782,1324,1226,2604,961,884,717,357,178,9041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,30,0,6,4,0,0,40,0,0,0,0,3,0,3,3,4,9,0,0,5,4,0,0,0,0,0,8,0,8,8,22,14,31,37,20,16,161,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,12,0,7,3,8,4,5,9,6,0,42,99,326,248,437,341,331,197,61,12,2055,0,0,0,0,0,0,0,0,0,0,221,648,532,798,628,526,329,104,18,3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,40,26,13,6,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
201011008,0,0,4,3,4,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,5,10,12,5,6,65,27,44,56,134,54,59,56,45,41,513,454,893,907,2028,916,891,873,573,331,7863,0,0,0,0,0,0,0,0,0,0,856,1769,1638,3297,1501,1461,1276,811,394,13000,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,15,28,4,3,6,4,0,68,0,0,0,0,0,8,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,3,7,33,24,48,64,44,17,246,0,0,3,5,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,3
201011481,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4,0,0,0,3,0,0,3,0,0,3,0,3,6,16,4,10,6,3,0,52,13,19,34,69,37,35,17,22,15,256,262,478,524,1343,590,657,598,389,264,5111,0,0,0,0,0,0,0,0,0,0,467,953,917,2150,920,1043,906,508,328,8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,18,0,6,0,0,0,28,0,0,0,0,6,0,3,7,0,15,0,0,0,0,0,0,0,0,0,0,0,5,4,33,20,48,62,47,17,237,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6
201011482,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,23,7,5,7,5,0,65,13,26,23,58,28,43,36,28,20,273,429,935,772,1932,994,1024,845,472,245,7648,0,0,0,0,0,0,0,0,0,0,847,1767,1448,3177,1666,1670,1326,650,285,12844,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,7,0,0,4,10,8,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,9,0,22,3,0,8,4,0,49,0,0,0,0,0,5,12,11,10,32,0,0,0,0,0,0,0,0,0,5,0,7,6,68,53,57,72,47,18,327,0,0,0,3,0,0,0,0,0,7,0,0,0,10,0,3,0,0,0,19
201011483,0,0,4,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,4,0,4,3,27,11,9,9,4,4,66,20,28,56,88,25,15,27,39,25,322,308,728,793,1777,756,683,698,374,186,6299,0,0,0,5,0,0,0,0,0,6,600,1385,1357,2718,1211,1051,966,502,208,10000,0,3,0,5,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,3,22,66,15,5,7,0,0,112,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,9,14,41,34,58,79,36,26,298,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,0,11
201011484,0,0,0,6,3,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,17,7,12,12,9,4,66,24,55,58,142,68,57,64,50,28,538,382,687,798,1857,767,839,861,522,252,6965,0,0,0,0,0,0,0,0,0,0,679,1290,1375,2862,1171,1317,1154,671,258,10783,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,4,6,0,0,35,0,0,0,0,0,3,4,4,0,14,0,0,6,0,0,0,0,0,0,5,0,4,7,22,17,41,77,44,29,247,0,0,0,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,4
