SA2_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
201011001,0,0,0,3,13,13,31,31,4,5,4,9,0,0,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,10,0,0,0,0,5,12,18,13,4,0,0,0,13,5,4,74,0,0,0,0,5,0,49,34,5,8,4,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7,5,5,0,4,0,0,0,4,39,10,46,79,56,34,26,64,56,11,7,11,7,6,0,5,416,0,0,0,4,3,3,3,4,0,0,3,0,0,0,0,27,0,0,0,0,0,0,11,5,0,4,0,0,0,0,0,30,3,6,21,28,21,20,92,43,17,11,18,6,11,4,12,316,26,123,134,135,137,132,809,525,97,109,154,118,80,26,35,2649
201011002,0,0,0,0,4,7,5,9,0,0,4,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,4,10,3,0,0,8,0,0,0,0,26,0,0,0,5,4,0,5,3,0,0,3,0,0,0,0,21,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,14,0,0,0,0,3,0,3,0,3,6,0,0,0,0,0,18,13,45,88,49,33,16,38,23,0,8,10,14,9,0,16,366,4,0,0,11,14,5,17,15,0,0,0,0,5,0,0,67,0,0,0,0,4,0,0,9,0,4,0,0,5,0,0,31,8,17,11,18,21,15,44,14,8,8,7,6,0,0,5,183,38,151,147,129,150,131,339,189,50,51,71,77,43,6,46,1612
201011005,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,3,0,3,0,8,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,3,27,78,55,32,23,39,29,4,4,4,3,3,4,4,319,0,0,0,9,0,5,9,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,0,8,22,7,0,0,0,5,3,0,0,76,11,78,101,105,72,74,125,73,6,9,14,24,21,4,11,732
201011006,0,0,0,3,10,6,20,28,9,0,3,5,0,0,0,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,9,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,0,0,0,0,12,4,25,66,28,14,11,17,12,0,3,7,0,0,0,16,202,0,0,0,0,0,3,3,4,0,0,7,0,0,0,0,19,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,4,13,6,16,14,10,59,25,3,9,8,0,0,0,0,163,20,78,103,73,67,56,279,206,55,48,63,52,30,3,40,1171
201011007,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,3,15,35,26,26,4,13,3,0,0,0,0,0,0,0,122,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,7,10,0,4,0,0,0,0,0,0,0,0,46,9,46,63,51,63,22,41,15,8,3,0,4,0,0,6,330
201011008,0,0,0,0,9,12,22,46,8,8,14,23,7,0,7,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,0,0,0,3,3,7,14,0,0,4,0,6,0,0,0,39,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,3,7,6,4,0,0,3,3,0,0,25,11,55,99,41,19,10,23,20,4,7,3,3,0,0,19,310,0,0,0,0,0,3,10,9,0,0,0,0,0,0,4,25,0,0,0,3,9,0,0,7,0,0,3,0,0,0,0,27,5,12,24,16,24,12,40,11,7,0,0,3,8,0,4,163,30,159,170,107,91,99,207,185,41,46,38,93,30,0,49,1347
201011481,0,0,0,7,0,4,5,7,8,0,3,0,0,0,4,39,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,6,7,0,0,0,5,0,0,5,25,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,16,43,71,55,38,19,21,22,0,0,0,4,0,0,15,293,0,0,3,7,6,8,10,4,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,10,17,14,8,17,17,12,3,3,5,0,0,0,126,26,112,122,101,96,77,128,121,38,26,45,48,14,5,43,1004
201011482,0,0,0,0,4,9,12,0,0,4,0,9,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,8,4,0,0,0,0,0,0,0,29,0,0,0,0,4,0,4,9,5,3,3,0,0,0,0,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,21,49,83,52,43,38,55,42,4,0,3,0,4,0,8,397,0,0,0,6,8,8,21,3,0,5,6,0,0,0,0,51,0,0,0,5,4,0,3,0,0,0,3,0,0,0,5,16,5,11,15,20,13,9,35,33,19,0,0,8,0,0,3,166,31,154,150,136,135,126,270,188,48,31,24,34,10,3,27,1363
201011483,0,0,0,0,4,3,5,16,8,6,3,3,0,0,0,56,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,4,17,0,0,3,0,0,0,0,0,30,0,0,0,0,0,5,5,4,3,4,0,0,0,0,0,27,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,10,47,84,59,35,25,48,16,0,4,3,0,0,0,15,350,0,0,0,9,4,5,9,10,0,0,0,3,0,0,3,36,0,0,0,0,6,0,0,7,0,0,3,0,0,0,0,22,7,13,16,10,16,15,37,18,9,15,14,3,3,0,0,180,38,126,130,122,124,95,277,211,74,66,100,112,41,5,35,1545
201011484,0,0,0,4,4,9,22,23,6,5,6,16,4,0,3,100,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,17,11,53,108,47,24,14,13,9,0,3,0,0,7,0,18,307,0,0,0,0,0,0,12,5,0,0,0,0,0,0,3,19,0,0,0,0,0,3,3,4,0,6,0,3,0,0,0,22,3,16,20,22,19,4,24,17,3,9,0,4,0,0,8,155,24,178,178,122,92,74,169,172,29,55,51,71,29,4,66,1313
