SA2_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
201011001,274,65,355,98,18,850,1026,1578,392,10,538,413,70,161,1479,70,1048,9901,585,15412,13,10,4,0,3,3,0,0,9,0,4,46,500,571,1276,1726,474,40,650,544,99,238,1767,136,1407,10051,1096,16835,0,0,0,0,0,0,0,0,0,0,4,9,0,11,72,33,40,0,37,52,10,22,57,3,47,99,8,303,70,33,40,0,38,52,10,22,60,3,49,102,9,315,1193,1321,428,41,600,478,85,207,1597,127,1157,6803,421,12071,13,6,0,0,6,3,0,0,3,4,0,24,380,426,1269,1363,469,40,646,532,95,235,1657,134,1204,6941,807,12804
201011002,233,52,258,64,21,747,980,1030,411,11,404,485,72,187,1153,78,859,6494,384,10762,17,12,8,42,8,7,7,3,26,5,31,53,483,624,1235,1142,502,110,516,618,105,261,1414,138,1151,6610,883,12131,0,0,0,0,0,0,0,0,5,0,6,8,0,12,53,18,29,6,31,46,9,15,34,14,30,96,9,257,53,21,29,6,31,46,9,15,33,14,30,109,9,274,1161,987,462,55,465,557,91,239,1303,118,1020,5036,329,9521,20,5,12,47,8,13,3,5,16,8,30,33,432,558,1228,1017,502,110,513,617,106,261,1355,135,1082,5175,770,10353
201011005,97,23,141,32,8,315,544,641,197,3,260,243,30,83,552,31,502,4234,225,6617,0,0,0,0,0,0,0,0,3,0,5,28,278,333,638,681,233,25,298,283,37,115,659,57,650,4302,517,7261,0,4,0,0,0,0,0,0,0,0,0,11,0,12,32,23,14,0,10,20,4,9,26,0,21,73,5,160,37,23,14,0,10,20,4,9,26,0,21,77,5,173,599,546,223,25,284,251,37,104,596,54,561,2998,193,5330,0,3,0,0,0,0,6,0,5,0,9,10,222,255,638,570,233,25,296,275,37,110,616,57,586,3086,418,5759
201011006,247,55,305,89,23,842,728,1092,219,5,381,286,56,137,1058,53,650,5763,361,9305,12,14,0,0,5,3,0,0,4,0,4,37,444,511,990,1245,291,80,502,419,94,218,1311,107,963,5890,829,10661,0,0,0,0,0,0,0,0,0,0,0,3,0,4,57,29,16,7,27,38,6,19,33,7,37,63,7,207,57,26,16,7,27,38,6,19,33,7,37,68,7,209,919,988,271,69,471,368,75,197,1194,96,817,4103,266,7795,10,5,0,4,0,6,4,5,12,4,8,27,322,376,982,1021,292,80,503,413,88,213,1239,104,862,4204,597,8390
201011007,66,14,70,23,5,204,360,373,108,0,152,110,27,51,330,18,255,2470,203,3916,0,3,3,0,0,0,0,0,5,0,0,17,75,111,430,415,127,10,179,144,30,76,403,29,331,2510,283,4230,0,0,0,0,0,0,0,0,0,0,0,3,0,6,15,12,12,3,9,11,4,6,14,0,9,23,0,74,20,12,12,3,9,11,4,6,15,0,7,22,0,80,409,330,120,3,171,132,26,69,363,26,284,1778,132,3183,0,0,0,0,0,0,0,0,0,0,0,19,65,86,429,338,127,10,179,142,33,73,377,28,291,1817,203,3341
201011008,522,123,568,119,21,1396,1360,1682,384,12,759,556,89,329,1701,101,993,7384,469,13015,30,23,4,0,18,14,0,10,19,0,12,55,792,926,1860,1994,517,146,1030,843,150,520,2246,228,1571,7555,1282,15333,3,4,0,0,0,0,0,0,0,0,0,9,0,21,104,34,36,14,63,85,10,41,67,19,58,114,4,364,105,38,37,14,63,86,10,41,67,19,53,125,4,380,1639,1588,455,81,933,715,128,456,1977,188,1242,5377,379,11275,106,41,28,51,26,33,13,26,81,18,91,44,637,849,1858,1665,514,147,1023,839,152,516,2125,228,1387,5547,1020,12503
201011481,353,78,377,68,19,1026,877,977,284,14,385,344,70,173,1147,62,742,4542,318,8171,17,8,4,0,12,4,0,5,12,0,16,29,435,495,1205,1170,405,157,551,528,120,282,1518,144,1134,4637,776,9691,3,0,0,0,0,0,0,0,0,0,0,6,0,10,67,34,31,3,51,63,14,29,45,13,44,82,7,267,64,35,30,3,51,61,14,29,41,13,44,89,7,275,1100,984,362,132,476,442,100,242,1385,123,962,3424,263,7436,37,9,7,28,19,22,3,12,18,10,20,17,361,450,1205,1023,401,157,551,524,118,282,1449,144,1028,3526,632,8161
201011482,321,71,340,85,10,890,1177,1389,414,20,543,504,82,189,1372,94,977,8094,507,13281,15,4,5,7,3,3,0,3,9,0,12,35,499,581,1499,1556,526,99,678,653,122,304,1707,164,1329,8219,1018,14750,4,3,0,0,0,0,0,0,0,4,3,12,0,23,63,36,28,3,34,42,7,23,50,6,48,107,7,287,66,37,28,3,31,42,5,23,50,10,50,119,7,312,1408,1282,487,81,631,590,105,269,1580,153,1120,5923,400,11182,27,11,13,8,8,11,0,13,10,0,19,32,414,497,1497,1327,519,99,670,644,118,302,1638,160,1186,6070,822,11992
201011483,330,63,321,62,26,889,971,1234,288,8,462,352,60,167,1433,48,813,6235,400,10619,10,9,3,4,9,6,4,3,11,0,11,32,645,715,1255,1393,401,97,614,531,105,271,1773,117,1146,6330,1077,12225,0,0,0,0,0,0,0,0,0,0,0,4,0,11,71,26,23,12,43,58,11,18,56,13,44,66,13,247,71,26,23,12,43,54,11,18,52,13,42,64,14,255,1162,1161,365,79,555,455,92,251,1608,99,1006,4650,312,9200,19,6,11,4,13,11,5,8,17,3,4,30,535,618,1255,1199,405,97,617,519,99,275,1677,120,1051,4744,862,10077
201011484,511,117,534,106,19,1352,1286,1524,359,14,681,521,108,326,1818,100,922,5634,413,10804,25,28,10,10,11,12,8,3,34,3,20,54,785,929,1782,1846,511,102,951,781,181,540,2362,224,1475,5794,1208,13086,0,0,0,0,0,0,0,0,0,0,0,6,0,8,100,43,32,3,53,60,7,24,62,12,47,80,9,310,101,40,32,4,56,61,7,24,67,6,47,85,9,318,1628,1529,458,74,849,695,162,488,2122,197,1254,4211,310,9772,51,33,12,22,30,27,12,25,51,11,44,47,624,833,1779,1599,511,102,936,784,184,532,2234,220,1340,4340,944,10921
