SA2_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
201011001,77,18,172,2784,3827,1713,1202,2803,480,12804
201011002,183,65,394,2271,3108,1405,824,2155,587,10353
201011005,27,10,85,1170,1750,1025,575,971,272,5759
201011006,142,17,232,1660,2282,970,789,2263,421,8390
201011007,15,0,27,681,985,482,371,736,90,3341
201011008,217,119,514,2337,3246,1417,1181,3363,957,12503
201011481,236,55,390,1534,2325,1004,694,2122,489,8161
201011482,176,39,367,2433,3784,1645,1102,2467,556,11992
201011483,147,67,320,2028,2978,1225,805,2395,646,10077
201011484,152,73,373,1984,2731,1180,933,3189,911,10921
201021009,53,19,118,989,1452,754,568,1168,392,5322
201021010,104,56,236,1164,1827,970,845,1405,553,6761
201021011,107,55,256,1489,2721,1389,915,1440,725,8675
201021012,30,10,73,968,1469,807,622,900,405,5172
201031013,50,11,101,487,754,386,392,685,313,3024
201031014,45,21,101,616,959,509,418,808,657,3970
201031015,20,7,40,719,1079,577,484,769,312,3947
201031016,240,46,395,1084,1598,946,682,2121,518,6955
201031017,50,18,118,733,1110,716,602,1080,490,4735
202011018,289,64,484,2394,3468,1384,952,3530,935,12668
202011019,150,47,300,1939,2713,1231,989,2921,702,10482
202011020,311,52,619,2444,3396,1540,1025,2775,659,11846
202011021,122,22,254,1734,2452,1027,624,1569,380,7786
202011022,355,216,840,3223,4488,2045,1611,4791,1350,17502
202011023,12,0,29,890,1300,577,446,809,134,4157
202011024,55,8,125,1792,2592,1330,856,1290,317,8172
202011025,60,18,156,2263,3117,1490,1102,2476,584,11032
202021026,20,8,59,1357,2042,1075,770,993,383,6616
202021027,114,201,472,1593,2873,1520,1002,1418,1340,9742
202021028,83,9,178,1340,2417,1400,1048,1121,623,7949
202021029,74,28,149,636,1083,623,496,980,512,4330
202021030,169,39,311,1564,2543,1402,957,1637,646,8749
202021031,100,15,164,1203,2055,1078,708,1029,346,6414
202031032,33,12,76,726,1038,580,477,796,440,4062
202031033,136,70,297,999,1416,755,747,1480,793,6198
203011034,86,9,127,1160,1655,820,701,1252,257,5839
203011035,32,4,65,1238,1830,1031,768,1075,409,6349
203011036,41,38,113,1026,1604,822,625,880,433,5386
203021037,189,127,526,2412,3758,1564,1077,2917,723,12451
203021039,124,23,277,2522,3609,1420,810,2660,732,11759
203021040,225,46,484,3679,5474,2276,1367,3818,748,17367
203021042,195,36,467,4404,5934,2827,1765,3896,802,19623
203021043,181,21,315,3218,4359,1955,1579,3853,1821,16780
203021044,144,76,320,2194,3017,1476,1037,2655,490,10867
203021045,273,111,561,2411,3317,1539,1097,3898,1019,13276
203021046,77,19,201,1868,2631,1271,797,1534,340,8441
