SA2_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
201011001,..,1092,1092,1662,111,1774,920,45,962,1171,21,1192,536,6,538,198,3,198,4481,1275,5763
201011002,..,1778,1778,1620,152,1768,598,48,649,538,18,557,219,0,217,55,3,62,3032,2006,5036
201011005,..,484,484,909,30,937,359,9,361,452,6,459,195,3,201,76,5,73,1989,534,2522
201011006,..,826,826,1244,93,1343,674,37,709,617,15,627,255,9,260,102,0,105,2887,981,3870
201011007,..,198,198,446,15,466,218,0,218,284,0,285,138,0,138,83,0,83,1174,222,1395
201011008,..,2085,2085,1961,165,2126,824,33,857,682,10,690,286,6,290,152,3,158,3904,2298,6201
201011481,..,1513,1513,1277,163,1438,493,30,522,388,7,399,163,4,169,57,5,62,2390,1717,4108
201011482,..,1723,1723,1889,159,2052,747,23,772,825,7,833,380,0,380,101,0,101,3942,1919,5863
201011483,..,1556,1556,1469,171,1640,625,55,687,606,26,629,252,7,260,88,4,90,3044,1817,4863
201011484,..,2300,2300,1736,190,1920,729,39,761,475,13,489,207,6,211,92,5,94,3235,2542,5776
201021009,..,577,577,812,46,857,357,3,363,336,0,336,179,0,179,68,0,68,1762,626,2388
201021010,..,993,993,1200,61,1261,385,4,385,339,0,339,177,0,176,76,0,76,2170,1056,3229
201021011,..,1369,1369,1633,107,1741,453,12,466,369,4,370,147,0,148,65,0,62,2660,1495,4157
201021012,..,460,460,785,34,824,309,3,314,362,3,363,168,0,168,84,0,84,1706,504,2212
201031013,..,484,484,578,25,603,125,4,128,121,0,123,63,0,63,43,0,43,927,519,1448
201031014,..,546,546,650,38,686,210,4,214,177,0,177,82,0,82,35,0,35,1157,584,1746
201031015,..,420,420,638,24,670,241,4,243,244,0,242,122,0,122,75,0,75,1320,452,1777
201031016,..,1418,1418,1243,96,1337,373,7,376,311,3,309,130,0,130,59,0,60,2117,1526,3639
201031017,..,757,757,780,51,833,269,3,270,219,0,219,97,0,97,56,0,56,1420,802,2221
202011018,..,2330,2330,1870,228,2094,825,67,891,572,13,582,196,3,197,123,4,128,3580,2641,6229
202011019,..,1649,1649,1627,134,1769,704,20,721,605,8,613,264,0,264,156,0,159,3366,1812,5178
202011020,..,1971,1971,1917,154,2072,677,53,733,589,21,609,259,10,264,102,4,109,3551,2209,5759
202011021,..,1292,1292,1131,134,1263,535,42,574,439,15,455,191,9,195,70,4,73,2358,1493,3847
202011022,..,2871,2871,2775,224,3005,1169,42,1218,931,12,939,377,5,382,175,0,173,5423,3159,8582
202011023,..,199,199,523,21,549,316,4,320,399,5,400,207,0,207,78,0,78,1521,224,1747
202011024,..,493,493,1169,28,1196,548,6,559,783,5,790,364,0,364,130,0,130,2994,539,3530
202011025,..,1101,1101,1646,113,1764,823,21,839,856,3,858,386,0,382,197,0,197,3900,1244,5147
202021026,..,384,384,992,32,1030,404,0,411,535,0,535,266,0,266,122,0,122,2320,427,2744
202021027,..,1701,1701,1636,123,1761,585,17,611,459,0,460,146,0,146,57,0,61,2892,1850,4737
202021028,..,1135,1135,1476,79,1561,448,8,460,420,0,419,147,0,147,73,0,73,2567,1228,3799
202021029,..,659,659,765,67,828,246,7,250,166,0,166,73,0,73,48,0,48,1305,730,2035
202021030,..,1027,1027,1406,74,1480,538,13,556,604,5,609,207,3,206,78,9,83,2834,1125,3960
202021031,..,608,608,999,44,1048,451,3,459,514,0,514,204,0,207,52,0,56,2224,659,2880
202031032,..,388,388,651,33,679,268,3,270,239,0,239,121,0,121,50,0,47,1325,426,1751
202031033,..,972,972,1044,69,1110,293,3,298,268,4,275,134,0,134,86,0,86,1822,1045,2869
203011034,..,317,317,754,18,775,383,0,384,567,0,567,292,0,292,96,0,96,2098,339,2439
203011035,..,431,431,884,35,919,430,5,437,525,0,525,247,0,247,114,0,114,2204,476,2685
203011036,..,472,472,831,40,871,362,4,366,382,0,386,171,0,171,76,0,76,1821,514,2339
203021037,..,2112,2112,1793,192,1990,816,84,898,785,39,821,271,17,281,84,7,92,3745,2455,6194
203021039,..,2166,2166,1793,252,2039,691,97,796,503,31,536,211,8,221,68,4,68,3268,2556,5827
203021040,..,2988,2988,2581,269,2850,1244,86,1329,1134,49,1180,440,4,442,117,3,123,5519,3391,8907
203021042,..,1839,1839,2639,125,2766,1189,69,1255,1575,44,1616,625,28,652,194,17,212,6218,2128,8342
203021043,..,1426,1426,2126,128,2254,1168,31,1194,1262,5,1267,532,0,532,244,0,242,5330,1583,6908
203021044,..,1202,1202,1724,78,1804,762,15,776,815,3,821,325,0,332,94,0,94,3732,1293,5021
203021045,..,2225,2225,2078,181,2259,827,37,859,658,17,676,266,5,267,114,5,119,3945,2468,6411
203021046,..,1144,1144,1215,71,1286,558,35,597,626,26,649,260,8,268,69,0,76,2731,1283,4015
203021047,..,1963,1963,2032,143,2173,920,44,957,782,17,801,302,6,309,118,4,118,4150,2174,6323
203021485,..,824,824,1127,122,1244,644,62,700,588,49,634,204,7,206,88,4,94,2641,1064,3708
203021486,..,1756,1756,1879,178,2062,1109,53,1163,840,12,850,387,6,386,296,4,303,4509,2007,6516
203021487,..,2133,2133,2835,197,3029,1425,109,1542,1474,74,1546,553,20,574,209,9,221,6498,2544,9042
203021488,..,1486,1486,994,148,1143,541,36,577,303,15,321,114,7,118,98,0,97,2049,1693,3744
203031048,..,1640,1640,2535,123,2659,962,9,976,853,4,854,392,0,392,127,0,129,4871,1780,6656
203031049,..,723,723,1004,50,1047,259,16,274,258,8,265,83,0,85,25,3,32,1634,792,2427
203031051,..,1282,1282,1891,83,1976,398,4,400,310,0,308,114,0,114,52,0,50,2760,1373,4135
203031052,..,712,712,1031,19,1052,229,0,231,200,0,200,92,0,92,16,0,16,1579,732,2313
203031053,..,1615,1615,2731,155,2885,1213,81,1289,1718,42,1761,707,6,716,146,7,157,6511,1908,8424
203031489,..,684,684,1294,76,1368,624,37,657,741,25,772,332,4,335,84,0,88,3075,832,3906
203031490,..,1583,1583,2547,114,2658,932,24,954,1273,17,1285,454,0,460,117,0,121,5321,1734,7058
204011054,..,1018,1018,1138,61,1197,297,7,304,250,8,258,115,3,116,39,0,39,1840,1095,2934
204011055,..,966,966,1137,52,1192,313,8,318,246,0,246,105,0,105,52,0,52,1843,1024,2871
204011056,..,1489,1489,1852,97,1949,846,11,857,841,3,842,397,0,397,191,0,191,4129,1601,5726
204011057,..,1154,1154,1535,61,1597,415,12,425,413,4,420,216,0,216,66,4,70,2641,1240,3882
204011058,..,596,596,711,40,755,231,9,234,171,0,173,82,0,82,38,0,38,1232,644,1875
204011059,..,910,910,874,66,938,353,18,377,264,9,270,118,0,118,48,7,57,1659,1011,2668
204011060,..,273,273,569,16,582,235,3,240,227,0,227,112,0,112,58,0,58,1201,295,1492
204011061,..,34,34,22,6,24,10,0,10,13,0,13,0,0,0,4,0,4,56,37,92
204011062,..,526,526,654,42,695,180,8,184,156,0,156,66,0,66,31,0,31,1082,571,1653
204021063,..,1657,1657,1662,126,1783,492,10,499,396,5,402,179,0,178,77,0,77,2804,1795,4602
204021064,..,351,351,632,16,652,181,4,185,169,0,169,71,0,71,37,0,37,1087,376,1462
204021065,..,473,473,605,29,635,209,4,209,187,0,187,101,0,101,21,0,21,1120,499,1620
204021066,..,2811,2811,2646,165,2806,987,31,1016,915,5,922,429,4,436,154,3,153,5136,3012,8146
204021067,..,843,843,1485,59,1543,465,11,473,492,0,491,245,0,244,106,3,107,2792,911,3703
204031068,..,574,574,770,35,806,211,4,218,246,0,246,103,0,105,25,0,25,1353,616,1968
204031069,..,977,977,1301,69,1376,369,19,386,389,4,403,149,4,154,50,3,54,2264,1076,3340
204031070,..,326,326,469,32,502,166,3,164,150,0,150,54,0,54,37,0,37,886,359,1238
204031071,..,577,577,766,30,796,226,3,231,190,0,190,114,0,114,23,0,23,1323,611,1938
204031072,..,712,712,979,40,1020,269,3,270,231,0,231,118,0,118,44,0,44,1644,756,2399
204031073,..,1671,1671,1866,122,1987,864,14,882,834,0,835,340,0,344,149,0,149,4060,1810,5870
204031075,..,351,351,704,14,720,248,3,248,284,0,284,138,0,138,64,0,64,1440,371,1810
204031491,..,592,592,1336,70,1404,705,12,722,803,3,804,378,0,378,152,0,152,3371,685,4052
204031492,..,2343,2343,2042,166,2209,814,29,844,646,10,657,262,0,269,123,0,123,3901,2549,6452
205011076,..,1831,1831,2539,126,2670,1053,11,1065,992,3,998,494,0,488,258,0,258,5335,1979,7313
205011077,..,594,594,896,35,932,326,0,330,330,0,330,164,0,164,63,0,63,1776,634,2409
205011078,..,849,849,1178,47,1225,426,6,428,417,0,423,194,0,194,91,0,90,2300,906,3209
205011079,..,2200,2200,2941,134,3083,1207,30,1231,1201,14,1216,583,6,585,233,0,235,6168,2384,8552
205021080,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,..,2029,2029,2133,135,2267,794,29,817,683,9,689,316,0,318,149,7,154,4070,2214,6280
205021082,..,778,778,1222,54,1272,414,4,414,382,9,386,172,0,172,83,4,87,2272,846,3118
205021083,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,..,1474,1474,1860,93,1952,478,7,488,403,0,407,186,0,187,82,0,82,3008,1569,4579
205021085,..,1035,1035,1035,66,1099,260,7,267,209,0,207,123,0,123,45,0,45,1668,1105,2777
205021086,..,910,910,1456,72,1527,282,4,289,203,0,203,94,0,94,40,0,40,2080,985,3060
205031087,..,1337,1337,1536,68,1603,376,0,380,343,0,343,156,0,156,87,0,85,2494,1408,3906
205031088,..,19,19,20,0,25,4,0,4,3,0,3,4,0,4,0,0,0,33,17,54
205031089,..,942,942,1326,73,1407,484,10,490,461,3,466,278,0,278,104,0,104,2650,1027,3675
205031090,..,1316,1316,1619,64,1685,558,4,564,518,0,521,287,0,287,126,0,125,3097,1392,4490
205031091,..,1784,1784,2135,113,2251,574,22,599,575,6,582,244,0,244,69,0,69,3608,1924,5526
205031092,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8
205031093,..,3550,3550,4212,229,4445,1259,29,1292,1082,9,1085,498,0,501,204,0,206,7256,3821,11074
205041094,..,1052,1052,1668,84,1754,647,12,657,597,4,602,249,0,249,126,0,126,3291,1150,4442
205041095,..,2797,2797,2201,173,2371,913,11,927,740,3,748,281,4,287,147,7,154,4278,2995,7280
205041096,..,2196,2196,1828,154,1983,697,19,722,528,4,528,244,7,251,143,4,154,3450,2386,5830
205041098,..,384,384,606,30,635,259,0,257,260,0,260,131,0,131,47,0,45,1293,420,1713
205041493,..,1489,1489,1521,94,1611,640,16,656,589,9,592,227,0,230,102,3,107,3082,1606,4686
205041494,..,1932,1932,2139,170,2313,888,20,912,942,8,949,367,5,369,129,0,129,4476,2135,6603
205051099,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
205051100,..,600,600,756,43,808,186,0,188,192,0,198,88,0,96,41,0,41,1267,651,1918
205051101,..,1575,1575,2069,91,2164,661,14,671,709,6,714,358,0,355,150,0,150,3938,1684,5626
205051102,..,352,352,537,33,569,207,0,211,193,0,193,82,0,82,57,0,57,1078,390,1466
205051103,..,2023,2023,2001,137,2132,825,22,844,697,3,707,320,0,324,128,0,128,3965,2188,6156
205051104,..,758,758,912,51,967,249,3,254,205,0,205,98,0,98,47,0,47,1510,816,2321
206011106,..,2342,2342,1808,433,2235,594,226,822,435,90,522,99,10,107,24,5,31,2955,3103,6059
206011107,..,2453,2453,1707,344,2052,735,149,879,685,91,776,176,24,196,51,4,58,3357,3056,6415
