SA2_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201011001,3141,3282,6424,807,837,1644,100,116,211,2718,2998,5714,66,69,137,49,56,106,15,18,33,22,21,39,20,16,42,13,14,22,0,0,0,3001,3305,6304,289,298,593,58,64,125,4157,4505,8662,269,275,540,7560,8062,15622
201011002,2742,3192,5944,333,355,687,78,92,165,1647,1859,3509,41,58,105,6,25,34,16,20,37,9,7,14,18,10,31,9,11,17,0,0,0,1824,2083,3906,193,193,386,46,47,91,2396,2676,5070,304,325,628,5445,6194,11641
201011005,2056,2117,4175,237,219,459,12,20,36,816,866,1677,19,29,52,9,8,15,6,9,18,3,4,10,0,3,3,5,5,6,0,0,0,875,940,1816,51,59,113,20,9,26,1187,1226,2418,165,149,318,3407,3493,6907
201011006,2036,2173,4210,249,275,526,58,53,113,1847,2059,3907,43,43,83,12,16,30,23,23,43,15,16,36,3,9,15,4,3,8,0,0,0,2010,2217,4232,125,121,244,56,69,121,2440,2681,5120,250,270,525,4727,5126,9852
201011007,1493,1384,2875,15,26,41,0,4,9,440,455,897,4,6,12,10,5,17,4,7,12,4,3,4,0,0,5,0,0,0,0,0,0,467,493,956,12,7,17,12,6,20,505,525,1036,60,43,101,2054,1958,4006
201011008,3850,4097,7945,526,538,1062,52,80,132,1781,1896,3674,47,61,107,26,26,46,22,17,38,10,10,23,6,5,11,4,0,0,0,0,0,1946,2094,4034,127,113,237,56,40,97,2653,2777,5432,508,533,1044,7015,7407,14418
201011481,2345,2538,4888,176,202,377,31,47,76,1276,1490,2767,28,27,56,16,18,32,15,29,50,6,14,16,12,15,32,3,0,4,0,0,0,1389,1640,3029,110,113,226,26,27,56,1713,1982,3690,294,325,617,4342,4850,9197
201011482,3801,4085,7882,488,528,1017,41,63,104,1791,1987,3777,39,42,87,11,17,32,23,18,39,18,14,28,9,12,19,3,4,9,0,0,0,1936,2162,4091,105,96,202,46,37,82,2573,2819,5397,290,315,604,6659,7220,13878
201011483,2689,2988,5680,317,352,666,53,57,108,1761,1905,3661,38,32,67,17,22,48,19,23,43,11,21,26,14,13,33,13,9,14,0,0,0,1926,2087,4008,209,187,400,55,39,92,2497,2662,5164,394,339,732,5585,5995,11573
201011484,3010,3417,6424,336,449,785,37,48,84,1602,1791,3393,47,49,99,32,35,67,10,12,25,5,16,18,11,3,13,4,8,21,0,0,0,1749,1964,3716,108,133,242,69,53,128,2269,2600,4873,498,560,1057,5775,6584,12354
201021009,1879,1797,3675,195,204,403,12,18,36,729,765,1497,13,17,24,5,3,10,5,14,11,0,7,10,3,4,4,0,0,0,0,0,0,771,831,1600,23,27,51,14,11,27,1002,1071,2071,230,203,433,3106,3077,6179
201021010,2415,2383,4793,222,251,473,21,23,51,766,759,1525,17,15,33,0,11,9,12,9,21,3,3,4,0,9,14,7,3,10,0,0,0,835,836,1671,40,38,71,15,16,33,1114,1135,2241,318,326,638,3844,3838,7676
201021011,2677,2817,5492,365,394,762,56,53,112,1003,1023,2031,33,34,68,15,13,29,15,19,27,16,7,19,10,17,25,11,15,23,0,0,0,1157,1179,2337,92,96,191,27,19,44,1640,1696,3332,386,408,793,4705,4914,9617
