SA2_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
201011001,0,7,0,0,0,0,0,0,0,4,3,51,0,0,0,0,0,3,0,63,70,158,10,8,16,4,12,7,4,288,0,14,0,0,0,0,0,0,0,15,10,53,0,0,3,0,5,0,0,79,7,13,0,4,0,0,0,0,0,23,127,361,40,49,44,35,27,20,5,701,0,0,0,0,0,0,0,0,0,0,37,32,15,18,9,3,14,10,0,147,69,47,55,63,21,19,14,20,0,300,156,45,551,72,48,63,107,102,20,1159,5,0,0,6,0,3,4,7,0,32,7,6,4,7,0,9,4,6,0,36,0,7,0,0,0,0,0,4,0,15,11,5,4,0,0,3,4,4,0,39,515,794,683,233,144,149,185,180,33,2907,0,9,0,0,0,0,0,0,0,10,5,46,0,0,0,0,0,0,0,48,35,180,6,21,20,3,5,5,3,272,0,14,0,0,0,0,0,0,0,13
201011002,0,3,0,0,0,0,0,0,0,5,6,59,0,0,3,0,0,0,0,67,70,127,7,0,13,3,0,3,3,238,0,4,0,0,0,0,0,0,0,11,17,59,0,15,4,0,0,0,4,96,18,11,0,4,3,0,0,0,0,34,159,396,35,36,43,25,16,17,3,735,0,0,0,0,0,0,0,0,0,4,20,40,8,14,6,12,4,5,0,116,30,22,31,18,19,8,9,10,0,151,102,17,230,45,30,30,40,41,5,544,5,0,0,3,6,8,5,3,0,21,9,6,0,8,0,6,4,5,3,42,0,3,0,0,0,0,0,0,3,15,10,4,3,3,5,0,6,3,0,39,450,764,335,142,131,107,80,85,31,2125,4,11,0,0,0,0,0,0,0,11,7,53,0,4,0,0,0,0,0,63,46,239,10,15,24,3,0,5,0,341,6,8,0,0,4,0,0,0,0,18
201011005,0,3,0,0,0,0,0,0,0,3,5,23,0,0,0,0,0,0,0,29,29,47,8,0,4,0,0,0,0,93,0,0,0,0,0,0,0,0,0,5,8,30,0,9,0,0,0,0,0,42,3,8,0,4,0,0,0,0,0,16,78,217,15,20,30,11,3,14,3,390,0,0,0,0,0,0,0,0,0,0,26,20,9,9,0,7,0,0,3,72,29,15,19,11,8,3,6,3,0,95,62,21,217,26,24,20,49,51,8,477,0,6,3,0,0,0,5,0,0,17,5,3,3,0,0,0,6,5,0,22,4,5,0,0,0,0,0,0,0,11,4,0,0,4,0,4,0,0,6,25,243,393,284,85,75,43,72,74,19,1295,0,3,0,0,0,0,0,0,0,3,11,17,0,0,0,0,0,0,0,28,24,75,0,3,11,5,0,3,0,119,4,8,0,0,0,0,0,0,0,10
201011006,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,11,10,42,3,3,3,3,5,6,0,78,0,0,0,0,0,0,0,0,0,0,4,15,3,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,3,40,146,37,30,20,8,17,19,0,327,0,0,0,0,0,0,0,0,0,0,14,14,17,7,5,0,5,4,0,68,22,27,28,24,14,8,10,10,0,151,96,17,482,60,46,40,95,92,15,946,4,0,3,6,3,3,3,11,0,31,4,6,7,6,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,3,0,5,23,197,285,590,142,91,72,143,155,28,1697,0,5,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,7,9,55,0,11,15,8,0,4,3,97,0,10,0,0,4,0,0,0,0,12
201011007,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,9,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,5,0,4,3,0,0,0,0,21,0,3,0,0,0,0,0,0,0,5,27,52,8,9,6,5,0,0,0,108,0,0,0,0,0,0,0,0,0,0,11,9,6,0,4,0,0,0,0,39,16,8,11,7,4,4,0,3,0,60,64,13,247,20,17,19,48,49,11,470,3,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,4,18,138,111,278,48,35,31,55,62,13,769,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,5,25,0,5,5,0,0,0,0,39,0,4,0,0,0,0,0,0,0,4
201011008,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,14,51,7,0,5,0,4,0,0,77,0,0,0,0,0,0,0,0,0,5,0,19,4,3,4,0,0,3,0,26,0,3,0,0,0,0,0,0,0,6,54,146,40,32,26,13,9,18,0,336,0,0,0,0,0,0,0,0,0,0,19,12,9,4,4,3,6,11,0,64,23,11,26,26,24,21,11,20,3,160,116,25,532,71,32,44,144,133,15,1111,6,4,8,3,6,4,7,11,0,41,3,3,7,0,0,9,3,11,0,35,0,4,6,0,0,0,0,3,0,16,0,0,8,4,0,0,7,10,4,51,238,279,637,150,106,98,186,223,34,1952,0,8,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,9,12,62,3,6,8,0,0,0,0,95,0,9,0,0,0,0,0,0,0,7
201011481,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,22,53,0,6,8,0,6,3,0,102,0,0,0,0,0,0,0,0,0,4,6,36,4,4,0,0,0,0,0,44,0,9,0,0,0,0,0,4,0,11,58,175,44,27,26,15,5,8,7,363,0,0,0,0,0,0,0,0,0,5,11,12,20,5,8,3,7,3,0,71,20,18,26,12,15,0,15,3,0,117,78,17,296,44,32,28,47,70,8,624,6,0,11,5,0,6,7,4,0,32,0,0,0,0,3,0,4,0,0,16,0,6,0,0,0,0,0,0,0,7,3,6,10,0,0,3,4,0,5,30,218,340,414,112,88,58,97,111,22,1453,0,4,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,20,15,104,4,5,7,3,0,0,0,146,0,5,0,0,0,3,0,0,0,7
201011482,0,3,0,0,0,0,0,0,0,7,3,47,0,5,0,0,0,0,0,53,47,119,6,0,9,0,4,3,3,196,0,7,0,0,0,0,0,0,0,7,27,55,5,18,12,0,0,0,0,115,5,9,0,0,4,0,0,0,0,21,147,384,27,50,44,22,12,15,7,708,0,0,0,0,0,0,0,0,0,3,46,32,17,16,15,11,5,6,0,161,50,49,36,38,17,12,4,13,3,216,154,41,496,45,52,50,87,99,17,1026,3,3,6,0,0,6,0,11,0,30,6,3,6,3,0,4,5,9,0,45,3,3,0,0,0,0,0,0,0,11,4,12,3,6,4,0,6,0,3,40,504,764,611,186,149,105,125,161,38,2638,3,8,0,0,0,0,0,0,0,10,3,53,0,0,0,0,0,0,0,61,52,180,0,12,20,3,0,0,8,275,0,14,0,0,0,0,0,0,0,15
201011483,0,5,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,29,32,91,10,11,9,5,13,6,3,183,0,0,0,0,0,0,0,0,0,3,9,35,7,3,4,0,0,0,0,60,3,7,0,4,4,0,0,0,0,20,80,278,28,47,37,16,22,20,6,541,0,0,0,0,0,0,0,0,0,0,25,28,31,16,8,7,3,8,0,129,29,32,30,32,17,6,13,6,6,166,80,39,339,56,37,45,66,80,13,751,0,5,3,7,5,3,4,5,0,41,3,9,3,4,0,6,3,0,0,31,0,0,5,5,0,0,0,3,0,12,0,3,6,3,0,4,5,7,6,28,274,563,461,183,136,93,119,138,25,1992,0,4,0,0,0,0,0,0,0,4,0,22,0,3,0,0,0,0,0,23,21,150,3,17,19,0,5,13,0,232,0,8,0,4,0,0,0,0,0,16
201011484,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,9,31,4,0,4,6,5,4,0,69,0,0,0,0,0,0,0,0,0,0,0,12,0,5,5,0,0,4,0,24,4,0,0,0,0,0,0,0,0,5,39,131,41,26,16,10,7,15,6,288,0,0,0,0,0,0,0,0,0,0,4,9,9,5,5,4,3,6,0,60,18,21,22,30,10,13,12,13,0,143,61,22,451,66,33,36,83,96,22,875,4,0,6,8,4,7,4,8,0,36,0,0,4,5,0,0,9,3,0,31,0,3,0,0,0,0,4,0,0,8,5,3,4,5,0,4,11,8,10,46,149,251,544,148,85,81,135,160,37,1595,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,9,9,49,7,7,11,4,0,0,3,86,0,0,0,0,0,0,0,0,0,6
