SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,15,35,54,62,63,32,11,0,0,267,16,26,59,39,34,25,8,9,0,209,764,834,1737,2083,1804,1050,237,22,0,8528
201011002,7,19,25,29,32,33,14,3,0,160,14,19,32,26,42,35,11,4,0,172,366,525,1032,1058,1327,1115,327,48,5,5804
201011005,5,12,15,21,27,32,0,0,0,111,3,3,14,23,22,9,7,3,0,90,290,281,446,730,883,694,156,9,5,3495
201011006,7,40,57,39,35,30,10,0,0,223,8,29,50,31,20,29,3,4,0,173,285,640,1583,1022,852,636,168,13,0,5205
201011007,9,11,11,17,28,13,7,0,0,96,9,8,7,24,22,15,4,0,0,85,200,159,289,449,587,445,94,3,0,2224
201011008,11,26,71,38,33,37,7,0,0,222,19,27,70,54,56,55,14,0,0,302,362,623,1600,1290,1232,973,249,22,8,6361
201011481,3,22,44,28,27,19,9,5,0,150,10,14,27,11,15,24,12,9,0,132,211,454,1083,854,733,727,207,18,0,4288
201011482,10,9,57,59,51,33,15,0,0,241,10,14,36,40,46,38,5,5,4,198,443,580,1482,1596,1568,1340,330,33,4,7370
201011483,11,30,64,33,32,23,7,0,0,200,9,14,41,29,34,17,4,0,0,162,332,659,1470,1212,1109,793,209,25,8,5823
201011484,5,39,72,32,36,33,11,0,0,228,12,34,52,36,42,40,9,0,0,238,288,671,1433,1049,886,814,169,15,0,5327
201021009,6,4,27,22,33,23,5,0,0,123,3,12,17,30,36,29,8,4,0,144,163,218,477,721,768,649,153,29,0,3182
201021010,10,11,26,36,31,26,12,0,0,158,11,8,15,19,42,35,17,0,0,142,173,205,508,649,801,787,266,51,0,3430
201021011,6,3,26,27,25,31,7,0,0,114,12,12,24,32,36,45,20,7,0,187,175,173,571,798,1146,1132,395,72,8,4470
201021012,6,10,25,17,29,16,5,0,0,114,12,8,14,25,44,22,15,6,0,139,225,185,422,628,791,675,213,39,4,3179
201031013,0,7,4,12,4,5,3,0,0,43,10,8,8,4,14,14,11,0,0,64,67,80,188,197,343,310,140,25,3,1348
201031014,0,7,16,18,17,10,3,0,0,64,0,0,14,16,18,12,11,5,0,86,95,133,271,341,428,409,168,36,4,1882
201031015,3,12,15,13,14,12,5,0,0,82,5,7,19,24,27,22,6,0,0,114,126,159,365,432,548,405,129,21,0,2185
201031016,8,12,30,16,17,16,8,0,0,105,7,11,25,20,27,27,10,6,0,138,184,233,550,445,585,571,184,22,5,2778
201031017,0,9,10,11,16,20,4,5,0,72,5,6,17,5,24,27,8,7,0,99,117,134,258,302,465,516,162,34,0,1982
202011018,10,15,68,39,36,40,11,4,0,223,4,34,42,51,47,51,12,9,0,248,344,798,1716,1152,1263,1086,317,35,0,6715
202011019,16,30,74,44,31,30,3,0,0,226,15,20,72,53,42,46,14,3,0,250,324,626,1472,1026,1014,900,242,17,0,5616
202011020,7,23,41,35,45,34,17,0,0,198,7,18,42,33,28,27,9,3,0,170,411,692,1338,1186,1283,1124,329,47,0,6416
202011021,3,20,36,24,35,38,8,0,0,163,14,11,25,28,17,16,6,3,0,113,348,601,999,890,909,754,176,17,0,4688
202011022,8,32,108,72,53,69,20,0,0,364,16,29,93,81,55,55,14,7,5,352,535,840,2226,1899,1673,1503,381,45,9,9108
202011023,6,3,13,38,31,17,11,0,0,125,6,8,17,23,18,12,0,0,0,87,230,239,429,753,687,463,117,10,0,2918
202011024,16,11,34,49,39,29,13,0,0,188,13,11,18,29,36,24,6,0,0,136,481,355,858,1374,1284,787,210,16,0,5368
202011025,5,28,73,64,44,41,18,0,0,270,9,23,54,51,39,37,10,5,0,224,392,636,1848,1630,1176,985,229,22,0,6926
202021026,12,18,37,31,36,30,3,0,0,172,24,17,22,39,35,39,9,7,3,186,326,316,693,899,996,876,194,36,4,4350
202021027,9,9,20,35,40,35,14,4,0,156,11,9,19,30,25,41,12,0,0,160,234,207,643,969,1112,997,345,32,3,4557
202021028,6,12,32,23,29,25,14,0,0,143,5,13,21,31,27,42,16,9,0,172,191,200,522,709,1019,1079,392,52,8,4162
202021029,3,3,16,16,16,18,6,0,0,77,0,6,11,13,19,27,12,4,0,93,78,108,291,337,459,472,166,37,4,1948
202021030,13,18,20,43,42,28,8,4,0,174,13,13,24,36,44,31,20,5,0,180,269,292,705,1059,1292,936,347,70,5,4980
202021031,6,7,12,22,35,26,10,0,0,113,3,9,8,24,36,18,15,4,0,125,209,211,408,826,1078,733,253,39,7,3764
202031032,7,4,15,26,14,21,3,0,0,88,8,12,10,19,23,23,5,0,0,106,133,160,319,415,503,529,146,27,0,2230
202031033,3,4,12,13,11,11,7,0,0,67,14,14,23,15,30,33,23,8,4,160,134,151,411,471,588,715,326,72,17,2879
203011034,11,12,28,50,30,20,8,0,0,160,8,9,34,30,33,25,3,0,0,145,281,281,781,982,920,498,129,20,0,3891
203011035,17,6,23,46,31,27,13,0,0,159,13,10,28,30,22,28,7,3,0,144,242,256,658,915,955,737,241,34,3,4043
203011036,7,7,17,19,27,16,4,0,0,103,11,11,18,24,40,16,9,5,0,126,214,219,543,697,727,662,252,47,9,3371
203021037,14,33,64,48,49,29,6,3,0,243,10,28,63,50,48,31,14,0,0,242,383,828,2151,1563,1303,972,256,26,0,7480
203021039,11,21,58,35,30,52,15,6,0,215,9,26,56,44,45,29,12,6,0,232,336,797,1880,1319,1251,1163,331,32,9,7121
203021040,15,38,81,70,58,67,10,0,0,334,12,37,96,101,67,50,17,3,0,374,495,1038,3043,2650,2190,1639,377,38,0,11470
203021042,19,47,56,78,56,53,14,3,0,330,20,40,69,77,76,50,14,9,0,361,929,1366,2213,2644,2688,1904,563,66,7,12375
