SA2_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
201011001,0,0,0,0,0,0,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,7,0,13,0,8,0,9,0,0,0,12,16,0,25,5,16,3,19,0,0,0,22,23,0,51,9,33,0,40,0,3,6,43,23,0,64,15,42,6,56,0,5,3,62,29,0,88,28,39,9,73,0,0,3,77,22,0,100,39,30,4,69,4,0,3,71,12,0,88,33,17,0,49,0,0,0,56,8,0,64,24,27,0,57,0,0,0,57,10,0,59,42,13,0,57,0,0,0,57,10,0,60,27,3,0,32,0,0,0,34,0,0,35,4,3,0,10,0,0,0,10,0,0,16,7,0,0,9,0,0,0,9,0,0,5,18,0,6,20,0,0,0,20,4,0,17,34,7,4,45,0,0,0,45,6,0,56,0,3
201011002,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,6,8,0,10,0,3,0,5,0,0,0,5,11,0,13,0,12,0,14,0,0,0,12,12,0,24,6,9,0,11,0,0,0,17,16,0,37,6,19,0,24,0,0,0,24,31,0,55,21,24,0,44,0,0,0,46,16,0,64,14,9,0,26,0,0,0,33,16,0,42,19,6,3,32,0,0,0,37,7,0,41,13,6,0,14,0,0,0,14,6,0,19,35,14,0,52,0,0,0,49,4,0,57,16,5,0,18,0,0,0,18,5,0,20,8,4,0,10,0,0,0,10,5,0,16,3,0,0,3,0,0,0,3,0,0,3,15,4,0,19,0,0,0,19,0,0,19,12,8,0,24,0,0,0,30,9,0,35,0,0
201011005,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,3,5,4,0,13,4,12,0,19,0,0,0,21,7,0,25,3,5,0,13,0,0,0,13,10,0,20,0,11,0,20,0,0,0,19,7,0,27,15,7,4,22,0,0,0,22,5,0,29,17,8,0,26,0,0,0,26,4,0,34,8,7,0,17,0,0,0,17,0,0,17,19,4,0,22,0,0,0,22,3,0,27,5,7,0,3,0,0,0,3,3,0,9,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,11,3,0,14,0,0,0,16,11,0,19,0,0
201011006,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,6,4,3,0,10,0,6,0,4,0,0,0,4,4,0,13,0,7,0,7,0,0,0,9,20,0,24,0,13,0,17,0,6,3,17,22,0,41,0,17,4,23,6,0,6,30,29,0,58,14,25,0,45,0,0,0,43,31,0,76,24,23,5,52,0,0,0,53,26,0,74,22,16,3,41,0,3,3,46,14,0,58,16,16,0,33,0,0,0,33,11,0,43,25,8,0,31,0,3,3,33,4,0,38,25,10,5,33,0,0,0,38,9,0,42,16,5,0,16,0,0,0,16,9,0,23,11,3,0,11,0,0,0,10,0,0,16,4,3,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,6,0,23,0,0,0,23,18,0,34,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,3,0,0,4,0,0,0,4,0,0,6,6,5,3,9,0,0,0,9,0,0,16,0,3,0,13,0,0,0,11,10,0,19,4,4,0,10,0,0,0,10,0,0,5,4,3,0,5,0,0,0,5,0,0,8,5,6,0,10,0,0,0,10,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,3,0,0,3,0,0,0,3,0,0,3,6,3,0,12,0,0,0,12,5,0,10,0,0
201011008,0,0,0,0,4,0,4,3,11,0,17,0,0,0,0,0,0,0,0,0,0,4,0,6,4,4,0,0,4,5,5,0,11,0,9,0,9,0,3,4,12,10,0,19,0,4,3,12,0,4,7,13,35,0,48,7,22,3,30,6,5,12,41,52,0,96,11,32,8,47,0,4,7,56,65,0,117,11,49,5,66,0,0,0,64,58,0,124,20,33,0,59,3,0,6,65,47,0,110,31,22,4,60,0,0,0,61,43,0,107,21,15,0,34,0,0,0,41,23,0,62,13,12,0,28,0,0,0,31,11,0,38,31,12,0,43,0,0,0,43,18,0,61,6,6,0,13,0,0,0,13,9,0,20,4,3,0,4,0,0,0,4,0,0,10,8,0,0,8,0,0,0,8,0,0,3,10,0,0,10,0,0,0,10,4,0,8,19,11,0,34,0,0,0,34,25,4,65,0,5
201011481,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,5,7,0,10,0,4,0,7,0,4,4,7,17,0,26,0,12,0,16,0,7,8,22,33,0,60,3,14,0,17,3,0,9,25,22,0,50,14,21,4,40,0,0,3,45,46,0,87,9,24,3,41,0,0,0,42,20,0,64,13,23,4,36,0,0,0,39,19,0,57,17,5,0,24,0,0,0,23,3,0,29,12,7,0,16,0,0,0,16,6,0,27,13,12,7,29,0,0,0,29,8,0,33,10,6,0,14,0,0,0,14,0,0,12,4,0,0,4,0,0,0,4,3,0,13,6,0,0,4,0,0,0,4,0,0,4,3,0,0,9,0,0,0,9,0,0,7,11,4,0,17,0,0,0,21,10,0,31,0,0
201011482,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,8,0,9,0,6,0,13,0,0,0,13,17,0,29,7,7,0,14,5,0,7,21,21,0,40,5,25,0,26,0,3,3,32,20,0,52,6,33,7,42,4,0,4,42,28,0,77,13,17,0,36,0,0,4,36,28,0,65,13,15,0,31,0,0,0,37,20,0,58,19,8,3,32,0,0,0,32,13,0,47,14,6,0,26,0,0,0,26,6,0,28,24,15,0,42,0,0,0,42,12,0,55,14,0,0,16,0,0,0,16,5,0,30,13,0,0,12,0,0,0,10,0,0,10,5,0,0,5,0,0,0,5,0,0,6,5,0,0,5,0,0,0,5,0,0,5,12,3,0,17,0,0,0,17,5,0,23,0,0
201011483,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,3,0,4,3,7,0,7,0,5,0,3,0,4,8,11,15,0,31,5,17,3,21,3,3,11,28,35,0,66,4,26,0,32,6,0,3,34,30,0,68,10,23,4,31,0,3,3,35,25,0,65,20,35,0,57,0,0,6,62,24,0,87,18,20,0,39,0,0,0,43,28,0,70,22,13,4,34,0,0,0,33,10,0,44,19,6,0,25,0,0,0,25,6,0,30,23,12,0,32,0,0,4,34,18,0,52,17,0,0,17,0,0,0,17,0,0,20,5,0,0,6,0,0,0,6,0,0,6,8,0,0,6,0,0,0,6,0,0,6,4,4,0,5,0,0,0,5,3,0,7,10,9,0,26,0,0,0,23,11,4,36,0,0
201011484,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,7,0,5,0,5,0,3,4,0,4,10,24,0,28,0,14,0,12,0,4,7,18,40,0,56,0,33,8,43,6,0,14,50,74,0,127,4,45,3,58,0,0,3,59,47,0,111,15,38,7,61,4,4,5,63,75,0,136,30,37,5,74,0,0,0,74,57,0,133,33,33,0,71,0,0,3,73,26,0,101,23,17,6,43,0,0,0,42,15,0,60,25,3,0,29,0,0,0,29,6,0,38,22,11,4,35,0,0,0,35,15,0,51,9,0,0,13,0,0,0,13,0,0,17,3,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,6,0,6,11,9,3,21,0,0,0,22,27,0,52,0,0
