SA3_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
20101,0,6,9,37,29,32,118,71,20,330,0,0,0,0,0,0,23,25,8,66,0,10,13,19,13,8,8,0,0,69,17,90,311,1180,148,50,40,18,3,1849,0,5,13,37,17,0,8,4,3,90,0,0,9,35,12,5,3,4,0,69,0,8,3,23,14,3,0,0,0,51,5,3,12,47,32,16,33,14,18,183,0,4,0,22,9,29,60,29,29,175,0,3,7,34,21,6,3,0,7,85,0,4,7,43,7,6,0,0,0,70,0,0,0,8,0,5,0,0,0,14,0,20,28,93,39,43,24,9,3,258,0,0,0,4,3,15,40,17,6,79,0,0,3,26,3,7,3,0,0,35,0,0,0,7,8,0,4,0,0,17,0,6,61,143,4,0,0,0,0,212,0,4,6,20,12,35,198,177,58,504,5,46,70,290,179,196,135,50,16,989,0,0,0,3,3,8,0,0,0,18
20102,0,0,3,17,13,31,67,28,11,172,0,0,0,0,0,4,8,6,0,23,0,0,0,8,5,0,3,0,0,23,0,4,7,42,4,12,5,3,3,78,0,0,0,9,0,0,4,0,0,13,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,8,23,16,15,19,10,4,90,0,0,0,25,4,17,21,13,3,90,0,0,0,23,5,3,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,12,10,14,3,0,0,46,0,0,0,0,7,26,48,15,0,99,0,0,0,4,0,6,0,3,0,16,0,0,0,0,0,0,0,0,3,3,0,0,4,25,0,0,0,0,0,28,0,0,3,5,12,29,55,48,22,171,0,13,8,91,99,113,78,19,0,410,0,0,0,4,0,4,13,3,0,28
20103,0,0,0,3,6,16,36,26,13,99,0,0,0,0,0,4,7,12,0,25,0,0,0,0,0,0,0,0,0,4,0,4,0,27,3,6,6,8,0,53,0,0,0,6,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,11,0,0,26,0,0,3,0,0,8,14,6,0,37,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,3,3,0,0,23,0,0,0,0,5,14,18,13,4,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,0,0,0,0,8,13,64,53,6,146,0,7,12,35,53,66,58,15,6,261,0,0,0,0,0,0,3,0,0,8
20201,0,4,7,19,17,24,58,47,10,188,0,0,0,6,0,14,9,12,9,53,0,6,10,15,4,4,5,0,0,59,8,91,122,794,91,36,32,12,3,1202,0,0,6,27,25,14,0,4,0,81,0,12,11,19,9,4,0,0,0,56,0,0,0,10,0,4,5,3,0,25,0,3,0,33,10,18,20,13,4,113,0,0,0,9,0,24,44,27,13,123,0,4,5,16,5,6,0,0,0,30,5,7,5,47,3,8,0,0,0,68,0,0,4,10,0,3,3,0,0,19,0,15,33,122,49,27,30,5,4,276,0,0,0,0,0,0,21,9,0,34,0,0,3,21,4,4,0,3,0,38,4,8,65,410,136,77,46,21,4,769,0,3,13,108,6,0,0,0,0,127,0,0,5,9,8,16,74,74,20,205,4,46,55,194,146,153,83,43,8,722,0,0,0,0,0,0,4,0,0,9
20202,0,0,0,27,25,38,88,56,17,252,0,0,0,3,0,10,16,12,9,52,0,0,0,10,10,7,0,0,0,20,0,9,13,80,14,12,12,14,0,152,0,0,0,9,10,0,8,4,3,39,0,0,0,7,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,26,21,21,16,11,5,109,0,3,0,5,14,22,61,22,12,138,0,0,7,12,7,3,8,5,0,43,0,0,0,6,3,0,0,0,0,8,0,0,0,6,3,0,0,0,0,11,0,0,5,32,9,21,9,0,0,82,0,0,0,3,6,10,34,14,0,76,0,0,0,0,6,4,3,0,0,12,0,0,4,8,6,0,5,0,0,19,0,0,0,7,0,0,0,0,0,17,4,0,0,18,28,31,79,47,11,224,4,16,29,152,169,180,111,37,7,693,0,0,0,3,0,4,3,0,0,21
20203,0,0,0,0,3,7,12,12,0,36,0,0,0,0,0,0,6,5,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,17,3,6,0,0,0,33,0,4,0,4,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,4,12,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,11,3,3,17,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,34,0,0,0,21,12,25,29,9,0,92,0,0,0,0,0,0,0,0,0,0
20301,0,0,0,16,5,15,33,21,0,89,0,0,0,0,3,0,5,0,0,10,0,0,0,0,0,3,0,0,0,9,0,9,4,23,0,8,0,0,0,39,0,6,0,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,17,7,10,0,0,0,41,0,0,0,5,0,5,16,4,6,35,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,0,10,0,0,0,0,0,6,13,6,0,32,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,12,34,25,0,103,0,8,6,52,58,38,36,8,0,216,0,0,0,0,3,0,0,0,0,9
20302,0,17,17,93,74,79,354,232,135,1010,0,5,10,14,29,46,86,114,56,351,0,38,38,78,20,23,25,0,3,224,35,198,693,3381,213,98,88,35,12,4740,0,9,31,122,52,16,26,4,0,263,6,48,85,233,53,41,11,4,5,492,0,36,37,96,49,30,10,4,0,267,0,33,27,179,83,73,68,37,31,534,3,3,20,87,51,179,383,370,249,1347,0,16,12,59,38,11,3,0,0,140,0,13,20,120,17,6,7,0,0,183,4,3,10,28,15,34,16,7,0,118,0,40,71,256,91,80,49,24,10,620,0,0,0,7,3,33,100,57,6,214,0,7,30,57,18,13,0,5,0,134,4,13,69,271,93,54,36,10,3,550,0,9,43,263,8,0,0,0,0,328,3,17,10,37,31,78,414,317,130,1038,20,93,193,757,411,360,209,94,24,2163,0,4,0,64,75,152,218,116,53,676
20303,4,7,6,98,38,48,155,91,46,485,0,4,0,5,9,33,66,71,20,200,0,7,10,17,9,5,6,0,0,59,3,13,28,270,24,28,28,18,6,417,0,5,4,38,11,5,8,0,5,81,0,0,4,18,8,11,0,4,0,42,0,4,0,7,3,4,0,0,0,12,5,16,14,83,50,46,42,24,13,287,0,0,6,42,20,44,166,62,43,386,0,4,0,28,15,8,7,3,0,64,3,5,5,11,8,0,0,0,0,33,0,0,0,8,9,3,4,0,0,19,0,8,0,42,27,24,13,3,0,118,0,0,0,4,14,57,113,63,18,260,0,3,5,13,6,14,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,32,0,7,10,33,32,40,160,110,36,426,11,67,62,373,205,182,188,68,8,1162,0,0,0,7,5,11,15,3,0,38
20401,0,3,5,29,20,44,109,83,29,328,0,0,0,3,3,18,27,12,8,74,0,5,10,11,0,5,3,0,0,37,3,22,21,174,26,19,9,13,0,293,0,0,4,15,6,6,0,5,0,35,0,0,0,5,0,3,0,0,0,13,0,0,0,5,0,0,0,0,0,11,0,9,3,46,16,15,19,24,0,138,0,0,5,7,10,32,71,46,31,204,0,3,0,6,9,4,7,0,0,26,0,0,0,10,3,3,0,0,0,18,0,0,0,0,0,11,4,0,0,19,0,11,11,21,18,28,4,0,3,97,0,0,0,4,8,13,31,19,9,82,0,0,0,5,0,3,5,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,6,26,0,0,0,0,0,28,0,0,6,19,17,32,88,53,15,231,0,23,32,133,126,155,140,45,12,666,0,0,0,0,0,5,3,3,0,26
