SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
20101,0,0,9,4,4,0,0,69,0,0,0,0,0,3,21,10,6,11,3,0,0,0,0,51,3,10,23,28,29,20,31,20,8,6,3,4,0,0,3,183,8,83,35,14,5,3,4,7,0,3,3,0,0,0,10,175,0,5,3,0,4,14,37,18,0,3,0,0,0,0,3,85,0,0,0,0,11,12,25,15,0,0,0,0,0,0,0,70,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,14,4,0,12,20,39,15,71,45,15,8,8,14,4,0,0,258,0,0,0,0,0,0,20,36,20,42,37,43,10,0,6,212,14,363,38,19,13,10,15,3,0,4,0,0,0,0,24,504,3,18,48,153,188,175,174,116,14,12,27,15,8,9,28,989,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,18,0,0,0,0,0,3,52,56,17,11,19,16,8,0,9,184
20102,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,16,12,7,3,22,22,0,0,0,0,0,0,0,90,6,20,24,12,0,0,9,4,3,0,5,3,3,0,3,90,0,0,0,0,3,5,8,4,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,6,10,8,3,4,3,0,0,0,0,0,0,46,0,0,0,0,0,0,3,5,7,4,0,3,0,0,0,28,4,95,22,8,13,5,7,0,0,0,0,0,0,0,6,171,3,6,27,74,96,82,61,41,5,0,4,0,0,0,8,410,0,0,11,7,4,3,4,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,6,4,3,0,0,0,0,0,0,0,0,26,0,12,15,3,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,4,8,5,10,5,0,0,0,0,31,6,92,20,8,14,0,3,0,0,0,0,0,0,0,4,146,3,0,28,65,60,45,31,5,3,4,3,0,4,0,17,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
20201,6,0,4,0,0,0,0,56,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,25,0,13,15,16,17,11,21,12,0,0,0,0,0,0,5,113,9,49,35,9,4,3,3,6,0,3,0,0,0,0,6,123,0,0,0,0,5,4,10,6,0,0,3,6,0,0,0,30,0,0,0,0,7,6,9,17,3,4,12,0,0,0,3,68,0,0,0,0,6,4,6,0,8,0,0,0,0,0,0,19,0,0,15,24,35,19,50,28,18,22,25,26,5,0,7,276,0,0,0,0,0,0,22,25,22,19,13,15,11,0,0,127,14,119,27,14,9,6,5,9,0,0,0,3,0,0,5,205,3,9,43,119,136,108,160,55,5,26,11,10,9,9,25,722,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,29,39,18,4,14,4,0,0,0,116
20202,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,5,25,8,14,11,24,11,0,0,6,0,0,0,6,109,7,60,31,13,3,9,0,0,0,0,0,0,0,0,20,138,0,0,0,6,0,11,11,0,0,0,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,4,7,7,14,7,10,4,0,3,3,6,0,0,9,82,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,17,4,97,40,18,7,13,18,17,0,0,0,3,0,4,10,224,3,8,47,125,150,131,115,39,5,5,8,0,3,0,50,693,0,0,8,8,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,0,11,5,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,6,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,0,0,0,0,0,0,0,0,0,4,34,0,0,5,25,14,10,17,3,0,6,0,0,0,3,10,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,4,11,3,0,0,0,0,0,0,0,41,4,19,10,3,0,0,3,0,0,0,0,0,0,0,4,35,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,15,7,5,11,6,5,0,0,0,0,0,0,7,103,0,4,10,34,53,35,33,18,6,0,4,0,0,0,16,216,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20302,24,23,31,30,12,4,12,492,0,0,0,0,0,20,29,60,85,16,17,18,8,0,13,267,0,29,61,43,77,39,119,114,8,11,7,5,4,0,16,534,70,513,455,86,22,17,48,37,9,0,7,10,4,0,68,1347,0,0,4,0,4,23,56,30,6,4,4,3,5,0,4,140,0,0,0,0,11,15,62,45,12,21,4,3,0,3,4,183,0,0,14,35,14,15,11,4,0,3,0,4,0,0,6,118,3,9,20,43,82,50,122,97,40,40,43,33,18,0,20,620,0,0,0,0,0,3,64,80,43,57,43,31,7,0,0,328,23,754,89,40,27,16,25,14,8,6,13,3,0,0,21,1038,12,19,94,271,377,341,460,282,43,39,43,46,26,17,109,2163,0,31,284,199,73,31,26,12,3,0,3,0,0,0,8,676,0,0,0,7,6,9,86,317,34,69,61,116,31,6,20,780
20303,0,0,0,0,0,0,0,42,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,12,5,13,29,35,46,23,70,42,5,6,3,11,0,0,7,287,24,177,86,23,12,8,14,26,0,0,0,3,0,0,20,386,0,0,0,3,12,7,25,9,0,0,0,0,0,0,10,64,0,0,0,0,5,4,9,4,7,0,3,0,0,0,0,33,0,0,4,5,5,0,4,0,0,0,0,0,0,0,0,19,0,0,12,20,12,6,25,11,5,8,9,6,0,0,4,118,0,0,0,0,0,0,13,6,0,9,0,5,0,0,0,32,11,241,41,15,20,17,32,14,4,0,3,11,0,0,16,426,11,19,91,149,197,168,262,171,16,13,13,27,7,11,30,1162,0,8,14,11,8,0,7,0,0,0,0,0,0,0,0,38,0,0,0,0,3,0,0,10,4,0,0,4,0,0,0,19
20401,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,6,6,18,11,20,7,34,27,3,0,0,4,0,0,7,138,8,81,76,7,0,3,0,4,0,0,0,0,0,0,11,204,0,0,0,0,0,13,4,3,0,0,0,0,0,0,0,26,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,18,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,19,3,3,13,8,21,0,10,19,6,0,0,3,0,11,0,97,0,0,0,0,0,0,4,3,0,11,7,0,0,0,0,28,6,119,27,14,13,16,12,0,0,0,6,0,0,0,4,231,3,14,56,115,141,99,119,57,3,9,3,3,0,0,34,666,0,3,5,10,0,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,7,8,4,0,0,6,4,0,0,30
