SA3_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
20101,4295,73,0,0,79,0,4376,147,518,16,3,535,0,686,0,29,0,0,35,0,34,0,0,0,0,0,0,0,147,554,17,0,573,0,717,6,0,0,0,0,11,17,4450,625,22,0,652,9,5108,4507,58,0,0,58,0,4573,129,485,10,0,503,0,635,0,27,5,0,24,0,29,0,0,0,0,0,0,0,134,515,15,0,532,0,664,3,5,0,0,5,0,11,4646,575,15,0,593,7,5243,2725,39,0,0,42,0,2767,52,227,3,0,235,0,287,0,9,7,0,10,0,10,0,0,0,3,3,0,3,56,236,9,3,247,0,302,0,0,0,0,0,5,5,2785,278,12,3,291,3,3073,1808,22,6,0,28,3,1835,45,104,0,0,104,0,145,3,6,4,0,11,0,12,0,0,0,0,0,0,0,43,106,3,0,112,0,154,0,0,0,0,0,0,0,1855,128,9,0,137,7,1997,2163,19,0,0
20102,1054,23,0,0,23,3,1082,44,50,5,0,50,0,93,0,6,0,0,5,0,5,0,0,0,0,0,0,0,44,48,0,0,52,0,99,3,0,0,0,0,0,6,1097,75,0,0,76,4,1181,1119,29,0,0,29,5,1148,37,46,0,0,45,0,85,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,53,5,0,48,0,91,6,0,0,0,0,6,9,1156,77,5,0,79,9,1252,749,9,0,0,9,0,761,21,22,0,0,22,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,22,0,43,0,0,0,0,0,0,4,769,31,0,0,31,5,807,535,4,0,0,4,0,537,14,14,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,12,0,26,5,0,0,0,0,0,3,550,19,0,0,19,0,565,616,9,0,0
20103,715,3,0,0,3,0,717,15,22,0,0,22,0,39,0,0,3,0,3,0,3,0,0,0,0,0,0,0,18,22,3,0,31,0,41,0,0,0,0,0,0,0,732,25,3,0,30,0,762,860,10,0,0,10,3,867,19,22,0,0,22,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,0,28,0,50,0,0,0,0,0,0,0,876,36,0,0,36,0,917,560,8,0,0,8,0,567,5,8,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,9,0,18,0,0,0,0,0,0,0,568,16,0,0,16,0,579,394,9,0,0,9,0,402,9,9,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,12,0,0,0,0,0,3,3,399,10,0,0,10,3,418,461,0,0,0
20201,3874,65,0,0,68,4,3948,87,427,46,0,470,0,552,0,49,64,0,114,0,121,0,0,0,0,0,0,0,86,473,110,0,585,0,675,5,6,0,0,6,10,17,3958,546,110,0,660,15,4631,3836,39,5,0,41,3,3882,74,393,30,0,426,3,506,3,46,94,0,147,0,146,0,0,0,0,0,0,0,80,445,131,0,573,3,658,0,0,0,0,0,3,8,3916,484,134,0,615,12,4542,2186,17,9,0,24,0,2207,49,143,9,0,156,0,199,0,20,48,0,67,0,72,0,0,0,0,0,0,0,50,163,54,0,224,0,268,0,0,0,0,0,0,3,2232,181,63,0,244,7,2488,1512,13,0,0,13,0,1524,30,83,5,0,91,0,120,0,16,41,0,53,0,53,0,0,0,0,0,0,0,32,98,45,0,144,0,178,0,0,0,0,0,0,5,1546,110,45,0,163,5,1707,1816,7,0,0
20202,1801,31,0,0,35,0,1833,49,53,10,0,56,0,112,0,4,3,0,3,0,3,0,0,0,0,0,0,0,49,55,9,0,62,0,115,0,0,0,0,0,5,3,1852,86,12,0,98,4,1958,2212,42,0,0,48,7,2267,63,66,0,0,70,0,132,0,9,6,0,7,0,7,0,0,0,0,0,0,0,63,68,7,0,77,0,142,6,0,0,0,0,5,11,2283,117,7,0,125,8,2420,1316,15,0,0,20,0,1332,23,32,4,0,35,0,62,0,4,0,0,4,0,4,0,0,0,0,0,0,0,23,36,4,0,39,0,63,0,0,0,0,0,4,3,1337,52,4,0,60,3,1395,815,13,0,0,13,0,828,10,26,0,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,23,0,33,0,0,0,0,0,0,0,828,38,0,0,38,0,864,1083,8,0,0
20203,393,4,0,0,4,0,395,9,20,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,20,0,25,0,0,0,0,0,0,0,397,26,0,0,26,3,421,432,0,0,0,0,0,432,5,27,0,0,29,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,30,0,33,0,0,0,0,0,0,0,435,27,0,0,28,0,467,335,0,0,0,0,4,337,8,9,0,0,9,0,7,0,3,0,0,3,0,3,0,0,0,0,0,0,0,8,9,0,0,9,0,9,3,0,0,0,0,0,3,345,9,0,0,9,3,352,192,0,0,0,0,0,191,0,7,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,12,0,0,0,0,0,0,4,200,8,0,0,8,6,213,246,0,0,0
20301,1155,24,0,0,24,7,1182,27,26,0,0,26,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,4,0,28,0,55,0,0,0,0,0,0,0,1185,49,4,0,52,8,1242,1391,17,0,0,17,0,1409,40,26,0,0,26,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,0,28,0,62,0,0,0,0,0,3,3,1422,42,0,0,42,6,1475,731,11,0,0,11,0,742,15,8,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,12,0,24,0,0,0,0,0,0,0,748,20,0,0,23,0,770,501,9,0,0,9,0,503,8,4,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,6,0,19,0,0,0,0,0,5,5,510,10,0,0,15,8,523,633,9,0,0
20302,7779,241,6,0,242,3,8025,326,1367,50,0,1419,3,1750,7,132,88,0,222,0,226,0,0,0,4,7,0,6,333,1502,139,4,1644,3,1980,4,3,0,0,3,6,19,8117,1744,148,4,1893,15,10018,7302,192,3,0,191,8,7503,288,1202,64,0,1260,0,1553,5,107,112,0,217,0,221,0,0,0,0,0,0,3,300,1309,176,0,1481,0,1775,0,7,0,0,7,9,9,7599,1505,177,0,1678,19,9296,4077,76,0,0,76,0,4159,140,525,26,0,547,0,694,9,47,84,0,132,0,141,0,0,0,0,0,0,0,145,571,110,0,685,0,828,7,0,0,0,0,6,11,4227,648,110,0,763,8,4999,2713,46,0,0,46,0,2759,81,322,16,0,339,0,426,0,44,64,0,107,0,112,0,0,0,0,0,0,0,85,369,81,0,450,0,535,5,0,0,0,0,0,4,2806,415,81,0,496,0,3301,3434,57,0,0
20303,3915,69,0,0,69,3,3990,138,213,0,0,213,0,356,0,5,5,0,13,0,13,4,0,0,0,0,0,4,147,223,5,0,225,0,368,0,0,0,0,0,4,4,4062,293,5,0,297,12,4370,4314,73,0,0,71,12,4400,146,189,4,0,189,0,337,3,7,0,0,12,0,8,0,0,0,0,0,0,0,146,196,5,0,197,0,348,3,0,0,0,0,7,13,4464,269,7,0,274,26,4763,2571,33,0,0,33,8,2611,74,76,0,0,78,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,80,0,0,80,0,157,0,0,0,0,0,4,6,2645,112,0,0,116,14,2775,1614,14,0,0,14,8,1634,32,49,3,0,49,0,85,0,3,0,0,3,0,3,0,0,0,0,0,0,0,32,49,3,0,53,0,85,0,0,0,0,0,4,5,1644,69,3,0,70,12,1731,1880,29,0,4
20401,1876,27,0,0,28,8,1912,55,108,4,0,115,0,174,0,13,3,0,15,0,16,0,0,0,0,0,0,0,61,118,10,0,130,0,189,0,0,0,0,0,4,4,1941,149,8,0,155,9,2104,2002,19,0,0,19,4,2023,75,107,0,0,107,0,180,0,5,0,0,6,0,11,0,0,0,0,0,0,0,71,108,0,0,112,0,189,0,0,0,0,0,6,10,2078,130,0,0,133,9,2222,1280,17,0,0,17,4,1296,37,60,0,0,66,0,101,0,7,0,0,3,0,3,0,0,0,0,0,0,0,37,68,0,0,71,0,110,4,0,0,0,0,4,3,1321,80,0,0,84,4,1407,830,15,0,0,18,3,842,23,37,0,0,37,0,64,0,0,3,0,3,0,3,0,0,0,0,0,0,0,23,42,3,0,41,0,65,0,0,0,0,0,4,4,848,53,5,0,58,9,914,994,13,0,0
