SA3_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
20101,49281,..,..,..,..,49281,..,29,0,29,0,29,..,93,4,97,0,101,..,13,0,13,0,13,..,71,11,84,0,84,..,346,89,437,9,446,..,8,9,14,0,14,..,427,105,530,9,541,..,44,10,53,6,58,..,54,3,58,0,58,..,67,4,70,0,66,..,61,4,68,4,70,..,61,4,67,0,63,..,58,0,63,0,64,..,217,5,221,0,223,..,112,0,118,0,118,..,378,27,400,0,402,..,118,3,121,6,124,..,114,7,125,3,130,..,22,0,22,0,22,..,1082,47,1129,13,1141,..,105,9,109,0,111,..,55,12,69,0,69,..,8,0,8,0,8,..,25,8,31,0,31,..,14,0,21,0,21,..,201,14,212,0,217,..,27,4,38,0,38,..,23,0,23,0,23,..,17,5,20,0,20,..,33,4,40,0,40,..,5,0,12,0,12,..,32,0,37,0,37,..,95
20102,13707,..,..,..,..,13707,..,8,0,8,0,8,..,17,5,17,0,17,..,0,0,0,0,0,..,9,0,9,0,9,..,21,5,33,0,33,..,7,0,8,0,8,..,39,5,41,0,41,..,18,3,26,0,26,..,15,0,18,0,18,..,42,0,42,0,42,..,27,0,27,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,15,0,15,..,12,0,18,0,18,..,10,0,10,0,10,..,8,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,49,7,59,0,59,..,56,0,62,0,64,..,11,0,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,21,4,21,0,21,..,3,0,3,0,3,..,5,0,5,0,5,..,4,0,4,0,4,..,11,0,11,0,11,..,4,0,4,0,3,..,0,0,0,0,0,..,25,8,29,0,29,..,9
20103,11868,..,..,..,..,11868,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,11,0,14,0,14,..,0,0,0,0,0,..,19,0,19,0,19,..,3,0,3,0,3,..,5,0,5,0,5,..,14,0,14,0,17,..,20,0,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,15,0,15,0,13,..,10,0,10,0,10,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,40,0,41,0,42,..,17,0,24,0,18,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,13,0,13,0,13,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,11
20201,43241,..,..,..,..,43241,..,33,0,33,0,33,..,107,5,106,3,113,..,21,0,21,0,21,..,52,8,66,0,64,..,186,67,249,0,249,..,5,0,5,0,5,..,247,73,323,0,319,..,10,0,11,0,11,..,28,3,31,0,31,..,37,0,38,3,44,..,63,11,74,0,73,..,38,0,38,0,38,..,39,4,38,0,38,..,108,0,107,0,109,..,63,3,64,0,66,..,232,10,244,8,249,..,93,11,103,0,104,..,65,4,72,0,72,..,26,0,28,0,28,..,656,34,687,6,696,..,63,0,69,0,65,..,26,0,28,0,28,..,7,3,6,0,6,..,18,4,24,0,24,..,5,0,5,0,5,..,219,17,240,4,243,..,22,5,24,0,24,..,8,0,8,0,8,..,23,0,19,0,19,..,10,0,15,0,15,..,8,0,14,0,14,..,5,0,6,0,6,..,81
20202,23012,..,..,..,..,23012,..,15,0,15,0,15,..,14,0,9,0,9,..,4,0,4,0,4,..,10,6,15,3,14,..,36,44,79,0,85,..,0,0,0,0,0,..,47,49,98,4,97,..,18,0,20,0,20,..,54,3,56,0,59,..,62,6,66,0,66,..,54,4,58,0,58,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,6,0,9,0,9,..,22,0,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,45,0,51,0,55,..,79,0,80,0,80,..,16,0,16,0,16,..,0,0,4,0,4,..,6,0,6,0,6,..,10,0,15,0,15,..,8,0,8,0,8,..,4,0,7,0,7,..,15,0,12,0,16,..,3,4,4,0,4,..,9,0,6,0,6,..,0,0,0,0,0,..,6,5,14,0,14,..,14
20203,5368,..,..,..,..,5368,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,10,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,24
20301,10442,..,..,..,..,10442,..,4,0,4,0,4,..,8,0,8,0,7,..,0,0,0,0,0,..,0,0,5,0,5,..,9,0,9,0,9,..,0,0,0,0,0,..,9,0,12,0,12,..,22,4,26,0,26,..,12,0,17,0,17,..,21,3,25,0,25,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,19,0,19,..,31,0,31,0,29,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,14,0,14,..,5
20302,83059,..,..,..,..,83059,..,77,0,78,0,78,..,399,55,449,3,458,..,14,0,16,0,16,..,169,36,203,3,203,..,737,174,911,16,927,..,38,3,45,0,45,..,945,216,1162,16,1180,..,744,127,867,9,873,..,151,5,160,4,165,..,194,11,204,3,210,..,328,35,366,5,375,..,113,0,110,0,116,..,205,9,215,0,215,..,520,10,527,0,532,..,156,11,166,3,170,..,1013,83,1093,7,1103,..,257,8,266,0,273,..,401,13,418,8,424,..,84,0,84,0,84,..,2749,138,2887,30,2920,..,755,79,832,8,843,..,97,0,99,0,99,..,26,7,32,0,32,..,73,12,84,0,84,..,448,77,527,6,525,..,416,26,438,4,441,..,191,35,223,6,227,..,134,15,145,0,149,..,91,13,108,0,109,..,112,10,128,0,131,..,16,3,19,0,19,..,321,67,386,0,383,..,240
20303,40928,..,..,..,..,40928,..,34,0,34,0,34,..,21,0,24,4,27,..,7,0,7,0,6,..,19,0,25,0,27,..,77,30,110,4,110,..,3,4,9,0,9,..,98,41,137,7,141,..,51,7,56,0,56,..,101,6,106,0,108,..,126,0,124,0,126,..,165,28,194,4,195,..,4,0,0,0,5,..,7,0,7,0,7,..,45,0,47,0,47,..,21,0,21,0,20,..,91,7,96,0,96,..,14,0,14,0,15,..,12,0,12,0,12,..,5,0,5,0,5,..,200,9,211,5,214,..,212,13,225,4,230,..,31,0,33,0,34,..,0,0,0,0,0,..,4,0,11,0,11,..,27,3,33,0,33,..,25,0,25,0,25,..,17,0,20,0,20,..,21,4,28,0,28,..,34,0,36,0,42,..,11,0,11,0,11,..,4,0,4,0,4,..,19,0,22,0,22,..,16
20401,26312,..,..,..,..,26312,..,23,0,23,0,23,..,13,5,16,0,16,..,4,0,8,0,8,..,12,7,16,0,16,..,126,48,176,0,174,..,18,3,20,0,20,..,157,60,216,0,221,..,29,0,29,0,29,..,28,0,30,0,30,..,79,0,79,0,79,..,58,8,64,0,62,..,0,0,0,0,0,..,3,0,3,0,3,..,32,0,32,0,32,..,16,0,16,0,16,..,62,3,63,0,63,..,25,0,25,0,25,..,27,0,25,4,28,..,0,0,0,0,0,..,161,3,165,4,167,..,112,9,122,3,126,..,20,0,17,0,17,..,11,7,14,0,14,..,3,0,3,0,3,..,10,0,14,0,14,..,22,0,32,0,30,..,7,3,7,0,7,..,16,0,15,0,15,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,10,4,12,0,12,..,20
