SA3_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
20101,0,98,0,103,..,31,0,31,0,33,..,89,0,89,0,89,..,33,3,37,0,37,..,253,7,258,4,262,..,115,3,115,0,115,..,74,0,74,3,80,..,43,10,51,0,52,..,16,0,16,0,16,..,69,8,75,0,75,..,564,73,641,23,664,..,3544,333,3877,64,3941,..,140,13,154,2608,2764,49281,3686,345,4031,2665,55982,53291,..,..,..,..,53291,..,33,0,37,0,37,..,83,3,82,0,87,..,15,0,15,0,15,..,65,19,83,0,83,..,388,120,516,4,526,..,19,5,24,0,24,..,469,150,621,9,634,..,54,8,57,0,57,..,78,5,81,0,86,..,116,0,113,0,115,..,69,8,83,0,83,..,56,6,62,0,62,..,49,7,56,0,55,..,147,17,166,0,162,..,100,6,101,0,101,..,323,24,354,5,363,..,81,6,88,0,90,..,95,9,107,0,107,..,24,0,24
20102,0,9,0,9,..,0,0,0,0,0,..,12,6,17,0,17,..,5,0,5,0,5,..,24,6,26,0,26,..,27,0,31,0,33,..,0,0,0,0,0,..,7,0,11,0,11,..,5,0,5,0,5,..,10,0,11,0,11,..,152,17,168,9,174,..,583,55,641,7,649,..,38,0,42,1088,1125,13707,616,54,679,1101,15481,13716,..,..,..,..,13716,..,13,0,13,0,13,..,13,0,17,0,17,..,3,0,3,0,3,..,13,0,9,0,9,..,36,0,37,0,37,..,6,0,6,0,6,..,50,3,53,0,53,..,19,4,28,0,28,..,26,0,26,0,33,..,53,0,53,0,56,..,17,4,16,0,16,..,5,0,5,0,5,..,0,0,0,0,0,..,14,0,14,0,14,..,9,0,12,0,12,..,14,0,11,0,11,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0
20103,0,15,0,15,..,0,0,0,0,0,..,11,0,11,0,11,..,4,0,4,0,4,..,23,0,27,0,27,..,12,0,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,6,0,3,0,10,..,90,14,104,0,102,..,307,21,330,4,335,..,40,3,44,1336,1380,11868,352,21,370,1342,13582,11817,..,..,..,..,11817,..,3,0,3,0,3,..,5,0,5,0,5,..,6,0,6,0,7,..,4,6,8,0,8,..,22,5,24,0,24,..,6,0,6,0,6,..,25,7,32,0,32,..,0,0,0,0,0,..,4,0,5,0,5,..,14,4,18,0,18,..,14,3,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,14,0,13,0,13,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
20201,0,85,0,84,..,24,0,25,0,25,..,87,0,87,0,87,..,44,8,58,0,57,..,234,17,256,5,255,..,45,0,44,3,47,..,42,0,44,0,47,..,15,4,17,0,17,..,11,0,15,0,15,..,43,22,61,0,64,..,853,446,1300,29,1327,..,2847,655,3500,58,3559,..,129,24,155,2513,2669,43241,2973,683,3655,2568,49462,46934,..,..,..,..,46934,..,46,3,49,0,49,..,85,3,89,3,92,..,25,0,25,0,25,..,66,13,75,5,78,..,212,89,302,3,304,..,10,0,8,0,8,..,283,104,386,4,389,..,15,5,27,0,27,..,59,0,59,0,55,..,64,0,64,0,64,..,59,8,66,0,64,..,39,4,45,0,45,..,31,0,34,0,34,..,89,8,96,0,95,..,61,3,60,0,60,..,189,16,198,3,204,..,88,3,95,0,94,..,60,0,61,0,61,..,20,0,22
20202,0,14,0,14,..,13,5,14,0,13,..,17,0,21,0,21,..,6,3,10,0,10,..,48,3,55,0,61,..,46,3,57,0,52,..,0,0,0,0,0,..,9,6,7,0,7,..,4,0,4,0,4,..,14,3,20,0,20,..,184,29,212,3,218,..,789,123,912,14,929,..,65,0,62,2165,2228,23012,851,126,975,2176,26167,23567,..,..,..,..,23567,..,22,0,22,0,22,..,4,0,4,0,4,..,8,0,8,0,8,..,18,8,21,0,21,..,45,26,66,0,66,..,0,0,0,0,0,..,59,31,91,0,91,..,13,3,20,0,21,..,52,3,57,0,57,..,83,3,91,0,90,..,48,7,58,3,60,..,5,0,5,0,5,..,0,0,0,0,0,..,13,0,13,0,13,..,7,0,6,0,6,..,17,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
20203,0,24,0,24,..,0,0,0,0,0,..,15,0,15,0,15,..,13,0,13,0,13,..,49,5,52,0,52,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,29,0,30,0,33,..,139,13,148,0,149,..,10,0,10,645,656,5368,149,13,157,647,6168,5262,..,..,..,..,5262,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,8,0,8,..,0,3,3,0,3,..,0,0,0,0,0,..,5,5,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
20301,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,8,0,8,..,17,0,17,0,17,..,0,0,0,0,0,..,5,0,5,0,3,..,8,0,8,0,8,..,10,3,11,0,11,..,72,13,82,5,88,..,290,36,317,7,323,..,15,8,25,568,591,10442,304,42,343,576,11359,10200,..,..,..,..,10200,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,5,0,5,..,0,0,0,0,0,..,12,0,11,0,11,..,15,5,16,0,16,..,19,0,18,0,18,..,23,0,23,0,19,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
20302,3,244,0,244,..,86,3,90,0,91,..,297,0,300,3,304,..,84,5,88,0,87,..,701,18,719,8,723,..,276,32,309,3,311,..,238,19,260,0,256,..,93,18,113,6,116,..,120,26,148,0,148,..,290,101,394,3,396,..,2353,598,2952,61,3015,..,12336,1746,14086,169,14255,..,310,46,352,5803,6156,83059,12647,1789,14436,5974,103468,88966,..,..,..,..,88966,..,92,0,92,0,92,..,325,65,395,0,391,..,23,0,23,0,23,..,204,33,240,6,238,..,837,205,1037,7,1042,..,32,5,39,0,39,..,1070,240,1313,15,1323,..,822,194,1019,4,1021,..,186,7,197,0,197,..,239,10,246,3,252,..,344,56,403,8,410,..,92,10,98,0,98,..,164,13,178,0,177,..,347,20,365,3,371,..,164,5,166,0,166,..,808,72,878,16,898,..,232,16,243,0,243,..,196,35,226,0,229,..,66,0,69
20303,0,14,0,14,..,30,0,32,0,30,..,19,0,25,0,25,..,12,0,12,0,12,..,76,3,82,0,85,..,113,10,120,3,125,..,9,0,9,0,9,..,20,0,21,0,21,..,16,3,12,0,12,..,30,5,34,0,36,..,438,29,473,11,485,..,1912,164,2079,35,2118,..,93,5,96,2091,2190,40928,2008,171,2176,2129,45240,43456,..,..,..,..,43456,..,54,0,54,0,56,..,32,3,42,0,42,..,5,0,5,0,5,..,23,3,28,0,28,..,108,35,140,0,140,..,3,0,6,0,6,..,134,40,177,0,177,..,47,10,59,0,59,..,117,0,116,4,116,..,176,0,184,6,185,..,153,22,173,3,177,..,0,0,4,0,4,..,10,0,10,0,10,..,26,0,26,0,26,..,25,3,25,3,28,..,61,9,65,0,68,..,12,0,12,0,12,..,4,0,4,0,4,..,5,0,5
20401,0,24,0,24,..,6,0,7,0,7,..,36,0,40,0,40,..,7,4,10,0,10,..,79,6,80,0,80,..,58,0,56,0,56,..,12,0,12,0,12,..,27,3,32,0,32,..,21,0,19,0,19,..,24,3,27,0,27,..,206,27,235,7,238,..,1198,143,1342,16,1357,..,70,5,77,2312,2392,26312,1273,147,1422,2327,30066,26217,..,..,..,..,26217,..,23,0,25,0,25,..,19,0,20,0,17,..,7,0,7,0,7,..,23,8,27,0,29,..,113,34,151,0,151,..,9,0,5,0,5,..,140,45,182,0,184,..,20,0,20,0,22,..,35,0,37,0,37,..,119,0,119,3,119,..,56,0,58,0,59,..,3,0,3,0,3,..,5,0,5,0,5,..,37,0,38,0,38,..,15,0,17,0,17,..,62,0,69,0,64,..,21,0,21,0,21,..,20,5,21,4,23,..,0,0,0
