SA3_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
20101,..,27,6,38,0,38,..,901,255,1154,16,1172,..,99,16,114,6,116,..,134,10,137,0,140,..,176,3,186,0,182,..,129,13,150,4,149,..,113,8,127,0,128,..,110,13,121,0,125,..,362,19,384,0,382,..,209,8,213,0,213,..,706,49,752,11,765,..,203,7,205,4,215,..,213,25,235,3,233,..,41,0,41,0,41,..,1957,123,2079,20,2105,..,175,8,190,4,190,..,135,15,152,0,155,..,20,0,15,0,15,..,60,9,68,0,68,..,28,0,29,0,29,..,435,32,468,7,473,..,61,14,72,0,70,..,49,0,49,0,49,..,48,3,48,0,53,..,73,9,82,0,85,..,23,0,26,0,26,..,55,3,62,0,62,..,213,4,218,5,221,..,72,0,72,0,74,..,218,6,220,0,220,..,82,3,79,0,79,..,578,16,595,4,597,..,215,10,225,5,231,..,144
20102,..,6,0,6,0,6,..,81,13,94,0,94,..,43,9,48,0,48,..,44,0,45,0,48,..,94,0,94,0,95,..,44,4,44,0,44,..,7,0,7,0,7,..,3,0,3,0,3,..,21,0,26,0,26,..,28,3,29,0,29,..,24,0,29,0,29,..,13,0,12,0,12,..,6,0,6,0,6,..,0,0,0,0,0,..,106,6,111,0,111,..,109,4,111,0,113,..,37,9,44,0,44,..,9,0,8,0,8,..,3,0,3,0,3,..,29,4,35,0,35,..,3,0,3,0,3,..,3,0,7,0,7,..,23,0,23,0,22,..,13,0,13,0,13,..,6,0,8,0,9,..,0,0,0,0,0,..,46,10,60,0,60,..,14,0,14,0,14,..,4,0,4,0,4,..,35,6,31,0,31,..,3,0,3,0,3,..,56,6,60,0,60,..,57,0,56,4,55,..,4
20103,..,7,0,7,0,7,..,40,12,49,0,49,..,5,0,5,0,5,..,11,0,17,0,17,..,31,4,33,0,31,..,32,3,39,0,39,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,30,0,31,0,30,..,14,0,14,0,14,..,8,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,72,4,70,0,73,..,27,3,29,0,33,..,13,0,13,0,13,..,6,0,5,0,5,..,0,0,0,0,0,..,10,0,10,0,10,..,14,0,17,0,17,..,0,0,0,0,0,..,9,0,9,0,9,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,34,4,40,3,42,..,3,0,3,0,3,..,38,0,38,0,40,..,14,0,14,0,14,..,91,4,92,6,100,..,18,9,29,0,29,..,0
20201,..,11,0,16,0,16,..,528,178,708,4,715,..,28,8,38,0,38,..,86,3,88,0,91,..,107,0,107,3,104,..,122,17,140,6,138,..,81,4,79,0,79,..,65,9,73,0,73,..,197,8,206,3,205,..,120,5,129,0,132,..,415,24,444,10,448,..,182,17,196,0,202,..,125,4,135,0,135,..,43,0,47,0,47,..,1224,74,1298,19,1312,..,152,10,159,0,160,..,51,3,53,0,53,..,17,3,19,0,19,..,50,17,63,0,63,..,6,0,6,0,6,..,445,37,486,6,492,..,39,4,43,0,37,..,19,0,19,0,19,..,36,0,39,4,40,..,35,3,37,0,37,..,10,0,12,0,12,..,18,4,21,0,21,..,203,6,214,5,215,..,68,7,74,0,74,..,220,6,227,4,225,..,105,19,124,0,128,..,597,33,638,4,642,..,95,7,101,3,109,..,80
20202,..,0,0,0,0,0,..,108,79,191,4,194,..,29,7,38,0,36,..,108,8,114,0,117,..,147,11,156,3,159,..,107,7,116,3,123,..,5,0,5,0,5,..,0,0,0,0,0,..,24,0,28,0,28,..,12,5,14,0,14,..,40,0,37,0,42,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,89,7,102,0,100,..,150,0,157,0,157,..,47,0,45,0,45,..,8,0,10,0,10,..,6,0,6,0,6,..,29,0,28,0,28,..,8,0,8,0,8,..,8,0,8,0,8,..,32,0,32,3,35,..,14,3,14,0,14,..,15,5,16,0,16,..,3,0,3,0,3,..,16,3,17,0,17,..,38,0,35,0,35,..,25,3,30,0,32,..,37,3,42,0,42,..,14,3,16,0,16,..,114,5,126,0,126,..,101,5,107,0,107,..,9
20203,..,0,0,0,0,0,..,11,9,14,0,14,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,8,0,8,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,14,5,17,0,17,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,16,0,16,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,45,5,49,0,49,..,5,0,8,0,8,..,29,3,34,0,36,..,23,6,21,0,21,..,108,8,117,0,115,..,3,0,3,0,3,..,3
20301,..,0,0,0,0,0,..,21,3,21,0,21,..,37,5,41,0,41,..,30,3,35,0,35,..,45,3,42,0,50,..,30,0,30,0,30,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,27,0,27,0,27,..,47,0,47,0,46,..,11,0,15,0,15,..,3,0,3,0,3,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,13,4,11,4,12,..,9,0,9,0,9,..,12,0,12,0,12,..,5,0,5,0,5,..,20,6,23,0,23,..,17,0,16,0,16,..,6,0,8,0,8,..,8,0,5,0,5,..,0,0,0,0,0,..,30,4,33,0,33,..,38,0,40,0,40,..,0
20302,..,73,7,83,0,83,..,2013,460,2470,30,2502,..,1563,322,1887,10,1890,..,335,17,355,5,355,..,435,17,448,8,457,..,676,92,767,11,777,..,203,11,214,0,215,..,376,17,394,3,394,..,868,33,902,3,902,..,321,11,336,4,336,..,1818,151,1969,27,1998,..,488,26,512,0,516,..,599,46,643,10,650,..,149,0,152,0,154,..,4817,300,5116,55,5167,..,1563,219,1783,20,1800,..,215,18,231,4,233,..,50,24,70,0,70,..,161,27,187,0,187,..,871,193,1065,4,1071,..,687,38,729,5,737,..,359,76,434,3,440,..,329,43,372,0,377,..,201,25,228,3,228,..,253,41,294,0,300,..,31,4,35,6,34,..,637,158,803,6,808,..,616,12,628,3,635,..,203,8,209,4,216,..,708,13,718,4,724,..,203,9,215,6,214,..,1734,46,1771,16,1791,..,591,93,684,5,691,..,412
20303,..,11,4,14,0,14,..,236,81,316,7,318,..,103,16,115,0,115,..,211,11,225,0,228,..,304,0,301,3,311,..,316,53,367,7,371,..,7,4,3,0,5,..,15,0,15,0,15,..,69,0,75,0,75,..,45,3,43,0,50,..,149,14,158,0,161,..,32,0,30,0,32,..,19,0,19,0,19,..,9,0,9,0,9,..,330,20,355,6,358,..,425,28,459,10,471,..,86,9,92,3,93,..,8,0,8,0,8,..,17,0,23,0,23,..,54,3,52,0,52,..,41,0,40,0,40,..,33,3,38,0,38,..,69,7,78,0,78,..,104,6,106,0,112,..,33,0,35,0,43,..,10,0,10,0,10,..,39,5,40,0,40,..,57,5,58,0,58,..,63,5,64,0,71,..,71,5,72,0,72,..,33,0,33,0,33,..,223,8,229,0,233,..,240,21,265,6,267,..,9
20401,..,27,7,33,0,33,..,298,105,400,0,408,..,45,0,48,0,48,..,64,0,65,0,65,..,195,0,199,3,201,..,112,7,120,0,127,..,7,0,7,0,7,..,5,0,5,0,5,..,72,0,75,0,75,..,31,0,33,0,33,..,122,5,127,0,127,..,45,0,45,0,45,..,41,7,42,3,50,..,0,0,0,0,0,..,322,8,336,3,336,..,216,12,234,0,235,..,37,3,37,0,42,..,18,10,32,0,32,..,12,0,12,0,12,..,19,3,21,0,21,..,46,4,59,0,57,..,8,6,9,0,9,..,38,3,42,0,42,..,18,4,19,0,19,..,35,0,35,0,35,..,5,0,5,0,5,..,20,5,23,0,23,..,59,5,60,0,60,..,18,0,23,0,23,..,94,0,95,0,93,..,25,9,31,0,31,..,191,15,204,0,207,..,93,3,98,0,98,..,19
