SA3_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
20101,0,146,3,149,..,119,20,145,4,144,..,18,3,26,0,26,..,162,19,181,0,181,..,1137,130,1266,40,1309,..,7174,744,7915,116,8034,..,314,36,353,5243,5597,102572,7494,779,8268,5359,116201
20102,0,7,0,7,..,25,0,25,0,25,..,14,0,14,0,14,..,24,4,26,4,34,..,285,35,318,10,322,..,1204,112,1313,18,1328,..,73,0,74,2148,2220,27421,1276,111,1390,2163,30975
20103,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,11,3,12,3,14,..,178,18,198,0,199,..,641,56,701,15,709,..,68,0,72,2290,2361,23686,709,59,771,2300,26759
20201,3,83,0,81,..,74,15,83,0,83,..,22,3,25,0,25,..,124,41,159,5,167,..,1705,889,2594,48,2643,..,5939,1367,7307,107,7411,..,281,58,342,5110,5456,90175,6221,1425,7648,5219,103034
20202,0,9,0,9,..,32,9,36,0,36,..,10,3,12,0,12,..,20,9,32,0,32,..,393,65,457,3,465,..,1659,236,1897,28,1918,..,101,5,109,3890,4003,46577,1765,243,2004,3921,52500
20203,0,3,0,3,..,11,0,13,0,13,..,0,0,0,0,0,..,0,0,4,0,4,..,68,6,77,3,78,..,300,35,335,4,338,..,21,4,23,1236,1256,10633,319,34,357,1238,12224
20301,0,0,0,0,..,15,4,18,0,24,..,4,0,4,0,4,..,14,7,22,0,22,..,162,23,180,7,182,..,601,60,664,11,674,..,35,6,42,1124,1165,20638,633,67,705,1137,22483
20302,40,452,4,451,..,299,75,371,3,378,..,258,52,313,0,313,..,590,235,823,7,831,..,4449,1250,5701,116,5810,..,24446,3974,28420,331,28750,..,635,102,733,10471,11212,172021,25076,4078,29156,10803,211986
20303,0,9,0,9,..,70,11,80,0,80,..,23,3,28,0,28,..,72,11,82,7,84,..,916,73,984,31,1012,..,4121,365,4491,89,4574,..,187,8,200,4249,4448,84387,4310,378,4688,4342,93417
20401,3,22,0,22,..,86,10,100,0,100,..,36,3,37,0,37,..,41,20,65,0,65,..,435,59,499,13,510,..,2512,300,2814,29,2842,..,135,11,147,4485,4629,52531,2640,314,2957,4512,60002
20402,6,41,0,41,..,59,22,80,5,79,..,3,0,6,0,4,..,25,7,33,0,35,..,270,24,298,13,317,..,1878,239,2117,39,2162,..,113,11,128,2990,3120,43174,1999,251,2249,3031,48454
20403,4,18,0,18,..,55,10,66,0,66,..,6,0,6,0,6,..,125,88,220,0,219,..,811,218,1027,21,1047,..,3735,658,4398,69,4463,..,216,41,257,4276,4537,67479,3951,697,4652,4348,76475
20501,5,38,0,38,..,65,18,78,0,82,..,20,0,20,0,20,..,63,34,99,0,97,..,554,51,608,12,622,..,2491,317,2806,28,2838,..,128,6,135,3090,3223,51718,2618,324,2946,3117,57775
20502,3,40,0,41,..,32,33,66,0,72,..,6,0,6,0,6,..,74,39,114,0,114,..,290,39,329,10,336,..,1688,252,1939,28,1974,..,131,18,150,3538,3688,43173,1819,272,2091,3565,48830
20503,0,32,0,32,..,67,10,74,0,77,..,18,0,18,0,18,..,65,27,87,4,96,..,527,74,597,8,605,..,2870,343,3215,45,3266,..,174,17,188,4579,4767,63517,3042,361,3407,4622,71548
20504,0,44,0,44,..,75,19,98,3,100,..,18,4,16,0,16,..,87,32,122,3,127,..,1006,201,1208,36,1248,..,4351,703,5050,76,5121,..,225,38,268,5415,5680,66362,4575,740,5315,5493,77168
20505,5,44,0,49,..,40,13,57,0,57,..,7,0,7,0,7,..,58,32,88,3,90,..,261,31,289,8,303,..,1566,210,1772,21,1796,..,106,0,110,3908,4013,39712,1672,213,1882,3929,45525
20601,7,139,0,138,..,144,30,175,0,175,..,717,209,930,8,940,..,625,139,763,6,765,..,1442,184,1629,43,1676,..,20403,3786,24183,213,24398,..,302,35,335,2607,2940,62533,20704,3820,24522,2823,89874
20602,3,46,0,50,..,73,7,81,0,81,..,79,6,88,0,91,..,379,146,526,4,530,..,735,79,819,31,849,..,9233,2092,11323,107,11433,..,186,16,201,1510,1710,40129,9418,2110,11526,1616,53270
20603,7,141,4,144,..,135,20,152,0,158,..,380,63,447,0,446,..,1043,330,1369,17,1381,..,2186,391,2579,52,2633,..,15041,2415,17457,193,17649,..,249,38,286,2718,2995,48068,15288,2451,17740,2910,68712
20604,50,1122,10,1138,..,1515,392,1911,9,1916,..,405,61,464,5,471,..,2715,445,3157,19,3175,..,4896,540,5438,111,5545,..,60782,7686,68465,409,68877,..,527,105,633,10740,11370,69357,61313,7785,69097,11151,149601
20605,6,185,3,192,..,246,31,278,0,278,..,225,37,271,0,268,..,438,79,518,7,518,..,2522,264,2789,57,2846,..,19068,2180,21256,207,21464,..,337,40,376,6212,6591,73905,19413,2223,21634,6422,101956
