SA3_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
20101,3192,30,0,0,0,0,0,301,3528,3069,232,90,21,5,0,0,290,3707,2590,597,400,131,36,13,7,316,4085,1413,767,899,450,96,34,10,195,3865,830,661,1324,625,178,58,27,179,3882,575,515,1348,754,245,68,41,168,3718,550,513,1291,789,283,91,67,178,3765,512,453,1325,797,275,99,71,172,3701,498,385,1274,826,325,95,53,164,3614,485,367,1197,920,335,91,57,152,3613,397,321,1190,854,342,95,54,172,3411,284,203,1038,823,392,115,67,190,3113,177,157,596,525,325,128,97,204,2202,124,67,337,342,249,117,112,170,1518,154,106,312,348,308,159,183,273,1851,14856,5376,12613,8200,3382,1154,845,3122,49562
20102,654,6,0,0,0,0,0,82,742,401,24,6,0,0,0,0,46,481,352,94,77,21,9,0,0,64,615,248,137,165,85,21,6,0,67,729,194,130,258,165,41,8,7,60,871,212,125,296,183,60,12,12,74,964,267,131,312,210,70,21,10,81,1101,271,143,388,221,72,22,14,97,1226,284,145,392,259,93,35,19,90,1314,269,133,382,277,120,21,12,101,1311,214,132,394,261,113,37,11,110,1258,124,101,298,204,109,51,28,89,996,55,55,187,155,73,27,25,66,640,21,27,80,75,53,30,26,59,372,31,20,66,68,61,34,43,77,414,3613,1394,3297,2188,883,294,203,1155,13035
20103,561,7,0,0,0,0,0,86,651,395,39,21,6,0,0,0,57,514,287,99,92,49,8,5,0,37,564,165,115,170,76,25,13,3,48,617,115,90,206,98,45,20,8,66,650,97,74,195,121,56,19,16,51,626,139,99,228,162,72,34,20,77,834,156,100,269,215,96,24,17,85,962,145,84,311,231,94,33,22,74,990,128,118,306,255,123,31,26,91,1074,133,88,352,239,134,33,21,92,1094,88,77,296,253,120,36,22,100,999,59,44,178,158,99,42,23,90,698,25,27,84,100,72,34,28,62,435,34,30,86,76,68,38,40,55,433,2533,1085,2802,2050,1015,360,245,1062,11142
20201,2704,22,0,0,0,0,0,274,2996,2766,216,72,12,0,0,5,220,3295,2215,560,425,138,42,9,6,236,3631,1260,765,892,362,105,31,11,196,3634,655,563,1143,636,186,55,32,189,3459,517,397,1082,654,205,72,40,173,3145,430,408,1108,688,266,75,47,187,3209,436,383,1082,666,286,86,57,150,3156,405,354,1047,773,326,96,68,178,3241,379,347,1082,837,345,94,61,182,3324,289,237,1075,793,342,93,58,167,3061,233,201,941,785,320,114,55,176,2827,155,90,536,540,298,95,74,158,1953,107,83,313,358,254,104,93,191,1498,99,91,316,330,281,122,148,330,1728,12647,4727,11126,7571,3260,1046,760,3009,44151
20202,1177,4,0,0,0,0,0,159,1344,689,32,12,5,0,0,0,81,823,578,150,102,30,12,3,0,87,966,443,258,284,121,25,7,3,98,1234,311,241,502,218,53,9,7,112,1457,317,214,659,282,84,28,5,105,1698,357,277,645,334,105,41,17,126,1897,383,292,644,367,131,22,20,128,1988,398,261,700,396,125,38,41,145,2101,375,232,648,442,183,45,28,126,2074,319,215,684,450,166,50,14,138,2045,241,159,607,381,170,51,19,157,1783,138,85,361,280,118,43,35,131,1205,81,52,155,168,110,54,37,101,761,42,44,157,143,105,49,47,197,792,5858,2523,6158,3610,1384,440,281,1894,22157
20203,272,0,0,0,0,0,0,39,317,169,19,4,0,0,0,0,33,229,149,57,26,16,3,0,0,22,272,70,64,73,31,10,6,0,24,274,48,35,91,79,22,4,4,27,307,35,37,95,70,32,5,3,39,312,54,48,100,71,29,13,8,43,357,49,42,115,95,56,11,4,53,427,56,41,167,124,49,28,11,57,528,58,37,161,118,54,23,13,52,528,43,34,133,116,65,18,22,63,496,28,16,92,112,59,20,9,48,379,13,18,54,71,42,14,12,44,265,11,6,25,36,30,15,15,31,169,6,7,36,52,32,10,23,55,216,1067,458,1179,978,480,160,124,626,5074
20301,664,0,0,0,0,0,0,79,742,381,17,10,0,0,0,0,35,444,289,97,73,21,0,0,0,33,514,169,151,213,84,19,4,4,31,675,140,124,306,167,48,11,3,52,847,104,97,300,180,61,15,3,49,815,105,89,284,176,49,14,12,41,765,81,92,325,177,73,16,12,28,799,95,77,273,182,65,15,7,47,771,82,63,232,158,73,19,10,40,677,54,39,223,163,68,15,4,32,596,34,28,169,154,56,17,4,29,498,13,15,68,87,42,16,10,23,272,9,0,34,46,30,15,10,28,175,13,12,36,33,35,18,11,46,195,2225,910,2542,1624,617,174,95,597,8785
20302,5498,17,3,0,0,0,0,451,5971,6219,289,114,19,0,0,0,580,7224,5735,1003,574,176,44,6,3,532,8070,3328,1849,1592,528,129,42,8,419,7902,1723,1335,2561,1038,281,82,37,361,7411,1192,957,2384,1156,389,101,67,338,6579,1026,926,2555,1327,418,120,95,313,6775,945,857,2454,1333,461,122,85,298,6559,891,722,2316,1461,550,132,92,261,6426,775,651,2234,1551,524,133,87,261,6211,600,555,2087,1457,529,141,67,303,5733,464,399,2034,1375,528,164,78,361,5409,285,249,1253,1022,495,154,100,333,3892,168,163,752,748,480,174,150,315,2951,200,239,728,743,523,231,236,422,3327,29052,10212,23645,13934,5333,1614,1103,5552,90450
20303,2057,6,0,0,0,0,0,190,2251,1666,44,20,0,0,0,3,126,1869,1462,225,132,30,10,0,0,149,2011,1127,611,595,194,32,9,0,106,2681,654,515,1245,550,119,20,9,150,3252,442,387,1252,606,127,32,10,137,3008,485,396,1261,669,170,42,22,136,3168,478,352,1120,647,189,37,23,127,2979,499,334,1198,675,245,39,24,152,3173,508,310,1346,926,309,57,22,191,3661,441,304,1399,981,334,55,26,226,3763,284,265,1218,852,286,93,37,192,3216,165,124,768,621,241,56,33,147,2160,74,63,325,371,185,75,63,137,1297,63,102,289,342,184,95,73,229,1380,10409,4032,12164,7469,2433,608,340,2395,39860
20401,1359,5,0,0,0,0,5,207,1572,977,92,43,4,0,0,0,133,1253,902,222,173,51,8,3,0,142,1509,505,308,377,177,36,7,6,113,1539,336,276,511,258,93,23,6,145,1648,254,197,557,312,127,31,18,124,1631,286,227,626,393,133,39,18,157,1885,345,255,655,420,147,43,28,154,2047,313,226,753,497,168,44,31,183,2206,360,244,810,549,249,47,28,223,2503,241,224,759,515,217,60,35,171,2230,179,158,703,502,208,53,42,190,2034,117,96,399,362,193,62,35,132,1388,56,49,187,192,137,59,56,124,862,61,55,210,203,154,79,65,146,980,6285,2635,6764,4443,1883,545,379,2348,25285
