SA3_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
20101,3,0,0,3,3,0,0,0,7,0,0,4,7,0,0,7,585,67,14,0,668,9,0,11,680,31,0,712,77,3,3,0,91,0,0,0,91,10,0,99,0,0,0,0,0,0,0,0,0,0,0,0,666,68,16,3,756,9,0,11,774,40,0,810,81,15,5,0,97,0,0,0,97,3,0,100,99,13,0,0,115,0,4,4,114,6,0,119,10,0,0,0,10,0,0,0,10,0,0,10,3,0,0,6,3,0,0,0,3,0,0,3,190,28,9,6,226,0,4,4,229,12,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,28,9,6,230,0,4,4,227,12,0,241,28,0,0,0,33,0,0,0,33,16,0,45,0,0,0,0,0,0,0,0,0,0,0,0,221,34,9,6
20102,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,114,20,4,5,143,0,0,0,148,14,0,159,13,4,0,0,24,0,0,0,24,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,130,24,9,12,164,0,0,0,165,15,0,183,13,4,0,0,20,0,0,0,20,3,0,23,18,7,0,0,18,0,0,0,18,0,0,16,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,28,4,0,0,35,0,0,0,35,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,40,0,0,0,41,6,0,47,10,0,0,0,13,0,0,0,13,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,42,8,3,4
20103,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,73,12,3,0,85,0,0,5,82,9,0,95,12,5,0,0,18,0,0,0,18,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,83,14,3,0,103,0,0,5,108,15,0,124,12,0,0,0,12,0,0,0,12,0,0,11,14,0,0,0,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,28,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,28,0,0,0,28,0,0,27,3,0,0,0,8,0,0,0,8,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
20201,10,0,0,10,5,3,0,0,6,4,0,4,11,0,0,11,469,69,18,4,560,9,0,8,568,30,0,597,62,19,9,0,89,0,0,0,89,39,0,123,0,0,0,0,0,0,0,0,0,0,0,0,529,84,22,8,645,9,0,8,658,71,0,729,83,8,0,0,89,0,0,0,94,9,0,104,81,30,3,0,121,0,0,3,120,8,0,124,5,0,0,0,11,0,0,0,11,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,177,38,7,0,221,4,0,8,223,18,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,7,0,0,6,174,38,7,0,223,5,0,8,225,23,0,246,20,6,0,0,29,0,0,0,29,15,0,42,0,0,0,0,0,0,0,0,0,0,0,0,198,39,7,0
20202,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,213,33,12,10,272,5,5,3,275,28,0,303,29,6,6,0,42,0,0,0,42,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,241,42,15,13,312,5,5,3,320,33,0,353,39,8,0,0,46,0,0,0,46,9,0,52,32,11,0,0,45,0,0,0,45,0,0,45,5,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,78,18,0,0,91,0,0,0,91,9,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,18,3,0,93,0,0,0,93,9,0,99,13,0,0,0,15,0,0,0,11,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,83,15,3,0
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0,62,0,0,0,61,4,0,68,12,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,66,4,0,0,72,0,0,0,72,4,0,74,9,0,0,0,9,0,0,0,9,0,0,9,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,11,0,0,11,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20301,3,0,0,3,8,0,0,0,8,0,0,0,8,0,0,8,143,17,5,3,170,0,0,4,168,10,0,183,25,0,0,0,32,0,0,0,32,4,0,31,0,0,0,0,0,0,0,0,0,0,0,5,167,21,5,3,197,0,0,4,199,12,0,212,26,0,0,0,23,0,0,0,23,6,0,30,25,3,0,0,25,0,0,0,25,3,0,31,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,0,58,0,0,0,58,7,0,62,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,50,4,0,0,61,0,0,0,61,7,0,69,9,0,0,0,12,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,62,8,0,0
20302,21,0,0,20,23,0,0,0,24,3,0,8,33,4,0,31,1218,162,26,6,1403,23,5,27,1435,94,3,1528,206,34,7,4,253,4,0,5,253,71,0,329,4,0,0,0,4,0,0,0,4,0,0,5,1422,193,34,7,1660,26,11,31,1691,163,3,1863,220,32,7,3,259,3,0,3,258,24,0,286,269,42,14,0,320,3,0,4,325,20,0,348,17,5,0,0,25,0,0,0,28,0,0,29,0,0,0,5,5,0,0,0,5,0,0,7,499,80,20,7,608,11,0,10,616,48,3,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,8,0,0,8,506,78,20,7,612,11,0,11,625,46,3,670,93,17,5,4,117,3,0,3,117,46,0,164,4,0,0,0,4,0,0,0,4,0,0,4,596,92,26,11
20303,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,494,102,22,7,628,7,0,7,635,40,0,674,46,9,6,4,60,0,4,3,64,19,0,83,0,0,0,0,0,0,0,0,0,0,0,0,544,110,30,14,691,6,4,9,698,56,0,761,107,16,0,0,121,0,0,0,121,3,0,126,93,19,6,4,128,5,0,6,128,3,0,131,4,3,4,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,206,41,4,3,257,5,0,6,260,16,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,43,4,3,256,5,0,6,262,16,0,272,16,6,0,0,23,0,0,0,27,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,220,52,7,3
20401,3,0,0,5,4,0,0,0,4,0,0,0,4,0,0,3,206,21,11,5,244,0,3,3,247,10,0,255,32,0,0,0,33,0,0,0,33,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,230,28,11,5,276,0,3,3,280,22,0,300,30,4,0,0,36,0,0,0,36,3,0,37,29,4,0,3,36,0,0,0,37,5,0,41,6,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,63,10,5,3,76,0,0,0,75,7,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10,5,3,76,0,0,0,75,7,0,80,8,0,0,0,7,0,0,0,7,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,70,8,6,3
