SA3_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
20101,190,2709,122,823,320,114,13,53,20,4360,207,1795,33,605,201,79,9,45,8,2992,614,714,90,332,1515,330,17,116,40,3773,307,1046,73,1531,520,201,20,154,42,3895,87,295,54,118,146,99,8,44,8,857,123,38,324,297,212,166,12,119,3,1300,0,4,0,0,4,3,0,3,0,18,28,65,16,46,60,23,5,12,6,266,20,33,24,55,70,43,5,36,42,338,1759,7089,920,3932,3274,1161,144,701,189,19166,129,371,102,82,103,46,17,35,12,897,187,505,161,48,133,60,63,69,14,1240,661,556,1957,157,185,167,469,415,48,4618,389,135,1606,50,64,63,142,240,38,2719,189,133,214,54,77,74,72,117,15,949,276,3597,188,1053,366,141,36,86,25,5760,365,2526,75,696,245,98,39,69,23,4134,1438,1487,277,493,1865,596,171,263,76,6659,467,1521,137,2017,633,262,92,251,58,5446,158,548,152,170,204,168,43,104,15,1563
20102,87,484,44,160,78,24,9,34,4,924,87,378,5,142,50,17,0,20,0,702,203,162,28,73,325,64,10,30,14,915,108,291,34,334,142,28,5,44,15,997,52,124,23,49,40,24,0,15,8,333,54,10,78,56,57,25,0,27,3,318,0,0,0,0,0,0,0,0,0,0,12,25,7,14,14,3,0,3,5,87,17,14,8,21,20,8,0,17,13,121,737,1609,299,881,783,240,35,236,71,4896,72,97,25,14,23,5,3,14,11,261,39,85,21,13,16,8,4,9,3,190,230,154,621,38,60,48,168,125,24,1471,145,58,403,18,19,18,39,74,12,777,243,68,126,24,36,17,35,78,8,628,116,587,57,206,85,24,7,44,7,1135,129,487,23,159,61,25,7,27,0,926,422,327,69,96,371,120,41,69,22,1538,181,408,55,436,161,41,16,62,19,1397,84,206,59,60,53,42,14,32,10,550
20103,47,378,33,174,59,18,0,18,3,742,55,208,9,96,35,10,0,14,5,425,100,65,23,42,215,57,8,31,7,551,45,114,12,318,69,29,3,40,9,640,9,24,6,7,11,11,5,7,0,90,32,0,63,66,39,33,0,26,0,269,0,0,0,0,0,0,0,0,0,4,3,4,0,5,12,0,0,3,0,36,13,5,3,21,17,15,4,21,13,112,372,840,200,763,505,188,32,212,47,3159,28,31,15,5,13,7,3,6,3,107,7,31,12,7,9,8,4,7,0,96,143,41,496,31,45,27,185,153,17,1139,74,15,228,19,11,10,52,58,8,476,215,31,62,19,29,23,41,76,8,495,66,431,46,204,59,19,3,23,3,862,71,292,10,102,44,11,10,16,4,565,190,110,41,66,249,80,36,59,11,839,72,157,28,407,80,35,10,61,7,846,15,38,18,16,16,13,7,20,0,148
20201,173,2815,124,821,282,116,21,65,20,4444,160,1459,23,579,195,60,4,57,13,2535,471,603,71,230,1214,263,29,133,19,3036,227,832,49,1415,398,173,28,177,35,3334,66,154,29,63,84,86,8,38,8,526,109,31,307,268,185,127,25,138,18,1200,0,0,4,3,0,0,3,3,0,12,26,53,5,26,44,18,3,12,6,196,19,37,14,56,40,35,10,44,59,318,1393,6289,805,3559,2628,962,164,796,179,16776,94,282,99,52,81,26,18,41,3,690,126,334,112,25,86,37,26,51,14,819,480,541,1792,133,166,140,460,444,52,4212,382,118,1283,62,72,67,170,233,25,2416,159,122,197,50,66,58,66,139,8,873,250,3662,172,1031,311,144,50,99,37,5751,257,2059,63,686,222,84,41,85,14,3510,1083,1194,196,366,1526,466,153,255,41,5277,365,1202,98,1886,472,228,79,268,59,4655,114,282,83,102,113,121,33,85,8,943
20202,129,1015,67,303,128,49,3,43,16,1762,141,744,27,219,101,43,0,21,7,1306,319,282,28,84,462,113,6,55,21,1382,233,618,48,501,218,70,6,70,20,1792,99,273,37,74,70,49,8,21,15,647,55,13,132,96,71,56,0,53,4,480,0,0,0,0,0,0,0,0,0,3,44,64,9,23,40,13,0,10,4,206,22,22,6,43,28,16,6,16,26,189,1236,3333,467,1415,1225,453,49,357,125,8666,143,257,51,30,50,12,9,22,3,580,76,136,37,15,31,12,8,19,0,322,403,312,950,82,102,60,232,196,30,2358,230,160,609,28,29,29,53,85,14,1238,211,148,179,39,58,39,35,74,16,799,179,1240,83,403,139,58,13,62,20,2201,227,1053,54,261,114,48,16,41,15,1830,708,556,82,132,583,179,52,98,28,2416,374,949,92,690,270,94,22,112,41,2653,157,485,108,106,89,75,26,65,22,1133
20203,45,171,13,71,32,6,6,15,4,356,42,124,3,45,12,3,0,6,0,248,65,36,8,26,112,17,0,20,9,287,30,50,3,129,29,12,4,18,3,277,6,9,0,3,13,6,0,0,0,34,15,5,22,13,18,22,3,19,0,119,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,15,13,5,3,9,8,9,5,10,3,59,268,425,82,300,241,92,17,116,18,1564,16,15,10,0,3,0,0,5,0,47,4,6,7,0,0,4,0,7,0,31,116,31,214,8,14,16,70,58,4,531,38,10,85,7,5,3,14,28,4,196,270,18,48,11,10,10,35,64,5,477,54,199,11,73,30,11,4,16,4,415,52,147,9,46,21,6,6,12,0,286,129,58,15,30,132,23,11,24,9,423,33,60,5,147,30,16,11,27,3,338,7,10,0,5,9,8,0,5,0,47
20301,45,465,56,133,71,28,4,27,9,838,53,318,10,132,52,8,3,10,3,594,140,115,27,52,305,66,3,29,13,745,77,158,24,309,89,33,7,31,5,728,20,47,20,15,34,12,0,10,0,145,28,3,59,49,43,23,3,18,0,231,0,0,0,0,0,0,0,0,0,0,9,15,6,16,8,3,0,8,0,61,6,9,8,14,11,9,4,14,11,85,433,1223,254,743,678,212,43,177,47,3817,25,68,21,16,28,9,8,11,4,176,32,52,18,6,11,0,4,6,0,133,201,134,672,45,47,29,162,113,19,1424,136,38,448,24,18,14,56,80,9,819,178,64,84,20,47,26,22,70,5,515,75,542,63,163,71,34,12,40,6,1015,82,411,31,143,52,11,16,10,7,761,296,218,56,62,348,100,31,53,18,1191,104,214,37,388,100,43,20,45,11,954,33,80,28,23,40,19,3,17,0,240
20302,380,4940,327,1525,585,216,39,153,44,8213,369,2998,48,1075,301,111,18,64,31,5007,1216,1430,184,616,2643,668,97,266,75,7208,562,1794,149,2976,949,354,74,275,91,7221,244,649,117,230,260,225,31,66,17,1838,234,60,672,554,372,292,52,233,27,2490,0,3,0,0,0,5,0,6,0,23,67,132,20,99,102,34,4,45,12,510,52,70,35,140,102,57,7,58,133,670,3458,13103,2005,7584,5796,2252,444,1432,468,36537,293,835,283,200,232,149,53,115,22,2170,343,880,278,122,190,106,129,133,37,2214,1202,1714,3664,354,388,330,1070,954,132,9805,732,531,3282,190,227,176,365,675,96,6274,216,201,391,72,118,86,103,179,22,1389,570,6409,471,1961,664,275,109,229,72,10756,557,4101,117,1263,341,136,81,101,33,6736,2787,2887,565,961,3351,1142,518,553,142,12904,884,2567,316,3888,1165,482,230,486,137,10153,390,1090,276,347,333,338,131,183,38,3119
20303,275,2186,113,618,321,89,13,48,25,3692,228,1542,22,457,189,74,4,42,25,2583,739,707,76,252,1019,293,19,88,32,3220,340,955,62,957,429,118,20,74,38,2996,157,408,74,98,141,86,10,27,10,1009,102,45,263,204,151,120,8,76,15,992,0,0,0,4,0,0,0,0,0,5,52,73,8,39,59,22,0,10,7,276,28,49,14,54,62,37,3,31,46,324,2142,6458,815,2804,2579,927,94,467,222,16512,200,420,108,94,103,42,15,46,15,1030,128,265,71,18,64,15,15,35,8,628,553,636,1322,163,141,105,248,289,50,3515,582,301,1642,81,83,68,91,220,48,3119,189,175,273,50,73,68,48,80,14,967,384,2887,174,813,358,103,37,76,36,4866,388,2163,70,539,215,98,22,74,28,3606,1690,1511,220,395,1262,515,100,178,87,5967,576,1406,148,1287,519,186,48,140,58,4370,247,658,161,145,166,136,26,79,17,1633
20401,145,788,102,422,152,60,13,49,18,1749,174,700,21,295,96,30,3,43,9,1369,379,255,64,121,599,151,19,74,11,1682,144,309,37,633,241,75,13,104,22,1575,44,80,34,26,50,28,6,36,8,319,87,22,163,121,114,83,15,76,13,686,0,0,0,3,0,0,0,0,0,7,18,28,4,24,30,7,0,7,7,126,24,20,12,44,36,20,5,44,32,235,1168,2390,558,1772,1452,524,89,540,116,8606,92,132,36,36,41,23,5,18,9,393,57,90,35,17,33,7,8,21,7,267,440,206,1228,98,96,86,421,301,42,2917,254,59,824,29,25,33,106,160,29,1530,362,122,222,55,64,41,62,178,15,1123,190,956,120,500,170,73,23,68,18,2106,253,907,50,344,105,31,21,57,11,1778,762,452,137,193,684,239,72,144,28,2712,255,428,82,804,267,85,32,142,23,2130,76,130,59,49,68,47,24,54,8,513
