SA3_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
20101,99,646,15,190,91,15,4,6,3,1064,47,243,0,22,25,7,0,0,0,358,587,3749,135,679,736,207,14,101,42,6243,0,0,6,16,10,5,0,0,0,30,155,243,45,238,246,63,6,33,13,1056,201,331,118,863,556,152,12,74,31,2339,292,278,514,1503,1114,472,64,329,29,4598,28,24,20,77,130,91,13,58,0,442,30,19,14,119,117,62,5,25,0,394,15,35,5,17,25,5,0,6,3,115,28,60,18,75,69,51,8,35,46,396,1759,7089,920,3932,3274,1161,144,701,189,19166,8,64,5,4,4,0,0,0,0,81,54,473,3,9,19,5,3,3,4,576,547,1851,83,142,208,64,55,60,37,3050,18,106,0,9,8,6,0,0,0,154,192,950,39,247,126,23,6,17,6,1606,93,305,7,39,42,7,0,6,0,504,1391,6035,442,1004,1024,369,139,252,80,10732,3,6,0,17,10,4,0,3,0,43
20102,51,182,11,46,37,6,0,5,0,336,13,51,0,6,9,0,0,3,0,77,240,747,50,149,182,44,6,28,19,1471,0,5,0,7,0,0,0,0,0,9,89,76,22,80,79,19,0,13,7,392,79,101,37,183,132,32,6,29,9,608,104,72,152,312,240,84,20,93,13,1092,10,3,7,16,24,18,0,17,0,93,17,13,4,30,28,9,0,10,0,116,7,11,7,5,5,0,0,0,0,35,24,21,7,15,16,13,0,19,15,137,737,1609,299,881,783,240,35,236,71,4896,4,18,0,4,0,0,0,0,0,21,32,128,7,6,7,0,0,0,3,180,176,399,18,39,40,8,3,8,8,708,7,15,0,5,3,3,0,0,0,30,89,255,18,59,42,9,0,7,0,484,18,59,5,5,8,0,0,3,0,100,477,1166,137,217,226,75,28,68,27,2425,4,5,0,7,0,0,0,0,0,16
20103,21,71,6,35,12,0,0,5,0,150,3,25,0,10,5,0,0,0,0,39,104,459,14,66,90,17,3,24,12,784,0,0,0,0,0,0,0,0,0,5,38,50,12,51,48,15,0,20,3,235,48,69,24,163,88,28,5,13,8,447,77,45,121,342,189,87,14,100,10,982,16,3,5,27,23,14,3,19,0,114,12,7,3,24,25,10,0,14,0,91,5,8,4,0,0,4,0,0,0,16,20,10,5,27,16,13,3,17,12,128,372,840,200,763,505,188,32,212,47,3159,0,9,0,0,0,0,0,0,0,11,7,15,0,0,3,0,0,0,0,24,40,129,3,19,22,0,3,7,0,218,5,3,0,7,0,0,0,0,0,10,33,102,6,41,12,4,5,5,0,209,7,33,0,7,7,0,0,0,0,58,191,618,45,96,122,30,6,44,10,1163,0,0,0,0,4,3,0,0,0,8
20201,87,601,11,211,85,15,0,7,3,1023,37,199,3,16,19,0,0,0,0,279,451,3386,92,493,587,187,18,129,38,5382,0,3,0,14,5,0,0,0,3,29,93,224,38,217,183,42,7,29,9,843,194,351,77,814,437,128,20,99,24,2146,284,233,497,1441,918,400,86,342,40,4239,24,10,22,69,119,70,8,70,3,397,30,25,27,101,125,43,15,34,4,409,13,31,3,18,23,6,0,15,0,107,26,75,14,93,60,44,12,44,45,413,1393,6289,805,3559,2628,962,164,796,179,16776,3,39,0,0,3,0,0,0,0,47,32,331,4,4,15,3,0,0,4,399,294,1391,45,105,103,39,17,31,17,2038,15,89,0,5,3,0,0,0,0,120,156,856,28,260,103,22,10,20,6,1465,63,248,5,22,26,5,0,3,0,378,1053,5263,272,732,802,295,111,272,64,8871,3,6,3,22,5,5,0,4,3,43
20202,99,390,14,85,60,17,0,9,4,682,30,108,0,8,14,0,0,5,0,164,435,1538,100,255,309,88,12,59,35,2842,0,4,0,6,4,0,0,0,0,7,114,129,29,138,90,41,0,20,9,573,117,154,56,294,199,74,5,44,17,952,132,108,207,463,337,138,13,148,14,1574,13,6,19,29,34,25,3,23,5,159,23,12,14,38,50,24,4,7,0,176,7,20,3,9,9,4,0,3,0,56,23,38,11,45,33,22,4,19,20,214,1236,3333,467,1415,1225,453,49,357,125,8666,9,35,0,3,0,0,0,0,0,41,65,329,8,7,16,0,0,9,7,446,365,926,32,65,90,27,7,23,21,1554,21,59,3,6,8,0,0,0,0,87,162,554,32,107,77,16,0,22,11,978,56,140,7,15,16,0,6,7,0,248,926,2528,244,390,434,144,44,147,63,4921,0,6,6,6,4,0,0,0,0,15
20203,17,45,0,14,4,0,0,0,0,82,0,9,0,0,0,0,0,0,0,13,73,215,15,43,35,14,0,25,5,420,0,0,0,5,0,0,0,0,0,7,41,26,4,19,19,5,4,0,3,110,38,37,11,54,43,14,6,13,0,212,48,22,50,130,105,37,7,47,8,452,5,0,4,6,12,12,0,6,0,52,6,3,0,13,9,0,0,9,0,48,5,7,0,0,3,0,0,0,0,16,10,11,5,10,12,12,0,10,3,68,268,425,82,300,241,92,17,116,18,1564,0,0,0,0,0,0,0,0,0,3,9,18,0,0,0,0,0,0,0,23,19,53,0,0,4,0,0,5,0,94,4,0,0,0,0,0,0,0,0,7,24,56,0,13,7,0,0,3,0,107,4,16,0,0,0,0,0,0,0,25,153,276,27,54,39,19,9,40,4,624,0,0,0,5,0,0,0,0,0,6
20301,21,114,0,49,26,3,0,0,0,217,10,46,0,9,8,0,0,0,0,66,135,677,33,109,144,28,7,23,7,1167,0,0,0,0,3,0,0,0,0,3,51,62,19,56,63,12,0,10,3,284,73,77,41,165,116,44,5,25,9,544,76,58,129,289,231,91,19,80,7,986,16,7,8,10,35,8,0,4,0,92,13,3,9,20,36,8,0,14,0,91,0,5,3,4,3,0,0,0,0,22,11,8,4,19,9,9,8,13,11,96,433,1223,254,743,678,212,43,177,47,3817,3,5,0,0,0,0,0,0,0,7,12,65,4,0,7,0,0,0,0,90,75,207,13,17,17,5,0,4,5,332,5,19,0,0,0,0,0,4,0,30,38,152,6,50,23,3,4,8,4,286,20,53,0,10,8,0,0,0,0,93,322,953,71,150,172,48,21,51,19,1812,0,0,3,0,3,0,0,0,0,7
20302,185,1046,21,366,147,23,6,13,12,1821,83,440,0,37,68,6,0,0,4,636,1247,7168,362,1366,1481,528,83,255,110,12587,11,5,5,35,10,3,0,3,0,64,274,546,114,491,515,131,22,74,31,2209,466,621,248,1601,1019,342,64,170,46,4566,534,457,1008,2849,1695,791,182,615,98,8218,50,32,54,133,164,125,20,89,3,668,74,47,47,239,238,108,15,57,14,840,19,58,14,39,43,20,6,15,6,208,39,105,36,184,121,75,15,65,114,749,3458,13103,2005,7584,5796,2252,444,1432,468,36537,16,134,0,7,8,0,0,0,0,171,118,1032,38,17,44,7,0,7,6,1266,976,3158,254,372,435,237,288,317,69,6095,49,204,6,15,15,8,9,9,5,316,323,1502,64,422,192,40,21,26,19,2599,150,572,8,57,94,11,5,0,8,907,2950,11633,1092,2019,2123,937,446,691,214,22109,13,6,8,32,13,3,3,4,3,90
20303,119,604,14,159,83,30,0,14,7,1027,44,179,6,22,27,7,0,4,0,288,835,3390,157,599,680,220,11,89,70,6047,3,4,0,14,8,0,0,0,0,32,216,317,53,257,282,79,11,28,20,1273,226,320,98,563,429,131,14,79,18,1864,265,192,398,866,683,299,36,163,38,2937,18,22,18,51,65,41,6,25,0,238,33,34,22,95,102,52,4,27,3,375,7,24,0,16,20,7,5,4,4,92,39,65,14,77,58,36,4,23,45,360,2142,6458,815,2804,2579,927,94,467,222,16512,15,69,0,6,4,0,0,0,0,100,69,468,7,6,26,0,0,7,4,595,616,1562,72,108,176,51,16,35,27,2658,28,114,3,10,9,0,0,0,3,162,215,846,33,189,104,34,6,20,10,1472,77,250,13,37,31,8,0,10,0,424,1949,5591,442,918,945,397,69,223,121,10656,9,4,3,15,8,0,0,4,0,47
20401,76,199,10,106,35,4,3,14,4,449,18,67,0,5,8,0,0,5,0,108,346,1243,63,254,259,70,6,84,16,2338,3,5,0,5,3,0,0,0,6,14,137,127,34,148,143,49,5,34,6,699,162,187,86,423,271,70,15,69,17,1288,201,119,295,617,507,218,46,208,21,2222,31,11,19,45,63,42,0,37,0,248,30,11,18,63,60,26,6,36,0,254,9,16,3,13,13,5,0,4,0,65,42,29,11,52,57,30,5,44,29,293,1168,2390,558,1772,1452,524,89,540,116,8606,6,14,0,0,0,0,0,0,0,22,25,89,4,4,6,0,0,0,6,129,218,449,24,46,41,15,3,20,12,823,7,20,0,3,3,5,0,3,0,45,112,282,19,133,45,10,7,17,4,619,28,79,5,11,14,3,0,9,0,146,720,1793,171,353,318,114,37,156,29,3688,3,5,0,5,3,0,0,0,4,20
