SA3_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
20101,113,150,141,137,630,1051,407,1168,31,3833,126,316,289,291,1171,1476,434,773,36,4903,182,322,340,286,1546,2152,545,944,76,6395,213,386,264,193,346,417,91,172,27,2101,55,125,115,85,537,369,113,141,10,1561,105,494,252,148,372,331,108,164,23,1991,117,226,180,134,497,619,248,553,27,2595,192,786,408,203,651,643,204,262,58,3413,39,45,22,18,73,88,15,62,123,487,1136,2843,2020,1495,5817,7154,2172,4232,411,27284,111,207,252,203,521,436,161,372,14,2276,506,896,1148,1021,1419,1306,401,648,38,7393,76,210,228,148,257,170,36,68,17,1210,479,1363,1172,808,840,409,92,162,64,5396,253,847,933,622,1370,777,166,149,30,5143,262,1361,590,248,386,210,41,36,26,3164,17,51,58,30,59,28,14,10,0,269,167,753,388,195,233,112,35,34,31,1945,37,36,22,24,56,36,10,10,86,325,1906,5726,4788,3295,5138,3495,964,1502,317,27121
20102,51,81,98,81,163,328,147,607,25,1584,29,111,103,73,193,288,90,181,8,1072,67,136,109,108,396,559,146,280,38,1840,60,69,49,31,61,78,19,42,3,427,13,25,23,26,89,60,29,43,3,312,18,88,39,27,64,66,17,26,11,353,47,53,57,31,114,184,76,194,18,778,54,210,104,75,155,185,43,95,30,949,17,9,10,8,11,23,7,35,40,157,349,791,589,467,1240,1774,579,1504,173,7468,51,101,99,75,148,194,78,199,14,958,115,270,277,259,235,275,94,147,18,1688,22,90,72,45,68,50,14,22,5,391,126,303,233,156,138,112,23,42,19,1142,70,213,254,142,293,171,31,42,18,1231,52,230,130,50,62,37,12,12,16,599,5,17,13,13,25,11,0,0,3,77,69,214,111,52,51,47,6,25,17,591,11,21,8,0,12,11,4,9,30,113,523,1461,1198,788,1033,900,264,494,128,6787
20103,21,67,39,34,102,204,90,397,27,986,20,36,25,24,74,106,32,66,11,402,50,89,79,62,310,379,102,182,35,1281,31,56,32,29,64,76,20,29,5,347,6,16,16,11,67,48,9,15,0,186,16,67,37,30,54,55,13,20,8,288,49,55,41,40,151,167,53,168,20,739,58,156,85,75,189,193,43,68,31,904,13,12,11,0,21,18,0,14,41,128,278,551,362,302,1032,1248,362,966,170,5269,18,58,60,61,84,112,38,120,8,564,68,111,147,140,143,157,44,62,10,879,23,74,46,36,54,35,4,20,0,292,94,238,202,173,140,99,17,25,22,1009,47,161,159,102,194,114,26,37,7,854,44,211,126,42,77,36,15,13,4,574,9,6,18,6,11,17,0,0,0,80,38,201,99,61,95,52,6,16,9,581,6,10,5,3,11,12,3,3,32,86,354,1077,849,627,806,641,159,297,97,4911
20201,85,110,99,93,561,837,350,889,18,3048,120,235,217,268,1130,1071,344,611,20,4015,184,268,260,264,1286,1821,436,784,57,5361,169,326,240,195,333,347,92,160,21,1901,44,111,79,78,440,329,87,123,4,1298,75,402,208,109,331,270,77,149,26,1641,125,188,161,113,491,529,209,641,43,2498,157,811,366,269,775,689,183,255,49,3553,24,34,26,19,95,89,20,66,98,470,982,2489,1650,1403,5444,5984,1804,3676,348,23776,88,151,211,180,497,362,138,264,14,1905,474,741,974,1048,1330,1085,346,529,28,6561,75,192,217,109,238,151,22,44,11,1056,397,1167,1022,677,745,375,81,152,62,4691,188,687,799,526,1244,612,101,143,22,4317,239,1179,512,213,358,145,34,40,29,2745,20,71,33,37,78,39,19,28,3,327,150,726,391,199,322,163,36,66,35,2091,21,37,29,18,40,34,3,12,95,282,1659,4950,4185,3008,4858,2962,781,1279,292,23978
20202,76,134,112,120,277,558,226,730,40,2275,80,230,203,223,387,599,176,390,29,2315,114,216,196,177,494,891,216,403,48,2752,100,123,77,56,133,195,50,68,11,805,30,43,54,31,149,129,49,67,3,571,26,168,58,41,82,109,34,79,3,605,71,100,81,70,153,230,70,251,27,1052,90,352,167,133,226,275,63,113,32,1452,17,27,17,11,34,35,12,26,54,223,601,1390,969,862,1933,3025,889,2117,256,12049,75,153,179,170,231,326,103,286,26,1536,240,600,655,507,462,524,173,281,26,3471,49,158,99,66,111,80,11,33,11,615,186,496,419,266,246,152,28,69,27,1891,111,383,423,232,366,269,56,82,12,1953,84,479,218,77,100,88,13,35,25,1107,9,21,19,9,9,22,0,9,0,93,88,347,139,89,81,62,13,22,13,857,19,33,15,12,15,24,9,12,48,188,856,2668,2163,1428,1623,1540,415,831,193,11715
20203,30,38,40,30,62,143,58,463,19,878,8,15,11,13,33,35,11,36,0,154,28,41,32,32,105,157,43,105,21,559,12,13,12,11,22,18,0,9,0,97,0,15,0,11,17,22,5,5,0,81,4,18,10,8,17,18,3,7,3,100,23,24,21,17,68,79,27,102,14,374,19,52,36,35,67,101,28,60,8,404,0,10,6,0,3,6,0,6,23,49,111,223,167,157,391,584,178,800,90,2700,19,48,58,31,44,77,22,116,11,433,44,60,77,72,68,58,20,37,10,452,14,25,14,11,18,15,6,6,4,111,35,111,95,44,61,29,0,12,10,398,27,87,71,43,85,64,9,17,4,406,33,94,44,15,25,6,0,6,10,238,3,4,8,0,10,3,0,7,0,46,20,91,52,22,31,23,8,15,14,277,0,7,0,3,0,7,0,5,22,45,194,541,425,247,355,287,67,222,81,2407
20301,29,57,52,49,159,268,93,435,17,1160,27,57,43,32,137,188,56,139,6,686,52,76,66,87,383,562,131,299,38,1704,48,46,35,23,43,91,27,27,5,339,7,23,10,6,43,74,17,35,0,214,19,76,27,14,49,46,9,36,7,286,38,38,34,36,115,186,75,186,20,725,53,135,53,44,125,166,29,115,13,728,5,3,3,6,11,17,7,18,24,107,270,526,316,296,1064,1599,447,1289,124,5938,34,68,68,56,100,118,33,114,8,605,130,208,220,189,191,187,48,91,7,1266,30,76,56,39,44,45,11,19,5,325,100,271,225,124,118,97,10,15,18,985,64,199,163,126,258,150,29,25,10,1024,51,245,108,45,57,31,13,13,7,567,7,20,15,9,12,13,3,9,0,90,29,187,63,32,38,40,8,15,9,430,3,8,6,4,10,10,0,3,27,79,438,1284,933,628,832,699,151,311,93,5363
20302,171,278,231,229,1187,1906,736,2009,49,6796,260,555,494,489,2317,2864,759,1479,56,9264,358,746,636,534,2879,4150,1070,1685,142,12200,384,777,468,354,534,871,241,301,51,3980,94,236,190,124,884,765,199,317,26,2833,202,966,414,227,591,590,153,283,30,3455,231,498,480,342,1157,1470,498,1009,102,5782,309,1618,772,448,1189,1321,307,528,129,6619,51,83,61,47,205,222,45,117,257,1087,2057,5757,3749,2782,10932,14165,4007,7733,833,52012,220,367,499,416,1023,959,315,651,34,4480,882,1764,2142,1889,2793,2370,729,1070,81,13723,206,499,478,259,519,352,91,104,31,2539,893,2697,2247,1310,1445,833,171,306,130,10022,429,1378,1502,1030,2386,1431,270,274,58,8754,489,2468,1101,431,694,367,65,95,59,5776,64,185,142,70,246,181,27,41,19,964,270,1483,738,307,443,281,48,91,56,3712,54,92,62,47,112,96,7,38,192,697,3500,10928,8911,5745,9668,6872,1715,2685,641,50667
20303,141,199,197,176,597,1120,417,1150,40,4018,197,402,349,316,940,1213,361,761,45,4593,204,328,322,310,1077,1766,412,695,79,5189,233,294,164,107,198,397,121,147,20,1687,39,93,92,59,256,266,88,129,10,1027,90,385,159,73,246,234,74,131,18,1405,61,146,108,65,213,313,131,245,24,1294,171,647,239,131,270,389,91,199,32,2173,23,43,27,21,53,82,23,49,77,392,1155,2534,1655,1254,3855,5777,1703,3496,343,21774,169,261,324,231,496,561,182,402,19,2645,478,1048,1219,905,1102,1030,326,549,59,6714,96,233,198,118,165,123,12,46,18,1011,432,1184,797,434,444,298,80,95,45,3813,200,781,801,518,815,531,89,127,33,3889,211,912,387,186,223,182,35,45,30,2216,13,34,35,24,29,20,8,7,0,177,110,469,185,72,65,58,14,31,18,1026,40,46,24,17,49,35,4,15,83,317,1759,4970,3975,2501,3385,2837,751,1318,309,21806
20401,77,150,166,120,377,699,252,885,47,2772,70,124,98,89,255,342,117,269,14,1383,140,228,191,182,762,1168,280,554,77,3578,102,121,64,57,150,291,100,166,15,1062,15,39,40,32,136,137,34,66,9,515,32,172,77,41,116,132,25,68,12,679,106,121,115,72,277,441,170,411,44,1759,115,435,192,148,348,419,82,227,54,2022,15,32,7,19,55,68,9,43,77,323,678,1423,946,771,2473,3682,1063,2702,354,14087,86,184,186,139,252,327,120,343,33,1665,157,307,400,341,403,448,135,304,27,2519,78,149,119,99,128,116,21,37,17,760,244,569,507,301,359,206,47,90,42,2365,137,452,394,271,535,387,63,93,29,2364,105,428,256,139,185,116,29,40,24,1326,10,32,37,9,34,47,10,18,0,191,131,470,230,139,159,138,31,52,31,1381,18,23,28,27,21,21,0,10,82,228,971,2607,2156,1467,2077,1802,452,983,290,12807
