SA4_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
201,915,890,1804,887,874,1768,904,952,1857,1021,893,1913,955,1022,1981,4685,4634,9323,1097,1007,2104,1055,1011,2065,1074,1034,2110,1136,1012,2150,1114,1044,2159,5477,5100,10578,1110,1016,2125,1117,1104,2222,1174,1128,2302,1141,1055,2198,1216,1112,2328,5763,5416,11175,1132,1075,2201,1098,985,2085,1058,1019,2077,948,918,1861,971,927,1895,5205,4920,10126,977,939,1918,904,915,1819,971,986,1961,940,919,1859,1002,946,1944,4790,4708,9501,1036,1037,2073,1058,1035,2088,1067,1070,2135,1000,1037,2035,1008,1093,2104,5171,5260,10435,1091,1012,2106,1024,1031,2051,996,1059,2056,986,1063,2051,958,1049,2009,5053,5217,10272,987,1111,2098,1031,1047,2074,988,1085,2076,998,1066,2065,933,1082,2016,4934,5398,10326,964,1123,2091,946,1011,1953,964,1069,2027,1046,1012,2055,951,1099,2055,4873,5308,10181,1013,1064,2078,1026,1084,2113,1073,1150,2225,1073,1149,2220,1131,1254,2380,5324,5700,11017,1234,1281,2522,1107,1168,2274,1169,1236,2404,1041,1105,2152,1041,1100,2138,5593,5894,11488,1016,1148
202,858,884,1740,934,862,1793,939,886,1825,937,948,1878,1011,890,1905,4680,4467,9144,990,1043,2034,1029,946,1976,1111,1058,2172,1035,1043,2077,1137,1051,2183,5308,5137,10445,1082,969,2045,1053,961,2013,1177,1012,2187,1078,992,2071,1114,1050,2161,5499,4978,10478,1034,1023,2058,955,932,1889,943,928,1872,906,903,1811,903,862,1766,4738,4656,9392,914,844,1760,892,872,1763,850,933,1785,923,851,1769,861,845,1708,4438,4352,8790,911,897,1814,950,948,1898,931,989,1920,954,1018,1970,961,1013,1975,4706,4862,9569,981,1016,1999,918,1063,1976,982,985,1966,967,1016,1983,910,1061,1974,4759,5141,9899,1018,1022,2040,956,1079,2032,948,1020,1970,1027,1060,2092,870,1035,1903,4815,5217,10039,966,1079,2051,881,1007,1891,926,992,1919,1016,1032,2052,921,1042,1962,4707,5155,9862,943,1014,1958,1022,1094,2117,1028,1068,2104,985,1133,2114,1087,1156,2241,5070,5470,10542,1107,1238,2344,1071,1090,2158,1094,1072,2166,984,1120,2102,980,1050,2031,5231,5568,10799,965,1103
203,1941,1894,3831,1916,1799,3709,1910,1853,3765,2002,1811,3814,1964,1851,3815,9727,9204,18936,2083,1969,4048,2152,2035,4188,2083,2082,4163,2116,1928,4040,2108,1927,4036,10535,9947,20474,2000,1839,3833,2006,2002,4010,2053,1901,3956,2003,1911,3911,2153,1918,4071,10213,9565,19778,1900,1797,3697,1926,1780,3713,1851,1791,3644,1877,1771,3645,1850,1827,3679,9408,8967,18372,1932,1829,3762,1975,1952,3931,1956,1851,3810,2027,1891,3918,2106,2007,4114,10003,9533,19539,2171,2012,4185,2358,2109,4466,2200,2142,4342,2169,2159,4332,2200,2181,4380,11094,10598,21694,2189,2169,4361,2157,2294,4454,2145,2279,4415,2092,2228,4318,2193,2289,4474,10774,11252,22034,2179,2351,4532,2163,2315,4473,2161,2289,4452,2058,2309,4369,2123,2247,4369,10682,11508,22190,1997,2142,4137,1919,2065,3985,1951,2071,4024,1901,2063,3961,1913,2065,3975,9680,10404,20084,1961,2001,3968,1942,2158,4096,2044,2124,4173,2028,2121,4152,2161,2299,4462,10135,10704,20850,2120,2223,4341,1908,2116,4017,1907,2069,3973,1804,1993,3797,1798,1944,3741,9529,10344,19878,1754,1899
204,908,887,1801,938,858,1795,946,950,1895,958,948,1901,966,1012,1973,4703,4662,9364,1031,979,2005,1088,1033,2124,1059,1056,2115,1109,1041,2148,1146,1055,2200,5433,5155,10584,1132,1121,2250,1215,1121,2337,1194,1116,2311,1141,1102,2241,1293,1267,2560,5979,5722,11708,1258,1180,2441,1058,980,2037,1047,1081,2127,1069,948,2019,1081,857,1944,5517,5049,10563,1013,824,1843,911,811,1720,939,781,1719,836,804,1640,894,890,1786,4595,4106,8704,930,911,1840,937,934,1874,951,973,1917,984,976,1962,967,1010,1974,4771,4805,9578,1010,1009,2023,1002,1027,2030,967,985,1945,960,1041,2002,989,1028,2019,4932,5081,10014,1043,1117,2159,976,1052,2033,973,1025,1998,1016,1121,2140,942,1057,1998,4942,5385,10326,994,1086,2080,975,1099,2078,930,973,1908,1009,1107,2115,991,1070,2060,4903,5343,10245,1024,1102,2126,998,1096,2099,1084,1188,2274,1091,1208,2301,1167,1282,2447,5368,5875,11242,1271,1341,2610,1180,1222,2405,1180,1334,2515,1176,1232,2414,1095,1191,2289,5903,6322,12222,1216,1257
205,1535,1517,3051,1526,1469,2994,1558,1556,3109,1676,1541,3224,1680,1608,3287,7975,7683,15659,1835,1628,3466,1765,1614,3379,1776,1677,3448,1821,1704,3531,1774,1685,3455,8970,8314,17278,1846,1765,3609,1779,1733,3510,1873,1748,3622,1922,1732,3651,1899,1797,3702,9310,8774,18085,1765,1735,3501,1635,1593,3225,1713,1578,3296,1587,1514,3105,1424,1366,2796,8120,7793,15913,1395,1262,2655,1433,1343,2777,1428,1356,2778,1391,1306,2701,1419,1413,2830,7068,6672,13743,1481,1431,2912,1524,1630,3153,1633,1609,3247,1624,1728,3354,1600,1684,3284,7856,8091,15948,1575,1732,3304,1657,1727,3380,1610,1697,3303,1644,1797,3441,1592,1751,3337,8070,8700,16769,1666,1764,3427,1698,1774,3467,1621,1806,3423,1631,1669,3302,1534,1699,3231,8148,8707,16852,1565,1669,3239,1495,1588,3085,1495,1574,3070,1547,1558,3106,1529,1655,3179,7630,8043,15675,1556,1727,3279,1529,1628,3162,1608,1731,3337,1695,1834,3536,1811,1941,3755,8199,8866,17062,1936,2083,4021,1790,1956,3747,1789,2075,3867,1829,1894,3726,1781,1968,3754,9126,9982,19108,1831,1938
206,2799,2761,5558,2631,2493,5124,2362,2309,4673,2313,2280,4594,2244,2167,4418,12355,12015,24369,2239,2334,4573,2240,2184,4422,2244,2129,4371,2244,2126,4372,2143,2013,4155,11111,10785,21901,2043,2047,4087,2152,2053,4200,2091,2068,4159,2066,2013,4083,2119,2038,4158,10467,10215,20682,1961,1936,3903,1916,1952,3869,1832,1920,3746,2399,2662,5065,3096,3756,6850,11202,12229,23434,4189,4519,8706,4731,5408,10142,5205,5973,11178,5905,6858,12761,6608,7916,14527,26641,30675,57314,7442,8546,15988,7834,9088,16923,8414,9323,17742,8617,9136,17759,8672,9001,17674,40978,45103,86078,8522,8929,17454,8235,8708,16940,8090,8167,16257,7481,7440,14917,7021,6847,13864,39346,40099,79441,6509,6648,13161,6296,6138,12435,5851,5696,11546,5533,5443,10974,5279,5156,10437,29464,29086,58549,4929,4862,9789,4461,4404,8869,4321,4064,8382,3991,3902,7890,3820,3799,7612,21513,21027,42540,3834,3727,7565,3538,3674,7219,3654,3810,7463,3616,3726,7344,3583,3855,7435,18235,18787,37024,3751,4046,7801,3602,3671,7268,3357,3602,6960,3287,3385,6676,3148,3134,6279,17146,17836,34977,3088,3136
207,1451,1393,2845,1545,1471,3013,1556,1520,3077,1599,1624,3228,1890,1697,3582,8044,7705,15744,1929,1811,3737,2021,1940,3953,2078,1914,3989,2217,2118,4331,2211,2062,4263,10447,9833,20284,2163,2130,4287,2315,2192,4513,2264,2239,4503,2467,2312,4783,2388,2316,4706,11604,11196,22796,2364,2228,4593,2462,2321,4784,2403,2397,4805,2433,2291,4718,2442,2368,4808,12109,11605,23713,2706,2538,5246,2793,2619,5413,2848,2660,5508,2817,2671,5490,2858,2558,5411,14010,13055,27065,2709,2567,5270,2711,2428,5132,2519,2358,4880,2518,2468,4987,2330,2381,4709,12788,12200,24987,2347,2351,4698,2414,2457,4867,2280,2553,4832,2303,2420,4723,2248,2409,4663,11593,12192,23787,2191,2441,4634,2215,2506,4717,2321,2480,4795,2340,2666,5011,2354,2667,5021,11416,12767,24181,2303,2424,4728,2291,2498,4793,2189,2541,4735,2225,2427,4650,2249,2540,4790,11254,12432,23684,2184,2514,4698,2227,2528,4754,2383,2612,4994,2339,2718,5057,2474,2865,5334,11603,13238,24844,2590,2969,5554,2416,2865,5276,2437,2791,5234,2324,2574,4900,2262,2416,4675,12027,13614,25640,2213,2527
208,2088,2092,4177,2074,1995,4067,2175,2031,4203,2232,2149,4380,2247,2192,4436,10811,10453,21261,2442,2319,4765,2484,2356,4842,2561,2384,4944,2646,2491,5138,2590,2546,5139,12727,12099,24824,2645,2545,5188,2657,2669,5330,2858,2680,5537,2912,2658,5574,2805,2618,5422,13882,13172,27059,2694,2555,5247,2622,2526,5145,2601,2533,5129,2541,2391,4936,2318,2349,4659,12769,12339,25117,2470,2320,4792,2573,2461,5032,2434,2470,4901,2438,2318,4756,2513,2405,4922,12430,11979,24406,2559,2407,4970,2520,2508,5032,2554,2518,5071,2484,2589,5074,2590,2664,5250,12711,12690,25395,2568,2792,5360,2541,2883,5420,2543,2780,5322,2610,2760,5371,2608,2874,5478,12867,14091,26959,2745,2841,5588,2598,3101,5694,2762,3059,5825,2981,3143,6128,2751,3145,5896,13841,15296,29130,2876,3196,6077,2781,3007,5790,2725,2967,5690,2648,3029,5678,2848,2932,5780,13884,15133,29013,2698,3024,5715,2931,3172,6106,2878,3308,6182,3042,3252,6295,3112,3429,6538,14659,16182,30844,3209,3710,6920,2989,3419,6410,3010,3306,6314,2848,2983,5831,2744,2948,5696,14806,16369,31177,2561,2771
209,3405,3214,6619,3472,3280,6745,3534,3329,6858,3627,3357,6986,3757,3421,7180,17800,16592,34396,3746,3611,7358,3702,3485,7194,3724,3422,7150,3719,3426,7144,3544,3515,7059,18437,17460,35893,3458,3241,6694,3492,3368,6854,3439,3080,6525,3318,3265,6580,3374,3177,6552,17077,16126,33204,3327,3090,6412,3120,2843,5957,3199,2856,6054,3089,2945,6033,3050,2904,5947,15777,14632,30410,3183,3041,6228,3522,3183,6703,3416,3168,6582,3499,3207,6709,3751,3260,7011,17366,15866,33231,3779,3309,7087,3870,3639,7513,3763,3655,7420,3623,3854,7470,3678,3860,7537,18712,18319,37029,3941,4248,8186,4202,4457,8661,4124,4373,8497,4181,4559,8741,4347,4445,8792,20794,22084,42880,4403,4514,8914,4368,4662,9031,4188,4500,8687,4390,4432,8823,4283,4170,8457,21642,22276,43916,4129,4188,8318,3894,3985,7878,3703,3771,7471,3703,3808,7515,3553,3571,7123,18973,19327,38303,3511,3593,7108,3580,3734,7313,3534,3706,7239,3542,3632,7173,3655,3795,7445,17817,18460,36280,3629,3891,7515,3482,3550,7031,3386,3606,6994,3223,3344,6566,3115,3219,6331,16835,17614,34444,3012,3258
210,3021,2863,5888,3135,2904,6042,3103,2951,6049,3140,2929,6072,3101,2945,6051,15502,14588,30088,3229,3028,6263,3061,2907,5971,3207,2980,6184,3112,2982,6097,2997,2874,5873,15610,14775,30385,2878,2792,5671,2879,2751,5632,2793,2627,5422,2925,2587,5508,2773,2611,5389,14252,13372,27623,2765,2497,5266,2601,2484,5084,2526,2347,4875,2531,2375,4907,2518,2292,4815,12944,11992,24940,2744,2433,5177,2805,2548,5349,2862,2571,5433,2869,2514,5384,2938,2711,5645,14211,12776,26989,3086,2795,5883,3237,2907,6153,3248,2994,6244,3148,3238,6387,3249,3261,6506,15968,15205,31170,3418,3501,6913,3264,3627,6892,3430,3625,7056,3516,3712,7236,3598,3619,7218,17228,18083,35308,3519,3750,7267,3539,3642,7179,3434,3365,6799,3455,3365,6822,3303,3212,6511,17240,17336,34577,3173,3149,6323,2984,2969,5952,2923,2862,5788,2791,2778,5567,2693,2706,5398,14566,14466,29029,2612,2621,5236,2558,2604,5164,2510,2741,5253,2460,2636,5099,2663,2794,5456,12801,13393,26202,2589,2863,5448,2660,2714,5373,2613,2703,5321,2426,2617,5041,2403,2447,4858,12701,13343,26038,2415,2499
