SA4_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
201,0,37,4627,4665,69,702,3527,4299,2355,2693,4185,9235,4895,1621,2380,8898,5520,1462,2896,9876,5862,1134,2984,9976,5783,600,2611,8989,3111,187,1404,4696,652,20,509,1183,28252,8458,25113,61821,0,77,4253,4335,147,939,3065,4151,3072,2779,3763,9612,5494,1600,2882,9974,5744,1429,3582,10753,5954,1015,3951,10918,5395,473,3942,9809,2341,127,2715,5180,321,3,1465,1790,28475,8439,29615,66525,0,115,8879,8996,221,1642,6588,8452,5428,5476,7946,18848,10387,3225,5257,18872,11267,2891,6480,20632,11819,2142,6937,20898,11180,1074,6549,18799,5452,311,4119,9877,973,23,1974,2976,56729,16896,54730,128348
202,0,46,4334,4376,75,551,3305,3929,2240,2495,3641,8375,4844,1568,2154,8562,5285,1410,2636,9327,5665,1072,2876,9605,5773,628,2493,8895,3186,193,1322,4697,729,21,531,1278,27798,7981,23281,59056,3,59,4131,4196,125,830,2900,3846,3025,2705,3454,9184,5347,1622,2652,9614,5506,1399,3327,10231,6005,928,3842,10777,5331,490,3698,9522,2424,105,2562,5099,364,13,1328,1708,28130,8152,27892,64171,3,106,8467,8573,199,1375,6202,7774,5267,5201,7094,17563,10188,3191,4799,18184,10789,2807,5958,19555,11666,1996,6717,20384,11102,1123,6189,18415,5616,298,3889,9798,1094,37,1855,2986,55927,16129,51175,123228
203,4,37,8512,8548,117,1000,7636,8748,5216,5497,8809,19524,11225,3185,4153,18571,11173,2350,4606,18130,10903,1570,4566,17039,10980,862,3476,15315,5891,282,1806,7981,1361,25,905,2291,56871,14806,44471,116151,0,83,7852,7940,222,1428,6691,8343,6968,5805,7519,20298,12171,3201,5186,20560,11481,2324,6033,19835,11224,1511,6596,19328,10276,685,6161,17122,4496,182,4735,9409,673,10,2523,3205,57517,15229,53297,126044,12,120,16366,16489,337,2425,14326,17094,12185,11305,16336,39820,23401,6390,9344,39130,22655,4672,10639,37967,22128,3079,11154,36368,21258,1541,9641,32435,10381,466,6541,17388,2034,38,3427,5495,114388,30035,97772,242192
204,3,46,4716,4761,69,607,3038,3710,2309,2542,3528,8381,4797,1638,2249,8683,5677,1581,2872,10128,6924,1246,3471,11641,7201,745,3068,11014,3864,232,1598,5695,852,22,607,1481,31689,8654,25144,65495,0,89,4266,4361,137,906,2375,3422,3095,2643,3124,8858,5437,1767,2610,9811,6151,1610,3393,11158,7361,1216,3948,12522,6630,542,3890,11058,2912,137,3009,6053,377,20,1600,1996,32098,8932,28203,69229,4,136,8981,9124,203,1515,5410,7128,5405,5186,6651,17241,10235,3396,4855,18489,11825,3194,6270,21291,14281,2458,7422,24159,13828,1286,6958,22077,6767,369,4606,11746,1229,43,2202,3480,63790,17591,53348,134721
205,0,59,7415,7473,108,1045,5005,6152,3811,4240,5810,13864,7489,2541,3860,13888,8462,2338,4604,15412,11022,2050,5643,18714,12334,1284,5285,18900,6844,354,2547,9745,1369,50,1013,2424,51449,13972,41161,106580,6,143,6927,7075,204,1511,4122,5833,5162,4531,5492,15178,8286,2568,4405,15260,9380,2399,5501,17275,11957,1941,6716,20611,11531,1000,6764,19296,5021,261,5014,10294,627,26,2478,3131,52176,14368,47406,113956,6,201,14345,14548,308,2557,9124,11989,8973,8775,11297,29043,15781,5113,8266,29153,17846,4736,10098,32685,22984,3989,12351,39325,23870,2282,12044,38199,11870,612,7559,20040,1997,75,3485,5562,103629,28339,88568,220540
206,10,123,9602,9729,224,2989,19643,22856,9853,22932,39443,72234,18681,11131,16341,46153,15734,5298,10938,31967,12793,3192,9017,25002,9653,1479,5761,16888,5658,439,2868,8973,1731,50,1175,2952,74339,47630,114783,236760,15,193,9995,10202,481,4132,21686,26292,12952,23415,40615,76980,18990,8829,18037,45855,15712,4264,13788,33764,12227,2439,11662,26327,8851,1090,9404,19342,4214,212,6530,10954,703,17,3696,4413,74136,44590,135407,254138,26,315,19593,19934,701,7117,41329,49142,22808,46345,80057,149213,37669,19964,34378,92014,31440,9563,24726,65728,25021,5639,20679,51333,18509,2560,15159,36235,9871,649,9399,19926,2428,67,4870,7373,148478,92218,250196,490893
207,0,26,11343,11371,110,807,11943,12858,5282,4889,12481,22652,14530,2191,4763,21482,16298,1571,4527,22398,14913,1190,3920,20019,11675,566,2726,14974,7666,237,1957,9862,2476,49,1277,3796,72944,11522,54937,139408,0,32,10832,10868,194,1096,10548,11837,7227,5069,10521,22808,16088,2116,5818,24030,17258,1482,6969,25698,14442,949,6879,22270,11144,466,6275,17895,6057,123,6190,12375,1106,26,4121,5255,73516,11358,68150,153028,3,63,22176,22238,299,1906,22492,24697,12503,9959,23002,45463,30620,4304,10585,45506,33556,3050,11492,48096,29356,2134,10799,42286,22824,1032,9006,32862,13728,358,8146,22236,3587,69,5399,9056,146468,22886,123096,292439
208,4,25,12205,12234,94,711,10841,11644,5487,6792,11626,23902,17099,4021,5182,26299,19270,2997,5752,28021,15660,1909,5384,22955,11954,1018,3998,16965,6849,310,2393,9558,2053,72,1335,3465,78470,17854,58719,155043,0,49,11751,11800,198,1084,9851,11136,7806,7227,10013,25048,18629,3764,6644,29035,19979,2834,8373,31186,14984,1600,8429,25009,11009,813,8049,19871,5217,199,6617,12027,969,34,4377,5380,78798,17598,74099,170494,3,70,23957,24032,292,1796,20694,22782,13291,14016,21637,48948,35728,7781,11824,55334,39258,5830,14120,59205,30640,3512,13812,47965,22960,1833,12044,36835,12070,514,9010,21586,3028,104,5710,8845,157272,35450,132824,325536
209,0,39,14869,14912,214,1000,14778,15995,10803,7997,18165,36966,24803,5151,8491,38444,21351,3396,8045,32788,17956,2042,6882,26878,14489,870,4461,19824,7963,230,2420,10610,1976,32,1183,3197,99556,20757,79299,199612,7,82,13733,13820,604,1390,12692,14683,15191,8697,14087,37981,25679,5048,9024,39753,21038,3300,10134,34474,17614,1770,10033,29416,13329,651,8422,22402,5709,145,6407,12256,883,20,3503,4408,100063,21110,88032,209201,7,117,28603,28735,809,2394,27474,30676,25999,16693,32257,74947,50485,10198,17519,78201,42391,6694,18180,67265,35570,3809,16915,56296,27823,1524,12877,42226,13672,372,8824,22870,2867,51,4689,7605,199620,41865,167330,408811
210,4,26,12234,12263,303,677,12315,13294,10314,5414,15110,30836,20413,3088,6333,29833,15936,2156,5858,23953,13928,1342,5122,20392,9994,507,3155,13652,5804,150,1733,7693,1555,16,955,2524,78246,13386,62822,154450,19,66,11310,11398,869,1066,10042,11975,14944,5632,10674,31243,20376,3003,6713,30092,15821,2055,7515,25387,12943,1147,7317,21403,9065,379,6125,15573,4033,89,4959,9078,643,3,2788,3437,78706,13439,67446,159586,23,96,23548,23662,1168,1747,22356,25274,25253,11048,25784,62081,40782,6095,13053,59931,31759,4209,13375,49346,26865,2490,12436,41795,19060,886,9276,29230,9834,242,6690,16771,2201,20,3745,5965,156953,26824,130267,314040
