SA4_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
201,0,0,4,6,4,0,0,0,0,19,4435,10234,8785,16247,8964,8915,7697,3863,1160,70303,0,0,8,31,11,0,3,0,0,54,0,0,0,0,0,6,0,4,3,19,0,0,0,12,4,0,0,0,0,21,0,3,4,6,0,3,0,0,0,12,0,0,3,28,17,22,23,5,0,112,0,0,0,7,3,0,3,3,0,24,0,26,33,169,29,37,25,8,0,328,0,0,0,9,11,18,35,33,7,103,0,0,11,5,3,5,13,11,0,46,0,75,65,255,324,501,611,391,98,2325,0,5,5,11,8,3,5,0,0,41,0,3,5,19,8,8,6,0,0,49,0,4,0,19,23,33,122,58,7,279,0,0,0,4,0,13,28,19,3,65,0,5,6,16,13,3,9,0,0,55,6,44,171,693,98,24,22,15,4,1082,0,3,4,15,6,0,3,3,0,40,0,0,0,20,9,3,3,0,0,40
202,0,6,5,29,3,7,0,0,0,45,4415,9795,7997,15381,8321,8713,7973,4024,1363,67984,0,3,4,22,3,3,0,0,0,37,0,0,0,5,0,0,0,0,0,3,0,6,0,17,6,0,0,0,0,31,0,0,7,3,3,0,0,0,0,9,0,5,9,26,23,11,13,6,0,92,0,0,0,3,3,7,0,0,0,12,0,13,17,88,25,18,11,4,0,172,0,0,0,3,0,8,14,13,0,49,4,3,10,18,6,4,6,10,4,57,4,48,56,220,329,456,500,338,75,2027,0,0,4,12,5,3,3,0,0,28,0,0,4,23,6,7,15,5,0,63,0,3,3,25,22,30,84,61,10,237,0,0,0,0,6,17,18,10,7,54,0,3,3,13,12,0,3,0,0,41,0,66,77,481,65,23,25,17,0,754,0,0,7,9,11,3,9,0,0,42,0,8,3,18,5,0,0,0,0,42
203,0,35,72,186,47,19,4,0,0,360,9262,18637,16250,31820,15452,14200,12271,5820,1830,125544,0,0,11,60,12,9,0,0,0,92,0,0,7,77,22,66,35,28,5,238,0,0,8,43,8,4,3,0,0,68,0,0,4,5,4,4,4,0,0,28,4,23,16,81,51,33,15,3,4,238,0,0,0,22,11,3,0,6,0,45,5,64,115,353,77,67,72,27,4,783,0,3,4,67,56,149,149,168,75,680,5,16,12,41,6,14,26,21,3,140,20,189,247,778,782,1058,1120,791,259,5235,0,3,8,38,21,6,11,0,0,93,5,8,9,70,30,18,12,6,4,156,5,12,15,70,73,55,246,172,69,708,0,4,7,8,22,41,93,86,37,299,0,25,32,33,11,12,18,0,0,128,22,119,485,2213,138,63,49,25,10,3123,5,12,16,63,22,7,11,0,3,126,3,27,45,129,39,26,11,6,5,287
204,0,0,0,10,0,0,0,0,0,12,4412,10283,8830,16110,9315,10542,9649,4642,1350,75138,0,0,4,8,8,4,5,0,0,28,0,0,0,0,0,0,6,4,0,13,0,0,0,10,4,0,0,0,0,13,0,8,6,8,3,0,0,0,0,28,0,4,9,38,19,18,15,8,0,114,0,0,0,0,0,0,0,0,0,8,3,12,82,69,22,14,14,3,0,208,0,0,0,3,3,29,22,37,9,102,0,0,0,14,3,0,5,3,0,27,8,25,72,233,278,521,605,423,110,2270,0,0,0,17,11,8,5,5,0,44,0,0,11,19,9,14,22,8,0,77,0,3,4,23,26,74,198,120,36,488,0,0,0,3,11,13,23,17,4,76,0,3,8,16,8,0,4,0,0,37,10,35,53,361,53,24,13,12,0,560,0,0,8,7,0,0,5,7,0,31,0,0,0,15,3,4,0,0,0,25
205,0,0,0,6,0,0,0,0,0,8,7433,16570,13529,25727,14060,16575,15491,7308,1993,118674,0,0,0,25,3,3,4,0,0,33,0,0,0,9,4,11,6,11,0,35,0,3,3,11,4,4,0,0,0,22,0,3,4,13,3,5,4,0,0,30,3,11,3,53,30,33,25,13,0,185,0,5,0,13,16,13,19,9,0,67,0,19,10,116,31,42,28,8,3,265,0,0,0,8,10,20,31,41,13,120,0,3,6,19,4,7,27,9,6,79,9,63,91,416,479,1050,1533,1064,285,4999,0,4,9,41,12,17,6,3,0,91,0,5,3,25,4,10,12,7,3,68,0,13,4,43,30,71,306,226,57,761,0,0,0,6,8,29,64,41,16,170,0,0,4,27,9,9,12,4,0,59,8,36,82,534,83,32,53,35,8,864,6,8,6,35,5,5,12,8,0,92,0,0,0,21,7,4,0,0,0,38
206,3,11,21,81,11,6,9,0,0,141,11184,18113,23277,69665,22792,17219,10528,4438,1177,178397,0,5,69,239,18,9,3,0,0,353,0,0,7,124,25,30,18,13,6,226,4,19,57,841,53,18,6,0,0,1006,5,5,57,74,20,27,18,6,3,208,14,35,52,543,151,88,45,20,0,956,0,14,26,402,59,59,39,17,5,623,25,236,3127,4628,480,612,465,198,156,9928,0,3,0,81,58,101,82,65,27,424,0,11,27,167,36,76,106,76,21,530,84,302,658,5173,1854,1620,1038,523,121,11364,0,0,16,134,50,32,15,10,5,258,7,32,83,930,129,72,57,24,9,1349,9,35,75,586,205,131,173,141,33,1376,0,11,29,186,161,500,663,1284,608,3441,15,80,322,845,150,121,99,39,8,1669,163,359,1154,7116,434,235,169,94,24,9740,10,46,762,1077,95,47,63,19,6,2134,4,21,54,887,107,59,41,7,0,1178
207,0,0,0,25,3,9,8,0,0,42,7439,17497,18480,21965,13381,11544,7602,5042,2191,105140,4,17,17,92,24,13,10,4,0,177,0,0,0,24,10,24,8,9,0,79,3,15,4,80,16,13,3,0,0,135,3,9,30,32,36,27,28,12,6,178,12,31,33,102,78,58,19,11,4,334,0,4,5,36,21,13,16,3,0,101,101,1244,2242,7325,2305,2511,1684,583,280,18277,0,0,0,19,18,37,45,76,37,236,3,31,40,139,52,101,96,93,33,585,31,303,359,807,765,810,696,579,190,4542,0,0,3,59,33,64,33,19,6,221,3,28,27,108,63,35,18,15,3,296,0,14,14,91,80,74,122,147,39,595,0,20,32,69,110,346,525,933,442,2474,37,316,279,1037,478,538,497,149,37,3371,32,339,731,3114,620,334,289,171,44,5672,0,31,81,363,136,75,92,55,15,845,13,171,208,984,428,199,107,68,13,2186
208,0,5,9,40,3,9,5,0,0,67,10161,22543,19975,30950,18976,15268,10381,5208,2166,135623,0,5,8,99,8,14,10,0,0,148,0,0,4,83,28,50,15,14,3,205,8,22,26,191,42,16,8,3,0,315,0,0,12,48,46,33,18,6,4,170,4,53,39,174,122,80,45,13,4,537,0,13,0,81,66,31,24,15,0,248,26,449,816,2380,721,803,440,164,66,5861,0,4,4,54,33,61,71,98,16,340,0,6,15,51,25,67,118,80,33,400,64,591,604,1992,1800,1486,1178,845,258,8821,0,0,11,64,49,49,20,4,0,185,9,55,62,253,113,64,74,26,12,663,4,23,45,182,159,123,261,199,76,1078,0,20,36,108,160,347,491,819,390,2366,15,113,98,264,87,76,71,26,11,763,63,371,589,3807,572,422,274,147,39,6287,0,24,40,219,59,32,39,20,4,440,0,5,10,227,60,33,21,6,6,365
209,0,11,23,118,33,31,15,5,0,226,16833,30932,25326,46268,22433,16588,10423,4763,1390,174959,6,26,39,259,52,24,6,3,0,412,0,0,0,102,39,89,50,33,3,322,0,6,13,115,21,11,3,0,0,175,0,4,17,51,51,43,37,3,0,205,9,28,17,135,83,48,24,5,0,342,0,3,0,69,56,28,19,21,0,200,18,161,584,2407,654,794,499,143,68,5326,0,0,4,51,68,148,148,161,46,625,0,20,45,196,81,121,174,109,19,767,32,254,353,1255,1049,1133,813,566,164,5616,0,9,37,214,103,98,54,17,3,534,0,0,8,114,60,46,23,11,7,268,9,20,29,150,108,86,163,134,31,731,0,33,93,214,226,671,914,996,402,3554,0,28,48,246,71,78,77,20,8,573,89,595,1645,8824,1080,498,353,107,41,13229,0,21,44,202,67,44,43,17,8,441,5,139,192,1188,295,109,56,11,5,1992
210,0,19,42,167,35,25,5,4,0,297,14497,24349,19235,32978,14196,11011,6316,2933,959,126484,3,35,42,257,74,45,33,3,3,500,0,0,3,82,32,61,39,19,10,247,0,10,0,88,13,6,7,0,0,124,0,3,6,20,3,9,4,0,0,52,0,15,11,65,39,32,18,4,0,189,0,0,6,44,59,46,27,29,6,211,7,36,86,425,153,224,146,59,19,1152,0,0,3,45,66,140,154,209,61,684,5,57,34,208,73,134,184,124,50,866,14,124,130,646,505,664,554,379,104,3115,0,11,50,253,137,121,64,21,3,659,0,0,4,47,13,28,14,9,0,123,0,8,10,81,62,69,171,139,31,564,0,22,28,102,87,251,358,420,174,1440,0,15,17,98,35,28,20,3,0,212,72,610,1152,7541,957,461,369,141,29,11333,0,9,29,128,51,19,16,10,3,260,3,49,77,482,97,77,43,20,6,858
