SA4_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
201,519,175,183,222,240,53,11,35,1762,0,0,0,0,0,0,0,0,0,10,11,338,372,712,214,227,276,285,66,17,61,2572,596,246,202,16,29,35,25,9,3,21,1186,261,645,432,105,79,77,80,28,9,23,1735,5,17,24,7,4,3,3,4,0,6,67,0,0,0,0,0,0,0,0,0,0,7,269,663,459,110,87,79,82,32,9,19,1813,3,0,0,0,0,0,0,0,0,10,8,870,904,666,130,113,110,106,41,13,52,3010,1272,209,115,17,4,17,12,9,0,36,1686,327,258,126,17,16,7,7,10,4,15,787,12,29,16,4,3,3,5,6,0,0,74,0,0,0,0,0,0,0,0,0,0,4,343,287,140,21,21,11,18,11,4,18,866,3,0,0,0,0,0,0,0,0,4,10,1617,497,258,36,23,25,24,22,7,60,2558,2092,116,37,9,3,8,3,4,0,72,2343,360,44,25,0
202,481,170,157,198,198,55,17,26,1734,0,0,0,0,0,0,0,0,0,83,87,277,452,620,210,193,234,227,77,26,127,2435,527,303,154,23,17,16,21,7,8,17,1087,172,497,390,78,65,90,74,34,0,16,1428,0,83,69,24,18,21,13,3,0,9,235,0,0,0,0,0,0,0,0,0,0,0,174,576,466,98,83,114,90,41,0,22,1661,0,0,0,0,0,0,0,0,0,56,55,703,881,622,124,94,128,111,47,9,93,2802,1206,214,107,12,18,6,10,0,10,50,1626,263,226,102,11,21,24,17,10,0,6,675,18,65,64,16,17,15,6,4,0,0,209,3,0,0,0,0,0,0,0,0,0,6,282,288,165,27,42,39,20,9,0,7,887,0,0,0,0,0,0,0,0,0,44,44,1488,506,271,36,54,48,27,16,7,101,2554,1828,108,38,9,8,7,7,5,0,60,2062,256,58,31,4
203,1780,558,647,751,861,250,37,81,6100,0,0,3,0,0,0,3,0,0,109,114,1063,1162,2353,699,775,903,1038,330,57,246,8615,1553,905,671,84,82,67,74,22,10,75,3546,703,1486,1098,185,184,168,180,58,18,31,4120,23,106,163,36,31,28,36,8,12,14,457,0,0,0,0,0,3,0,0,0,0,9,725,1594,1262,225,221,201,207,71,32,45,4581,0,0,6,0,0,0,0,0,0,72,77,2281,2494,1934,311,301,261,279,93,41,191,8202,2717,635,335,38,36,23,25,13,6,81,3920,1018,597,314,61,48,47,39,20,8,27,2170,93,88,113,25,30,13,34,10,3,5,419,6,0,0,0,0,0,0,0,0,0,6,1110,688,431,85,77,58,70,26,10,39,2591,0,0,0,0,0,0,0,0,0,58,66,3831,1321,766,121,111,84,99,47,18,177,6575,4653,269,88,12,8,15,17,8,3,136,5221,1372,173,71,12
204,352,129,142,182,214,42,15,25,1356,0,0,0,0,0,0,0,0,0,3,8,287,282,528,179,173,226,277,65,24,52,2103,527,240,174,19,20,32,15,15,5,33,1076,186,434,303,66,64,63,77,36,19,14,1263,5,18,21,9,13,25,29,8,0,5,129,0,0,0,0,0,0,0,0,0,0,5,192,454,322,78,80,90,107,39,20,16,1398,0,0,0,0,0,0,0,0,0,10,10,719,692,504,93,101,125,120,61,25,58,2490,1232,195,107,19,17,10,8,9,3,55,1657,248,187,118,19,12,14,11,6,8,19,637,21,23,25,6,11,16,11,9,0,3,113,0,0,0,0,0,0,0,0,0,0,3,271,206,140,28,17,29,16,11,8,20,751,3,0,0,0,0,0,0,0,0,9,15,1504,402,251,49,33,42,27,24,4,87,2427,2372,109,41,4,10,7,5,4,4,77,2616,362,41,27,4
205,555,171,178,220,314,115,34,23,2041,0,0,0,0,0,0,0,0,0,110,110,602,522,804,233,252,299,385,151,51,170,3469,1042,405,278,31,35,28,37,13,9,59,1927,330,648,498,87,94,82,101,62,25,25,1943,15,30,45,9,4,15,17,0,5,9,156,0,0,0,0,0,0,0,0,0,0,3,342,682,548,98,99,95,123,60,26,38,2104,3,0,0,0,0,0,0,0,0,85,85,1386,1079,826,131,131,127,156,76,40,179,4118,2098,375,167,17,19,15,34,14,3,108,2839,486,278,193,37,26,33,19,12,3,28,1127,37,49,49,4,10,3,10,8,3,6,170,3,4,0,0,0,0,0,0,0,0,4,522,331,246,48,35,40,38,13,4,33,1310,0,0,0,0,0,0,0,0,0,31,36,2618,702,410,67,56,49,67,28,8,168,4181,4647,235,102,15,7,13,15,4,4,210,5248,785,115,45,12
206,10304,4049,4985,6005,7391,2426,491,482,44398,3,4,0,6,6,10,12,0,0,61,103,8958,7600,16019,6007,7369,8859,10845,3599,943,901,71105,6873,4201,4003,589,558,491,523,248,117,209,17809,6098,5113,5019,1297,1265,1284,1354,526,225,194,22380,183,305,408,129,148,187,215,81,27,42,1726,10,8,7,0,0,0,0,0,0,10,38,6296,5426,5432,1424,1409,1473,1569,615,252,244,24143,8,3,6,5,0,0,0,0,0,29,56,13176,9633,9433,2016,1970,1968,2094,869,374,482,42010,8083,1598,869,127,138,126,134,91,34,145,11348,5374,1492,900,212,196,179,195,101,64,109,8831,684,313,327,98,102,136,112,61,27,62,1923,10,0,0,0,0,0,0,0,0,0,24,6068,1809,1226,309,298,319,309,158,94,176,10776,11,0,0,0,0,0,0,0,0,17,26,14163,3416,2094,438,438,445,442,249,132,337,22153,8262,434,258,45,58,72,62,54,21,131,9396,5851,397,212,36
207,4967,1352,1591,1653,1580,445,104,270,18638,0,0,9,0,3,0,0,0,0,24,47,3798,5052,5813,1595,1842,1937,1857,537,129,397,22964,2910,975,766,128,135,119,96,52,12,78,5247,7444,5333,3401,725,780,668,683,269,128,131,19559,185,391,602,219,277,308,295,118,55,61,2523,5,10,0,3,0,0,0,0,0,0,19,7637,5730,4003,949,1062,980,978,386,180,191,22100,3,0,3,0,0,0,0,0,0,13,24,10545,6706,4778,1072,1192,1097,1077,436,190,279,27378,4643,701,347,46,42,34,48,21,9,78,5960,6959,2114,1526,261,299,229,231,125,52,107,11906,600,595,859,253,336,286,275,155,30,89,3482,7,5,0,0,4,0,0,0,0,0,18,7566,2709,2388,509,638,514,512,277,85,198,15403,9,0,5,0,0,0,0,0,0,9,22,12218,3409,2737,553,682,550,559,300,86,279,21381,5455,310,134,17,13,11,13,15,12,88,6063,8279,592,331,48
208,3133,993,1204,1437,1331,370,100,145,12138,0,4,4,3,8,4,5,0,0,21,51,3431,2905,4881,1466,1696,2002,1821,532,152,269,19161,4434,2333,1812,255,230,228,190,69,30,124,9710,4274,4072,2858,625,581,629,600,180,107,88,14021,68,143,194,74,87,89,112,54,11,24,868,7,6,0,0,0,0,0,0,0,3,13,4351,4222,3057,701,665,718,713,234,118,123,14911,0,0,3,0,0,0,0,0,0,14,24,8786,6557,4877,956,898,953,905,307,149,259,24644,7702,1675,904,111,128,92,91,45,20,121,10895,5351,1524,912,156,156,122,143,67,23,51,8513,218,206,288,72,96,91,76,58,11,30,1145,4,6,0,0,0,0,0,0,0,0,6,5575,1731,1207,233,252,214,221,123,33,84,9668,0,0,0,0,0,0,0,0,0,9,11,13274,3406,2109,343,380,308,309,170,56,214,20569,8457,600,192,35,39,24,40,22,8,112,9528,6001,371,194,24
209,6393,1755,1980,2463,2143,508,148,310,22494,4,3,9,4,6,4,3,0,0,45,80,4390,5133,7671,2069,2344,2786,2431,601,183,465,28068,3522,1870,1319,170,161,127,82,33,14,112,7424,6080,9418,5484,870,855,787,602,168,64,197,24519,299,590,661,113,149,120,140,35,12,43,2167,9,11,3,0,0,0,6,0,0,7,29,6382,10023,6153,979,1005,910,741,205,73,243,26715,3,9,3,0,4,0,0,0,0,29,46,9910,11899,7477,1157,1170,1043,822,238,90,386,34187,5173,1041,474,56,50,46,31,17,7,134,7032,7416,2774,1391,198,164,132,101,25,21,131,12352,1081,515,473,91,106,72,121,42,3,73,2567,17,7,3,0,0,0,0,0,0,4,29,8508,3294,1868,290,272,211,218,65,26,203,14947,10,0,5,0,0,0,0,0,0,5,21,13686,4339,2344,341,318,255,247,84,33,347,22005,7060,394,141,21,29,16,14,8,4,162,7861,9195,691,300,53
210,6240,1955,2074,2200,2231,564,144,323,22698,8,4,9,0,5,5,0,0,0,128,150,3908,4920,7126,2136,2282,2392,2410,613,169,516,26472,2363,1182,810,112,116,52,57,17,12,78,4809,5616,8642,4686,982,820,669,540,150,67,198,22373,425,680,814,325,262,167,254,92,15,62,3091,9,18,6,0,0,3,0,0,0,5,42,6042,9343,5503,1309,1081,841,794,245,84,261,25515,3,7,0,0,0,0,0,0,0,94,105,8407,10531,6312,1415,1204,903,857,257,100,431,30420,3411,561,274,31,35,33,20,14,0,104,4490,7714,2381,1266,279,204,126,120,52,16,170,12313,1354,569,600,325,221,130,225,59,12,60,3554,16,3,5,0,0,0,0,0,0,0,37,9087,2957,1869,605,422,252,343,108,22,230,15900,9,3,0,0,0,0,0,0,0,44,60,12505,3520,2147,636,459,288,370,124,26,378,20445,4916,236,101,5,9,14,6,5,4,125,5434,8225,637,347,94
