SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
201,1844,1747,3590,4606,4174,8781,1842,1812,3653,717,755,1470,7175,6750,13924,2795,2811,5604,1699,1611,3310,1149,1279,2432,5653,5699,11355,236,236,470,189,315,502,589,321,909,610,922,1535,6,10,13,1632,1801,3435,974,1592,2559,436,802,1236,155,237,391,596,1323,1919,10,11,18,2166,3960,6129,3802,5768,9572,191,179,370,313,562,872,13,9,18,512,748,1261,5482,5143,10626,24469,25856,50329
202,1761,1619,3380,4588,4303,8891,1834,1721,3557,540,534,1081,6969,6566,13535,3169,3026,6201,1299,1328,2632,826,867,1693,5296,5233,10529,279,352,628,231,426,656,579,329,904,581,849,1430,8,9,20,1673,1965,3640,758,1361,2120,299,594,888,111,189,303,456,1192,1649,4,13,16,1628,3347,4976,3305,5321,8629,204,192,396,284,479,760,15,9,18,496,680,1172,5710,5411,11122,23542,24829,48368
203,3927,3486,7408,9191,8579,17771,2952,3025,5975,1459,1338,2791,13621,12947,26566,5111,4604,9712,2712,3190,5901,2571,2273,4842,10397,10073,20474,533,621,1156,482,749,1236,1281,653,1932,1307,1713,3015,17,8,32,3622,3744,7372,2857,3957,6809,1217,1584,2799,413,608,1023,1204,2493,3701,15,16,34,5701,8664,14368,9342,12424,21762,441,432,876,665,1048,1714,17,7,24,1123,1494,2617,9131,8113,17242,47540,48533,96069
204,1774,1723,3498,4609,4307,8920,1973,1937,3909,623,631,1252,7212,6889,14098,3150,3101,6251,1731,1764,3502,875,952,1824,5757,5823,11581,377,365,737,228,433,665,761,490,1252,614,1203,1817,17,8,27,1997,2501,4498,379,746,1123,204,480,687,83,189,273,495,1116,1609,4,8,13,1162,2543,3706,3167,5050,8217,242,188,427,305,503,810,13,15,29,557,704,1261,6528,6270,12798,24997,26453,51449
205,2940,2667,5606,8193,7586,15780,2316,2295,4612,1056,954,2008,11580,10842,22417,5472,5225,10695,1949,2119,4066,1226,1321,2545,8644,8667,17309,327,431,760,210,565,770,1041,700,1738,861,1735,2597,28,17,44,2465,3448,5911,706,1365,2068,351,834,1186,133,322,461,609,1710,2317,15,19,28,1812,4254,6062,4283,7703,11984,364,288,649,456,799,1258,27,23,51,840,1112,1953,11524,10876,22401,39810,41865,81675
206,4535,4318,8851,9808,9378,19186,2637,2486,5120,1754,1922,3672,14217,13808,28022,6260,5815,12069,1998,2142,4138,3099,3482,6573,11360,11445,22807,1488,1516,3009,2405,3113,5518,1021,725,1747,3404,4297,7702,15,18,38,8342,9672,18013,13689,17361,31057,7420,8833,16249,1500,1921,3428,5547,8515,14066,56,59,113,28209,36690,64905,36593,46397,82987,1389,1727,3111,2200,3038,5239,29,33,63,3620,4801,8415,16984,16813,33800,87310,97575,184887
207,3692,3375,7068,10117,9335,19449,2362,2191,4555,1841,2231,4078,14342,13772,28117,6535,5896,12427,2884,2566,5446,4772,5235,10007,14199,13708,27904,722,507,1228,813,1012,1820,768,318,1089,1305,1859,3161,17,12,20,3618,3708,7323,8676,9073,17746,2493,2660,5156,993,976,1970,1995,2805,4805,22,33,60,14179,15548,29731,17818,19272,37095,659,568,1234,1019,1531,2548,17,11,30,1701,2110,3808,6022,6337,12363,57773,58582,116357
208,4897,4614,9515,10942,10367,21314,3244,3114,6363,3198,3094,6293,17408,16599,34009,6222,5762,11977,3311,3360,6667,6024,5892,11918,15568,15041,30612,770,599,1372,575,896,1471,987,429,1415,1365,1975,3337,12,8,22,3717,3906,7618,6892,7802,14697,1865,2277,4140,849,926,1777,1997,3268,5271,13,24,42,11617,14305,25922,15352,18225,33580,535,474,1006,968,1493,2464,19,18,31,1520,1982,3501,6963,7621,14582,61708,64085,125793
209,6958,6198,13154,16781,15578,32360,5326,5257,10584,1630,1653,3279,23781,22532,46311,11144,10312,21453,4629,4707,9340,2217,2346,4557,18012,17379,35399,1325,1081,2410,1194,1665,2860,1961,790,2748,2145,2809,4951,35,21,53,6657,6367,13028,6063,7900,13964,2571,3272,5843,717,954,1665,2158,3826,5979,37,31,66,11530,15987,27513,18225,22384,40601,1139,1074,2207,1529,2095,3625,35,16,55,2700,3184,5885,11380,11082,22467,81062,82749,163811
210,5338,4866,10208,11890,10979,22863,5004,4834,9843,2601,2729,5330,19535,18572,38103,8015,7406,15417,3712,3755,7471,2834,2953,5789,14586,14148,28726,1412,1009,2417,1155,1487,2643,1475,592,2067,1664,2381,4044,36,22,56,5739,5488,11235,4320,5745,10057,1569,2021,3589,560,670,1232,1296,2374,3667,19,35,57,7763,10841,18600,13532,16370,29900,1290,1276,2563,1285,1971,3262,30,34,56,2600,3282,5881,11227,10645,21877,66815,67873,134689
