SA4_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
201,895,3144,6409,5944,4981,3580,3458,1373,315,30103,336,571,1099,1106,2036,2262,1637,483,113,9641,497,559,1441,1509,2149,2863,2276,1112,295,12707,170,122,420,425,705,1143,1199,793,193,5162,63,78,176,211,252,414,746,926,411,3275,8,14,41,18,44,44,54,34,12,276,266,311,631,591,742,727,798,613,280,4968,2232,4788,10220,9802,10914,11038,10168,5340,1623,66117,1081,3563,7771,7912,6740,4856,3556,1266,426,37167,188,381,835,872,1934,2753,1955,748,180,9846,226,348,955,969,1572,2333,2481,1391,475,10749,75,80,223,256,489,966,1222,768,372,4443,37,46,77,92,161,312,810,938,717,3190,8,11,18,28,44,38,34,21,21,227,279,272,600,568,646,645,803,740,497,5052,1888,4700,10480,10702,11583,11903,10860,5865,2698,70672,1977,6708,14180,13852,11723,8438,7013,2637,743,67275,522,948,1934,1978,3963,5014,3593,1226,296,19481,717,904,2397,2481,3722,5197,4759,2507,769,23460,246,193,639,682,1189,2109,2418,1564,566,9606
202,841,2917,5717,5684,4875,3496,3542,1464,335,28860,282,553,1058,938,1774,2329,1578,497,100,9123,408,531,1481,1627,2019,2707,2233,1058,296,12361,113,103,353,390,596,929,1120,843,232,4677,54,37,161,195,249,403,730,849,443,3116,3,17,60,74,72,79,57,34,11,413,251,272,632,605,716,758,754,597,363,4949,1947,4433,9463,9516,10306,10694,10018,5339,1778,63493,1035,3313,7243,7556,6564,4868,3668,1330,420,35989,204,347,776,788,1702,2575,1848,706,172,9123,216,326,961,1037,1459,2354,2389,1285,445,10479,64,75,224,220,412,897,1105,756,371,4131,29,38,127,127,158,313,768,955,636,3153,4,12,56,62,89,65,53,31,27,397,263,234,604,581,644,720,755,764,664,5231,1818,4337,9990,10364,11033,11797,10584,5838,2738,68507,1874,6224,12957,13235,11438,8360,7205,2793,752,64843,490,899,1834,1730,3483,4902,3434,1205,274,18248,630,856,2446,2663,3477,5065,4618,2345,743,22840,179,172,576,608,1010,1831,2221,1603,609,8810
203,1953,7428,15222,13733,10210,7152,6973,2861,696,66232,525,888,2052,1977,3907,4722,2974,928,229,18203,587,790,2428,2565,3125,3893,3619,1884,467,19362,207,179,527,650,927,1212,1499,1192,365,6742,85,88,258,289,340,547,1096,1314,742,4763,13,36,131,123,131,111,104,106,68,818,393,571,1241,1019,1030,1006,1120,889,481,7742,3760,9983,21858,20354,19667,18651,17387,9164,3044,123869,2295,7871,17664,17329,13253,9392,6879,2619,904,78206,276,533,1328,1347,3423,4943,3527,1414,371,17156,342,433,1383,1493,2298,3689,4271,2362,754,17013,116,108,288,365,722,1265,1871,1336,691,6752,56,47,139,202,299,561,1292,1715,1176,5487,9,22,71,128,133,121,133,146,91,859,383,485,976,1030,902,944,1232,1160,914,8029,3460,9496,21844,21897,21041,20912,19203,10744,4899,133498,4248,15304,32889,31059,23470,16545,13855,5474,1601,144440,799,1423,3380,3329,7328,9666,6503,2338,598,35366,932,1222,3803,4061,5428,7578,7889,4246,1219,36379,315,287,813,1011,1648,2476,3368,2521,1054,13496
204,959,2792,5324,5231,4610,3776,4116,1657,366,28840,412,668,1360,1292,2252,2916,1984,631,158,11674,501,581,1727,1877,2624,3617,3004,1487,312,15729,129,105,393,489,688,1208,1446,930,263,5658,67,43,132,164,216,465,900,1102,530,3616,9,11,39,44,63,58,57,42,21,341,347,378,710,752,815,1031,1036,705,303,6068,2433,4578,9698,9846,11265,13062,12549,6552,1946,71931,988,2969,6995,7491,6756,5461,3927,1481,444,36519,225,363,918,969,2079,3208,2179,884,231,11054,257,355,1011,1155,1908,2951,3202,1731,596,13161,75,67,202,262,459,941,1344,876,353,4585,25,26,79,120,148,321,789,1048,782,3331,3,7,37,23,39,58,64,44,36,313,338,304,645,689,803,894,919,901,601,6097,1907,4101,9886,10715,12188,13835,12417,6958,3046,75058,1948,5765,12330,12724,11363,9237,8050,3135,811,65357,635,1032,2275,2263,4331,6124,4159,1514,387,22727,760,947,2734,3032,4525,6569,6202,3216,900,28891,209,174,595,748,1150,2150,2792,1809,614,10243
205,1121,3991,8331,7828,6376,5823,6634,2727,573,43400,699,1158,2361,2263,3639,4784,3695,1128,210,19936,863,1036,2925,3015,4081,6010,5380,2493,494,26293,291,240,710,910,1313,2014,2513,1686,425,10100,126,85,305,353,420,789,1605,1875,855,6412,6,32,63,62,71,99,75,96,49,546,503,518,1227,1345,1407,1655,1756,1287,613,10314,3619,7057,15917,15768,17313,21165,21658,11295,3210,117008,1465,4632,11452,11076,9665,8412,6552,2467,658,56382,407,727,1736,1671,3450,5412,4012,1382,350,19144,502,618,1725,1944,3083,4910,5417,2836,807,21846,150,136,444,521,976,1888,2507,1529,559,8711,69,49,170,190,335,734,1472,1983,1317,6320,8,22,49,61,75,71,83,109,65,551,510,472,1211,1289,1258,1576,1805,1479,958,10555,3109,6663,16782,16745,18841,23013,21855,11782,4715,123503,2593,8623,19783,18905,16035,14237,13187,5189,1235,99780,1106,1887,4097,3937,7092,10197,7712,2509,557,39082,1364,1658,4645,4961,7170,10923,10795,5333,1298,48145,444,381,1160,1429,2283,3904,5022,3218,984,18816
206,3856,23312,69745,43393,27272,18820,12367,4929,1182,204876,308,889,2753,1897,2802,3327,1652,651,163,14442,253,552,2027,1828,2131,2522,1746,1032,325,12419,67,114,403,388,553,714,734,544,207,3729,32,51,223,237,296,596,1028,1795,1109,5368,7,68,283,196,186,239,307,403,261,1954,510,1611,4843,3019,2109,1784,1396,1057,548,16878,5038,26600,80281,50956,35352,27995,19234,10404,3802,259667,4902,27345,76087,44450,30095,20435,12571,4587,1410,221885,278,811,2117,1207,2162,3111,2205,986,325,13192,194,486,1247,1004,1453,2220,2353,1274,574,10811,51,88,268,279,386,651,885,676,397,3673,21,46,224,234,388,682,1591,2883,1864,7936,13,63,327,199,278,391,532,814,613,3230,565,1781,4891,2714,1833,1595,1447,1203,900,16937,6018,30629,85163,50094,36592,29072,21577,12428,6080,277663,8755,50660,145837,87842,57363,39249,24941,9523,2595,426760,587,1704,4874,3100,4963,6435,3860,1637,483,27636,455,1041,3273,2837,3587,4738,4098,2303,899,23231,117,203,670,673,942,1360,1616,1222,604,7404
207,3204,12639,21401,20160,19279,15848,11277,5676,1947,111426,215,408,701,620,1706,2253,1310,907,336,8461,158,256,662,604,1176,1476,1222,1356,556,7466,50,63,177,201,335,443,604,683,319,2875,32,40,101,133,179,308,725,1272,937,3731,9,53,164,134,143,188,213,223,168,1289,282,520,1135,803,787,655,721,725,506,6133,3951,13983,24342,22650,23605,21171,16086,10849,4758,141386,3273,12104,22304,23189,23074,17828,11493,5338,2239,120846,132,245,428,394,1443,2397,2268,1636,644,9582,105,117,335,395,819,1465,2050,2193,1136,8614,33,33,99,156,286,443,902,971,608,3533,14,29,65,118,253,395,1218,2185,1560,5832,3,28,120,126,165,230,324,400,342,1734,258,481,1031,814,788,713,857,951,977,6866,3816,13035,24376,25186,26833,23478,19105,13676,7504,157007,6475,24746,43705,43348,42350,33681,22768,11010,4187,232278,347,650,1130,1010,3145,4656,3586,2546,979,18039,260,376,992,997,1998,2936,3269,3550,1688,16087,86,94,277,353,628,883,1505,1653,925,6411
208,3143,11086,21862,23812,23002,16589,11820,5214,1705,118231,246,477,1093,1200,2748,3382,2213,1048,353,12773,283,312,1055,1222,2059,2587,2042,1503,581,11650,92,60,182,252,463,610,764,733,300,3457,43,32,91,117,181,289,649,1184,827,3414,8,38,93,94,87,117,146,181,118,878,299,405,1179,998,919,765,862,811,523,6762,4119,12419,25560,27704,29455,24345,18493,10665,4411,157170,3339,11131,24208,27672,27277,18593,12124,5165,2247,131761,141,252,682,727,2321,3675,3074,1707,791,13362,137,173,536,663,1463,2361,3010,2308,1286,11941,54,36,112,166,311,538,985,968,697,3855,21,19,49,102,143,355,1040,1871,1489,5094,4,17,94,91,108,151,197,309,216,1176,286,343,1087,995,917,817,1110,1172,1173,7904,3984,11962,26764,30419,32538,26479,21534,13498,7905,175097,6483,22217,46070,51485,50280,35176,23945,10375,3950,249990,397,731,1774,1931,5069,7059,5285,2758,1149,26138,424,487,1594,1889,3523,4949,5049,3808,1872,23587,145,96,290,412,778,1145,1745,1703,996,7313
209,3578,13922,30701,31454,21716,13775,9384,3426,812,128762,703,1167,2674,2472,4838,5364,2599,807,173,20805,757,969,2781,3140,4352,4906,3567,1831,446,22750,232,232,757,963,1305,1652,1834,1232,383,8581,76,88,352,498,637,1064,2295,2807,1384,9210,29,86,219,286,319,449,514,573,318,2790,599,873,1984,1751,1437,1269,1175,987,553,10635,5976,17337,39467,40565,34611,28477,21368,11660,4069,203536,3976,13884,34475,35255,25683,15610,8585,2780,908,141152,332,650,1631,1699,4135,5865,3057,1011,304,18690,322,506,1616,1820,3045,4742,4534,2167,723,19467,98,103,396,560,887,1623,2293,1495,564,8016,42,52,220,414,622,1321,3345,4120,2384,12526,11,38,213,251,367,554,793,876,579,3690,511,613,1828,1567,1288,1235,1320,1165,973,10492,5282,15841,40383,41560,36031,30956,23936,13614,6430,214035,7550,27815,65170,66707,47406,29382,17968,6204,1719,269912,1042,1815,4310,4175,8975,11230,5663,1817,477,39497,1083,1469,4399,4957,7400,9651,8097,3993,1171,42220,329,328,1153,1519,2191,3276,4125,2730,944,16603
210,2967,10938,24384,22929,14198,9372,5601,2202,518,93113,590,973,2254,2051,3599,3868,1784,532,133,15780,705,916,2625,2696,3634,3996,2627,1333,361,18890,230,249,849,982,1293,1443,1390,907,272,7614,87,150,574,912,933,1242,1830,2192,1125,9048,19,99,276,404,444,576,518,522,257,3113,650,827,2197,1783,1368,1182,912,747,430,10099,5247,14147,33165,31759,25468,21682,14657,8427,3090,157650,3162,10798,27054,25117,16940,10062,5018,1751,504,100409,309,546,1578,1471,3286,4160,2051,653,185,14236,292,480,1619,1705,2647,3481,3197,1581,550,15555,90,134,483,665,925,1394,1620,1027,465,6811,49,87,442,776,1063,1468,2814,3158,1741,11598,17,58,269,394,578,912,890,911,499,4516,520,625,1802,1612,1273,1075,1058,991,770,9733,4447,12713,33248,31745,26707,22563,16654,10069,4716,162856,6129,21737,51441,48047,31143,19435,10617,3951,1024,193519,896,1515,3833,3518,6884,8028,3834,1184,315,30017,998,1399,4242,4406,6280,7483,5825,2910,907,34444,324,382,1330,1649,2217,2838,3008,1935,736,14419
