SA4_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
201,2045,274,294,255,323,538,485,191,69,4476,1057,127,78,52,120,157,263,95,32,1988,563,363,314,228,270,439,578,289,72,3117,208,346,441,331,466,756,1738,1252,300,5843,259,329,402,339,503,743,1532,1027,380,5513,326,520,497,370,487,721,1180,611,176,4895,166,650,703,425,541,696,873,471,110,4635,124,767,1311,829,910,1001,744,271,86,6047,48,538,1579,1272,1254,1270,657,216,22,6869,16,274,1195,1022,1043,935,383,114,20,4998,10,118,975,948,932,806,290,76,27,4178,3,55,628,819,775,581,162,43,11,3072,4,50,825,1450,1435,947,239,39,7,4992,0,10,124,313,348,223,57,20,5,1094,3,14,141,462,657,434,165,49,13,1933,376,359,712,685,857,795,807,572,300,5467,5205,4790,10228,9803,10917,11043,10169,5341,1624,69115,1727,208,520,587,612,1092,667,204,101,5712,1295,131,200,259,211,352,310,109,44,2912,655,457,400,415,432,656,722,312,75,4122
202,1821,272,230,226,272,488,468,170,54,3984,1026,105,59,65,86,148,270,101,23,1890,539,365,225,191,220,394,520,299,67,2813,192,306,342,308,394,658,1526,1175,363,5269,207,306,357,286,396,711,1485,930,390,5073,277,424,423,353,444,678,1105,626,182,4512,166,563,628,438,530,662,852,493,112,4451,88,769,1224,855,860,1037,766,349,73,6021,44,489,1419,1159,1209,1250,789,244,50,6643,8,240,1114,933,896,859,457,124,19,4658,6,121,949,1020,947,811,338,84,31,4320,0,65,605,744,791,558,201,52,9,3028,3,41,799,1422,1469,1025,264,65,15,5097,0,8,106,323,370,227,66,11,0,1126,5,8,112,425,588,374,145,41,18,1715,353,359,872,780,832,832,765,573,363,5725,4738,4438,9464,9523,10303,10704,10026,5342,1781,66314,1549,222,485,468,486,1021,611,195,87,5140,1243,134,215,239,193,370,368,131,36,2929,700,429,407,376,400,640,737,345,106,4134
203,3778,655,588,387,497,889,901,329,96,8117,2141,322,133,110,136,267,434,166,58,3772,1068,857,476,317,389,634,920,519,167,5349,370,806,719,462,589,976,2494,1912,588,8917,403,784,683,484,615,955,2033,1404,658,8019,531,1085,968,580,644,1018,2039,1133,301,8306,267,1292,1288,725,740,1008,1538,916,218,7999,158,1378,2368,1346,1327,1578,1431,588,116,10285,70,1058,3257,2182,2066,2130,1396,441,83,12682,27,548,2650,1970,1821,1624,836,249,45,9776,5,257,2304,2249,1896,1485,617,192,45,9053,8,104,1577,1883,1739,1163,411,95,16,6994,7,86,2331,3988,3337,2202,590,157,29,12726,4,17,381,903,885,570,148,40,11,2970,3,32,427,1375,1663,1047,403,119,32,5106,564,727,1719,1405,1327,1110,1199,900,577,9528,9408,10003,21876,20360,19673,18661,17397,9172,3048,129587,2974,467,1178,1281,1150,2070,1375,443,154,11096,2657,380,361,477,406,684,690,254,76,5977,1307,905,719,788,706,1076,1370,678,199,7762
204,1907,259,240,200,319,608,590,246,81,4450,1126,119,61,53,93,180,291,134,28,2087,533,255,206,171,264,467,715,385,94,3083,180,214,318,302,409,801,1876,1456,408,5972,268,235,325,272,420,801,1749,1156,420,5648,340,409,398,334,467,741,1368,759,174,5002,227,592,576,444,562,831,1124,560,121,5037,208,749,1233,940,1057,1322,988,385,89,6971,144,688,1742,1419,1515,1655,976,256,56,8448,31,341,1237,1184,1180,1202,570,153,23,5937,10,149,999,1105,1084,988,462,110,24,4928,9,66,653,793,855,706,213,63,10,3376,0,59,723,1272,1461,1077,328,59,14,4995,0,7,87,209,259,222,79,35,0,909,8,13,117,318,419,408,182,72,22,1551,507,429,798,824,892,1049,1045,727,375,6646,5517,4595,9700,9852,11275,13068,12546,6561,1946,75047,1602,195,448,508,533,1197,778,289,111,5660,1367,107,157,206,228,375,369,135,44,2987,614,296,378,376,451,730,916,415,141,4309
205,3035,429,468,416,526,1208,1167,395,138,7781,1603,187,110,110,169,368,521,215,67,3331,845,522,471,428,511,890,1247,674,172,5756,294,455,625,542,791,1527,3696,2638,620,11198,443,423,531,549,841,1438,3318,2038,674,10255,569,681,586,600,794,1312,2373,1357,332,8596,286,917,975,790,877,1333,1808,1007,223,8213,155,1124,1868,1379,1513,1834,1541,542,142,10087,86,801,2422,1843,1966,2281,1466,467,68,11392,26,420,1843,1680,1580,1581,847,220,41,8245,8,234,1615,1505,1458,1442,584,159,41,7038,4,105,964,1223,1141,1080,380,75,14,4985,6,104,1355,1988,2136,1845,479,91,16,8011,0,8,245,451,531,461,126,33,7,1873,11,14,253,626,910,822,290,98,33,3057,751,633,1603,1653,1593,1749,1839,1295,638,11744,8120,7068,15931,15772,17328,21171,21666,11297,3215,121572,2640,319,913,922,1091,2514,1465,476,173,10516,2032,200,386,372,376,772,699,254,84,5173,964,530,765,707,779,1518,1541,735,184,7720
206,5433,3560,2655,1269,1206,1310,1110,615,243,17394,2193,1106,475,253,352,398,442,222,103,5547,1173,2093,1211,618,658,847,794,542,277,8213,519,2297,2256,1072,1069,1344,1716,1726,773,12775,342,2101,2120,904,1004,1282,1900,1373,648,11673,383,2840,3941,1301,1049,1225,1590,861,329,13513,229,2567,4671,1596,1080,1186,1206,680,201,13418,160,2567,6740,2429,1637,1540,1328,578,137,17114,75,2506,9493,3708,2247,2009,1405,607,111,22163,24,1463,8995,3674,2110,1660,1084,394,76,19475,23,804,8666,4292,2483,1833,988,348,69,19504,7,344,6348,4123,2317,1657,759,277,38,15868,14,385,12047,10940,6150,3990,1381,452,71,35422,9,68,2386,3494,2344,1371,471,153,37,10324,12,133,3065,8012,7347,4465,1676,542,107,25362,623,1803,5257,3301,2327,1894,1393,1041,585,18223,11202,26641,80322,50981,35375,28011,19248,10415,3804,266006,5083,3534,4013,2838,2138,2241,1650,872,409,22772,2731,1370,784,606,633,785,619,325,139,7991,1670,2731,1688,1014,1013,1258,1154,799,351,11675
207,6850,1820,1267,801,929,1303,1405,755,337,15474,2448,930,277,148,234,385,496,294,142,5361,1144,1625,559,352,357,551,780,647,278,6301,441,1420,900,523,583,746,1439,1638,802,8496,264,1176,810,511,570,799,1170,1182,752,7249,228,1385,1249,693,695,898,1176,1071,430,7821,145,1269,1483,784,778,923,1174,937,379,7880,79,1250,2253,1214,1153,1272,1217,807,266,9510,52,1144,3103,1744,1496,1610,1331,753,221,11450,19,674,2811,1535,1280,1291,989,490,145,9226,16,353,2454,1758,1469,1358,873,427,118,8833,3,133,1715,1616,1458,1288,655,302,86,7262,7,124,2860,4362,3972,3052,1200,425,123,16120,9,26,556,1678,1676,1176,403,135,33,5696,6,33,738,4023,6018,3724,1135,320,100,16093,395,657,1317,921,954,818,676,660,537,6933,12109,14010,24376,22670,23630,21188,16112,10853,4758,149715,5874,1356,1827,2506,2351,2861,2202,1084,657,20727,2798,925,398,634,733,979,886,475,186,8019,1340,1609,736,807,957,1083,1288,923,384,9124
208,6603,1341,893,683,845,1082,1164,628,282,13517,2903,784,225,138,178,360,465,260,120,5438,1209,1331,460,259,333,540,823,572,247,5778,507,1129,683,384,555,728,1532,1630,661,7809,320,1017,629,423,638,890,1621,1324,752,7620,344,1275,982,527,651,986,1565,1142,420,7895,197,1240,1263,625,789,974,1369,886,328,7675,126,1275,2235,1226,1334,1494,1474,718,231,10113,57,1091,3157,1783,1782,2062,1630,686,207,12453,17,659,3008,1999,1832,1715,1241,480,115,11064,4,355,2907,2240,2075,1816,949,368,90,10806,6,160,2115,2252,1967,1588,772,280,66,9202,8,116,3849,6185,5588,3733,1318,408,114,21329,5,25,818,2260,2207,1416,454,118,35,7335,7,48,997,5518,7509,4051,1209,334,103,19780,446,577,1361,1210,1179,930,907,854,650,8114,12769,12430,25576,27721,29467,24358,18507,10679,4420,165927,5492,969,1453,2274,2041,2381,1930,902,558,17998,3387,783,366,546,673,840,817,388,188,7990,1488,1402,571,749,826,1091,1352,826,368,8672
209,8170,1661,1499,1262,1202,1707,1784,776,294,18361,2773,791,295,218,300,464,573,287,92,5795,1540,1561,924,658,741,975,1273,818,286,8779,504,1414,1428,957,1171,1557,3436,2933,987,14382,512,1334,1240,932,1089,1304,2477,1743,850,11478,651,1744,1824,1306,1224,1394,1928,1133,311,11509,356,2004,2433,1675,1514,1575,1680,949,252,12425,222,2173,4383,2973,2613,2413,1500,634,126,17052,135,1813,5878,4587,3633,3164,1641,490,90,21434,48,903,4879,4092,3243,2529,1038,287,41,17064,25,459,4124,4294,3411,2299,831,224,37,15705,5,198,2769,3537,2781,1866,538,131,26,11855,5,151,4214,7714,5611,3368,858,132,29,22086,0,29,676,1848,1609,892,189,41,0,5286,6,22,599,2554,2780,1586,392,87,26,8050,811,1102,2345,2003,1731,1423,1246,1024,624,12304,15777,17366,39505,40614,34656,28513,21396,11676,4066,213566,6594,1237,3391,3711,2782,4021,2615,1039,426,25814,3459,860,752,988,812,1017,890,383,120,9296,2052,1805,1506,1623,1395,1641,1781,1024,329,13150
210,6277,1364,1356,1135,1033,1402,1417,596,221,14806,2270,512,216,178,211,302,383,213,79,4362,1384,1277,780,757,856,1011,903,586,200,7750,470,1017,1124,998,1172,1634,2702,2404,793,12321,427,1064,1110,966,1035,1174,1783,1336,681,9573,552,1429,1475,1114,1031,1094,1321,849,261,9136,307,1578,2190,1542,1219,1139,1103,641,157,9877,202,1919,3870,2678,1979,1854,1010,392,115,14016,98,1417,4937,3655,2976,2412,1011,256,71,16838,30,783,3790,3115,2404,1860,613,138,37,12770,11,403,3305,3100,2271,1711,470,105,27,11417,12,165,2197,2508,1837,1253,307,45,11,8343,3,153,3312,5212,3538,2204,451,64,15,14954,0,27,499,1238,912,538,102,19,5,3348,4,37,476,1543,1398,806,183,47,13,4514,892,1054,2552,2064,1626,1297,900,751,415,11553,12944,14211,33196,31808,25501,21714,14669,8437,3093,165579,5516,1228,3631,3466,2458,3126,1954,704,366,22453,2656,707,690,759,584,656,558,262,109,6966,1708,1562,1606,1702,1381,1401,1246,702,275,11576
